Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:33:50.472866-07:00,1031.4,653.0,956.0,888.2,1017.6,707.7,1459.8,1165.6,3462.5,3469.8,1021.9,820.2,1290.0,3471.0,1268.5,1174.4,3483.2,3477.1,342.1,553.0,826.9,1066.0,454.5,1632.2,3486.8,3472.2,637.6,675.0,1669.1,1001.3,944.1,926.2,0.0,-8.0,6.0,-10105.0,11113.0,-6009.0,2593.0,-14.0,13.0,4.0,-3.0,-3.0,2.0,5674.0,-8691.0,11459.0,-5423.0,-13.0,8.0,7.0,1.0
2022-05-06 15:33:50.532835-07:00,1031.4,653.0,950.9,888.2,1017.6,707.7,1463.5,1163.0,3462.5,3469.8,1020.2,811.0,1290.0,3471.0,1276.5,1177.0,3473.4,3477.1,342.1,553.0,821.0,1056.5,454.5,1632.2,3473.4,3469.8,637.6,675.0,1671.9,994.5,944.1,926.2,2.0,0.0,0.0,-10104.0,11109.0,-6014.0,2601.0,15.0,30.0,-6.0,-1.0,5.0,-3.0,5674.0,-8691.0,11459.0,-5422.0,16.0,4.0,0.0,1.0
2022-05-06 15:33:50.622107-07:00,1034.9,654.6,950.9,888.2,1020.2,697.9,1463.5,1163.0,3478.3,3469.8,1020.2,811.0,1281.0,3474.6,1276.5,1177.0,3473.4,3477.1,336.7,552.2,821.0,1056.5,457.7,1625.6,3473.4,3469.8,635.9,677.4,1671.9,994.5,944.9,915.2,0.0,0.0,-2.0,-10103.0,11106.0,-6019.0,2608.0,-10.0,-5.0,8.0,-3.0,-1.0,-2.0,5676.0,-8690.0,11458.0,-5425.0,-3.0,0.0,4.0,1.0
2022-05-06 15:33:50.623188-07:00,1034.9,654.6,951.7,898.3,1020.2,697.9,1455.2,1166.5,3478.3,3469.8,1015.9,811.9,1281.0,3474.6,1275.6,1177.0,3474.6,3475.9,336.7,552.2,826.0,1064.3,457.7,1625.6,3464.9,3478.3,635.9,677.4,1664.4,991.9,944.9,915.2,2.0,-2.0,5.0,-10101.0,11108.0,-6019.0,2607.0,13.0,-12.0,0.0,-1.0,0.0,-2.0,5674.0,-8691.0,11459.0,-5422.0,23.0,-3.0,0.0,1.0
2022-05-06 15:33:50.712352-07:00,1029.7,655.4,953.4,898.3,1015.1,705.2,1455.2,1166.5,3462.5,3467.4,1028.8,811.9,1281.0,3464.9,1275.6,1177.0,3474.6,3475.9,342.9,549.8,826.0,1066.9,449.8,1622.8,3464.9,3478.3,635.9,677.4,1664.4,992.7,942.4,927.9,0.0,-3.0,4.0,-10101.0,11106.0,-6021.0,2611.0,-1.0,2.0,5.0,0.0,0.0,4.0,5677.0,-8689.0,11457.0,-5425.0,5.0,7.0,-1.0,1.0
2022-05-06 15:33:50.713492-07:00,1029.7,655.4,953.4,889.8,1015.1,698.7,1464.4,1171.8,3462.5,3467.4,1028.8,811.0,1281.0,3471.0,1272.1,1177.9,3471.0,3463.7,340.6,549.8,824.4,1066.9,449.8,1622.8,3477.1,3472.2,636.7,677.4,1670.1,992.7,942.4,927.9,1.0,-4.0,5.0,-10100.0,11105.0,-6024.0,2609.0,-15.0,5.0,9.0,0.0,-3.0,1.0,5677.0,-8689.0,11457.0,-5425.0,-13.0,-1.0,5.0,1.0
2022-05-06 15:33:50.832299-07:00,1030.6,654.6,952.6,889.8,1021.9,698.7,1464.4,1171.8,3472.2,3462.5,1023.7,811.0,1290.0,3471.0,1272.1,1177.9,3471.0,3463.7,340.6,554.6,824.4,1059.1,456.1,1627.5,3477.1,3472.2,636.7,675.8,1670.1,995.3,946.6,918.6,0.0,-2.0,5.0,-10100.0,11105.0,-6024.0,2609.0,-12.0,6.0,0.0,-8.0,-2.0,2.0,5676.0,-8690.0,11458.0,-5424.0,-8.0,2.0,0.0,1.0
2022-05-06 15:33:50.833242-07:00,1030.6,654.6,952.6,885.6,1021.9,706.0,1463.5,1163.0,3472.2,3462.5,1023.7,811.9,1290.0,3478.3,1266.7,1174.4,3467.4,3467.4,343.7,554.6,816.0,1059.1,456.1,1627.5,3478.3,3474.6,634.3,675.8,1663.4,995.3,946.6,918.6,0.0,0.0,-2.0,-10102.0,11103.0,-6025.0,2608.0,20.0,-8.0,12.0,-5.0,2.0,0.0,5678.0,-8688.0,11456.0,-5427.0,4.0,-3.0,2.0,1.0
2022-05-06 15:33:50.862926-07:00,1032.3,656.2,954.3,885.6,1021.9,706.0,1463.5,1163.0,3471.0,3478.3,1021.9,811.9,1290.9,3478.3,1266.7,1174.4,3467.4,3467.4,343.7,557.8,816.0,1056.5,456.1,1619.0,3478.3,3474.6,634.3,679.9,1663.4,993.6,941.5,928.8,1.0,-6.0,4.0,-10102.0,11104.0,-6025.0,2608.0,8.0,-1.0,-1.0,-4.0,0.0,-3.0,5678.0,-8689.0,11457.0,-5427.0,16.0,-8.0,-2.0,1.0
2022-05-06 15:33:50.922198-07:00,1032.3,656.2,954.3,889.0,1028.8,706.0,1456.2,1165.6,3471.0,3478.3,1021.9,814.4,1284.6,3475.9,1266.7,1174.4,3474.6,3468.6,336.7,552.2,823.5,1056.5,456.1,1619.0,3477.1,3474.6,634.3,674.2,1673.8,993.6,941.5,928.8,2.0,-14.0,6.0,-10102.0,11101.0,-6027.0,2612.0,3.0,18.0,3.0,0.0,-7.0,-1.0,5680.0,-8688.0,11455.0,-5428.0,7.0,-3.0,0.0,1.0
