Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:38:45.055713-07:00,1989.5,545.0,1199.1,1524.5,897.4,1225.7,1343.1,1706.2,3446.7,3438.2,1648.3,1550.6,1317.8,3432.2,1006.5,1441.5,3432.2,3428.6,669.3,1728.2,911.8,555.4,1433.2,1922.3,3444.3,3446.7,887.3,1020.2,1446.0,1490.3,1201.8,933.0,0.0,-12.0,-33.0,16187.0,2525.0,200.0,0.0,-2.0,4.0,1.0,-7.0,5.0,6.0,16329.0,-419.0,-1270.0,1.0,-3.0,5.0,0.0,1.0
2022-05-06 15:38:45.057090-07:00,1988.5,549.0,1207.1,1524.5,895.7,1225.7,1343.1,1706.2,3439.5,3439.5,1650.2,1550.6,1314.2,3432.2,1006.5,1441.5,3432.2,3428.6,669.3,1731.1,911.8,559.4,1429.5,1920.3,3444.3,3446.7,887.3,1021.9,1446.0,1498.6,1201.8,933.0,1.0,-14.0,-29.0,16187.0,2525.0,200.0,0.0,2.0,-2.0,1.0,-7.0,5.0,5.0,16329.0,-419.0,-1270.0,1.0,-7.0,1.0,2.0,1.0
2022-05-06 15:38:45.235582-07:00,1988.5,549.0,1207.1,1519.9,895.7,1228.4,1347.6,1706.2,3439.5,3439.5,1650.2,1556.2,1314.2,3431.0,1007.3,1438.7,3437.0,3431.0,670.9,1731.1,913.5,559.4,1429.5,1920.3,3444.3,3449.1,886.5,1021.9,1452.5,1498.6,1201.8,933.0,-1.0,-13.0,-35.0,16187.0,2525.0,200.0,0.0,-1.0,2.0,1.0,-8.0,5.0,10.0,16329.0,-419.0,-1271.0,1.0,-4.0,9.0,0.0,1.0
2022-05-06 15:38:45.236848-07:00,1989.5,542.6,1207.1,1519.9,895.7,1228.4,1347.6,1706.2,3441.9,3438.2,1648.3,1556.2,1313.3,3431.0,1007.3,1438.7,3437.0,3431.0,670.9,1730.1,913.5,555.4,1434.1,1924.3,3444.3,3449.1,886.5,1019.4,1452.5,1494.9,1203.5,937.3,0.0,-13.0,-33.0,16187.0,2525.0,200.0,0.0,-1.0,0.0,0.0,-9.0,3.0,8.0,16329.0,-419.0,-1271.0,1.0,-1.0,5.0,2.0,1.0
2022-05-06 15:38:45.237458-07:00,1989.5,542.6,1207.1,1528.3,895.7,1223.0,1355.8,1702.4,3441.9,3438.2,1648.3,1552.5,1311.5,3438.2,1009.0,1451.6,3438.2,3433.4,669.3,1729.1,915.2,555.4,1434.1,1924.3,3440.7,3446.7,889.0,1021.9,1448.8,1494.9,1203.5,937.3,0.0,-12.0,-34.0,16187.0,2525.0,200.0,0.0,-2.0,-1.0,0.0,-2.0,6.0,6.0,16329.0,-419.0,-1271.0,1.0,4.0,-10.0,-1.0,1.0
2022-05-06 15:38:45.295713-07:00,1987.5,545.0,1211.5,1523.6,895.7,1223.0,1355.8,1702.4,3437.0,3440.7,1648.3,1556.2,1311.5,3438.2,1009.0,1451.6,3438.2,3433.4,669.3,1729.1,920.3,561.0,1437.8,1923.3,3440.7,3446.7,889.0,1021.9,1449.7,1493.0,1199.1,934.7,0.0,-13.0,-34.0,16187.0,2525.0,200.0,0.0,-2.0,0.0,1.0,-6.0,5.0,9.0,16329.0,-419.0,-1270.0,1.0,6.0,-9.0,1.0,1.0
2022-05-06 15:38:45.326073-07:00,1987.5,545.0,1211.5,1523.6,889.0,1234.6,1344.0,1701.4,3437.0,3440.7,1648.3,1556.2,1307.9,3438.2,1009.9,1438.7,3439.5,3439.5,673.3,1729.1,920.3,561.0,1437.8,1923.3,3433.4,3433.4,890.7,1013.3,1449.7,1493.0,1199.1,934.7,1.0,-16.0,-31.0,16187.0,2525.0,200.0,0.0,3.0,-5.0,1.0,-8.0,0.0,3.0,16329.0,-420.0,-1269.0,1.0,1.0,0.0,2.0,1.0
2022-05-06 15:38:45.385644-07:00,1983.6,540.2,1205.3,1523.6,889.0,1234.6,1344.0,1701.4,3440.7,3435.8,1648.3,1550.6,1307.9,3438.2,1009.9,1438.7,3439.5,3439.5,673.3,1729.1,920.3,557.0,1440.5,1927.2,3433.4,3433.4,890.7,1013.3,1446.0,1494.9,1195.6,931.3,1.0,-11.0,-37.0,16187.0,2525.0,200.0,0.0,-3.0,-1.0,0.0,-11.0,5.0,5.0,16329.0,-420.0,-1269.0,1.0,-12.0,11.0,-2.0,1.0
2022-05-06 15:38:45.415595-07:00,1983.6,540.2,1205.3,1523.6,888.2,1223.9,1347.6,1709.1,3440.7,3435.8,1648.3,1550.6,1311.5,3444.3,1012.5,1443.3,3447.9,3439.5,673.3,1732.0,920.3,557.0,1440.5,1927.2,3440.7,3449.1,883.9,1016.8,1446.0,1494.9,1195.6,931.3,2.0,-14.0,-33.0,16187.0,2525.0,200.0,0.0,1.0,2.0,0.0,-6.0,5.0,3.0,16329.0,-420.0,-1269.0,1.0,-3.0,-3.0,-1.0,1.0
2022-05-06 15:38:45.565598-07:00,1989.5,542.6,1210.6,1531.0,888.2,1223.9,1347.6,1714.8,3441.9,3443.1,1651.1,1551.5,1311.5,3444.3,1012.5,1440.5,3440.7,3439.5,673.3,1732.0,916.0,555.4,1433.2,1922.3,3435.8,3449.1,883.9,1016.8,1449.7,1496.7,1201.8,938.1,0.0,-13.0,-37.0,16187.0,2525.0,200.0,0.0,-1.0,2.0,-1.0,-8.0,3.0,9.0,16329.0,-420.0,-1270.0,1.0,4.0,-10.0,-2.0,1.0
2022-05-06 15:38:45.566509-07:00,1990.5,542.6,1210.6,1531.0,895.7,1226.6,1356.7,1714.8,3439.5,3443.1,1651.1,1551.5,1309.7,3435.8,1011.6,1440.5,3440.7,3440.7,673.3,1725.3,916.0,555.4,1433.2,1923.3,3435.8,3440.7,886.5,1015.9,1449.7,1496.7,1201.8,932.2,1.0,-16.0,-30.0,16187.0,2525.0,200.0,0.0,4.0,0.0,0.0,-1.0,4.0,7.0,16329.0,-420.0,-1271.0,1.0,13.0,-20.0,0.0,1.0
2022-05-06 15:38:45.567456-07:00,1990.5,543.4,1208.0,1524.5,895.7,1226.6,1356.7,1705.3,3439.5,3433.4,1651.1,1553.4,1309.7,3435.8,1011.6,1440.5,3428.6,3440.7,673.3,1725.3,922.8,557.8,1431.4,1923.3,3444.3,3440.7,886.5,1015.9,1448.8,1490.3,1200.0,932.2,0.0,-14.0,-29.0,16187.0,2525.0,200.0,0.0,0.0,-3.0,0.0,-7.0,3.0,5.0,16329.0,-420.0,-1270.0,1.0,2.0,-5.0,0.0,1.0
2022-05-06 15:38:45.715662-07:00,1985.6,543.4,1208.0,1524.5,903.4,1235.5,1354.0,1705.3,3439.5,3433.4,1651.1,1553.4,1313.3,3439.5,1013.3,1440.5,3428.6,3445.5,672.5,1727.2,922.8,557.8,1431.4,1927.2,3444.3,3439.5,888.2,995.3,1448.8,1490.3,1200.0,932.2,0.0,-14.0,-36.0,16187.0,2525.0,200.0,0.0,1.0,2.0,0.0,-2.0,1.0,5.0,16329.0,-420.0,-1269.0,1.0,-4.0,-8.0,2.0,1.0
2022-05-06 15:38:45.716717-07:00,1985.6,537.0,1208.0,1533.8,903.4,1235.5,1354.0,1711.9,3439.5,3449.1,1651.1,1550.6,1313.3,3439.5,1013.3,1446.0,3441.9,3445.5,672.5,1727.2,916.9,559.4,1433.2,1927.2,3447.9,3439.5,888.2,995.3,1452.5,1494.0,1203.5,932.2,-1.0,-9.0,-36.0,16187.0,2525.0,200.0,0.0,-5.0,0.0,-1.0,-9.0,5.0,5.0,16329.0,-420.0,-1269.0,1.0,-7.0,1.0,2.0,1.0
2022-05-06 15:38:45.745513-07:00,1986.6,537.0,1208.0,1533.8,888.2,1227.5,1352.1,1711.9,3440.7,3449.1,1651.1,1550.6,1310.6,3444.3,1015.1,1446.0,3441.9,3432.2,672.5,1734.9,916.9,559.4,1433.2,1926.2,3447.9,3449.1,891.5,1017.6,1452.5,1494.0,1203.5,933.9,-1.0,-13.0,-37.0,16187.0,2525.0,200.0,0.0,-2.0,4.0,1.0,-9.0,9.0,3.0,16329.0,-420.0,-1269.0,1.0,-2.0,5.0,-1.0,1.0
2022-05-06 15:38:45.805406-07:00,1986.6,544.2,1206.2,1528.3,888.2,1227.5,1350.3,1706.2,3440.7,3434.6,1653.0,1556.2,1310.6,3444.3,1015.1,1440.5,3439.5,3435.8,672.5,1734.9,917.7,556.2,1434.1,1926.2,3441.9,3438.2,891.5,1017.6,1431.4,1493.0,1205.3,933.9,0.0,-12.0,-30.0,16187.0,2525.0,200.0,0.0,1.0,1.0,0.0,-8.0,2.0,3.0,16329.0,-420.0,-1269.0,1.0,-3.0,1.0,2.0,1.0
