Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:38:45.100628-07:00,1145.4,670.1,1005.6,923.7,873.8,857.0,1596.4,1307.0,3474.6,3475.9,1094.7,889.0,1478.3,3469.8,1300.7,1338.6,3480.7,3473.4,474.3,790.2,994.5,1449.7,502.0,1855.7,3481.9,3469.8,606.8,802.7,1626.5,983.3,894.1,1037.5,5.0,3.0,-21.0,16277.0,-1773.0,577.0,32.0,4.0,-2.0,1.0,-4.0,0.0,19.0,15723.0,-3883.0,-1205.0,2169.0,-3.0,3.0,1.0,1.0
2022-05-06 15:38:45.220693-07:00,1145.4,670.1,1005.6,923.7,878.9,859.5,1603.0,1308.8,3474.6,3475.9,1094.7,889.0,1473.6,3473.4,1301.6,1335.0,3484.4,3468.6,470.3,791.0,994.5,1449.7,502.0,1855.7,3480.7,3483.2,607.6,801.0,1626.5,983.3,894.1,1037.5,8.0,2.0,-22.0,16277.0,-1773.0,577.0,32.0,2.0,1.0,1.0,-5.0,0.0,21.0,15723.0,-3883.0,-1205.0,2169.0,-1.0,-1.0,1.0,1.0
2022-05-06 15:38:45.280601-07:00,1148.0,677.4,1002.2,917.7,878.9,859.5,1603.0,1307.9,3479.5,3472.2,1095.6,888.2,1473.6,3473.4,1301.6,1335.9,3477.1,3468.6,470.3,791.0,993.6,1450.6,505.1,1860.6,3480.7,3483.2,607.6,801.0,1622.8,983.3,893.2,1034.9,5.0,1.0,-19.0,16277.0,-1773.0,577.0,32.0,1.0,3.0,0.0,-6.0,1.0,22.0,15723.0,-3883.0,-1205.0,2169.0,-1.0,-3.0,-2.0,1.0
2022-05-06 15:38:45.281551-07:00,1150.6,677.4,1002.2,917.7,878.9,854.5,1599.3,1307.9,3471.0,3472.2,1095.6,888.2,1478.3,3485.6,1305.2,1335.9,3477.1,3471.0,470.3,789.4,993.6,1450.6,505.1,1860.6,3480.7,3479.5,609.2,805.2,1622.8,983.3,893.2,1036.6,5.0,2.0,-20.0,16277.0,-1773.0,577.0,32.0,-1.0,0.0,1.0,-7.0,-1.0,23.0,15723.0,-3883.0,-1205.0,2169.0,0.0,-1.0,-3.0,1.0
2022-05-06 15:38:45.282542-07:00,1150.6,670.9,1003.9,922.8,878.9,854.5,1599.3,1310.6,3471.0,3474.6,1093.8,889.8,1478.3,3485.6,1305.2,1336.8,3473.4,3471.0,470.3,789.4,991.9,1447.9,504.4,1860.6,3484.4,3479.5,609.2,805.2,1619.0,983.3,893.2,1036.6,6.0,1.0,-19.0,16277.0,-1773.0,577.0,32.0,-1.0,3.0,0.0,-7.0,0.0,21.0,15723.0,-3883.0,-1205.0,2169.0,4.0,1.0,-2.0,1.0
2022-05-06 15:38:45.340630-07:00,1148.9,670.9,1003.9,922.8,889.0,851.1,1600.2,1310.6,3483.2,3474.6,1093.8,889.8,1478.3,3469.8,1302.5,1336.8,3473.4,3471.0,470.3,792.7,991.9,1447.9,504.4,1858.6,3484.4,3478.3,609.2,801.9,1619.0,983.3,893.2,1034.0,4.0,1.0,-19.0,16277.0,-1773.0,577.0,32.0,1.0,1.0,0.0,-3.0,1.0,19.0,15723.0,-3883.0,-1205.0,2169.0,4.0,7.0,4.0,1.0
2022-05-06 15:38:45.370548-07:00,1148.9,675.0,1012.5,920.3,889.0,851.1,1600.2,1307.9,3483.2,3472.2,1088.6,884.8,1478.3,3469.8,1302.5,1333.2,3483.2,3471.0,470.3,792.7,996.2,1450.6,505.9,1858.6,3488.0,3478.3,609.2,801.9,1623.7,988.5,891.5,1034.0,5.0,1.0,-22.0,16277.0,-1773.0,577.0,32.0,-6.0,2.0,-2.0,-4.0,3.0,18.0,15723.0,-3883.0,-1205.0,2169.0,1.0,-2.0,-1.0,1.0
2022-05-06 15:38:45.460675-07:00,1142.7,673.3,1012.5,920.3,878.0,850.3,1603.0,1307.9,3469.8,3475.9,1088.6,884.8,1478.3,3467.4,1308.8,1333.2,3483.2,3481.9,467.9,786.9,996.2,1450.6,503.6,1856.7,3488.0,3478.3,609.2,798.5,1623.7,988.5,905.9,1037.5,6.0,0.0,-21.0,16277.0,-1773.0,577.0,32.0,-5.0,2.0,-1.0,-6.0,1.0,24.0,15723.0,-3883.0,-1205.0,2169.0,-6.0,0.0,0.0,1.0
2022-05-06 15:38:45.550552-07:00,1142.7,673.3,1008.2,922.8,878.0,850.3,1601.1,1304.3,3469.8,3475.9,1095.6,889.0,1478.3,3467.4,1306.1,1324.1,3467.4,3483.2,467.9,786.9,994.5,1456.2,503.6,1856.7,3480.7,3479.5,609.2,798.5,1624.7,987.6,905.9,1037.5,8.0,2.0,-18.0,16277.0,-1773.0,577.0,32.0,-6.0,-1.0,1.0,-6.0,0.0,20.0,15723.0,-3883.0,-1205.0,2169.0,-2.0,-2.0,-1.0,1.0
2022-05-06 15:38:45.551499-07:00,1154.2,670.1,1008.2,922.8,871.3,852.0,1601.1,1304.3,3468.6,3466.1,1095.6,889.0,1476.4,3471.0,1306.1,1324.1,3467.4,3483.2,474.3,793.5,994.5,1456.2,505.1,1857.6,3480.7,3479.5,610.0,801.9,1624.7,987.6,895.7,1037.5,6.0,5.0,-20.0,16277.0,-1773.0,577.0,32.0,-2.0,0.0,0.0,-6.0,0.0,20.0,15723.0,-3883.0,-1205.0,2169.0,0.0,-4.0,0.0,1.0
2022-05-06 15:38:45.610753-07:00,1154.2,670.1,1000.5,919.4,871.3,852.0,1604.0,1315.1,3468.6,3466.1,1096.4,886.5,1476.4,3471.0,1303.4,1332.3,3477.1,3478.3,474.3,793.5,990.2,1452.5,505.1,1857.6,3478.3,3481.9,610.0,801.9,1631.3,980.7,895.7,1037.5,6.0,2.0,-24.0,16277.0,-1773.0,577.0,32.0,1.0,0.0,-3.0,-5.0,0.0,21.0,15723.0,-3883.0,-1205.0,2169.0,3.0,-2.0,0.0,1.0
2022-05-06 15:38:45.640720-07:00,1150.6,670.1,1000.5,919.4,870.5,855.3,1604.0,1315.1,3471.0,3479.5,1096.4,886.5,1476.4,3471.0,1303.4,1332.3,3477.1,3478.3,467.9,791.0,990.2,1452.5,508.3,1852.8,3478.3,3481.9,610.0,808.5,1631.3,980.7,891.5,1044.4,6.0,1.0,-20.0,16277.0,-1773.0,577.0,32.0,-2.0,-1.0,1.0,-5.0,3.0,22.0,15723.0,-3883.0,-1205.0,2169.0,0.0,0.0,1.0,1.0
2022-05-06 15:38:45.670454-07:00,1150.6,670.1,1005.6,921.1,870.5,855.3,1604.9,1307.0,3471.0,3479.5,1092.1,889.8,1476.4,3483.2,1310.6,1332.3,3475.9,3479.5,468.7,791.0,990.2,1445.1,508.3,1852.8,3475.9,3478.3,608.4,808.5,1631.3,985.0,891.5,1044.4,9.0,2.0,-19.0,16277.0,-1773.0,577.0,32.0,-1.0,0.0,0.0,-5.0,2.0,18.0,15723.0,-3883.0,-1205.0,2169.0,3.0,4.0,1.0,1.0
