Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:03:37.733881-07:00,2130.1,640.8,1466.3,1704.3,1155.0,1282.8,1245.3,1429.5,3441.9,3437.0,1811.0,1673.8,1578.6,3435.8,1157.7,1671.0,3433.4,3444.3,730.7,1422.2,1084.2,598.7,1404.9,1911.5,3438.2,3446.7,765.3,1088.6,1502.3,1724.4,1470.9,1131.4,-2.0,-30.0,15.0,9378.0,13015.0,-2256.0,-2449.0,11.0,-8.0,0.0,-4.0,-33.0,-9.0,11950.0,11195.0,400.0,380.0,-1.0,1.0,0.0,1.0
2022-05-06 11:03:37.943845-07:00,2130.1,640.8,1466.3,1711.9,1155.0,1291.8,1223.9,1434.1,3441.9,3437.0,1811.0,1676.7,1578.6,3445.5,1151.5,1667.2,3444.3,3440.7,732.3,1422.2,1081.6,598.7,1404.9,1911.5,3445.5,3449.1,760.4,1088.6,1502.3,1724.4,1470.9,1131.4,-2.0,-27.0,26.0,9378.0,13015.0,-2256.0,-2449.0,-7.0,4.0,-2.0,-2.0,-37.0,-2.0,11950.0,11195.0,400.0,380.0,-7.0,0.0,-2.0,1.0
2022-05-06 11:03:37.945002-07:00,2129.0,640.0,1475.5,1711.9,1158.6,1291.8,1223.9,1434.1,3443.1,3440.7,1790.7,1676.7,1566.5,3445.5,1151.5,1667.2,3444.3,3440.7,732.3,1423.1,1081.6,604.4,1398.5,1920.3,3445.5,3449.1,760.4,1086.8,1502.3,1728.2,1474.6,1132.2,-3.0,-35.0,23.0,9376.0,13017.0,-2257.0,-2449.0,16.0,-4.0,-5.0,-6.0,-38.0,-3.0,11950.0,11195.0,400.0,380.0,8.0,4.0,-3.0,1.0
2022-05-06 11:03:37.974848-07:00,2129.0,640.0,1475.5,1694.8,1158.6,1288.2,1244.4,1436.9,3443.1,3440.7,1790.7,1675.7,1566.5,3441.9,1152.4,1671.9,3439.5,3434.6,731.5,1423.1,1079.9,604.4,1398.5,1920.3,3450.4,3449.1,757.9,1086.8,1511.5,1728.2,1474.6,1132.2,-4.0,-32.0,24.0,9374.0,13018.0,-2256.0,-2448.0,-9.0,13.0,-5.0,-2.0,-39.0,-3.0,11950.0,11195.0,400.0,380.0,2.0,4.0,1.0,1.0
2022-05-06 11:03:37.975556-07:00,2143.3,636.7,1470.0,1706.2,1164.7,1288.2,1244.4,1436.9,3441.9,3440.7,1783.9,1689.1,1574.9,3441.9,1152.4,1671.9,3439.5,3434.6,731.5,1418.6,1074.7,597.9,1393.9,1917.4,3450.4,3449.1,757.9,1094.7,1505.1,1726.3,1465.4,1130.5,-5.0,-30.0,18.0,9374.0,13019.0,-2256.0,-2447.0,8.0,-1.0,1.0,-2.0,-33.0,-6.0,11950.0,11195.0,400.0,380.0,4.0,6.0,-1.0,1.0
2022-05-06 11:03:37.976605-07:00,2143.3,636.7,1470.0,1706.2,1149.8,1284.6,1232.8,1448.8,3441.9,3440.7,1783.9,1689.1,1570.2,3451.6,1155.0,1666.3,3439.5,3437.0,727.4,1428.6,1074.7,597.9,1393.9,1917.4,3451.6,3441.9,760.4,1095.6,1505.1,1726.3,1465.4,1130.5,0.0,-33.0,19.0,9374.0,13018.0,-2257.0,-2450.0,-4.0,-5.0,-10.0,0.0,-43.0,-6.0,11950.0,11195.0,400.0,380.0,-6.0,-3.0,-8.0,1.0
2022-05-06 11:03:38.033771-07:00,2139.2,635.1,1478.3,1711.0,1149.8,1284.6,1232.8,1448.8,3445.5,3454.0,1786.8,1677.6,1570.2,3451.6,1155.0,1666.3,3439.5,3437.0,727.4,1428.6,1087.7,598.7,1393.0,1920.3,3451.6,3441.9,760.4,1095.6,1505.1,1718.6,1458.9,1134.9,-2.0,-31.0,29.0,9374.0,13018.0,-2257.0,-2450.0,5.0,11.0,3.0,-4.0,-39.0,-5.0,11950.0,11195.0,400.0,380.0,3.0,8.0,6.0,1.0
2022-05-06 11:03:38.123834-07:00,2139.2,635.1,1478.3,1711.0,1166.5,1290.0,1249.7,1431.4,3445.5,3454.0,1786.8,1677.6,1571.1,3446.7,1153.3,1670.1,3445.5,3441.9,729.0,1426.8,1087.7,598.7,1393.0,1920.3,3450.4,3454.0,767.0,1095.6,1505.1,1718.6,1458.9,1134.9,-3.0,-27.0,9.0,9374.0,13020.0,-2254.0,-2444.0,11.0,8.0,7.0,-6.0,-36.0,-7.0,11950.0,11195.0,400.0,380.0,14.0,6.0,5.0,1.0
2022-05-06 11:03:38.124830-07:00,2123.0,643.2,1469.0,1704.3,1166.5,1290.0,1249.7,1431.4,3441.9,3447.9,1791.6,1684.3,1571.1,3446.7,1153.3,1670.1,3445.5,3441.9,729.0,1426.8,1085.1,602.0,1394.8,1914.4,3450.4,3454.0,767.0,1095.6,1506.9,1727.2,1456.2,1118.2,-2.0,-34.0,23.0,9372.0,13020.0,-2254.0,-2449.0,-5.0,-10.0,-15.0,-5.0,-40.0,-6.0,11948.0,11197.0,400.0,380.0,-8.0,1.0,-5.0,1.0
2022-05-06 11:03:38.183833-07:00,2123.0,643.2,1469.0,1704.3,1161.2,1280.1,1237.3,1431.4,3441.9,3447.9,1791.6,1684.3,1574.9,3449.1,1154.2,1668.2,3444.3,3437.0,729.0,1423.1,1085.1,602.0,1394.8,1914.4,3441.9,3441.9,772.0,1086.8,1506.9,1727.2,1456.2,1118.2,-2.0,-27.0,18.0,9372.0,13020.0,-2255.0,-2449.0,11.0,10.0,9.0,-2.0,-35.0,-7.0,11948.0,11197.0,400.0,380.0,3.0,4.0,3.0,1.0
2022-05-06 11:03:38.213857-07:00,2140.2,642.4,1468.1,1698.6,1161.2,1280.1,1237.3,1440.5,3443.1,3440.7,1789.7,1679.5,1574.9,3449.1,1154.2,1664.4,3441.9,3437.0,729.0,1423.1,1085.1,599.6,1389.4,1912.4,3441.9,3441.9,772.0,1086.8,1503.2,1717.7,1462.6,1125.2,-3.0,-29.0,17.0,9371.0,13021.0,-2254.0,-2449.0,8.0,-2.0,-18.0,-4.0,-32.0,-9.0,11948.0,11197.0,400.0,380.0,5.0,1.0,-9.0,1.0
2022-05-06 11:03:38.274507-07:00,2150.4,642.4,1468.1,1698.6,1155.9,1281.0,1235.5,1440.5,3450.4,3440.7,1789.7,1679.5,1567.4,3444.3,1154.2,1664.4,3441.9,3441.9,729.9,1417.6,1085.1,599.6,1389.4,1920.3,3441.9,3443.1,757.9,1092.1,1503.2,1717.7,1462.6,1131.4,-5.0,-35.0,21.0,9370.0,13021.0,-2253.0,-2451.0,4.0,11.0,15.0,-5.0,-38.0,-5.0,11948.0,11197.0,400.0,380.0,-1.0,-1.0,7.0,1.0
2022-05-06 11:03:38.333806-07:00,2150.4,629.5,1458.9,1713.8,1155.9,1281.0,1235.5,1441.5,3450.4,3439.5,1791.6,1675.7,1567.4,3444.3,1154.2,1671.9,3434.6,3441.9,729.9,1417.6,1086.8,602.0,1394.8,1920.3,3441.9,3443.1,757.9,1092.1,1494.9,1725.3,1468.1,1131.4,-2.0,-29.0,16.0,9371.0,13021.0,-2253.0,-2449.0,10.0,3.0,-7.0,-2.0,-31.0,-8.0,11948.0,11197.0,400.0,380.0,-1.0,0.0,-1.0,1.0
2022-05-06 11:03:38.363449-07:00,2135.1,629.5,1458.9,1713.8,1165.6,1278.3,1236.4,1441.5,3443.1,3439.5,1791.6,1675.7,1578.6,3443.1,1145.4,1671.9,3434.6,3437.0,724.9,1422.2,1086.8,602.0,1394.8,1923.3,3441.9,3440.7,759.6,1092.9,1494.9,1725.3,1468.1,1127.9,-4.0,-36.0,21.0,9370.0,13022.0,-2253.0,-2449.0,-7.0,-7.0,4.0,-6.0,-39.0,-5.0,11948.0,11197.0,400.0,380.0,-4.0,-5.0,-1.0,1.0
2022-05-06 11:03:38.424512-07:00,2135.1,629.5,1471.8,1709.1,1165.6,1278.3,1236.4,1429.5,3443.1,3449.1,1785.8,1675.7,1578.6,3443.1,1145.4,1669.1,3445.5,3437.0,724.9,1422.2,1082.5,603.6,1396.7,1923.3,3449.1,3440.7,759.6,1092.9,1507.8,1729.1,1460.8,1127.9,0.0,-23.0,24.0,9369.0,13022.0,-2255.0,-2451.0,8.0,-5.0,-3.0,0.0,-28.0,-8.0,11948.0,11197.0,400.0,380.0,-3.0,-5.0,4.0,1.0
2022-05-06 11:03:38.514553-07:00,2147.3,633.5,1471.8,1709.1,1169.1,1284.6,1233.7,1429.5,3440.7,3445.5,1785.8,1675.7,1576.8,3449.1,1151.5,1669.1,3445.5,3438.2,727.4,1418.6,1082.5,603.6,1399.4,1919.3,3449.1,3443.1,761.2,1114.7,1507.8,1729.1,1469.0,1131.4,-4.0,-26.0,15.0,9369.0,13022.0,-2254.0,-2450.0,8.0,0.0,1.0,-4.0,-36.0,-12.0,11947.0,11199.0,400.0,380.0,-2.0,-1.0,-2.0,1.0
2022-05-06 11:03:38.515385-07:00,2147.3,633.5,1472.7,1707.2,1169.1,1284.6,1246.2,1442.4,3440.7,3445.5,1789.7,1671.9,1576.8,3449.1,1149.8,1668.2,3449.1,3441.9,727.4,1418.6,1077.3,602.0,1399.4,1919.3,3440.7,3438.2,761.2,1114.7,1504.1,1728.2,1469.0,1131.4,-4.0,-34.0,22.0,9368.0,13022.0,-2256.0,-2453.0,-1.0,-9.0,5.0,-5.0,-34.0,-6.0,11948.0,11197.0,400.0,380.0,-15.0,-4.0,-1.0,1.0
2022-05-06 11:03:38.573956-07:00,2137.2,640.8,1472.7,1707.2,1161.2,1281.9,1246.2,1442.4,3437.0,3438.2,1789.7,1671.9,1570.2,3451.6,1149.8,1668.2,3449.1,3441.9,729.9,1423.1,1077.3,602.0,1396.7,1921.3,3440.7,3438.2,765.3,1096.4,1504.1,1728.2,1471.8,1143.6,-3.0,-22.0,18.0,9369.0,13021.0,-2258.0,-2451.0,12.0,0.0,-1.0,0.0,-34.0,-7.0,11949.0,11196.0,400.0,380.0,3.0,2.0,-1.0,1.0
