Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:05:44.713266-07:00,2042.4,593.1,1372.1,1626.5,1079.0,1240.8,1322.3,1606.8,3441.9,3443.1,1794.5,1695.7,1515.3,3440.7,1131.4,1623.7,3438.2,3437.0,714.2,1371.2,1072.9,591.5,1390.3,1879.1,3433.4,3441.9,752.1,1046.1,1437.8,1688.1,1396.7,1023.7,-2.0,-34.0,9.0,9981.0,12374.0,-2548.0,-3035.0,-5.0,-24.0,18.0,8.0,-33.0,-11.0,12338.0,10756.0,691.0,150.0,-1.0,-4.0,-1.0,1.0
2022-05-06 11:05:44.714987-07:00,2030.4,593.1,1372.1,1626.5,1089.5,1223.9,1319.6,1606.8,3444.3,3443.1,1794.5,1695.7,1514.3,3444.3,1133.1,1623.7,3438.2,3428.6,714.2,1370.3,1072.9,591.5,1390.3,1886.0,3433.4,3439.5,748.8,1055.6,1437.8,1688.1,1396.7,1019.4,2.0,-42.0,17.0,9981.0,12369.0,-2563.0,-3041.0,1.0,-33.0,29.0,8.0,-32.0,-12.0,12338.0,10756.0,691.0,150.0,-2.0,4.0,1.0,1.0
2022-05-06 11:05:44.743219-07:00,2030.4,599.6,1377.5,1624.7,1089.5,1223.9,1313.3,1608.7,3444.3,3440.7,1797.4,1703.3,1514.3,3444.3,1132.2,1623.7,3440.7,3443.1,714.2,1370.3,1067.7,595.5,1382.1,1886.0,3450.4,3446.7,748.8,1055.6,1435.0,1689.1,1407.6,1019.4,0.0,-24.0,10.0,9975.0,12369.0,-2583.0,-3046.0,10.0,-46.0,10.0,9.0,-37.0,-11.0,12338.0,10756.0,691.0,150.0,-7.0,6.0,4.0,1.0
2022-05-06 11:05:44.833270-07:00,2043.4,606.8,1377.5,1624.7,1088.6,1227.5,1313.3,1608.7,3440.7,3437.0,1797.4,1703.3,1512.5,3449.1,1132.2,1623.7,3440.7,3443.1,716.7,1363.9,1067.7,595.5,1384.8,1885.0,3450.4,3446.7,747.2,1084.2,1435.0,1689.1,1399.4,1025.4,3.0,-15.0,4.0,9976.0,12360.0,-2602.0,-3062.0,-94.0,-56.0,26.0,14.0,-16.0,-12.0,12350.0,10743.0,689.0,151.0,-85.0,-13.0,13.0,1.0
2022-05-06 11:05:44.834495-07:00,2043.4,606.8,1376.6,1630.3,1088.6,1227.5,1317.8,1604.0,3440.7,3437.0,1785.8,1688.1,1512.5,3449.1,1134.9,1623.7,3433.4,3440.7,716.7,1363.9,1077.3,597.1,1384.8,1885.0,3441.9,3447.9,747.2,1084.2,1439.6,1689.1,1399.4,1025.4,-1.0,-27.0,21.0,9994.0,12336.0,-2627.0,-3078.0,0.0,-78.0,33.0,6.0,-34.0,-11.0,12365.0,10726.0,684.0,148.0,-23.0,-20.0,-2.0,1.0
2022-05-06 11:05:44.924002-07:00,2040.4,601.2,1376.6,1630.3,1094.7,1233.7,1317.8,1604.0,3439.5,3446.7,1785.8,1688.1,1509.7,3446.7,1134.9,1623.7,3433.4,3440.7,715.9,1368.5,1077.3,597.1,1383.0,1879.1,3441.9,3447.9,746.3,2531.5,1439.6,1689.1,1402.1,1015.9,-2.0,-41.0,13.0,9994.0,12328.0,-2650.0,-3092.0,-1.0,-33.0,13.0,16.0,-41.0,-2.0,12369.0,10721.0,683.0,147.0,-18.0,13.0,5.0,1.0
2022-05-06 11:05:44.953175-07:00,2040.4,601.2,1374.8,1632.2,1094.7,1233.7,1307.9,1591.7,3439.5,3446.7,1796.5,1686.2,1509.7,3446.7,1125.2,1619.9,3439.5,3444.3,715.9,1368.5,1072.9,593.9,1383.0,1879.1,3433.4,3441.9,746.3,2531.5,1441.5,1689.1,1402.1,1015.9,-7.0,-36.0,11.0,9987.0,12329.0,-2661.0,-3101.0,16.0,-21.0,10.0,9.0,-30.0,-15.0,12367.0,10724.0,683.0,147.0,4.0,0.0,-5.0,1.0
2022-05-06 11:05:45.013122-07:00,2039.4,597.1,1373.9,1632.2,1087.7,1235.5,1307.9,1591.7,3445.5,3438.2,1795.5,1686.2,1519.0,3449.1,1125.2,1619.9,3439.5,3444.3,711.8,1372.1,1072.9,595.5,1388.5,1880.1,3433.4,3441.9,750.5,1053.9,1441.5,1694.8,1396.7,1028.8,0.0,-35.0,15.0,9992.0,12323.0,-2669.0,-3101.0,16.0,-29.0,26.0,7.0,-34.0,-12.0,12369.0,10721.0,683.0,147.0,-1.0,-2.0,8.0,1.0
2022-05-06 11:05:45.042593-07:00,2039.4,597.1,1373.9,1623.7,1087.7,1230.2,1302.5,1595.5,3445.5,3438.2,1795.5,1684.3,1519.0,3446.7,1129.6,1620.9,3435.8,3435.8,715.9,1372.1,1071.2,595.5,1388.5,1880.1,3454.0,3455.2,747.2,1053.9,1433.2,1694.8,1396.7,1028.8,-5.0,-26.0,16.0,9991.0,12322.0,-2676.0,-3103.0,-31.0,8.0,-3.0,10.0,-28.0,-7.0,12371.0,10719.0,682.0,147.0,-18.0,-8.0,-11.0,1.0
2022-05-06 11:05:45.223026-07:00,2040.4,597.9,1375.7,1623.7,1086.0,1230.2,1302.5,1595.5,3443.1,3437.0,1798.4,1684.3,1512.5,3446.7,1129.6,1620.9,3435.8,3435.8,715.9,1365.7,1071.2,591.5,1391.2,1882.0,3454.0,3455.2,747.2,1050.4,1433.2,1687.2,1396.7,1024.5,0.0,-31.0,18.0,9996.0,12318.0,-2675.0,-3103.0,4.0,21.0,15.0,9.0,-32.0,-13.0,12368.0,10723.0,682.0,146.0,11.0,4.0,4.0,1.0
