Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:07:35.367559-07:00,2093.7,585.1,1377.5,1588.0,1056.5,1208.0,1336.8,1594.6,3440.7,3437.0,1856.7,1603.0,1470.9,3444.3,1109.5,1573.9,3437.0,3428.6,711.0,1370.3,1071.2,593.1,1372.1,1824.6,3434.6,3449.1,726.6,3467.4,1401.2,1632.2,1361.2,983.3,-10.0,-6.0,1.0,10671.0,11414.0,-3292.0,-3665.0,5.0,-4.0,-2.0,5.0,-12.0,-9.0,13107.0,9816.0,393.0,384.0,6.0,1.0,-5.0,1.0
2022-05-06 11:07:35.458245-07:00,2078.5,585.1,1364.8,1585.2,1042.6,1208.0,1336.8,1594.6,3433.4,3441.9,1850.8,1604.9,1474.6,3444.3,1109.5,1573.9,3437.0,3428.6,711.0,1367.6,1067.7,588.3,1372.1,1824.6,3434.6,3449.1,726.6,3447.9,1400.3,1631.3,1350.3,979.9,-6.0,-13.0,8.0,10671.0,11414.0,-3292.0,-3666.0,-10.0,-7.0,-8.0,5.0,-17.0,-7.0,13107.0,9816.0,393.0,384.0,-11.0,2.0,-3.0,1.0
2022-05-06 11:07:35.459156-07:00,2078.5,585.1,1364.8,1585.2,1057.3,1201.8,1342.2,1600.2,3433.4,3441.9,1850.8,1604.9,1474.6,3438.2,1115.6,1586.1,3444.3,3438.2,701.1,1371.2,1067.7,588.3,1372.1,1824.6,3454.0,3447.9,725.8,3457.6,1400.3,1631.3,1350.3,979.9,-7.0,-8.0,9.0,10671.0,11413.0,-3293.0,-3670.0,17.0,-11.0,-4.0,7.0,-18.0,-9.0,13107.0,9815.0,393.0,384.0,8.0,5.0,-4.0,1.0
2022-05-06 11:07:35.577574-07:00,2086.6,597.1,1368.5,1585.2,1057.3,1201.8,1342.2,1600.2,3438.2,3445.5,1861.5,1604.9,1474.6,3438.2,1115.6,1586.1,3444.3,3438.2,701.1,1371.2,1077.3,589.1,1365.7,1826.5,3454.0,3447.9,725.8,3457.6,1419.5,1628.4,1355.8,981.6,-5.0,-17.0,12.0,10672.0,11411.0,-3294.0,-3673.0,-12.0,1.0,-1.0,5.0,-19.0,-10.0,13107.0,9815.0,393.0,384.0,-10.0,5.0,-6.0,1.0
2022-05-06 11:07:35.728505-07:00,2086.6,597.1,1368.5,1585.2,1050.4,1201.8,1344.9,1588.9,3438.2,3445.5,1861.5,1604.9,1474.6,3440.7,1109.5,1575.8,3439.5,3440.7,704.4,1375.7,1077.3,589.1,1365.7,1826.5,3445.5,3449.1,738.9,3462.5,1419.5,1628.4,1355.8,981.6,0.0,-6.0,2.0,10670.0,11412.0,-3294.0,-3671.0,26.0,10.0,8.0,-1.0,-21.0,-6.0,13107.0,9815.0,393.0,384.0,19.0,8.0,-4.0,1.0
2022-05-06 11:07:35.729827-07:00,2084.6,593.9,1380.3,1590.8,1050.4,1201.8,1344.9,1588.9,3444.3,3437.0,1861.5,1607.7,1474.6,3440.7,1109.5,1575.8,3439.5,3440.7,704.4,1375.7,1072.1,587.5,1367.6,1828.4,3445.5,3449.1,738.9,3462.5,1407.6,1630.3,1348.5,978.2,-5.0,-24.0,8.0,10672.0,11411.0,-3293.0,-3675.0,-16.0,-2.0,-10.0,6.0,-23.0,-5.0,13106.0,9816.0,394.0,383.0,-5.0,-7.0,-5.0,1.0
2022-05-06 11:07:35.730452-07:00,2085.6,593.9,1380.3,1590.8,1050.4,1209.7,1331.4,1594.6,3449.1,3437.0,1861.5,1607.7,1462.6,3434.6,1110.4,1580.5,3446.7,3443.1,706.0,1362.1,1072.1,587.5,1367.6,1827.5,3443.1,3447.9,736.5,3463.7,1407.6,1630.3,1348.5,986.7,-7.0,-8.0,6.0,10670.0,11409.0,-3299.0,-3679.0,-3.0,-16.0,12.0,3.0,-15.0,-9.0,13106.0,9816.0,394.0,383.0,-7.0,-1.0,-9.0,1.0
2022-05-06 11:07:35.732441-07:00,2085.6,588.3,1369.4,1579.6,1050.4,1209.7,1331.4,1582.4,3449.1,3433.4,1852.8,1608.7,1462.6,3434.6,1110.4,1576.8,3440.7,3443.1,706.0,1362.1,1069.5,590.7,1371.2,1827.5,3441.9,3447.9,736.5,3463.7,1393.9,1629.4,1356.7,986.7,-7.0,-12.0,13.0,10668.0,11409.0,-3301.0,-3684.0,14.0,-10.0,-12.0,7.0,-19.0,-8.0,13106.0,9816.0,394.0,382.0,4.0,9.0,-7.0,1.0
2022-05-06 11:07:35.847567-07:00,2081.6,588.3,1369.4,1579.6,1049.6,1207.1,1338.6,1582.4,3440.7,3433.4,1852.8,1608.7,1475.5,3444.3,1112.1,1576.8,3440.7,3444.3,706.0,1372.1,1069.5,590.7,1371.2,1825.5,3441.9,3444.3,730.7,3466.1,1393.9,1629.4,1356.7,986.7,-8.0,-9.0,6.0,10668.0,11409.0,-3300.0,-3685.0,15.0,5.0,0.0,3.0,-19.0,-6.0,13103.0,9820.0,394.0,382.0,18.0,5.0,-4.0,1.0
2022-05-06 11:07:35.849069-07:00,2081.6,592.3,1370.3,1587.1,1049.6,1207.1,1338.6,1589.9,3440.7,3449.1,1846.9,1599.3,1475.5,3444.3,1112.1,1582.4,3438.2,3444.3,706.0,1372.1,1070.3,586.7,1373.9,1825.5,3438.2,3444.3,730.7,3466.1,1394.8,1629.4,1355.8,986.7,-10.0,-16.0,5.0,10666.0,11410.0,-3300.0,-3685.0,-12.0,4.0,-5.0,1.0,-20.0,-10.0,13101.0,9823.0,395.0,382.0,-4.0,2.0,-1.0,1.0
