Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:07:35.412659-07:00,1229.3,714.2,1051.3,1003.9,862.1,821.9,1537.6,1248.8,3473.4,3460.1,1079.0,873.8,1565.5,3462.5,1419.5,1330.5,3472.2,3462.5,259.9,657.9,945.8,1375.7,541.0,1573.9,3472.2,3467.4,646.5,770.3,1511.5,1070.3,978.2,803.5,12.0,5.0,4.0,11870.0,-10430.0,3285.0,-2821.0,1.0,-8.0,13.0,4.0,-8.0,6.0,8513.0,-13854.0,-1663.0,1124.0,1.0,-3.0,8.0,1.0
2022-05-06 11:07:35.442569-07:00,1229.3,714.2,1051.3,994.5,862.9,826.0,1533.8,1242.6,3473.4,3460.1,1079.0,872.1,1556.2,3462.5,1424.1,1325.9,3475.9,3468.6,269.1,666.8,947.5,1375.7,541.0,1573.9,3478.3,3461.3,640.8,768.7,1502.3,1070.3,978.2,803.5,13.0,8.0,3.0,11871.0,-10429.0,3288.0,-2818.0,-5.0,1.0,11.0,5.0,-8.0,6.0,8512.0,-13855.0,-1661.0,1125.0,-4.0,0.0,11.0,1.0
2022-05-06 11:07:35.502223-07:00,1219.5,717.5,1045.2,1004.8,862.9,826.0,1533.8,1242.6,3462.5,3473.4,1072.1,872.1,1556.2,3462.5,1424.1,1325.9,3475.9,3468.6,269.1,666.8,948.3,1369.4,544.2,1572.1,3478.3,3461.3,640.8,768.7,1503.2,1071.2,970.5,796.0,14.0,6.0,3.0,11870.0,-10430.0,3291.0,-2814.0,-4.0,3.0,9.0,4.0,-7.0,5.0,8510.0,-13856.0,-1658.0,1127.0,0.0,-2.0,7.0,1.0
2022-05-06 11:07:35.533288-07:00,1219.5,717.5,1045.2,1004.8,860.4,812.7,1566.5,1254.2,3462.5,3473.4,1072.1,872.1,1559.9,3460.1,1420.4,1333.2,3469.8,3472.2,259.9,663.6,948.3,1369.4,544.2,1572.1,3472.2,3471.0,639.2,767.8,1503.2,1071.2,970.5,796.0,8.0,8.0,0.0,11870.0,-10430.0,3291.0,-2814.0,-6.0,-3.0,4.0,4.0,-6.0,4.0,8510.0,-13857.0,-1655.0,1128.0,-3.0,-5.0,6.0,1.0
2022-05-06 11:07:35.593189-07:00,1227.5,711.0,1047.8,994.5,860.4,812.7,1566.5,1254.2,3466.1,3473.4,1075.6,868.8,1559.9,3460.1,1420.4,1333.2,3469.8,3472.2,259.9,663.6,946.6,1370.3,544.2,1578.6,3472.2,3471.0,639.2,767.8,1504.1,1067.7,971.3,796.9,12.0,8.0,5.0,11870.0,-10430.0,3293.0,-2812.0,4.0,0.0,13.0,7.0,-9.0,6.0,8510.0,-13857.0,-1654.0,1129.0,-6.0,4.0,10.0,1.0
2022-05-06 11:07:35.833081-07:00,1227.5,711.0,1047.8,994.5,857.0,824.4,1531.0,1257.8,3466.1,3473.4,1075.6,868.8,1553.4,3463.7,1415.8,1334.1,3475.9,3478.3,263.7,668.4,946.6,1370.3,544.2,1578.6,3475.9,3466.1,633.5,778.6,1504.1,1067.7,971.3,796.9,8.0,4.0,0.0,11869.0,-10430.0,3294.0,-2812.0,5.0,11.0,6.0,4.0,-8.0,6.0,8509.0,-13858.0,-1651.0,1131.0,0.0,2.0,9.0,1.0
2022-05-06 11:07:35.833874-07:00,1216.0,710.1,1055.6,993.6,857.0,824.4,1531.0,1243.5,3466.1,3475.9,1070.3,872.1,1553.4,3463.7,1415.8,1329.6,3473.4,3478.3,263.7,668.4,948.3,1366.6,538.6,1573.0,3479.5,3466.1,633.5,778.6,1508.8,1072.1,973.9,800.2,9.0,9.0,2.0,11869.0,-10430.0,3296.0,-2814.0,-1.0,-4.0,-3.0,4.0,-11.0,7.0,8509.0,-13857.0,-1650.0,1132.0,0.0,-2.0,0.0,1.0
2022-05-06 11:07:35.863090-07:00,1208.0,710.1,1055.6,993.6,871.3,825.2,1533.8,1243.5,3467.4,3475.9,1070.3,872.1,1553.4,3468.6,1421.3,1329.6,3473.4,3475.9,266.8,666.8,948.3,1366.6,538.6,1571.1,3479.5,3473.4,640.8,768.7,1508.8,1072.1,973.9,796.0,9.0,7.0,1.0,11871.0,-10428.0,3295.0,-2814.0,10.0,1.0,1.0,5.0,-7.0,2.0,8511.0,-13856.0,-1650.0,1132.0,12.0,-1.0,6.0,1.0
2022-05-06 11:07:35.864306-07:00,1208.0,705.2,1042.6,998.7,871.3,825.2,1533.8,1251.5,3467.4,3467.4,1078.2,870.5,1553.4,3468.6,1421.3,1324.1,3468.6,3475.9,266.8,666.8,948.3,1371.2,543.4,1571.1,3464.9,3473.4,640.8,768.7,1498.6,1077.3,975.6,796.0,11.0,7.0,0.0,11871.0,-10428.0,3296.0,-2814.0,-4.0,-1.0,6.0,3.0,-5.0,6.0,8509.0,-13857.0,-1649.0,1132.0,-5.0,-1.0,7.0,1.0
2022-05-06 11:07:35.892635-07:00,1214.2,705.2,1042.6,998.7,864.6,816.0,1551.5,1251.5,3455.2,3467.4,1078.2,870.5,1549.7,3463.7,1421.3,1324.1,3468.6,3473.4,262.2,658.7,948.3,1371.2,543.4,1576.8,3464.9,3468.6,636.7,775.3,1498.6,1077.3,975.6,801.0,10.0,5.0,1.0,11871.0,-10428.0,3296.0,-2814.0,-1.0,-3.0,-3.0,4.0,-8.0,4.0,8509.0,-13857.0,-1649.0,1132.0,-3.0,3.0,-3.0,1.0
2022-05-06 11:07:35.893491-07:00,1214.2,714.2,1048.7,1014.2,864.6,816.0,1551.5,1250.6,3455.2,3469.8,1079.9,868.8,1549.7,3463.7,1421.3,1324.1,3472.2,3473.4,262.2,658.7,942.4,1363.9,546.6,1576.8,3474.6,3468.6,636.7,775.3,1509.7,1072.1,973.1,801.0,12.0,8.0,0.0,11871.0,-10428.0,3296.0,-2814.0,7.0,3.0,7.0,5.0,-7.0,6.0,8509.0,-13857.0,-1649.0,1132.0,5.0,-3.0,6.0,1.0
2022-05-06 11:07:35.952450-07:00,1211.5,714.2,1048.7,1014.2,863.7,821.9,1535.7,1250.6,3460.1,3469.8,1079.9,868.8,1548.7,3462.5,1416.7,1324.1,3472.2,3466.1,257.6,661.9,942.4,1363.9,546.6,1573.0,3474.6,3475.9,631.9,764.5,1509.7,1072.1,973.1,794.4,14.0,11.0,3.0,11870.0,-10428.0,3296.0,-2814.0,-7.0,7.0,7.0,4.0,-5.0,8.0,8509.0,-13857.0,-1649.0,1132.0,0.0,0.0,0.0,1.0
2022-05-06 11:07:35.982445-07:00,1211.5,706.0,1047.8,1001.3,863.7,821.9,1532.0,1244.4,3460.1,3467.4,1082.5,874.7,1548.7,3462.5,1411.3,1335.9,3473.4,3488.0,257.6,661.9,945.8,1375.7,542.6,1573.0,3478.3,3478.3,631.9,764.5,1499.5,1074.7,975.6,794.4,10.0,0.0,2.0,11870.0,-10428.0,3296.0,-2814.0,-8.0,1.0,1.0,4.0,-8.0,4.0,8505.0,-13860.0,-1649.0,1131.0,-12.0,3.0,3.0,1.0
2022-05-06 11:07:36.042554-07:00,1214.2,722.5,1047.8,1001.3,871.3,821.0,1532.0,1244.4,3467.4,3467.4,1082.5,874.7,1561.8,3469.8,1411.3,1335.9,3473.4,3488.0,259.9,668.4,945.8,1375.7,541.0,1580.5,3478.3,3478.3,643.2,771.1,1499.5,1074.7,971.3,791.0,9.0,13.0,2.0,11872.0,-10427.0,3296.0,-2814.0,10.0,4.0,4.0,2.0,-5.0,8.0,8507.0,-13859.0,-1649.0,1131.0,9.0,-3.0,4.0,1.0
2022-05-06 11:07:36.072855-07:00,1214.2,722.5,1041.8,995.3,871.3,821.0,1537.6,1241.7,3467.4,3467.4,1078.2,875.5,1561.8,3469.8,1424.1,1323.2,3472.2,3464.9,259.9,668.4,951.7,1373.9,541.0,1580.5,3475.9,3471.0,643.2,771.1,1511.5,1079.0,971.3,791.0,10.0,-2.0,-1.0,11872.0,-10426.0,3295.0,-2814.0,-4.0,3.0,4.0,3.0,-10.0,3.0,8506.0,-13860.0,-1649.0,1131.0,-10.0,3.0,-5.0,1.0
2022-05-06 11:07:36.193059-07:00,1216.8,714.2,1041.8,995.3,865.4,820.2,1537.6,1241.7,3461.3,3473.4,1078.2,875.5,1550.6,3461.3,1424.1,1323.2,3472.2,3464.9,264.5,666.8,951.7,1373.9,538.6,1573.0,3475.9,3471.0,644.0,767.0,1511.5,1079.0,972.2,797.7,9.0,11.0,3.0,11872.0,-10426.0,3295.0,-2814.0,0.0,-5.0,-1.0,3.0,-5.0,8.0,8506.0,-13860.0,-1649.0,1131.0,5.0,-5.0,3.0,1.0
2022-05-06 11:07:36.342355-07:00,1216.8,714.2,1051.3,1002.2,865.4,820.2,1545.0,1242.6,3461.3,3473.4,1079.0,872.1,1550.6,3461.3,1418.6,1325.0,3457.6,3473.4,264.5,666.8,943.2,1371.2,538.6,1573.0,3468.6,3471.0,644.0,767.0,1505.1,1070.3,972.2,797.7,13.0,4.0,4.0,11872.0,-10426.0,3295.0,-2813.0,-7.0,6.0,10.0,4.0,-7.0,5.0,8506.0,-13860.0,-1649.0,1131.0,-2.0,-3.0,2.0,1.0
2022-05-06 11:07:36.344534-07:00,1222.2,707.7,1045.2,1002.2,857.0,823.5,1545.0,1242.6,3452.8,3471.0,1074.7,872.1,1549.7,3466.1,1418.6,1325.0,3457.6,3473.4,256.1,662.7,943.2,1372.1,542.6,1573.9,3468.6,3471.0,636.7,772.0,1505.1,1067.7,967.9,801.0,10.0,8.0,1.0,11870.0,-10427.0,3301.0,-2812.0,-1.0,7.0,6.0,4.0,-7.0,4.0,8502.0,-13862.0,-1649.0,1130.0,-8.0,-1.0,8.0,1.0
2022-05-06 11:07:36.373289-07:00,1222.2,707.7,1045.2,993.6,857.0,826.0,1551.5,1246.2,3452.8,3471.0,1074.7,867.1,1549.7,3471.0,1417.6,1325.9,3461.3,3472.2,261.4,662.7,949.2,1372.1,542.6,1573.9,3467.4,3468.6,643.2,772.0,1506.0,1067.7,967.9,801.0,7.0,4.0,-1.0,11870.0,-10427.0,3301.0,-2812.0,5.0,-7.0,5.0,2.0,-8.0,3.0,8503.0,-13861.0,-1649.0,1130.0,12.0,-7.0,-6.0,1.0
2022-05-06 11:07:36.374010-07:00,1220.4,709.3,1053.0,993.6,858.7,826.0,1551.5,1246.2,3462.5,3460.1,1080.8,867.1,1570.2,3471.0,1417.6,1325.9,3461.3,3472.2,261.4,662.7,949.2,1369.4,543.4,1573.0,3467.4,3468.6,643.2,762.9,1506.0,1065.1,974.8,794.4,12.0,6.0,5.0,11871.0,-10427.0,3300.0,-2812.0,6.0,-5.0,0.0,3.0,-10.0,6.0,8505.0,-13860.0,-1649.0,1131.0,-3.0,1.0,1.0,1.0
