Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:14:27.691828-07:00,1286.4,735.6,1028.8,997.0,869.6,791.0,1644.5,1619.9,3474.6,3478.3,1018.5,838.6,1489.3,3467.4,1352.1,1255.1,3479.5,3471.0,315.9,640.8,1022.8,1383.9,576.2,1767.5,3478.3,3475.9,627.8,780.3,1644.5,1056.5,956.0,867.9,2.0,-9.0,-3.0,13999.0,-1576.0,1447.0,-8239.0,11.0,5.0,15.0,-4.0,-4.0,3.0,14626.0,-6663.0,-2510.0,1958.0,5.0,-2.0,3.0,1.0
2022-05-06 11:14:27.751445-07:00,1287.3,735.6,1028.8,997.0,867.1,797.7,1655.8,1621.8,3477.1,3478.3,1018.5,838.6,1491.2,3474.6,1357.6,1248.0,3468.6,3474.6,315.9,635.9,1022.8,1383.9,576.2,1759.8,3478.3,3485.6,644.0,774.5,1644.5,1056.5,956.0,868.8,1.0,-5.0,-11.0,14003.0,-1577.0,1442.0,-8233.0,4.0,-29.0,7.0,-2.0,-1.0,-3.0,14629.0,-6656.0,-2509.0,1959.0,23.0,-8.0,5.0,1.0
2022-05-06 11:14:27.781022-07:00,1287.3,736.5,1021.1,993.6,867.1,797.7,1655.8,1611.5,3477.1,3473.4,1021.9,830.2,1491.2,3474.6,1357.6,1256.9,3474.6,3474.6,315.9,635.9,1027.1,1386.6,576.2,1759.8,3477.1,3485.6,644.0,774.5,1650.2,1064.3,962.8,868.8,1.0,-9.0,1.0,14004.0,-1580.0,1424.0,-8235.0,54.0,-33.0,-13.0,-2.0,3.0,4.0,14633.0,-6647.0,-2508.0,1961.0,26.0,5.0,6.0,1.0
2022-05-06 11:14:27.841607-07:00,1304.3,736.5,1021.1,993.6,872.1,794.4,1637.9,1611.5,3464.9,3473.4,1021.9,830.2,1488.4,3473.4,1357.6,1256.9,3474.6,3479.5,315.1,640.8,1027.1,1386.6,576.2,1761.8,3477.1,3475.9,627.0,778.6,1650.2,1064.3,962.8,857.9,10.0,1.0,2.0,14005.0,-1577.0,1413.0,-8234.0,-31.0,3.0,-6.0,-3.0,0.0,1.0,14634.0,-6644.0,-2509.0,1961.0,-7.0,-11.0,-3.0,1.0
2022-05-06 11:14:27.871608-07:00,1304.3,733.2,1025.4,995.3,872.1,794.4,1637.9,1603.0,3464.9,3485.6,1027.1,833.6,1488.4,3473.4,1357.6,1248.8,3472.2,3479.5,315.1,640.8,1042.6,1380.3,574.6,1761.8,3467.4,3475.9,627.0,778.6,1641.6,1065.1,955.1,857.9,1.0,-8.0,-6.0,13999.0,-1589.0,1416.0,-8242.0,-1.0,-18.0,-33.0,-3.0,-6.0,3.0,14633.0,-6647.0,-2509.0,1961.0,3.0,6.0,-2.0,1.0
2022-05-06 11:14:27.962262-07:00,1288.2,733.2,1025.4,995.3,867.1,795.2,1633.1,1603.0,3467.4,3485.6,1027.1,833.6,1494.0,3473.4,1352.1,1248.8,3472.2,3472.2,318.2,636.7,1042.6,1380.3,574.6,1756.0,3467.4,3478.3,627.8,774.5,1641.6,1065.1,955.1,859.5,7.0,-6.0,3.0,13999.0,-1585.0,1404.0,-8245.0,5.0,2.0,7.0,-2.0,-3.0,-1.0,14633.0,-6646.0,-2509.0,1961.0,1.0,-6.0,3.0,1.0
2022-05-06 11:14:27.991685-07:00,1288.2,731.5,1021.9,998.7,867.1,795.2,1636.0,1589.9,3467.4,3471.0,1013.3,833.6,1494.0,3473.4,1355.8,1242.6,3488.0,3480.7,318.2,636.7,1023.7,1385.7,574.6,1756.0,3478.3,3479.5,627.8,774.5,1649.2,1060.8,954.3,859.5,3.0,-9.0,-11.0,13999.0,-1587.0,1416.0,-8242.0,1.0,11.0,8.0,-3.0,-4.0,-3.0,14633.0,-6645.0,-2508.0,1962.0,27.0,7.0,6.0,1.0
2022-05-06 11:14:28.021602-07:00,1279.2,729.9,1021.9,998.7,861.2,792.7,1636.0,1589.9,3478.3,3475.9,1013.3,833.6,1494.9,3472.2,1355.8,1242.6,3488.0,3480.7,325.1,635.9,1023.7,1385.7,575.4,1761.8,3478.3,3479.5,623.0,779.4,1649.2,1060.8,960.2,862.9,5.0,-5.0,-2.0,14001.0,-1582.0,1407.0,-8242.0,25.0,-15.0,-7.0,-5.0,3.0,0.0,14636.0,-6640.0,-2508.0,1963.0,3.0,-2.0,4.0,1.0
2022-05-06 11:14:28.081519-07:00,1279.2,729.9,1025.4,986.7,861.2,792.7,1642.6,1573.9,3478.3,3475.9,1017.6,837.7,1494.9,3472.2,1355.8,1248.0,3479.5,3477.1,325.1,635.9,1028.8,1381.2,575.4,1761.8,3483.2,3488.0,623.0,779.4,1655.8,1057.3,960.2,862.9,9.0,-18.0,-2.0,13999.0,-1596.0,1416.0,-8241.0,-66.0,10.0,1.0,-1.0,-4.0,-3.0,14632.0,-6648.0,-2509.0,1962.0,-19.0,5.0,13.0,1.0
2022-05-06 11:14:28.201431-07:00,1271.2,734.0,1025.4,986.7,859.5,791.9,1642.6,1573.9,3468.6,3468.6,1017.6,837.7,1492.1,3475.9,1355.8,1248.0,3479.5,3477.1,316.7,637.6,1028.8,1381.2,576.2,1757.0,3483.2,3488.0,629.5,776.9,1655.8,1057.3,952.6,856.2,2.0,-5.0,-10.0,14000.0,-1599.0,1410.0,-8239.0,51.0,-34.0,-6.0,-9.0,-4.0,-3.0,14633.0,-6645.0,-2507.0,1966.0,41.0,1.0,-2.0,1.0
