Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:16:39.588499-07:00,1987.5,587.5,1243.5,1489.3,994.5,1195.6,1378.5,1619.9,3439.5,3441.9,1486.6,1448.8,1386.6,3437.0,976.5,1436.9,3434.6,3445.5,706.0,1373.9,1053.0,588.3,1316.9,1737.8,3450.4,3439.5,690.5,1007.3,1356.7,1488.4,1202.7,970.5,15.0,-55.0,42.0,14098.0,3779.0,-359.0,-7433.0,119.0,83.0,203.0,0.0,-1.0,-1.0,16053.0,2163.0,-2232.0,1032.0,188.0,235.0,-97.0,1.0
2022-05-06 11:16:39.590766-07:00,1962.8,587.5,1243.5,1489.3,991.0,1195.6,1381.2,1619.9,3434.6,3441.9,1486.6,1448.8,1383.9,3440.7,972.2,1436.9,3431.0,3438.2,706.9,1377.5,1053.0,588.3,1316.9,1741.6,3439.5,3444.3,691.3,1008.2,1356.7,1488.4,1202.7,964.5,25.0,21.0,-32.0,14126.0,3883.0,-332.0,-7329.0,18.0,267.0,131.0,7.0,52.0,-10.0,16068.0,2189.0,-2095.0,1035.0,8.0,265.0,-2.0,1.0
2022-05-06 11:16:39.678900-07:00,1962.8,594.7,1239.1,1484.7,991.0,1195.6,1381.2,1614.3,3434.6,3438.2,1485.6,1446.0,1383.9,3440.7,972.2,1440.5,3441.9,3438.2,706.9,1377.5,1043.5,593.1,1320.5,1741.6,3454.0,3444.3,691.3,1008.2,1356.7,1500.4,1208.0,964.5,44.0,-53.0,-108.0,14179.0,3857.0,-298.0,-7240.0,-11.0,-45.0,277.0,-10.0,-11.0,-81.0,16079.0,2183.0,-2005.0,1050.0,154.0,159.0,13.0,1.0
2022-05-06 11:16:39.680048-07:00,1977.6,594.7,1239.1,1484.7,989.3,1190.3,1374.8,1614.3,3438.2,3438.2,1485.6,1446.0,1385.7,3451.6,973.1,1440.5,3441.9,3441.9,706.9,1374.8,1043.5,593.1,1320.5,1743.5,3454.0,3435.8,688.9,1004.8,1356.7,1500.4,1208.0,962.8,41.0,26.0,-127.0,14237.0,3895.0,-398.0,-7100.0,116.0,-105.0,401.0,-25.0,26.0,-105.0,16065.0,2289.0,-1978.0,1091.0,141.0,-18.0,81.0,1.0
2022-05-06 11:16:39.781642-07:00,1977.6,594.7,1237.3,1488.4,989.3,1190.3,1374.8,1619.0,3438.2,3449.1,1482.9,1451.6,1385.7,3451.6,973.1,1448.8,3443.1,3441.9,706.9,1374.8,1040.9,586.7,1343.1,1743.5,3443.1,3435.8,688.9,1004.8,1352.1,1499.5,1203.5,962.8,14.0,-3.0,-62.0,14313.0,3747.0,-469.0,-7023.0,-404.0,-315.0,216.0,-29.0,6.0,-54.0,16065.0,2243.0,-2019.0,1109.0,-172.0,-107.0,63.0,1.0
2022-05-06 11:16:39.783653-07:00,1994.5,594.7,1237.3,1488.4,991.0,1221.3,1383.9,1619.0,3428.6,3449.1,1482.9,1451.6,1393.9,3439.5,974.8,1448.8,3443.1,3441.9,706.0,1371.2,1040.9,586.7,1343.1,1734.9,3443.1,3446.7,686.4,1015.1,1352.1,1499.5,1203.5,970.5,-46.0,-28.0,49.0,14378.0,3602.0,-565.0,-6957.0,-54.0,-316.0,307.0,-7.0,-36.0,65.0,16064.0,2219.0,-2052.0,1124.0,93.0,-19.0,56.0,1.0
2022-05-06 11:16:39.859035-07:00,1994.5,604.4,1239.1,1487.5,991.0,1221.3,1393.0,1622.8,3428.6,3435.8,1483.8,1449.7,1393.9,3439.5,967.1,1440.5,3449.1,3432.2,706.0,1371.2,1050.4,589.9,1359.4,1734.9,3450.4,3438.2,686.4,1015.1,1359.4,1494.9,1195.6,970.5,-18.0,14.0,106.0,14421.0,3598.0,-735.0,-6855.0,246.0,-228.0,346.0,-2.0,16.0,62.0,16048.0,2325.0,-2034.0,1168.0,312.0,48.0,67.0,1.0
2022-05-06 11:16:39.861770-07:00,2000.5,611.7,1239.1,1487.5,992.7,1233.7,1393.0,1622.8,3444.3,3441.9,1483.8,1449.7,1394.8,3433.4,967.1,1440.5,3449.1,3432.2,705.2,1390.3,1050.4,589.9,1357.6,1736.8,3450.4,3438.2,692.1,1019.4,1359.4,1494.9,1195.6,966.2,-51.0,22.0,48.0,14446.0,3656.0,-773.0,-6767.0,181.0,151.0,136.0,-8.0,-13.0,81.0,16036.0,2408.0,-1999.0,1218.0,221.0,89.0,66.0,1.0
2022-05-06 11:16:39.919146-07:00,2000.5,611.7,1238.2,1487.5,992.7,1233.7,1382.1,1608.7,3444.3,3441.9,1479.2,1447.9,1394.8,3433.4,964.5,1437.8,3437.0,3443.1,705.2,1390.3,1045.2,584.3,1357.6,1736.8,3446.7,3445.5,692.1,1019.4,1351.2,1488.4,1195.6,966.2,-24.0,14.0,-29.0,14443.0,3753.0,-784.0,-6719.0,237.0,25.0,60.0,-17.0,3.0,5.0,16026.0,2492.0,-1957.0,1247.0,185.0,79.0,2.0,1.0
2022-05-06 11:16:40.008756-07:00,2002.5,615.7,1238.2,1487.5,985.9,1239.9,1382.1,1608.7,3435.8,3439.5,1479.2,1447.9,1394.8,3449.1,964.5,1437.8,3437.0,3443.1,704.4,1383.0,1045.2,584.3,1350.3,1741.6,3446.7,3445.5,690.5,1006.5,1351.2,1488.4,1199.1,962.8,11.0,14.0,-43.0,14437.0,3787.0,-825.0,-6708.0,-184.0,-58.0,-25.0,-16.0,4.0,-46.0,16031.0,2466.0,-1945.0,1252.0,-204.0,-5.0,24.0,1.0
