Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:16:39.634491-07:00,1200.9,726.6,1003.9,981.6,839.4,782.7,1498.6,1261.3,3473.4,3474.6,982.5,824.4,1506.9,3464.9,1289.1,1205.3,3477.1,3479.5,269.9,621.4,987.6,1347.6,529.8,1781.0,3488.0,3478.3,613.3,743.0,1573.9,1006.5,911.0,816.0,50.0,97.0,-68.0,14080.0,-2553.0,2134.0,-7688.0,153.0,104.0,-67.0,-14.0,88.0,-54.0,14112.0,-6630.0,-3241.0,3850.0,111.0,91.0,137.0,1.0
2022-05-06 11:16:39.663721-07:00,1222.2,734.8,1003.9,981.6,836.1,777.8,1498.6,1261.3,3474.6,3471.0,982.5,824.4,1509.7,3473.4,1289.1,1205.3,3477.1,3479.5,270.6,620.5,987.6,1347.6,534.6,1772.3,3488.0,3478.3,616.5,742.2,1573.9,1006.5,907.6,812.7,27.0,30.0,-81.0,14034.0,-2519.0,2184.0,-7770.0,-66.0,231.0,-280.0,-9.0,41.0,-60.0,14098.0,-6683.0,-3212.0,3837.0,-181.0,75.0,-24.0,1.0
2022-05-06 11:16:39.694187-07:00,1222.2,734.8,995.3,979.0,836.1,777.8,1498.6,1248.8,3474.6,3471.0,985.9,828.5,1509.7,3473.4,1283.7,1207.1,3478.3,3488.0,270.6,620.5,983.3,1354.9,534.6,1772.3,3478.3,3479.5,616.5,742.2,1569.3,1016.8,907.6,812.7,13.0,-24.0,-85.0,13977.0,-2493.0,2256.0,-7859.0,108.0,206.0,-121.0,-16.0,19.0,-60.0,14083.0,-6735.0,-3215.0,3794.0,-47.0,36.0,-68.0,1.0
2022-05-06 11:16:39.760568-07:00,1225.7,735.6,995.3,979.0,842.8,773.6,1498.6,1248.8,3469.8,3467.4,985.9,828.5,1512.5,3473.4,1283.7,1207.1,3478.3,3488.0,273.7,624.6,983.3,1354.9,535.4,1763.7,3478.3,3479.5,618.9,734.8,1569.3,1016.8,914.4,818.5,7.0,-3.0,-65.0,13941.0,-2461.0,2279.0,-7927.0,-110.0,-20.0,-244.0,-4.0,5.0,-65.0,14074.0,-6764.0,-3244.0,3754.0,-200.0,-31.0,-107.0,1.0
2022-05-06 11:16:39.843801-07:00,1225.7,735.6,1004.8,978.2,842.8,781.1,1528.3,1266.7,3469.8,3467.4,985.0,820.2,1512.5,3473.4,1290.9,1203.5,3478.3,3488.0,271.4,624.6,973.1,1354.9,535.4,1763.7,3480.7,3474.6,623.0,734.8,1568.3,1010.8,914.4,818.5,-12.0,-39.0,-41.0,13896.0,-2494.0,2240.0,-8006.0,290.0,-225.0,-197.0,-14.0,-37.0,-15.0,14062.0,-6788.0,-3299.0,3704.0,67.0,-68.0,-151.0,1.0
2022-05-06 11:16:39.844747-07:00,1250.6,752.1,995.3,978.2,845.3,781.1,1528.3,1266.7,3471.0,3472.2,990.2,820.2,1508.8,3473.4,1290.9,1203.5,3478.3,3488.0,271.4,621.4,973.1,1356.7,553.0,1764.6,3480.7,3474.6,623.0,744.7,1568.3,1010.8,908.4,816.0,-21.0,56.0,-5.0,13900.0,-2380.0,2021.0,-8092.0,423.0,-264.0,-215.0,-43.0,33.0,-2.0,14129.0,-6641.0,-3342.0,3680.0,319.0,-117.0,-201.0,1.0
2022-05-06 11:16:39.903685-07:00,1250.6,752.1,995.3,977.3,845.3,780.3,1534.8,1312.4,3471.0,3472.2,990.2,824.4,1508.8,3471.0,1280.1,1206.2,3481.9,3473.4,272.9,621.4,971.3,1356.7,553.0,1764.6,3473.4,3477.1,620.5,744.7,1574.9,1010.8,908.4,816.0,11.0,39.0,21.0,13872.0,-2336.0,1875.0,-8187.0,105.0,-32.0,-226.0,-19.0,42.0,9.0,14156.0,-6577.0,-3411.0,3625.0,3.0,-78.0,-238.0,1.0
2022-05-06 11:16:39.993914-07:00,1252.4,752.9,998.7,977.3,839.4,780.3,1534.8,1312.4,3474.6,3475.9,985.0,824.4,1509.7,3471.0,1280.1,1206.2,3481.9,3473.4,272.9,618.1,971.3,1355.8,557.8,1769.5,3473.4,3477.1,620.5,741.4,1574.9,1014.2,916.9,818.5,10.0,0.0,7.0,13838.0,-2323.0,1875.0,-8248.0,62.0,12.0,-92.0,19.0,-13.0,28.0,14160.0,-6579.0,-3485.0,3537.0,-40.0,-37.0,-250.0,1.0
2022-05-06 11:16:40.024279-07:00,1252.4,752.9,998.7,982.5,839.4,784.4,1515.3,1308.8,3474.6,3475.9,985.0,826.9,1509.7,3473.4,1281.0,1206.2,3479.5,3479.5,271.4,618.1,979.0,1355.8,557.8,1769.5,3475.9,3486.8,622.2,741.4,1578.6,1014.2,916.9,818.5,64.0,13.0,21.0,13817.0,-2321.0,1867.0,-8285.0,-40.0,98.0,-110.0,35.0,17.0,-6.0,14172.0,-6570.0,-3541.0,3447.0,-109.0,-25.0,-250.0,1.0
2022-05-06 11:16:40.053629-07:00,1244.4,764.5,997.0,982.5,845.3,784.4,1515.3,1308.8,3473.4,3458.9,998.7,826.9,1510.6,3473.4,1281.0,1206.2,3479.5,3479.5,271.4,616.5,979.0,1354.0,553.0,1767.5,3475.9,3486.8,622.2,741.4,1578.6,1021.1,905.0,817.7,45.0,44.0,-4.0,13785.0,-2322.0,1909.0,-8328.0,-286.0,118.0,-104.0,-17.0,-26.0,24.0,14173.0,-6591.0,-3600.0,3338.0,-222.0,-26.0,-242.0,1.0
