Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:19:07.656179-07:00,1168.2,695.4,1078.2,1008.2,856.2,765.3,1679.5,1511.5,3473.4,3464.9,1107.8,844.4,1544.1,3473.4,1436.9,1287.3,3483.2,3471.0,274.4,666.0,1014.2,1331.4,516.3,1691.9,3484.4,3477.1,648.1,771.1,1577.7,1113.0,1019.4,818.5,-1.0,-1.0,-15.0,9371.0,-9896.0,7634.0,-4940.0,400.0,-161.0,-266.0,6.0,11.0,-6.0,5677.0,-14269.0,-5349.0,2001.0,192.0,157.0,-36.0,1.0
2022-05-06 11:19:07.685807-07:00,1165.6,692.9,1077.3,1012.5,851.1,765.3,1679.5,1511.5,3479.5,3471.0,1106.0,847.0,1545.0,3473.4,1436.9,1287.3,3483.2,3471.0,274.4,670.9,1014.2,1354.9,514.7,1695.7,3484.4,3477.1,648.1,764.5,1569.3,1101.7,1022.8,818.5,19.0,-12.0,25.0,9445.0,-9890.0,7492.0,-5030.0,186.0,-57.0,-243.0,7.0,10.0,0.0,5763.0,-14236.0,-5357.0,1967.0,145.0,99.0,-115.0,1.0
2022-05-06 11:19:07.776113-07:00,1165.6,692.9,1077.3,1012.5,856.2,762.0,1660.6,1496.7,3479.5,3471.0,1106.0,847.0,1542.2,3467.4,1434.1,1281.9,3479.5,3471.0,269.9,662.7,1014.2,1354.9,514.7,1695.7,3474.6,3474.6,644.9,765.3,1569.3,1101.7,1022.8,818.5,-3.0,-11.0,24.0,9465.0,-9877.0,7418.0,-5125.0,91.0,103.0,-125.0,5.0,14.0,4.0,5808.0,-14225.0,-5367.0,1886.0,-48.0,234.0,-93.0,1.0
2022-05-06 11:19:07.777491-07:00,1168.2,691.3,1072.9,1010.8,856.2,762.0,1660.6,1496.7,3469.8,3471.0,1108.6,841.1,1542.2,3467.4,1434.1,1281.9,3479.5,3471.0,269.9,662.7,1011.6,1327.8,511.5,1695.7,3474.6,3474.6,644.9,765.3,1574.9,1107.8,1024.5,834.4,0.0,-31.0,11.0,9399.0,-9902.0,7444.0,-5161.0,-300.0,182.0,-30.0,7.0,2.0,-2.0,5762.0,-14250.0,-5395.0,1751.0,-302.0,190.0,-147.0,1.0
2022-05-06 11:19:07.835771-07:00,1168.2,691.3,1072.9,1010.8,858.7,765.3,1649.2,1481.0,3469.8,3471.0,1108.6,841.1,1545.0,3471.0,1435.0,1286.4,3472.2,3475.9,270.6,667.6,1011.6,1327.8,511.5,1695.7,3489.2,3475.9,644.9,775.3,1574.9,1107.8,1024.5,834.4,5.0,-20.0,-1.0,9292.0,-9942.0,7525.0,-5160.0,-214.0,224.0,18.0,1.0,8.0,-21.0,5677.0,-14296.0,-5400.0,1631.0,-272.0,176.0,-10.0,1.0
2022-05-06 11:19:07.896346-07:00,1166.5,687.2,1083.4,1005.6,858.7,765.3,1649.2,1481.0,3477.1,3474.6,1106.9,841.1,1545.0,3471.0,1435.0,1286.4,3472.2,3475.9,270.6,667.6,1013.3,1327.8,516.3,1693.8,3489.2,3475.9,644.9,775.3,1569.3,1109.5,1024.5,813.5,-3.0,8.0,-9.0,9171.0,-9982.0,7622.0,-5156.0,-488.0,188.0,19.0,3.0,11.0,-3.0,5596.0,-14331.0,-5421.0,1533.0,-299.0,117.0,-138.0,1.0
2022-05-06 11:19:07.925737-07:00,1177.9,687.2,1083.4,1005.6,859.5,754.6,1661.5,1516.2,3478.3,3474.6,1106.9,841.1,1537.6,3461.3,1428.6,1278.3,3477.1,3477.1,271.4,668.4,1013.3,1327.8,516.3,1686.2,3474.6,3477.1,640.0,765.3,1569.3,1109.5,1024.5,814.4,10.0,-37.0,14.0,9031.0,-10047.0,7728.0,-5119.0,-136.0,218.0,35.0,18.0,2.0,-13.0,5502.0,-14370.0,-5442.0,1431.0,-235.0,136.0,18.0,1.0
2022-05-06 11:19:07.985790-07:00,1177.9,686.4,1075.6,1010.8,859.5,754.6,1661.5,1525.5,3478.3,3469.8,1104.3,842.8,1537.6,3461.3,1428.6,1279.2,3475.9,3477.1,271.4,668.4,1013.3,1329.6,511.5,1686.2,3467.4,3477.1,640.0,765.3,1562.7,1101.7,1018.5,814.4,9.0,0.0,-9.0,8961.0,-10027.0,7811.0,-5157.0,-89.0,254.0,43.0,17.0,8.0,-7.0,5476.0,-14391.0,-5429.0,1373.0,-62.0,76.0,-25.0,1.0
2022-05-06 11:19:08.045667-07:00,1168.2,686.4,1075.6,1010.8,857.9,759.6,1672.9,1525.5,3468.6,3469.8,1104.3,842.8,1540.3,3469.8,1431.4,1279.2,3475.9,3467.4,272.9,659.5,1013.3,1329.6,511.5,1691.9,3467.4,3475.9,636.7,762.9,1562.7,1101.7,1018.5,817.7,9.0,-7.0,-9.0,8894.0,-10010.0,7881.0,-5198.0,-13.0,190.0,-11.0,13.0,1.0,-2.0,5455.0,-14405.0,-5424.0,1323.0,-99.0,102.0,30.0,1.0
2022-05-06 11:19:08.135691-07:00,1168.2,686.4,1068.6,1004.8,857.9,759.6,1672.9,1467.2,3468.6,3469.8,1100.8,837.7,1540.3,3469.8,1431.4,1286.4,3478.3,3467.4,272.9,659.5,1013.3,1331.4,513.9,1691.9,3474.6,3475.9,636.7,762.9,1578.6,1092.9,1019.4,817.7,-4.0,0.0,-25.0,8856.0,-9997.0,7915.0,-5237.0,-87.0,92.0,-15.0,4.0,8.0,-11.0,5429.0,-14424.0,-5411.0,1278.0,-81.0,39.0,-23.0,1.0
2022-05-06 11:19:08.136618-07:00,1160.3,686.4,1068.6,1004.8,854.5,761.2,1635.0,1467.2,3472.2,3469.8,1100.8,837.7,1539.4,3467.4,1423.1,1286.4,3478.3,3479.5,275.2,661.9,1013.3,1331.4,513.9,1689.1,3474.6,3479.5,640.0,763.7,1578.6,1092.9,1019.4,821.0,0.0,-7.0,1.0,8816.0,-10013.0,7938.0,-5239.0,7.0,45.0,-26.0,9.0,6.0,-3.0,5411.0,-14430.0,-5417.0,1260.0,-29.0,33.0,1.0,1.0
2022-05-06 11:19:08.256464-07:00,1160.3,692.9,1070.3,1005.6,854.5,761.2,1635.0,1442.4,3472.2,3478.3,1104.3,845.3,1539.4,3467.4,1423.1,1281.9,3477.1,3479.5,275.2,661.9,1011.6,1331.4,511.5,1689.1,3478.3,3479.5,640.0,763.7,1573.0,1100.8,1009.9,821.0,-9.0,0.0,-13.0,8810.0,-10016.0,7931.0,-5253.0,-83.0,-47.0,-37.0,7.0,16.0,-4.0,5405.0,-14429.0,-5430.0,1246.0,-56.0,8.0,-64.0,1.0
2022-05-06 11:19:08.435444-07:00,1163.0,696.2,1070.3,1005.6,860.4,765.3,1632.2,1442.4,3467.4,3472.2,1104.3,845.3,1529.2,3478.3,1421.3,1281.9,3477.1,3483.2,272.1,660.3,1011.6,1331.4,509.9,1677.6,3478.3,3467.4,638.4,753.8,1573.0,1100.8,1016.8,819.4,14.0,-19.0,8.0,8792.0,-10056.0,7921.0,-5222.0,2.0,-58.0,-42.0,11.0,4.0,-11.0,5388.0,-14428.0,-5450.0,1236.0,13.0,-3.0,-17.0,1.0
2022-05-06 11:19:08.466465-07:00,1163.0,696.2,1069.5,1000.5,860.4,765.3,1624.7,1421.3,3467.4,3472.2,1102.5,839.4,1529.2,3478.3,1433.2,1278.3,3479.5,3484.4,272.1,660.3,1006.5,1330.5,509.9,1677.6,3467.4,3473.4,638.4,753.8,1567.4,1097.3,1016.8,819.4,8.0,-3.0,0.0,8809.0,-10051.0,7892.0,-5246.0,128.0,3.0,-49.0,11.0,7.0,0.0,5418.0,-14413.0,-5459.0,1244.0,82.0,22.0,-36.0,1.0
