Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:35:24.993011-07:00,1766.6,597.9,1273.9,1433.2,1052.2,1207.1,1247.1,1484.7,3437.0,3439.5,1575.8,1489.3,1414.9,3429.8,1038.3,1411.3,3428.6,3435.8,705.2,1359.4,927.9,549.8,1407.6,1711.0,3443.1,3439.5,790.2,1074.7,1346.7,1506.0,1309.7,997.0,-9.0,-10.0,12.0,6406.0,9164.0,-9566.0,-7204.0,10.0,7.0,-4.0,-4.0,-10.0,-4.0,11553.0,11534.0,792.0,1145.0,9.0,5.0,4.0,1.0
2022-05-06 11:35:24.994238-07:00,1766.6,601.2,1272.1,1436.0,1052.2,1207.1,1247.1,1481.0,3437.0,3435.8,1573.9,1484.7,1414.9,3429.8,1038.3,1409.4,3435.8,3435.8,705.2,1359.4,929.6,554.6,1413.1,1711.0,3440.7,3439.5,790.2,1074.7,1345.8,1508.8,1305.2,997.0,-4.0,-1.0,5.0,6404.0,9168.0,-9568.0,-7199.0,5.0,24.0,9.0,-3.0,-3.0,-5.0,11546.0,11540.0,789.0,1148.0,16.0,5.0,12.0,1.0
2022-05-06 11:35:25.052263-07:00,1762.7,601.2,1272.1,1436.0,1055.6,1210.6,1265.8,1481.0,3437.0,3435.8,1573.9,1484.7,1411.3,3438.2,1044.4,1409.4,3435.8,3437.0,710.1,1359.4,929.6,554.6,1413.1,1711.0,3440.7,3439.5,796.0,1086.0,1345.8,1508.8,1305.2,997.0,-5.0,4.0,-2.0,6407.0,9171.0,-9567.0,-7195.0,10.0,-8.0,4.0,0.0,-4.0,-9.0,11545.0,11541.0,789.0,1149.0,0.0,-4.0,4.0,1.0
2022-05-06 11:35:25.053858-07:00,1762.7,606.8,1271.2,1426.8,1055.6,1210.6,1265.8,1490.3,3437.0,3443.1,1581.4,1487.5,1411.3,3438.2,1044.4,1408.5,3441.9,3437.0,710.1,1359.4,922.8,556.2,1413.1,1711.0,3444.3,3439.5,796.0,1086.0,1341.3,1518.0,1309.7,997.0,-8.0,-3.0,10.0,6404.0,9166.0,-9569.0,-7200.0,-9.0,-17.0,-7.0,-4.0,-5.0,-12.0,11550.0,11536.0,790.0,1147.0,-25.0,-11.0,-11.0,1.0
2022-05-06 11:35:25.112484-07:00,1765.6,606.8,1271.2,1426.8,1054.8,1202.7,1255.1,1490.3,3439.5,3443.1,1581.4,1487.5,1411.3,3445.5,1042.6,1408.5,3441.9,3440.7,707.7,1351.2,922.8,556.2,1413.1,1711.0,3444.3,3438.2,793.5,1086.0,1341.3,1518.0,1309.7,998.7,-7.0,-4.0,12.0,6404.0,9166.0,-9569.0,-7201.0,1.0,14.0,1.0,-2.0,-11.0,-7.0,11553.0,11534.0,790.0,1147.0,3.0,7.0,2.0,1.0
2022-05-06 11:35:25.353075-07:00,1765.6,608.4,1270.3,1431.4,1054.8,1202.7,1256.9,1505.1,3439.5,3439.5,1573.9,1493.0,1411.3,3445.5,1038.3,1415.8,3445.5,3435.8,707.7,1351.2,924.5,554.6,1412.2,1711.0,3440.7,3435.8,793.5,1086.0,1348.5,1524.5,1316.9,998.7,-8.0,4.0,0.0,6404.0,9170.0,-9569.0,-7195.0,4.0,1.0,-6.0,-3.0,0.0,-9.0,11550.0,11537.0,791.0,1146.0,5.0,1.0,-1.0,1.0
2022-05-06 11:35:25.354634-07:00,1768.5,602.8,1270.3,1431.4,1054.8,1200.9,1256.9,1505.1,3441.9,3438.2,1573.9,1493.0,1409.4,3440.7,1038.3,1415.8,3445.5,3435.8,711.0,1354.9,924.5,554.6,1413.1,1711.0,3440.7,3435.8,790.2,1085.1,1348.5,1524.5,1307.9,997.0,-7.0,-2.0,7.0,6401.0,9168.0,-9571.0,-7197.0,-6.0,-21.0,6.0,-2.0,-8.0,-9.0,11553.0,11534.0,790.0,1147.0,-13.0,-5.0,0.0,1.0
2022-05-06 11:35:25.413068-07:00,1768.5,602.8,1283.7,1429.5,1054.8,1200.9,1251.5,1489.3,3441.9,3438.2,1576.8,1484.7,1409.4,3440.7,1046.1,1407.6,3435.8,3438.2,711.0,1354.9,925.4,553.0,1413.1,1711.0,3441.9,3452.8,790.2,1085.1,1344.0,1511.5,1307.9,997.0,-6.0,-5.0,12.0,6398.0,9169.0,-9570.0,-7200.0,6.0,0.0,-12.0,-3.0,-5.0,-11.0,11554.0,11532.0,790.0,1147.0,-1.0,-1.0,-5.0,1.0
2022-05-06 11:35:25.414098-07:00,1768.5,601.2,1283.7,1429.5,1058.2,1213.3,1251.5,1489.3,3441.9,3437.0,1576.8,1484.7,1425.9,3450.4,1046.1,1407.6,3435.8,3438.2,711.0,1362.1,925.4,553.0,1407.6,1714.8,3441.9,3452.8,789.4,1087.7,1344.0,1511.5,1309.7,1004.8,-8.0,0.0,8.0,6398.0,9169.0,-9570.0,-7200.0,-7.0,1.0,3.0,-3.0,-5.0,-13.0,11554.0,11532.0,790.0,1147.0,7.0,5.0,-3.0,1.0
2022-05-06 11:35:25.415248-07:00,1768.5,601.2,1273.9,1433.2,1058.2,1213.3,1256.9,1475.5,3441.9,3437.0,1578.6,1489.3,1425.9,3450.4,1046.1,1408.5,3439.5,3441.9,711.0,1362.1,929.6,555.4,1407.6,1714.8,3440.7,3446.7,789.4,1087.7,1347.6,1515.3,1309.7,1004.8,-9.0,0.0,8.0,6397.0,9169.0,-9570.0,-7201.0,-2.0,-11.0,-9.0,-4.0,-4.0,-8.0,11555.0,11532.0,790.0,1147.0,-9.0,-5.0,-2.0,1.0
