Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:37:27.781949-07:00,2132.1,615.7,1363.0,1566.5,1164.7,1262.2,1231.9,1425.9,3437.0,3444.3,1679.5,1707.2,1485.6,3440.7,1083.4,1574.9,3443.1,3435.8,706.0,1348.5,927.1,553.8,1438.7,2013.4,3443.1,3437.0,748.0,1737.8,1440.5,1588.0,1374.8,1154.2,-10.0,-9.0,13.0,5582.0,8047.0,-10030.0,-8481.0,9.0,-11.0,-27.0,-5.0,-11.0,14.0,11922.0,11087.0,1276.0,1323.0,13.0,6.0,-6.0,1.0
2022-05-06 11:37:27.783314-07:00,2132.1,615.7,1363.0,1559.0,1164.7,1256.9,1226.6,1431.4,3437.0,3444.3,1679.5,1707.2,1485.6,3440.7,1085.1,1567.4,3439.5,3431.0,695.4,1348.5,927.1,553.8,1438.7,2013.4,3445.5,3444.3,748.0,1737.8,1442.4,1588.0,1374.8,1154.2,-11.0,3.0,8.0,5579.0,8048.0,-10032.0,-8480.0,4.0,5.0,15.0,-7.0,-5.0,8.0,11918.0,11091.0,1277.0,1322.0,11.0,8.0,1.0,1.0
2022-05-06 11:37:27.811900-07:00,2140.2,607.6,1372.1,1559.9,1153.3,1256.9,1226.6,1431.4,3444.3,3434.6,1680.5,1704.3,1483.8,3440.7,1085.1,1567.4,3439.5,3431.0,695.4,1353.1,933.9,549.0,1438.7,2002.5,3445.5,3444.3,748.0,1744.5,1440.5,1586.1,1368.5,1146.3,-6.0,0.0,12.0,5579.0,8046.0,-10033.0,-8480.0,0.0,-7.0,-14.0,-4.0,-7.0,13.0,11918.0,11092.0,1277.0,1322.0,2.0,4.0,-2.0,1.0
2022-05-06 11:37:27.813511-07:00,2140.2,607.6,1372.1,1559.9,1159.4,1258.7,1231.9,1431.4,3444.3,3434.6,1680.5,1704.3,1486.6,3437.0,1088.6,1567.4,3440.7,3438.2,706.0,1345.8,933.9,549.0,1438.7,2002.5,3440.7,3445.5,747.2,1775.2,1440.5,1586.1,1368.5,1146.3,-11.0,0.0,11.0,5577.0,8047.0,-10032.0,-8482.0,1.0,-1.0,1.0,-3.0,-8.0,12.0,11918.0,11092.0,1277.0,1322.0,0.0,3.0,-7.0,1.0
2022-05-06 11:37:27.814055-07:00,2131.1,614.9,1354.9,1562.7,1159.4,1258.7,1231.9,1431.4,3437.0,3441.9,1679.5,1702.4,1486.6,3437.0,1088.6,1567.4,3440.7,3438.2,706.0,1345.8,929.6,549.0,1444.2,2016.4,3440.7,3445.5,747.2,1775.2,1443.3,1588.0,1374.8,1152.4,-8.0,2.0,13.0,5577.0,8047.0,-10033.0,-8481.0,12.0,1.0,1.0,-6.0,-7.0,14.0,11918.0,11092.0,1277.0,1322.0,3.0,-4.0,0.0,1.0
2022-05-06 11:37:27.841805-07:00,2131.1,614.9,1354.9,1562.7,1161.2,1261.3,1231.0,1416.7,3437.0,3441.9,1679.5,1702.4,1487.5,3449.1,1091.2,1565.5,3441.9,3435.8,698.7,1354.0,929.6,549.0,1444.2,2016.4,3439.5,3444.3,743.0,1776.2,1443.3,1588.0,1374.8,1152.4,-11.0,-7.0,9.0,5576.0,8049.0,-10033.0,-8479.0,9.0,3.0,-5.0,-6.0,-6.0,13.0,11916.0,11093.0,1279.0,1323.0,13.0,6.0,-7.0,1.0
2022-05-06 11:37:27.901454-07:00,2128.0,610.0,1354.9,1559.0,1161.2,1261.3,1231.0,1416.7,3440.7,3439.5,1680.5,1706.2,1487.5,3449.1,1091.2,1565.5,3441.9,3435.8,698.7,1354.0,927.9,550.6,1448.8,2016.4,3439.5,3444.3,743.0,1776.2,1440.5,1584.2,1370.3,1148.0,-8.0,1.0,7.0,5576.0,8049.0,-10033.0,-8479.0,-4.0,-9.0,6.0,-3.0,-3.0,10.0,11915.0,11094.0,1279.0,1323.0,-1.0,-3.0,1.0,1.0
2022-05-06 11:37:27.961423-07:00,2116.9,610.0,1354.9,1559.0,1153.3,1267.6,1226.6,1425.9,3444.3,3439.5,1680.5,1706.2,1488.4,3434.6,1086.0,1569.3,3441.9,3435.8,704.4,1353.1,927.9,550.6,1448.8,2016.4,3441.9,3439.5,744.7,1769.5,1440.5,1584.2,1370.3,1148.0,-7.0,-4.0,17.0,5574.0,8046.0,-10033.0,-8483.0,-1.0,-2.0,2.0,-5.0,-11.0,16.0,11917.0,11092.0,1278.0,1323.0,-5.0,-1.0,0.0,1.0
2022-05-06 11:37:27.995389-07:00,2116.9,613.3,1358.5,1559.0,1153.3,1267.6,1226.6,1418.6,3444.3,3440.7,1677.6,1708.1,1488.4,3434.6,1086.0,1563.7,3438.2,3435.8,704.4,1353.1,925.4,549.8,1440.5,2014.4,3441.9,3439.5,744.7,1769.5,1440.5,1589.9,1371.2,1147.1,-11.0,3.0,4.0,5578.0,8047.0,-10033.0,-8480.0,7.0,-1.0,0.0,-5.0,-4.0,11.0,11916.0,11093.0,1279.0,1323.0,10.0,9.0,-3.0,1.0
2022-05-06 11:37:28.052371-07:00,2134.1,613.3,1358.5,1559.0,1162.1,1273.9,1231.9,1418.6,3439.5,3440.7,1677.6,1708.1,1487.5,3438.2,1083.4,1563.7,3438.2,3429.8,704.4,1368.5,925.4,549.8,1440.5,2014.4,3441.9,3441.9,745.5,1736.8,1440.5,1589.9,1371.2,1155.0,-12.0,-8.0,13.0,5575.0,8045.0,-10032.0,-8485.0,-17.0,-8.0,6.0,-9.0,-8.0,15.0,11916.0,11093.0,1279.0,1323.0,-12.0,-3.0,-5.0,1.0
