Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:42:47.186615-07:00,1155.9,705.2,1033.2,997.9,878.0,814.4,1518.0,1340.4,3475.9,3473.4,1060.8,876.4,1520.8,3473.4,1344.9,1202.7,3480.7,3485.6,280.6,512.3,738.1,1170.9,475.8,1680.5,3485.6,3481.9,630.3,774.5,1789.7,1059.1,976.5,878.0,-5.0,-4.0,-4.0,7819.0,-6268.0,8821.0,-9497.0,12.0,3.0,-7.0,8.0,-1.0,8.0,5497.0,-11132.0,-9399.0,5095.0,1.0,3.0,-1.0,1.0
2022-05-06 11:42:47.246152-07:00,1158.6,701.1,1035.7,997.9,882.3,814.4,1518.0,1340.4,3477.1,3477.1,1061.7,876.4,1517.1,3473.4,1344.9,1202.7,3480.7,3485.6,280.6,506.7,738.1,1173.5,475.0,1689.1,3485.6,3481.9,630.3,771.1,1789.7,1059.1,980.7,869.6,-3.0,-10.0,0.0,7821.0,-6269.0,8819.0,-9497.0,-2.0,-10.0,-2.0,9.0,-1.0,7.0,5499.0,-11131.0,-9398.0,5096.0,20.0,-9.0,-3.0,1.0
2022-05-06 11:42:47.276224-07:00,1158.6,701.1,1035.7,1002.2,882.3,811.0,1515.3,1335.0,3477.1,3477.1,1061.7,881.4,1517.1,3479.5,1341.3,1207.1,3478.3,3474.6,297.4,506.7,738.1,1173.5,475.0,1689.1,3473.4,3477.1,631.1,771.1,1778.1,1059.1,980.7,869.6,0.0,-2.0,0.0,7821.0,-6269.0,8818.0,-9497.0,-13.0,5.0,2.0,8.0,0.0,10.0,5500.0,-11130.0,-9397.0,5098.0,-18.0,3.0,-2.0,1.0
2022-05-06 11:42:47.516797-07:00,1153.3,699.5,1031.4,1002.2,878.0,811.0,1515.3,1335.0,3467.4,3478.3,1061.7,881.4,1530.1,3479.5,1341.3,1207.1,3478.3,3474.6,297.4,505.1,738.1,1177.0,474.3,1684.3,3473.4,3477.1,631.1,778.6,1778.1,1055.6,989.3,865.4,-4.0,-7.0,-9.0,7819.0,-6271.0,8821.0,-9494.0,4.0,-8.0,-3.0,8.0,0.0,7.0,5495.0,-11133.0,-9399.0,5093.0,-7.0,4.0,-5.0,1.0
2022-05-06 11:42:47.576086-07:00,1153.3,699.5,1031.4,996.2,878.0,805.2,1517.1,1335.9,3467.4,3478.3,1061.7,878.0,1530.1,3474.6,1341.3,1202.7,3472.2,3480.7,285.9,505.1,734.8,1177.0,474.3,1684.3,3483.2,3477.1,639.2,778.6,1780.1,1055.6,989.3,865.4,-2.0,-1.0,0.0,7819.0,-6271.0,8821.0,-9494.0,-1.0,6.0,11.0,10.0,0.0,11.0,5499.0,-11131.0,-9398.0,5096.0,9.0,-2.0,-4.0,1.0
2022-05-06 11:42:47.577723-07:00,1155.0,701.9,1035.7,996.2,879.7,805.2,1517.1,1335.9,3469.8,3469.8,1062.5,878.0,1518.0,3474.6,1341.3,1202.7,3472.2,3480.7,285.9,509.1,734.8,1176.2,474.3,1684.3,3483.2,3477.1,639.2,772.8,1780.1,1059.1,980.7,866.3,-3.0,-6.0,-3.0,7819.0,-6272.0,8823.0,-9493.0,-3.0,7.0,-4.0,9.0,-4.0,6.0,5496.0,-11135.0,-9399.0,5090.0,-10.0,9.0,-6.0,1.0
2022-05-06 11:42:47.578381-07:00,1155.0,701.9,1035.7,1001.3,879.7,807.7,1517.1,1339.5,3469.8,3469.8,1062.5,880.6,1535.7,3477.1,1341.3,1204.4,3471.0,3484.4,288.2,502.0,739.7,1176.2,474.3,1684.3,3469.8,3488.0,631.9,776.9,1775.2,1059.1,980.7,866.3,-3.0,-11.0,-5.0,7819.0,-6272.0,8823.0,-9493.0,9.0,-5.0,-2.0,11.0,0.0,8.0,5498.0,-11133.0,-9400.0,5090.0,25.0,-8.0,-12.0,1.0
2022-05-06 11:42:47.580142-07:00,1162.1,701.9,1040.9,998.7,879.7,807.7,1517.1,1339.5,3488.0,3471.0,1062.5,878.9,1535.7,3477.1,1341.3,1204.4,3471.0,3484.4,288.2,502.0,734.8,1177.9,474.3,1682.4,3469.8,3488.0,631.9,776.9,1777.2,1056.5,977.3,866.3,-4.0,-5.0,1.0,7819.0,-6272.0,8822.0,-9494.0,0.0,-7.0,-13.0,9.0,0.0,10.0,5505.0,-11127.0,-9402.0,5092.0,5.0,4.0,-15.0,1.0
2022-05-06 11:42:47.606225-07:00,1162.1,701.9,1040.9,998.7,883.9,809.4,1516.2,1335.9,3488.0,3471.0,1062.5,878.9,1525.5,3467.4,1336.8,1201.8,3480.7,3477.1,279.8,510.7,734.8,1177.9,474.3,1682.4,3474.6,3478.3,635.1,775.3,1777.2,1056.5,977.3,866.3,0.0,-8.0,-2.0,7817.0,-6274.0,8820.0,-9496.0,-3.0,-1.0,-2.0,11.0,1.0,8.0,5506.0,-11126.0,-9406.0,5085.0,-12.0,14.0,-10.0,1.0
2022-05-06 11:42:47.636589-07:00,1160.3,701.1,1039.2,997.9,883.9,809.4,1516.2,1335.9,3478.3,3467.4,1053.9,885.6,1525.5,3467.4,1336.8,1201.8,3480.7,3477.1,279.8,510.7,740.6,1173.5,481.4,1687.2,3474.6,3478.3,635.1,775.3,1779.1,1062.5,973.1,872.1,-6.0,-3.0,-5.0,7817.0,-6274.0,8820.0,-9496.0,-7.0,-8.0,-8.0,10.0,0.0,7.0,5504.0,-11130.0,-9407.0,5077.0,-23.0,14.0,-11.0,1.0
