Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:45:00.166884-07:00,1987.5,585.9,1286.4,1536.6,1099.9,1210.6,1308.8,1617.1,3435.8,3449.1,1586.1,1616.2,1489.3,3441.9,1010.8,1488.4,3435.8,3441.9,695.4,1296.3,904.2,539.4,1387.5,1832.3,3443.1,3432.2,729.0,1084.2,1404.0,1568.3,1310.6,1021.9,-2.0,-5.0,5.0,3996.0,5663.0,-11868.0,-8919.0,7.0,-2.0,-15.0,-10.0,-8.0,-4.0,11341.0,11815.0,458.0,-121.0,9.0,2.0,-9.0,1.0
2022-05-06 11:45:00.167826-07:00,1987.5,585.9,1294.5,1535.7,1099.9,1210.6,1307.0,1604.0,3435.8,3449.1,1581.4,1620.9,1489.3,3441.9,1009.0,1488.4,3435.8,3435.8,695.4,1296.3,909.3,538.6,1387.5,1832.3,3441.9,3440.7,729.0,1084.2,1412.2,1562.7,1310.6,1021.9,0.0,-3.0,3.0,3995.0,5665.0,-11867.0,-8920.0,-1.0,-5.0,5.0,-9.0,-4.0,-6.0,11341.0,11815.0,458.0,-121.0,0.0,-1.0,1.0,1.0
2022-05-06 11:45:00.168378-07:00,1968.7,589.1,1294.5,1535.7,1104.3,1218.6,1307.0,1604.0,3438.2,3445.5,1581.4,1620.9,1491.2,3444.3,1009.0,1488.4,3435.8,3435.8,698.7,1294.5,909.3,538.6,1386.6,1829.4,3441.9,3440.7,727.4,1085.1,1412.2,1562.7,1310.6,1020.2,1.0,0.0,3.0,3993.0,5664.0,-11868.0,-8920.0,22.0,-11.0,0.0,-8.0,-3.0,-2.0,11340.0,11816.0,458.0,-121.0,21.0,-1.0,-12.0,1.0
2022-05-06 11:45:00.222326-07:00,1968.7,589.1,1299.0,1529.2,1104.3,1218.6,1308.8,1608.7,3438.2,3445.5,1588.0,1615.2,1491.2,3444.3,1010.8,1484.7,3437.0,3438.2,698.7,1294.5,903.4,537.0,1386.6,1829.4,3445.5,3440.7,727.4,1085.1,1404.0,1563.7,1310.6,1020.2,1.0,2.0,4.0,3984.0,5663.0,-11874.0,-8917.0,-4.0,-20.0,-16.0,-8.0,0.0,-6.0,11337.0,11819.0,462.0,-128.0,-12.0,-14.0,-22.0,1.0
2022-05-06 11:45:00.312460-07:00,1968.7,583.5,1293.6,1529.2,1102.5,1217.7,1308.8,1608.7,3437.0,3446.7,1594.6,1615.2,1491.2,3443.1,1010.8,1484.7,3437.0,3438.2,695.4,1293.6,903.4,544.2,1387.5,1827.5,3445.5,3440.7,728.2,1082.5,1404.0,1570.2,1307.9,1018.5,-5.0,-9.0,10.0,3976.0,5664.0,-11872.0,-8921.0,16.0,-8.0,-6.0,-13.0,-8.0,-1.0,11339.0,11816.0,466.0,-134.0,12.0,-2.0,-7.0,1.0
2022-05-06 11:45:00.313369-07:00,1968.7,583.5,1293.6,1540.3,1102.5,1215.1,1312.4,1605.8,3437.0,3446.7,1594.6,1623.7,1491.2,3444.3,1012.5,1488.4,3428.6,3439.5,695.4,1293.6,903.4,544.2,1387.5,1827.5,3441.9,3435.8,729.9,1082.5,1400.3,1570.2,1307.9,1018.5,0.0,1.0,8.0,3974.0,5666.0,-11876.0,-8917.0,9.0,2.0,-7.0,-12.0,-2.0,-3.0,11336.0,11819.0,466.0,-135.0,7.0,-2.0,-10.0,1.0
2022-05-06 11:45:00.371876-07:00,1969.7,584.3,1297.2,1540.3,1100.8,1215.1,1312.4,1605.8,3444.3,3437.0,1596.4,1623.7,1490.3,3444.3,1012.5,1488.4,3428.6,3439.5,695.4,1296.3,903.4,537.8,1383.9,1830.4,3441.9,3435.8,729.9,1076.4,1400.3,1564.6,1324.1,1015.9,-3.0,-2.0,6.0,3971.0,5669.0,-11875.0,-8917.0,-20.0,1.0,-11.0,-13.0,-7.0,-6.0,11338.0,11818.0,469.0,-137.0,-24.0,-4.0,-7.0,1.0
2022-05-06 11:45:00.462403-07:00,1969.7,584.3,1297.2,1539.4,1100.8,1214.2,1297.2,1608.7,3444.3,3437.0,1596.4,1619.0,1490.3,3444.3,1014.2,1498.6,3441.9,3445.5,699.5,1296.3,911.0,537.8,1383.9,1830.4,3445.5,3440.7,724.9,1076.4,1414.0,1564.6,1324.1,1015.9,0.0,1.0,9.0,3971.0,5669.0,-11873.0,-8919.0,9.0,-6.0,3.0,-8.0,-4.0,-4.0,11339.0,11816.0,469.0,-137.0,4.0,-2.0,-3.0,1.0
2022-05-06 11:45:00.703010-07:00,1969.7,589.1,1296.3,1539.4,1113.9,1214.2,1297.2,1608.7,3444.3,3452.8,1590.8,1619.0,1477.3,3444.3,1014.2,1498.6,3441.9,3445.5,699.5,1296.3,911.0,540.2,1387.5,1835.2,3445.5,3440.7,724.9,1085.1,1414.0,1572.1,1305.2,1021.1,-3.0,-3.0,10.0,3970.0,5669.0,-11872.0,-8921.0,-7.0,3.0,-12.0,-10.0,-6.0,-4.0,11341.0,11815.0,469.0,-137.0,-5.0,1.0,-6.0,1.0
2022-05-06 11:45:00.704275-07:00,1969.7,589.1,1296.3,1538.5,1106.9,1218.6,1304.3,1615.2,3444.3,3452.8,1590.8,1619.9,1494.9,3438.2,1007.3,1494.9,3433.4,3440.7,695.4,1300.7,905.0,540.2,1387.5,1835.2,3441.9,3439.5,734.0,1079.9,1430.5,1572.1,1305.2,1021.1,-2.0,-4.0,4.0,3970.0,5669.0,-11872.0,-8921.0,-3.0,6.0,2.0,-10.0,-7.0,-5.0,11341.0,11815.0,469.0,-137.0,-2.0,1.0,-2.0,1.0
