Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:45:00.177092-07:00,1143.6,679.1,1028.0,984.2,867.9,803.5,1519.0,1441.5,3473.4,3471.0,1037.5,893.2,1502.3,3464.9,1292.7,1181.5,3475.9,3479.5,292.1,528.2,785.2,1189.4,514.7,1771.4,3481.9,3484.4,623.0,712.6,1643.5,1061.7,972.2,852.0,0.0,-6.0,-10.0,8591.0,-8440.0,8719.0,-6883.0,8.0,-3.0,-2.0,7.0,-7.0,8.0,4891.0,-11300.0,-9848.0,4454.0,-5.0,0.0,9.0,1.0
2022-05-06 11:45:00.298181-07:00,1143.6,679.1,1028.0,984.2,872.1,801.0,1506.9,1466.3,3473.4,3471.0,1037.5,893.2,1502.3,3467.4,1296.3,1183.2,3475.9,3474.6,289.8,529.8,785.2,1189.4,514.7,1771.4,3483.2,3480.7,627.8,705.2,1643.5,1061.7,972.2,852.0,0.0,-6.0,-7.0,8595.0,-8443.0,8715.0,-6879.0,-6.0,-24.0,7.0,9.0,-5.0,6.0,4889.0,-11300.0,-9848.0,4456.0,1.0,-17.0,4.0,1.0
2022-05-06 11:45:00.327075-07:00,1141.9,694.6,1030.6,988.5,872.1,801.0,1506.9,1466.3,3472.2,3467.4,1030.6,892.4,1502.3,3467.4,1296.3,1183.2,3475.9,3474.6,289.8,529.8,781.1,1196.5,525.0,1765.6,3483.2,3480.7,627.8,705.2,1641.6,1066.9,977.3,843.6,0.0,-4.0,-1.0,8598.0,-8442.0,8718.0,-6874.0,-2.0,8.0,13.0,8.0,-6.0,9.0,4887.0,-11299.0,-9849.0,4458.0,-6.0,5.0,9.0,1.0
2022-05-06 11:45:00.357907-07:00,1141.9,694.6,1030.6,988.5,878.0,806.0,1510.6,1429.5,3472.2,3467.4,1030.6,892.4,1505.1,3478.3,1288.2,1177.9,3483.2,3483.2,291.3,527.4,781.1,1196.5,525.0,1765.6,3480.7,3484.4,622.2,709.3,1641.6,1066.9,977.3,843.6,0.0,-9.0,-15.0,8595.0,-8442.0,8721.0,-6873.0,-24.0,-1.0,9.0,8.0,-6.0,8.0,4880.0,-11305.0,-9849.0,4452.0,-23.0,3.0,8.0,1.0
2022-05-06 11:45:00.358937-07:00,1134.0,692.9,1026.3,991.0,878.0,806.0,1510.6,1440.5,3469.8,3464.9,1034.9,892.4,1505.1,3478.3,1288.2,1177.9,3475.9,3483.2,291.3,527.4,780.3,1190.3,517.9,1768.5,3477.1,3484.4,622.2,709.3,1646.4,1064.3,976.5,840.3,-2.0,0.0,-7.0,8593.0,-8442.0,8729.0,-6865.0,-10.0,1.0,11.0,7.0,-7.0,10.0,4877.0,-11306.0,-9849.0,4452.0,-8.0,6.0,11.0,1.0
2022-05-06 11:45:00.387267-07:00,1142.7,692.9,1026.3,991.0,867.1,803.5,1506.9,1440.5,3481.9,3464.9,1034.9,892.4,1502.3,3473.4,1291.8,1177.9,3475.9,3478.3,292.8,521.0,780.3,1190.3,517.9,1770.4,3477.1,3474.6,627.8,703.6,1646.4,1064.3,976.5,844.4,-1.0,-5.0,-7.0,8593.0,-8442.0,8729.0,-6865.0,-9.0,5.0,6.0,9.0,-6.0,6.0,4877.0,-11307.0,-9849.0,4452.0,-9.0,9.0,3.0,1.0
2022-05-06 11:45:00.447427-07:00,1142.7,691.3,1032.3,988.5,867.1,803.5,1506.9,1439.6,3481.9,3467.4,1034.0,891.5,1502.3,3473.4,1291.8,1180.6,3483.2,3478.3,292.8,521.0,785.2,1187.6,517.9,1770.4,3477.1,3474.6,627.8,703.6,1644.5,1062.5,979.0,844.4,-2.0,-4.0,-14.0,8594.0,-8442.0,8728.0,-6865.0,12.0,2.0,4.0,9.0,-6.0,7.0,4875.0,-11307.0,-9849.0,4451.0,3.0,3.0,5.0,1.0
2022-05-06 11:45:00.507258-07:00,1135.7,691.3,1032.3,988.5,875.5,800.2,1510.6,1439.6,3469.8,3467.4,1034.0,891.5,1497.7,3472.2,1293.6,1180.6,3483.2,3478.3,292.1,521.8,785.2,1187.6,517.9,1770.4,3477.1,3472.2,627.0,707.7,1644.5,1062.5,979.0,847.8,0.0,-4.0,-7.0,8597.0,-8443.0,8725.0,-6864.0,17.0,-13.0,1.0,6.0,-4.0,8.0,4876.0,-11307.0,-9849.0,4451.0,9.0,-8.0,5.0,1.0
2022-05-06 11:45:00.567325-07:00,1135.7,694.6,1029.7,988.5,875.5,800.2,1510.6,1443.3,3469.8,3471.0,1039.2,894.1,1497.7,3472.2,1293.6,1181.5,3485.6,3478.3,292.1,521.8,787.7,1196.5,511.5,1770.4,3474.6,3472.2,627.0,707.7,1629.4,1064.3,971.3,847.8,1.0,-7.0,-2.0,8598.0,-8443.0,8724.0,-6863.0,-9.0,-3.0,2.0,8.0,-8.0,12.0,4875.0,-11307.0,-9849.0,4451.0,-14.0,4.0,5.0,1.0
2022-05-06 11:45:00.657177-07:00,1134.0,690.5,1029.7,988.5,871.3,797.7,1513.4,1443.3,3475.9,3471.0,1039.2,894.1,1501.4,3473.4,1296.3,1181.5,3485.6,3479.5,290.5,523.4,787.7,1196.5,514.7,1767.5,3474.6,3477.1,630.3,719.2,1629.4,1064.3,974.8,843.6,-3.0,-7.0,-13.0,8598.0,-8443.0,8724.0,-6863.0,1.0,-8.0,4.0,7.0,-5.0,8.0,4873.0,-11311.0,-9847.0,4450.0,-4.0,0.0,15.0,1.0
2022-05-06 11:45:00.807609-07:00,1134.0,690.5,1038.3,983.3,871.3,797.7,1510.6,1423.1,3475.9,3471.0,1035.7,891.5,1501.4,3473.4,1290.0,1179.7,3477.1,3466.1,290.5,523.4,783.6,1187.6,514.7,1767.5,3479.5,3474.6,630.3,719.2,1641.6,1061.7,974.8,843.6,0.0,-3.0,-11.0,8605.0,-8443.0,8716.0,-6866.0,32.0,-18.0,-18.0,8.0,-3.0,5.0,4874.0,-11312.0,-9843.0,4453.0,19.0,-3.0,5.0,1.0
2022-05-06 11:45:00.808840-07:00,1139.2,687.2,1038.3,983.3,878.9,801.9,1510.6,1423.1,3468.6,3478.3,1035.7,891.5,1506.0,3471.0,1290.0,1179.7,3477.1,3466.1,289.0,531.4,783.6,1187.6,517.1,1765.6,3479.5,3474.6,625.4,709.3,1641.6,1061.7,973.9,848.6,1.0,-8.0,-3.0,8607.0,-8442.0,8715.0,-6866.0,-18.0,-1.0,14.0,9.0,-7.0,9.0,4878.0,-11310.0,-9843.0,4455.0,-11.0,-5.0,3.0,1.0
2022-05-06 11:45:00.810538-07:00,1139.2,687.2,1037.5,994.5,878.9,801.9,1514.3,1432.3,3468.6,3478.3,1036.6,894.1,1506.0,3471.0,1298.1,1177.9,3469.8,3473.4,289.0,531.4,781.1,1189.4,517.1,1765.6,3478.3,3477.1,625.4,709.3,1646.4,1065.1,973.9,848.6,-1.0,-4.0,-12.0,8605.0,-8442.0,8717.0,-6866.0,1.0,11.0,2.0,7.0,-4.0,7.0,4875.0,-11314.0,-9840.0,4456.0,-14.0,12.0,12.0,1.0
2022-05-06 11:45:00.837172-07:00,1146.3,697.0,1037.5,994.5,870.5,806.0,1514.3,1432.3,3467.4,3480.7,1036.6,894.1,1503.2,3473.4,1298.1,1177.9,3469.8,3473.4,293.6,521.8,781.1,1189.4,518.7,1766.6,3478.3,3477.1,627.0,705.2,1646.4,1065.1,980.7,850.3,0.0,-4.0,-8.0,8605.0,-8442.0,8718.0,-6864.0,-9.0,0.0,8.0,8.0,-6.0,5.0,4871.0,-11317.0,-9840.0,4452.0,-7.0,-1.0,5.0,1.0
