Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:27:01.157279-07:00,1895.8,615.7,1145.4,1507.8,1001.3,1154.2,1519.0,1717.7,3428.6,3432.2,1419.5,1452.5,1499.5,3443.1,917.7,1376.6,3446.7,3435.8,727.4,1341.3,950.0,590.7,1239.9,1762.7,3451.6,3445.5,706.0,979.0,1299.0,1431.4,1170.0,1101.7,0.0,6.0,-2.0,8989.0,13193.0,-1990.0,-3101.0,36.0,20.0,-11.0,-1.0,4.0,-1.0,10722.0,11091.0,3614.0,4171.0,43.0,27.0,-3.0,1.0
2022-05-06 12:27:01.217242-07:00,1895.8,615.7,1145.4,1505.1,1001.3,1155.0,1521.8,1711.9,3428.6,3432.2,1419.5,1452.5,1499.5,3432.2,916.9,1382.1,3444.3,3441.9,724.9,1341.3,944.9,590.7,1239.9,1762.7,3435.8,3439.5,704.4,979.0,1285.5,1431.4,1170.0,1101.7,-8.0,0.0,-1.0,8975.0,13203.0,-1986.0,-3100.0,51.0,-3.0,-20.0,-3.0,0.0,7.0,10710.0,11100.0,3626.0,4169.0,47.0,12.0,-16.0,1.0
2022-05-06 12:27:01.248158-07:00,1886.9,607.6,1163.0,1505.1,1015.9,1155.0,1521.8,1711.9,3449.1,3443.1,1416.7,1452.5,1498.6,3432.2,916.9,1382.1,3444.3,3441.9,724.9,1346.7,944.9,586.7,1239.9,1754.1,3435.8,3439.5,704.4,967.9,1285.5,1428.6,1174.4,1099.0,-2.0,-2.0,0.0,8966.0,13211.0,-1981.0,-3096.0,42.0,25.0,4.0,0.0,-4.0,6.0,10700.0,11108.0,3634.0,4168.0,42.0,9.0,-3.0,1.0
2022-05-06 12:27:01.308082-07:00,1886.9,607.6,1163.0,1499.5,998.7,1155.9,1520.8,1712.9,3449.1,3443.1,1416.7,1450.6,1504.1,3440.7,927.1,1375.7,3428.6,3449.1,725.8,1350.3,945.8,586.7,1239.9,1754.1,3446.7,3446.7,710.1,973.9,1285.5,1428.6,1174.4,1099.0,-2.0,0.0,-6.0,8956.0,13218.0,-1983.0,-3093.0,13.0,-17.0,10.0,-8.0,-1.0,1.0,10689.0,11115.0,3646.0,4166.0,22.0,14.0,-19.0,1.0
2022-05-06 12:27:01.397467-07:00,1896.7,608.4,1147.1,1506.0,998.7,1155.9,1520.8,1712.9,3429.8,3428.6,1417.6,1454.3,1504.1,3440.7,927.1,1375.7,3428.6,3449.1,725.8,1350.3,944.9,586.7,1232.8,1758.9,3446.7,3446.7,710.1,973.9,1284.6,1429.5,1167.4,1106.0,-1.0,-4.0,1.0,8958.0,13213.0,-2001.0,-3098.0,2.0,-40.0,32.0,-7.0,-6.0,-1.0,10688.0,11115.0,3648.0,4166.0,-11.0,-6.0,11.0,1.0
2022-05-06 12:27:01.398507-07:00,1896.7,608.4,1147.1,1506.0,1002.2,1149.8,1552.5,1749.3,3429.8,3428.6,1417.6,1454.3,1507.8,3437.0,914.4,1378.5,3441.9,3433.4,725.8,1338.6,944.9,586.7,1232.8,1758.9,3450.4,3438.2,696.2,966.2,1284.6,1429.5,1167.4,1106.0,2.0,8.0,7.0,8958.0,13209.0,-2021.0,-3101.0,0.0,-9.0,32.0,-1.0,1.0,4.0,10689.0,11114.0,3643.0,4169.0,-5.0,-2.0,13.0,1.0
2022-05-06 12:27:01.487401-07:00,1880.1,606.0,1148.0,1511.5,1002.2,1149.8,1552.5,1749.3,3443.1,3441.9,1422.2,1446.0,1507.8,3437.0,914.4,1378.5,3441.9,3433.4,725.8,1338.6,946.6,589.9,1231.0,1759.8,3450.4,3438.2,696.2,966.2,1273.9,1428.6,1170.0,1099.0,9.0,0.0,9.0,8959.0,13207.0,-2030.0,-3101.0,2.0,-9.0,13.0,-2.0,0.0,-3.0,10684.0,11117.0,3648.0,4172.0,15.0,18.0,-2.0,1.0
2022-05-06 12:27:01.517326-07:00,1880.1,606.0,1148.0,1511.5,996.2,1155.9,1545.0,1749.3,3443.1,3441.9,1422.2,1446.0,1507.8,3444.3,921.1,1377.5,3449.1,3438.2,729.0,1338.6,946.6,589.9,1231.0,1759.8,3449.1,3438.2,709.3,973.9,1273.9,1428.6,1170.0,1099.0,1.0,5.0,4.0,8961.0,13207.0,-2032.0,-3096.0,13.0,8.0,1.0,-7.0,0.0,-1.0,10678.0,11118.0,3656.0,4176.0,24.0,18.0,-10.0,1.0
2022-05-06 12:27:01.577478-07:00,1892.8,601.2,1148.9,1508.8,996.2,1155.9,1545.0,1738.7,3446.7,3446.7,1425.0,1456.2,1507.8,3444.3,921.1,1379.4,3444.3,3438.2,729.0,1338.6,939.0,591.5,1231.0,1754.1,3446.7,3438.2,709.3,973.9,1281.9,1435.0,1176.2,1107.8,0.0,-5.0,1.0,8955.0,13212.0,-2028.0,-3096.0,33.0,-4.0,-6.0,-8.0,-3.0,3.0,10670.0,11122.0,3666.0,4179.0,29.0,14.0,-3.0,1.0
2022-05-06 12:27:01.607224-07:00,1883.0,601.2,1148.9,1508.8,996.2,1144.5,1534.8,1738.7,3444.3,3446.7,1425.0,1456.2,1502.3,3447.9,917.7,1379.4,3444.3,3435.8,730.7,1345.8,939.0,591.5,1231.0,1759.8,3446.7,3437.0,702.8,971.3,1281.9,1435.0,1176.2,1105.1,-2.0,0.0,4.0,8956.0,13213.0,-2025.0,-3091.0,-35.0,19.0,-2.0,-6.0,0.0,-1.0,10666.0,11122.0,3671.0,4183.0,-10.0,17.0,-1.0,1.0
