Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:30:21.564542-07:00,1855.7,584.3,1153.3,1496.7,980.7,1120.0,1272.1,1474.6,3445.5,3449.1,1403.0,1430.5,1448.8,3438.2,898.3,1367.6,3438.2,3440.7,725.8,1332.3,1018.5,582.6,1197.4,1706.2,3440.7,3449.1,666.0,925.4,1267.6,1442.4,1179.7,1060.8,0.0,11.0,0.0,8148.0,12999.0,-4339.0,-3776.0,-5.0,-3.0,-2.0,-5.0,0.0,-6.0,9622.0,11038.0,5842.0,4459.0,-7.0,-1.0,-8.0,1.0
2022-05-06 12:30:21.651803-07:00,1846.9,583.5,1153.3,1497.7,980.7,1120.0,1272.1,1475.5,3444.3,3445.5,1401.2,1435.0,1448.8,3438.2,898.3,1358.5,3438.2,3440.7,725.8,1332.3,1022.8,580.2,1201.8,1711.0,3440.7,3449.1,666.0,925.4,1267.6,1437.8,1176.2,1065.1,-1.0,-1.0,10.0,8145.0,12998.0,-4340.0,-3784.0,1.0,-38.0,-9.0,-4.0,-6.0,5.0,9625.0,11037.0,5843.0,4454.0,-3.0,-19.0,-14.0,1.0
2022-05-06 12:30:21.653095-07:00,1853.7,583.5,1153.3,1497.7,980.7,1113.9,1272.1,1475.5,3443.1,3445.5,1401.2,1435.0,1436.0,3446.7,889.8,1358.5,3438.2,3439.5,725.8,1320.5,1022.8,580.2,1201.8,1711.0,3440.7,3446.7,666.0,921.1,1267.6,1437.8,1176.2,1063.4,-3.0,15.0,15.0,8146.0,12994.0,-4343.0,-3792.0,-4.0,-8.0,5.0,-7.0,-1.0,6.0,9628.0,11036.0,5842.0,4451.0,-4.0,-6.0,0.0,1.0
2022-05-06 12:30:21.711796-07:00,1853.7,584.3,1155.0,1500.4,980.7,1113.9,1272.1,1468.1,3443.1,3438.2,1402.1,1426.8,1436.0,3446.7,889.8,1364.8,3432.2,3439.5,725.8,1320.5,1020.2,581.8,1199.1,1711.0,3443.1,3446.7,666.0,921.1,1262.2,1444.2,1174.4,1063.4,-2.0,2.0,5.0,8147.0,12993.0,-4342.0,-3793.0,11.0,-8.0,0.0,-5.0,-2.0,3.0,9629.0,11036.0,5843.0,4451.0,12.0,4.0,1.0,1.0
2022-05-06 12:30:21.772320-07:00,1843.0,584.3,1155.0,1500.4,974.8,1114.7,1273.0,1468.1,3440.7,3438.2,1402.1,1426.8,1456.2,3446.7,899.1,1364.8,3432.2,3435.8,729.0,1324.1,1020.2,581.8,1199.1,1702.4,3443.1,3446.7,659.5,933.9,1262.2,1444.2,1174.4,1059.1,3.0,8.0,7.0,8148.0,12992.0,-4343.0,-3793.0,-9.0,1.0,12.0,0.0,-4.0,5.0,9629.0,11035.0,5842.0,4451.0,-7.0,2.0,10.0,1.0
2022-05-06 12:30:21.802045-07:00,1843.0,584.3,1150.6,1504.1,974.8,1114.7,1273.0,1463.5,3440.7,3445.5,1401.2,1427.7,1456.2,3446.7,899.1,1355.8,3428.6,3435.8,729.0,1324.1,1022.8,584.3,1203.5,1702.4,3449.1,3446.7,659.5,933.9,1272.1,1446.0,1170.9,1059.1,-5.0,11.0,11.0,8150.0,12991.0,-4343.0,-3793.0,1.0,4.0,-8.0,-4.0,0.0,10.0,9630.0,11035.0,5842.0,4451.0,-2.0,2.0,2.0,1.0
2022-05-06 12:30:21.861706-07:00,1847.9,584.3,1150.6,1504.1,987.6,1109.5,1273.0,1463.5,3443.1,3445.5,1401.2,1427.7,1456.2,3438.2,894.1,1355.8,3428.6,3437.0,723.3,1325.0,1022.8,584.3,1203.5,1709.1,3449.1,3443.1,671.7,933.9,1272.1,1446.0,1170.9,1065.1,-7.0,6.0,7.0,8150.0,12991.0,-4342.0,-3793.0,7.0,13.0,0.0,-11.0,-1.0,8.0,9629.0,11034.0,5844.0,4451.0,13.0,12.0,3.0,1.0
2022-05-06 12:30:21.921783-07:00,1847.9,585.1,1154.2,1496.7,987.6,1109.5,1272.1,1476.4,3443.1,3443.1,1402.1,1425.9,1456.2,3438.2,894.9,1368.5,3441.9,3446.7,723.3,1325.0,1019.4,582.6,1201.8,1709.1,3444.3,3445.5,671.7,933.9,1264.9,1438.7,1172.6,1065.1,-8.0,12.0,4.0,8150.0,12991.0,-4343.0,-3791.0,12.0,3.0,18.0,-8.0,4.0,3.0,9628.0,11032.0,5847.0,4454.0,9.0,7.0,10.0,1.0
2022-05-06 12:30:21.981722-07:00,1853.7,587.5,1154.2,1496.7,978.2,1114.7,1272.1,1476.4,3438.2,3444.3,1402.1,1425.9,1453.4,3451.6,894.9,1368.5,3441.9,3446.7,725.8,1327.8,1019.4,582.6,1199.1,1711.0,3444.3,3445.5,670.1,927.1,1264.9,1438.7,1174.4,1065.1,-11.0,3.0,5.0,8156.0,12988.0,-4342.0,-3793.0,-12.0,-7.0,2.0,-10.0,-7.0,7.0,9633.0,11028.0,5846.0,4455.0,-15.0,-2.0,0.0,1.0
2022-05-06 12:30:22.011825-07:00,1853.7,587.5,1151.5,1500.4,978.2,1114.7,1275.6,1460.8,3438.2,3444.3,1405.8,1436.0,1453.4,3451.6,895.7,1355.8,3434.6,3438.2,725.8,1327.8,1026.3,582.6,1199.1,1711.0,3439.5,3449.1,670.1,927.1,1270.3,1444.2,1174.4,1065.1,-12.0,3.0,11.0,8156.0,12987.0,-4342.0,-3796.0,-9.0,1.0,3.0,-13.0,-6.0,11.0,9636.0,11025.0,5846.0,4455.0,-13.0,-7.0,5.0,1.0
