Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:30:21.606734-07:00,1145.4,661.1,915.2,883.1,857.9,724.1,1441.5,1216.8,3474.6,3472.2,986.7,810.2,1450.6,3474.6,1140.1,1105.1,3477.1,3481.9,330.5,602.0,1055.6,1263.1,476.6,1551.5,3471.0,3478.3,602.0,623.8,1550.6,926.2,840.3,836.9,-5.0,2.0,4.0,7962.0,-8301.0,9859.0,-6240.0,-4.0,-1.0,6.0,-17.0,-7.0,6.0,6933.0,-14105.0,4229.0,-1876.0,6.0,-2.0,-2.0,1.0
2022-05-06 12:30:21.607776-07:00,1145.4,661.1,915.2,893.2,857.9,726.6,1441.5,1217.7,3474.6,3472.2,986.7,807.7,1450.6,3473.4,1139.2,1102.5,3484.4,3488.0,329.0,602.0,1058.2,1263.1,476.6,1551.5,3477.1,3478.3,594.7,623.8,1547.8,926.2,840.3,836.9,-1.0,1.0,7.0,7961.0,-8300.0,9860.0,-6242.0,13.0,9.0,-9.0,-9.0,-4.0,9.0,6938.0,-14103.0,4230.0,-1874.0,14.0,8.0,0.0,1.0
2022-05-06 12:30:21.666822-07:00,1146.3,659.5,911.8,893.2,861.2,726.6,1441.5,1217.7,3478.3,3464.9,1001.3,807.7,1452.5,3473.4,1139.2,1102.5,3484.4,3488.0,329.0,596.3,1058.2,1272.1,473.5,1557.1,3477.1,3478.3,594.7,624.6,1547.8,930.5,845.3,831.1,5.0,-6.0,2.0,7961.0,-8299.0,9860.0,-6243.0,-1.0,-7.0,-1.0,-5.0,-3.0,2.0,6939.0,-14102.0,4231.0,-1874.0,1.0,3.0,-3.0,1.0
2022-05-06 12:30:21.668589-07:00,1146.3,659.5,911.8,884.8,861.2,728.2,1426.8,1215.1,3478.3,3464.9,1001.3,808.5,1452.5,3474.6,1132.2,1100.8,3485.6,3478.3,325.9,596.3,1056.5,1272.1,473.5,1557.1,3481.9,3475.9,597.1,624.6,1539.4,930.5,845.3,831.1,8.0,-9.0,2.0,7960.0,-8300.0,9860.0,-6243.0,9.0,-3.0,-5.0,-2.0,-10.0,4.0,6939.0,-14102.0,4231.0,-1873.0,3.0,-11.0,-3.0,1.0
2022-05-06 12:30:21.669759-07:00,1141.0,664.4,917.7,884.8,857.0,728.2,1426.8,1215.1,3471.0,3463.7,991.9,808.5,1447.0,3474.6,1132.2,1100.8,3485.6,3478.3,325.9,599.6,1056.5,1274.7,480.6,1552.5,3481.9,3475.9,597.1,626.2,1539.4,923.7,841.9,831.1,12.0,-3.0,0.0,7964.0,-8300.0,9855.0,-6244.0,-8.0,-20.0,8.0,3.0,-6.0,5.0,6944.0,-14101.0,4229.0,-1870.0,0.0,-8.0,4.0,1.0
2022-05-06 12:30:21.671638-07:00,1141.0,664.4,917.7,890.7,854.5,725.8,1433.2,1213.3,3471.0,3463.7,991.9,806.9,1452.5,3475.9,1138.4,1104.3,3481.9,3471.0,327.5,602.8,1056.5,1274.7,480.6,1552.5,3481.9,3478.3,597.9,625.4,1547.8,923.7,841.9,831.1,11.0,-3.0,11.0,7962.0,-8303.0,9856.0,-6242.0,-3.0,20.0,13.0,-4.0,-8.0,9.0,6942.0,-14102.0,4232.0,-1867.0,-7.0,-2.0,11.0,1.0
2022-05-06 12:30:21.820498-07:00,1145.4,659.5,912.7,894.1,854.5,725.8,1433.2,1213.3,3481.9,3467.4,996.2,811.9,1452.5,3475.9,1138.4,1104.3,3481.9,3471.0,327.5,602.8,1053.9,1274.7,479.0,1555.3,3481.9,3478.3,597.9,625.4,1549.7,926.2,841.9,833.6,9.0,0.0,2.0,7957.0,-8296.0,9865.0,-6244.0,-11.0,26.0,12.0,-2.0,-3.0,6.0,6941.0,-14101.0,4237.0,-1864.0,-22.0,4.0,12.0,1.0
2022-05-06 12:30:21.821918-07:00,1145.4,659.5,912.7,894.1,855.3,734.0,1440.5,1212.4,3481.9,3467.4,996.2,811.9,1453.4,3466.1,1139.2,1106.9,3483.2,3467.4,334.4,596.3,1053.9,1274.7,479.0,1555.3,3481.9,3484.4,597.9,624.6,1549.7,926.2,841.9,833.6,9.0,2.0,-6.0,7955.0,-8297.0,9865.0,-6245.0,9.0,6.0,-5.0,-1.0,-2.0,2.0,6939.0,-14101.0,4239.0,-1866.0,6.0,4.0,-2.0,1.0
2022-05-06 12:30:21.822460-07:00,1148.0,657.9,918.6,890.7,855.3,734.0,1440.5,1212.4,3475.9,3472.2,993.6,811.9,1453.4,3466.1,1139.2,1106.9,3483.2,3467.4,334.4,596.3,1053.9,1274.7,476.6,1546.9,3481.9,3484.4,597.9,624.6,1551.5,926.2,844.4,835.2,9.0,2.0,3.0,7957.0,-8296.0,9860.0,-6252.0,24.0,-4.0,-11.0,-1.0,-6.0,11.0,6944.0,-14098.0,4238.0,-1867.0,20.0,-5.0,-4.0,1.0
2022-05-06 12:30:21.966712-07:00,1148.0,657.9,918.6,890.7,855.3,727.4,1436.9,1209.7,3475.9,3472.2,993.6,811.9,1447.9,3464.9,1132.2,1102.5,3478.3,3469.8,329.8,600.4,1053.9,1274.7,476.6,1546.9,3478.3,3472.2,593.9,627.0,1551.5,926.2,844.4,835.2,6.0,-6.0,7.0,7955.0,-8299.0,9860.0,-6250.0,-19.0,5.0,-2.0,-3.0,-12.0,6.0,6945.0,-14098.0,4238.0,-1868.0,-21.0,1.0,-5.0,1.0
