Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:32:17.037321-07:00,1889.9,601.2,1170.9,1485.6,971.3,1155.9,1288.2,1559.0,3439.5,3438.2,1496.7,1434.1,1448.8,3431.0,991.0,1376.6,3435.8,3438.2,711.8,1325.0,969.6,591.5,1328.7,1716.7,3439.5,3444.3,728.2,946.6,1264.9,1455.2,1211.5,1051.3,0.0,3.0,-4.0,8552.0,12838.0,-4089.0,-3708.0,8.0,2.0,14.0,-6.0,2.0,-4.0,8880.0,11184.0,5502.0,5850.0,28.0,0.0,7.0,1.0
2022-05-06 12:32:17.067425-07:00,1889.9,601.2,1170.9,1485.6,977.3,1168.2,1287.3,1564.6,3439.5,3438.2,1496.7,1434.1,1456.2,3432.2,986.7,1374.8,3443.1,3431.0,706.9,1332.3,969.6,591.5,1328.7,1716.7,3450.4,3451.6,730.7,945.8,1264.9,1455.2,1211.5,1051.3,8.0,0.0,4.0,8538.0,12844.0,-4099.0,-3711.0,50.0,-42.0,-3.0,1.0,12.0,-6.0,8868.0,11194.0,5508.0,5844.0,34.0,3.0,4.0,1.0
2022-05-06 12:32:17.157051-07:00,1886.9,603.6,1189.4,1489.3,977.3,1168.2,1287.3,1564.6,3449.1,3441.9,1494.9,1427.7,1456.2,3432.2,986.7,1374.8,3443.1,3431.0,706.9,1332.3,973.1,602.8,1335.0,1714.8,3450.4,3451.6,730.7,945.8,1262.2,1447.9,1216.0,1047.8,8.0,14.0,-4.0,8528.0,12846.0,-4115.0,-3710.0,32.0,-22.0,39.0,4.0,3.0,2.0,8857.0,11203.0,5511.0,5841.0,39.0,4.0,6.0,1.0
2022-05-06 12:32:17.159401-07:00,1884.0,603.6,1189.4,1489.3,977.3,1160.3,1287.3,1559.0,3445.5,3441.9,1494.9,1427.7,1455.2,3440.7,990.2,1373.0,3440.7,3443.1,700.3,1334.1,973.1,602.8,1335.0,1711.0,3439.5,3441.9,722.5,965.4,1262.2,1447.9,1216.0,1049.6,11.0,16.0,12.0,8515.0,12847.0,-4130.0,-3718.0,25.0,-41.0,-20.0,0.0,11.0,-9.0,8848.0,11207.0,5518.0,5840.0,11.0,16.0,-13.0,1.0
2022-05-06 12:32:17.277657-07:00,1884.0,601.2,1174.4,1481.0,977.3,1160.3,1287.3,1573.0,3445.5,3435.8,1498.6,1425.9,1455.2,3440.7,990.2,1374.8,3435.8,3443.1,700.3,1334.1,973.1,597.1,1335.9,1711.0,3443.1,3441.9,722.5,965.4,1258.7,1446.0,1221.3,1049.6,1.0,7.0,1.0,8498.0,12856.0,-4129.0,-3727.0,57.0,-8.0,-27.0,0.0,11.0,1.0,8839.0,11207.0,5534.0,5838.0,51.0,35.0,-24.0,1.0
2022-05-06 12:32:17.279332-07:00,1897.7,601.2,1174.4,1481.0,979.9,1170.0,1297.2,1573.0,3439.5,3435.8,1498.6,1425.9,1451.6,3441.9,996.2,1374.8,3435.8,3439.5,701.9,1325.0,973.1,597.1,1335.9,1724.4,3443.1,3445.5,720.8,1051.3,1258.7,1446.0,1221.3,1051.3,3.0,13.0,5.0,8468.0,12876.0,-4124.0,-3734.0,90.0,1.0,-58.0,-12.0,4.0,-9.0,8822.0,11214.0,5559.0,5826.0,83.0,27.0,-38.0,1.0
2022-05-06 12:32:17.307914-07:00,1897.7,606.0,1175.3,1494.9,979.9,1170.0,1297.2,1579.6,3439.5,3444.3,1508.8,1430.5,1451.6,3441.9,996.2,1379.4,3431.0,3439.5,701.9,1325.0,974.8,594.7,1345.8,1724.4,3450.4,3445.5,720.8,1051.3,1268.5,1445.1,1224.8,1051.3,0.0,2.0,-18.0,8448.0,12903.0,-4085.0,-3727.0,71.0,43.0,-88.0,0.0,-2.0,-4.0,8806.0,11219.0,5584.0,5818.0,61.0,19.0,-34.0,1.0
2022-05-06 12:32:17.367529-07:00,1892.8,606.0,1175.3,1494.9,982.5,1182.3,1289.1,1579.6,3447.9,3444.3,1508.8,1430.5,1466.3,3435.8,997.9,1379.4,3431.0,3440.7,707.7,1335.9,974.8,594.7,1345.8,1709.1,3450.4,3454.0,724.1,973.9,1268.5,1445.1,1224.8,1044.4,9.0,-12.0,9.0,8398.0,12928.0,-4089.0,-3747.0,117.0,-84.0,-37.0,-5.0,-6.0,-18.0,8780.0,11231.0,5615.0,5803.0,99.0,19.0,-25.0,1.0
2022-05-06 12:32:17.397591-07:00,1892.8,614.9,1174.4,1492.1,982.5,1182.3,1289.1,1572.1,3447.9,3438.2,1507.8,1442.4,1466.3,3435.8,997.9,1379.4,3438.2,3440.7,707.7,1335.9,971.3,596.3,1368.5,1709.1,3445.5,3454.0,724.1,973.9,1261.3,1447.0,1223.0,1044.4,0.0,5.0,-6.0,8345.0,12950.0,-4116.0,-3764.0,105.0,-108.0,-2.0,0.0,3.0,-9.0,8752.0,11251.0,5634.0,5790.0,77.0,8.0,4.0,1.0
2022-05-06 12:32:17.457838-07:00,1894.8,622.2,1174.4,1492.1,968.8,1175.3,1299.8,1572.1,3439.5,3440.7,1507.8,1442.4,1457.1,3433.4,988.5,1379.4,3438.2,3428.6,706.9,1344.9,971.3,596.3,1354.9,1709.1,3445.5,3446.7,720.0,1185.0,1261.3,1447.0,1220.4,1045.2,7.0,7.0,12.0,8305.0,12958.0,-4147.0,-3789.0,48.0,-79.0,0.0,-1.0,5.0,-6.0,8733.0,11265.0,5644.0,5781.0,46.0,-1.0,1.0,1.0
2022-05-06 12:32:17.517888-07:00,1894.8,622.2,1182.3,1485.6,968.8,1175.3,1299.8,1571.1,3439.5,3440.7,1500.4,1417.6,1457.1,3433.4,975.6,1376.6,3433.4,3438.2,706.9,1344.9,967.9,598.7,1354.9,1709.1,3441.9,3440.7,720.0,1185.0,1266.7,1446.0,1220.4,1045.2,0.0,3.0,4.0,8287.0,12956.0,-4173.0,-3806.0,62.0,-78.0,42.0,-5.0,0.0,-2.0,8725.0,11271.0,5648.0,5777.0,59.0,4.0,5.0,1.0
2022-05-06 12:32:17.547871-07:00,1927.2,624.6,1182.3,1485.6,969.6,1172.6,1299.8,1571.1,3434.6,3435.8,1500.4,1417.6,1449.7,3435.8,975.6,1376.6,3433.4,3438.2,701.9,1346.7,967.9,598.7,1344.9,1710.0,3441.9,3440.7,723.3,3087.0,1266.7,1446.0,1219.5,1054.8,1.0,18.0,10.0,8277.0,12955.0,-4192.0,-3810.0,-29.0,-2.0,6.0,-6.0,15.0,-6.0,8713.0,11281.0,5654.0,5771.0,4.0,5.0,1.0,1.0
2022-05-06 12:32:17.607921-07:00,1927.2,624.6,1180.6,1477.3,969.6,1172.6,1314.2,1581.4,3434.6,3435.8,1475.5,1424.1,1449.7,3435.8,971.3,1371.2,3438.2,3438.2,701.9,1346.7,972.2,602.0,1344.9,1710.0,3441.9,3443.1,723.3,3087.0,1258.7,1447.9,1219.5,1054.8,10.0,-4.0,1.0,8286.0,12950.0,-4190.0,-3808.0,21.0,-9.0,15.0,7.0,4.0,-12.0,8711.0,11280.0,5656.0,5773.0,26.0,6.0,7.0,1.0
2022-05-06 12:32:17.727864-07:00,1914.4,627.8,1180.6,1477.3,966.2,1167.4,1314.2,1581.4,3433.4,3446.7,1475.5,1424.1,1447.9,3434.6,971.3,1371.2,3438.2,3438.2,705.2,1354.0,972.2,602.0,1319.6,1707.2,3441.9,3443.1,720.8,982.5,1258.7,1447.9,1202.7,1049.6,-4.0,-14.0,-3.0,8293.0,12947.0,-4189.0,-3806.0,-28.0,10.0,8.0,-3.0,-5.0,0.0,8707.0,11280.0,5660.0,5775.0,-8.0,8.0,6.0,1.0
2022-05-06 12:32:17.757418-07:00,1914.4,627.8,1182.3,1484.7,966.2,1163.8,1313.3,1578.6,3433.4,3446.7,1484.7,1425.0,1447.9,3433.4,963.7,1378.5,3438.2,3433.4,709.3,1354.0,973.9,600.4,1319.6,1707.2,3437.0,3439.5,719.2,982.5,1254.2,1442.4,1202.7,1049.6,1.0,14.0,-8.0,8296.0,12939.0,-4200.0,-3815.0,-49.0,-41.0,9.0,-4.0,12.0,-12.0,8712.0,11276.0,5658.0,5778.0,-55.0,-8.0,6.0,1.0
