Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:35:59.239614-07:00,1223.9,673.3,907.6,873.8,831.1,747.2,1470.9,1268.5,3480.7,3471.0,981.6,798.5,1388.5,3479.5,1124.4,1085.1,3469.8,3471.0,313.6,624.6,966.2,1208.9,495.6,1532.0,3483.2,3478.3,609.2,636.7,1490.3,905.0,838.6,824.4,1.0,-12.0,13.0,4915.0,-4792.0,12363.0,-8274.0,-28.0,13.0,-5.0,-1.0,-11.0,5.0,6354.0,-14100.0,4574.0,-2884.0,-17.0,0.0,-9.0,1.0
2022-05-06 12:35:59.241961-07:00,1223.9,665.2,919.4,878.9,831.1,747.2,1470.9,1259.6,3480.7,3467.4,980.7,796.9,1388.5,3479.5,1124.4,1083.4,3472.2,3471.0,313.6,624.6,973.9,1210.6,496.4,1532.0,3473.4,3478.3,609.2,636.7,1481.0,909.3,833.6,824.4,3.0,0.0,12.0,4914.0,-4793.0,12362.0,-8276.0,2.0,6.0,4.0,2.0,0.0,7.0,6354.0,-14101.0,4574.0,-2883.0,2.0,-6.0,-2.0,1.0
2022-05-06 12:35:59.242710-07:00,1226.6,665.2,919.4,878.9,835.2,744.7,1469.0,1259.6,3466.1,3467.4,980.7,796.9,1378.5,3474.6,1136.6,1083.4,3472.2,3471.0,315.1,621.4,973.9,1210.6,496.4,1527.3,3473.4,3472.2,610.8,634.3,1481.0,909.3,833.6,823.5,5.0,0.0,19.0,4913.0,-4786.0,12367.0,-8273.0,-6.0,23.0,13.0,0.0,-5.0,12.0,6352.0,-14102.0,4575.0,-2882.0,-1.0,4.0,-2.0,1.0
2022-05-06 12:35:59.299795-07:00,1226.6,676.6,916.0,874.7,835.2,744.7,1469.0,1261.3,3466.1,3472.2,984.2,801.9,1378.5,3474.6,1136.6,1086.0,3464.9,3471.0,315.1,621.4,964.5,1206.2,495.6,1527.3,3478.3,3472.2,610.8,634.3,1490.3,907.6,835.2,823.5,1.0,-13.0,7.0,4907.0,-4783.0,12371.0,-8273.0,-18.0,10.0,0.0,0.0,-6.0,3.0,6347.0,-14104.0,4575.0,-2881.0,-8.0,1.0,0.0,1.0
2022-05-06 12:35:59.359915-07:00,1217.7,673.3,916.0,874.7,837.7,745.5,1470.9,1261.3,3471.0,3467.4,984.2,801.9,1393.0,3474.6,1127.9,1086.0,3464.9,3480.7,315.9,623.8,964.5,1206.2,494.0,1525.5,3478.3,3478.3,615.7,635.9,1490.3,907.6,829.4,814.4,1.0,4.0,13.0,4906.0,-4784.0,12372.0,-8271.0,-13.0,6.0,8.0,-6.0,-5.0,9.0,6347.0,-14104.0,4575.0,-2881.0,-11.0,0.0,-6.0,1.0
2022-05-06 12:35:59.479123-07:00,1217.7,673.3,911.8,877.2,837.7,745.5,1480.1,1264.0,3471.0,3467.4,979.0,796.9,1393.0,3474.6,1124.4,1088.6,3472.2,3475.9,315.9,623.8,967.1,1210.6,494.0,1525.5,3480.7,3478.3,615.7,635.9,1492.1,916.0,829.4,814.4,0.0,2.0,12.0,4905.0,-4786.0,12372.0,-8271.0,7.0,5.0,-13.0,0.0,-10.0,16.0,6345.0,-14104.0,4576.0,-2881.0,14.0,9.0,-7.0,1.0
2022-05-06 12:35:59.480703-07:00,1217.7,674.2,911.8,877.2,831.1,744.7,1480.1,1264.0,3475.9,3480.7,979.0,796.9,1386.6,3466.1,1124.4,1088.6,3472.2,3475.9,315.1,620.5,967.1,1210.6,493.2,1519.9,3480.7,3478.3,610.0,639.2,1492.1,916.0,830.2,819.4,2.0,-8.0,6.0,4904.0,-4792.0,12370.0,-8270.0,-17.0,-12.0,-3.0,-1.0,-2.0,3.0,6346.0,-14104.0,4576.0,-2882.0,-15.0,-8.0,-4.0,1.0
2022-05-06 12:35:59.509243-07:00,1217.7,674.2,909.3,878.9,831.1,744.7,1470.9,1259.6,3475.9,3480.7,981.6,800.2,1386.6,3466.1,1126.1,1092.9,3472.2,3471.0,315.1,620.5,962.8,1209.7,493.2,1519.9,3472.2,3469.8,610.0,639.2,1490.3,915.2,830.2,819.4,4.0,2.0,18.0,4910.0,-4798.0,12369.0,-8265.0,-15.0,-18.0,-9.0,-4.0,-4.0,7.0,6345.0,-14104.0,4576.0,-2881.0,-2.0,0.0,-3.0,1.0
2022-05-06 12:35:59.510182-07:00,1216.8,670.1,909.3,878.9,836.9,742.2,1470.9,1259.6,3471.0,3468.6,981.6,800.2,1384.8,3462.5,1126.1,1092.9,3472.2,3471.0,315.9,624.6,962.8,1209.7,495.6,1525.5,3472.2,3469.8,606.8,635.1,1490.3,915.2,833.6,824.4,3.0,1.0,10.0,4908.0,-4795.0,12366.0,-8273.0,8.0,15.0,1.0,1.0,-5.0,8.0,6348.0,-14103.0,4576.0,-2882.0,5.0,11.0,-5.0,1.0
2022-05-06 12:35:59.510993-07:00,1216.8,670.1,905.0,880.6,836.9,742.2,1466.3,1259.6,3471.0,3468.6,980.7,800.2,1384.8,3462.5,1126.1,1084.2,3458.9,3477.1,315.9,624.6,972.2,1214.2,495.6,1525.5,3471.0,3472.2,606.8,635.1,1494.0,912.7,833.6,824.4,0.0,-3.0,9.0,4907.0,-4799.0,12366.0,-8270.0,3.0,-15.0,-16.0,0.0,-3.0,8.0,6344.0,-14105.0,4577.0,-2882.0,18.0,-1.0,-6.0,1.0
