Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:38:39.330221-07:00,1196.5,661.1,905.0,872.1,825.2,752.1,1495.8,1240.8,3467.4,3484.4,975.6,795.2,1383.0,3472.2,1133.1,1086.8,3478.3,3478.3,322.8,602.0,934.7,1199.1,471.9,1515.3,3488.0,3484.4,615.7,657.9,1479.2,895.7,817.7,862.1,0.0,-6.0,16.0,4090.0,-2608.0,12765.0,-9053.0,-7.0,18.0,5.0,0.0,-4.0,0.0,6873.0,-14001.0,4448.0,-2317.0,2.0,10.0,-1.0,1.0
2022-05-06 12:38:39.331429-07:00,1196.5,661.1,905.0,872.1,828.5,757.9,1512.5,1231.9,3467.4,3484.4,975.6,795.2,1378.5,3468.6,1131.4,1076.4,3480.7,3474.6,313.6,601.2,934.7,1199.1,471.9,1515.3,3475.9,3474.6,610.8,659.5,1479.2,895.7,817.7,862.1,-2.0,-10.0,12.0,4087.0,-2607.0,12769.0,-9050.0,-9.0,3.0,2.0,3.0,-3.0,3.0,6870.0,-14003.0,4449.0,-2317.0,-1.0,-3.0,8.0,1.0
2022-05-06 12:38:39.360100-07:00,1192.0,658.7,904.2,866.3,828.5,757.9,1512.5,1231.9,3464.9,3473.4,973.1,791.0,1378.5,3468.6,1131.4,1076.4,3480.7,3474.6,313.6,601.2,935.6,1193.8,475.0,1515.3,3475.9,3474.6,610.8,659.5,1474.6,899.1,820.2,858.7,1.0,-2.0,12.0,4086.0,-2608.0,12770.0,-9047.0,-21.0,6.0,-3.0,0.0,-1.0,4.0,6869.0,-14003.0,4449.0,-2317.0,-10.0,-1.0,-5.0,1.0
2022-05-06 12:38:39.361837-07:00,1192.0,658.7,904.2,866.3,831.9,752.9,1502.3,1231.0,3464.9,3473.4,973.1,791.0,1383.9,3467.4,1122.6,1098.2,3472.2,3480.7,309.7,605.2,935.6,1193.8,475.0,1515.3,3473.4,3483.2,605.2,666.8,1474.6,899.1,820.2,858.7,0.0,-4.0,10.0,4085.0,-2610.0,12770.0,-9047.0,8.0,-9.0,-12.0,1.0,-1.0,1.0,6869.0,-14003.0,4449.0,-2317.0,2.0,0.0,-2.0,1.0
2022-05-06 12:38:39.362967-07:00,1192.9,655.4,896.6,872.1,831.9,752.9,1502.3,1238.2,3477.1,3477.1,971.3,795.2,1383.9,3467.4,1122.6,1086.0,3478.3,3480.7,309.7,605.2,956.8,1196.5,474.3,1518.0,3475.9,3483.2,605.2,666.8,1478.3,897.4,816.9,865.4,-1.0,-4.0,13.0,4085.0,-2611.0,12770.0,-9048.0,4.0,2.0,-1.0,1.0,-3.0,2.0,6869.0,-14003.0,4449.0,-2317.0,6.0,-5.0,6.0,1.0
2022-05-06 12:38:39.510094-07:00,1187.6,655.4,896.6,872.1,828.5,749.6,1502.3,1238.2,3475.9,3477.1,971.3,795.2,1382.1,3472.2,1127.0,1086.0,3478.3,3472.2,318.2,612.5,956.8,1196.5,474.3,1516.2,3475.9,3483.2,614.1,672.5,1478.3,897.4,816.9,860.4,-5.0,-2.0,14.0,4085.0,-2611.0,12770.0,-9048.0,-5.0,1.0,10.0,-1.0,2.0,4.0,6869.0,-14003.0,4449.0,-2317.0,-4.0,1.0,-2.0,1.0
2022-05-06 12:38:39.511083-07:00,1187.6,658.7,905.9,869.6,828.5,749.6,1502.3,1237.3,3475.9,3467.4,966.2,791.9,1382.1,3472.2,1127.0,1079.0,3475.9,3472.2,318.2,612.5,933.0,1193.8,473.5,1516.2,3473.4,3483.2,614.1,672.5,1478.3,898.3,818.5,860.4,-3.0,-8.0,14.0,4086.0,-2610.0,12771.0,-9047.0,18.0,9.0,-11.0,0.0,-2.0,3.0,6869.0,-14003.0,4449.0,-2317.0,8.0,-2.0,-2.0,1.0
2022-05-06 12:38:39.539913-07:00,1194.7,658.7,905.9,869.6,836.1,752.1,1503.2,1237.3,3472.2,3467.4,966.2,791.9,1377.5,3474.6,1125.2,1079.0,3475.9,3474.6,325.1,604.4,933.0,1193.8,473.5,1506.9,3473.4,3472.2,616.5,666.0,1478.3,898.3,818.5,862.1,1.0,-4.0,12.0,4084.0,-2612.0,12769.0,-9049.0,-4.0,-6.0,7.0,2.0,-3.0,5.0,6871.0,-14002.0,4448.0,-2317.0,-2.0,-5.0,0.0,1.0
2022-05-06 12:38:39.569983-07:00,1194.7,656.2,902.5,867.1,836.1,752.1,1503.2,1239.1,3472.2,3480.7,975.6,791.0,1377.5,3474.6,1125.2,1081.6,3475.9,3474.6,325.1,604.4,933.9,1199.1,477.4,1506.9,3475.9,3472.2,616.5,666.0,1473.6,894.9,818.5,862.1,0.0,-7.0,13.0,4085.0,-2611.0,12771.0,-9047.0,-17.0,3.0,3.0,1.0,-4.0,4.0,6869.0,-14003.0,4449.0,-2317.0,-17.0,0.0,1.0,1.0
2022-05-06 12:38:39.600296-07:00,1188.5,656.2,902.5,867.1,830.2,750.5,1489.3,1239.1,3468.6,3480.7,975.6,791.0,1376.6,3480.7,1126.1,1081.6,3475.9,3467.4,317.4,607.6,933.9,1199.1,477.4,1515.3,3475.9,3472.2,614.9,665.2,1473.6,894.9,818.5,865.4,6.0,0.0,9.0,4084.0,-2611.0,12770.0,-9048.0,17.0,5.0,-15.0,3.0,4.0,3.0,6870.0,-14003.0,4449.0,-2317.0,16.0,5.0,0.0,1.0
