Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:40:27.607138-07:00,1157.7,666.8,1092.1,1043.5,874.7,771.1,1553.4,1253.3,3458.9,3466.1,1139.2,873.0,1489.3,3473.4,1350.3,1281.9,3471.0,3469.8,303.6,577.8,922.0,1200.9,570.6,1690.0,3471.0,3478.3,692.1,736.5,1605.8,1106.0,1008.2,862.9,2.0,-5.0,10.0,2455.0,-1757.0,12765.0,-9817.0,9.0,-12.0,2.0,0.0,0.0,2.0,6577.0,-13825.0,4675.0,-3494.0,10.0,-7.0,7.0,1.0
2022-05-06 12:40:27.608068-07:00,1157.7,666.8,1090.3,1034.9,874.7,770.3,1554.3,1259.6,3458.9,3466.1,1141.0,876.4,1489.3,3464.9,1354.9,1269.4,3484.4,3478.3,303.6,577.8,917.7,1200.0,570.6,1690.0,3474.6,3477.1,697.9,736.5,1604.9,1105.1,1008.2,862.9,4.0,-1.0,13.0,2457.0,-1759.0,12765.0,-9817.0,2.0,-6.0,-4.0,4.0,2.0,1.0,6577.0,-13825.0,4674.0,-3492.0,0.0,0.0,0.0,1.0
2022-05-06 12:40:27.608816-07:00,1158.6,662.7,1083.4,1034.9,872.1,770.3,1554.3,1259.6,3483.2,3469.8,1134.9,876.4,1481.9,3464.9,1354.9,1269.4,3484.4,3478.3,303.6,576.2,917.7,1197.4,570.6,1688.1,3474.6,3477.1,697.9,734.8,1604.9,1102.5,1003.9,887.3,2.0,-6.0,17.0,2458.0,-1758.0,12765.0,-9816.0,-2.0,3.0,12.0,1.0,-4.0,6.0,6577.0,-13825.0,4674.0,-3492.0,9.0,-1.0,5.0,1.0
2022-05-06 12:40:27.610038-07:00,1158.6,662.7,1083.4,1037.5,872.1,771.1,1554.3,1261.3,3483.2,3469.8,1134.9,880.6,1481.9,3469.8,1353.1,1278.3,3474.6,3467.4,298.2,576.2,924.5,1197.4,570.6,1688.1,3469.8,3466.1,695.4,734.8,1604.9,1102.5,1003.9,887.3,0.0,-1.0,8.0,2454.0,-1757.0,12766.0,-9816.0,-2.0,-6.0,-10.0,1.0,1.0,5.0,6578.0,-13825.0,4674.0,-3493.0,-3.0,2.0,5.0,1.0
2022-05-06 12:40:27.636069-07:00,1156.8,659.5,1086.8,1037.5,871.3,771.1,1554.3,1261.3,3473.4,3466.1,1134.9,880.6,1482.9,3469.8,1353.1,1278.3,3474.6,3467.4,298.2,580.2,924.5,1196.5,565.0,1691.9,3469.8,3466.1,695.4,737.3,1604.9,1103.4,1004.8,892.4,3.0,-1.0,8.0,2454.0,-1757.0,12766.0,-9816.0,-2.0,-3.0,7.0,3.0,-2.0,2.0,6580.0,-13824.0,4674.0,-3493.0,11.0,-1.0,2.0,1.0
2022-05-06 12:40:27.696604-07:00,1157.7,657.0,1094.7,1040.9,870.5,769.5,1555.3,1251.5,3469.8,3467.4,1134.9,876.4,1483.8,3467.4,1354.0,1290.9,3474.6,3479.5,295.9,575.4,917.7,1192.9,562.6,1685.3,3478.3,3485.6,694.6,735.6,1599.3,1106.9,1004.8,885.6,3.0,-4.0,14.0,2455.0,-1756.0,12765.0,-9817.0,-1.0,-3.0,0.0,3.0,-5.0,2.0,6585.0,-13821.0,4672.0,-3495.0,7.0,0.0,1.0,1.0
2022-05-06 12:40:27.756396-07:00,1162.1,658.7,1083.4,1037.5,870.5,769.5,1555.3,1251.5,3474.6,3478.3,1138.4,878.0,1483.8,3467.4,1354.0,1290.9,3474.6,3479.5,295.9,575.4,926.2,1184.1,569.0,1692.9,3478.3,3485.6,694.6,735.6,1603.0,1101.7,1003.9,884.8,3.0,-7.0,9.0,2455.0,-1756.0,12764.0,-9818.0,1.0,-8.0,-5.0,2.0,-1.0,3.0,6585.0,-13821.0,4672.0,-3495.0,-1.0,0.0,3.0,1.0
2022-05-06 12:40:27.816714-07:00,1162.1,658.7,1083.4,1037.5,866.3,766.2,1553.4,1260.4,3474.6,3478.3,1138.4,878.0,1486.6,3456.4,1351.2,1277.4,3478.3,3477.1,300.5,577.0,926.2,1184.1,569.0,1692.9,3481.9,3483.2,693.8,735.6,1603.0,1101.7,1003.9,884.8,-1.0,-6.0,15.0,2459.0,-1755.0,12761.0,-9822.0,16.0,5.0,13.0,4.0,-3.0,6.0,6590.0,-13819.0,4671.0,-3497.0,13.0,-1.0,3.0,1.0
2022-05-06 12:40:27.846133-07:00,1161.2,656.2,1087.7,1042.6,866.3,766.2,1553.4,1258.7,3472.2,3473.4,1140.1,869.6,1486.6,3456.4,1351.2,1276.5,3481.9,3477.1,300.5,577.0,927.1,1193.8,570.6,1691.0,3485.6,3483.2,693.8,735.6,1604.9,1098.2,1011.6,888.2,0.0,-6.0,14.0,2459.0,-1756.0,12765.0,-9816.0,-26.0,-4.0,-8.0,-2.0,-4.0,2.0,6585.0,-13821.0,4672.0,-3495.0,-14.0,1.0,0.0,1.0
2022-05-06 12:40:27.906030-07:00,1154.2,656.2,1087.7,1042.6,878.0,763.7,1555.3,1258.7,3475.9,3473.4,1140.1,869.6,1477.3,3471.0,1353.1,1276.5,3481.9,3471.0,305.9,574.6,927.1,1193.8,570.6,1686.2,3485.6,3477.1,692.1,724.9,1604.9,1098.2,1011.6,890.7,1.0,-4.0,15.0,2458.0,-1753.0,12757.0,-9828.0,52.0,10.0,0.0,1.0,-2.0,7.0,6593.0,-13817.0,4670.0,-3498.0,37.0,-3.0,4.0,1.0
