Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:42:15.326738-07:00,1162.1,731.5,1075.6,1009.9,852.0,755.4,1737.8,1232.8,3473.4,3463.7,1075.6,872.1,1469.0,3467.4,1317.8,1298.1,3480.7,3464.9,297.4,583.5,908.4,1180.6,565.8,1790.7,3473.4,3469.8,662.7,745.5,1541.3,1073.8,989.3,868.8,6.0,-3.0,29.0,2265.0,110.0,13115.0,-9554.0,48.0,-12.0,-28.0,1.0,-10.0,10.0,6552.0,-13887.0,4997.0,-2776.0,49.0,7.0,0.0,1.0
2022-05-06 12:42:15.386698-07:00,1162.1,734.8,1077.3,1008.2,855.3,755.4,1737.8,1232.8,3478.3,3472.2,1076.4,873.0,1458.9,3467.4,1317.8,1298.1,3480.7,3464.9,297.4,584.3,920.3,1184.1,565.0,1797.4,3473.4,3469.8,662.7,743.0,1537.6,1083.4,981.6,868.8,1.0,7.0,7.0,2258.0,102.0,13098.0,-9580.0,23.0,-2.0,-20.0,0.0,6.0,0.0,6570.0,-13878.0,4993.0,-2783.0,11.0,2.0,-4.0,1.0
2022-05-06 12:42:15.476649-07:00,1162.1,734.8,1077.3,1008.2,852.8,754.6,1733.0,1217.7,3478.3,3472.2,1076.4,873.0,1466.3,3468.6,1316.0,1288.2,3477.1,3475.9,299.7,578.6,920.3,1184.1,565.0,1797.4,3472.2,3471.0,680.7,745.5,1537.6,1083.4,981.6,868.8,8.0,-3.0,20.0,2257.0,95.0,13103.0,-9573.0,-25.0,0.0,-4.0,9.0,-8.0,8.0,6562.0,-13882.0,4994.0,-2780.0,-13.0,-4.0,0.0,1.0
2022-05-06 12:42:15.537863-07:00,1160.3,730.7,1078.2,1009.0,852.8,754.6,1733.0,1217.7,3473.4,3478.3,1077.3,867.1,1466.3,3468.6,1316.0,1288.2,3477.1,3475.9,299.7,578.6,916.0,1195.6,562.6,1799.4,3472.2,3471.0,680.7,745.5,1539.4,1091.2,985.9,861.2,5.0,0.0,12.0,2256.0,95.0,13103.0,-9573.0,-38.0,-3.0,11.0,4.0,1.0,0.0,6560.0,-13883.0,4995.0,-2779.0,-31.0,-4.0,7.0,1.0
2022-05-06 12:42:15.699105-07:00,1160.3,730.7,1078.2,1009.0,853.7,760.4,1737.8,1219.5,3473.4,3478.3,1077.3,867.1,1464.4,3461.3,1318.7,1290.0,3480.7,3483.2,299.0,576.2,916.0,1195.6,562.6,1799.4,3478.3,3484.4,676.6,741.4,1539.4,1091.2,985.9,861.2,5.0,-1.0,24.0,2254.0,95.0,13112.0,-9561.0,8.0,13.0,-16.0,4.0,-9.0,13.0,6548.0,-13888.0,4997.0,-2775.0,7.0,6.0,10.0,1.0
2022-05-06 12:42:15.716379-07:00,1164.7,738.9,1082.5,1008.2,853.7,760.4,1737.8,1219.5,3469.8,3478.3,1084.2,874.7,1464.4,3461.3,1318.7,1290.0,3480.7,3483.2,299.0,576.2,911.0,1189.4,562.6,1789.7,3478.3,3484.4,676.6,741.4,1538.5,1080.8,988.5,864.6,2.0,6.0,1.0,2252.0,89.0,13107.0,-9569.0,-33.0,-19.0,-8.0,0.0,7.0,-3.0,6553.0,-13886.0,4998.0,-2777.0,-19.0,-5.0,-1.0,1.0
2022-05-06 12:42:15.717268-07:00,1160.3,738.9,1082.5,1008.2,849.5,772.0,1727.2,1220.4,3468.6,3478.3,1084.2,874.7,1464.4,3471.0,1314.2,1296.3,3478.3,3483.2,292.1,580.2,911.0,1189.4,562.6,1795.5,3472.2,3478.3,673.3,734.8,1538.5,1080.8,988.5,867.9,7.0,-4.0,23.0,2256.0,83.0,13111.0,-9562.0,33.0,-7.0,-4.0,7.0,-12.0,13.0,6549.0,-13888.0,4998.0,-2775.0,36.0,-2.0,0.0,1.0
2022-05-06 12:42:15.718916-07:00,1160.3,733.2,1077.3,1014.2,849.5,772.0,1727.2,1219.5,3468.6,3473.4,1078.2,869.6,1464.4,3471.0,1314.2,1289.1,3471.0,3483.2,292.1,580.2,914.4,1187.6,563.4,1795.5,3479.5,3478.3,673.3,734.8,1547.8,1077.3,987.6,867.9,2.0,2.0,12.0,2253.0,80.0,13102.0,-9576.0,-4.0,-8.0,-22.0,0.0,0.0,3.0,6558.0,-13883.0,4997.0,-2780.0,1.0,6.0,-4.0,1.0
2022-05-06 12:42:15.720082-07:00,1168.2,733.2,1077.3,1014.2,846.1,757.9,1731.1,1219.5,3475.9,3473.4,1078.2,869.6,1468.1,3468.6,1314.2,1289.1,3471.0,3477.1,297.4,585.1,914.4,1187.6,563.4,1789.7,3479.5,3483.2,670.9,737.3,1547.8,1077.3,987.6,861.2,2.0,-11.0,18.0,2249.0,76.0,13104.0,-9574.0,7.0,15.0,8.0,5.0,-6.0,6.0,6556.0,-13884.0,4997.0,-2779.0,2.0,-3.0,6.0,1.0
2022-05-06 12:42:15.776581-07:00,1168.2,733.2,1071.2,1006.5,846.1,757.9,1731.1,1214.2,3475.9,3475.9,1079.9,868.8,1468.1,3468.6,1314.2,1296.3,3478.3,3477.1,297.4,585.1,914.4,1192.9,565.8,1789.7,3477.1,3483.2,670.9,737.3,1529.2,1079.9,985.9,861.2,4.0,3.0,7.0,2251.0,75.0,13099.0,-9580.0,12.0,-8.0,-9.0,1.0,2.0,2.0,6561.0,-13881.0,4999.0,-2779.0,12.0,-3.0,11.0,1.0
2022-05-06 12:42:15.806527-07:00,1168.2,733.2,1071.2,1006.5,844.4,758.7,1726.3,1214.2,3471.0,3475.9,1079.9,868.8,1462.6,3462.5,1307.9,1296.3,3478.3,3469.8,299.7,585.1,914.4,1192.9,565.8,1793.6,3477.1,3477.1,675.0,756.3,1529.2,1079.9,985.9,865.4,7.0,7.0,15.0,2252.0,73.0,13099.0,-9580.0,-23.0,-9.0,-5.0,6.0,-2.0,7.0,6562.0,-13880.0,4998.0,-2779.0,-8.0,-10.0,-2.0,1.0
2022-05-06 12:42:15.866615-07:00,1168.2,734.0,1071.2,1003.9,844.4,758.7,1743.5,1223.9,3471.0,3466.1,1076.4,864.6,1462.6,3462.5,1319.6,1284.6,3474.6,3467.4,299.7,585.1,905.0,1185.9,569.8,1793.6,3478.3,3483.2,675.0,756.3,1540.3,1078.2,984.2,865.4,3.0,-4.0,10.0,2252.0,66.0,13094.0,-9587.0,11.0,-22.0,-7.0,0.0,-2.0,1.0,6567.0,-13878.0,4997.0,-2781.0,19.0,-3.0,5.0,1.0
2022-05-06 12:42:15.926558-07:00,1160.3,732.3,1071.2,1003.9,855.3,758.7,1743.5,1223.9,3464.9,3472.2,1076.4,864.6,1461.7,3475.9,1319.6,1284.6,3474.6,3467.4,298.2,589.1,905.0,1185.9,565.0,1789.7,3478.3,3483.2,673.3,745.5,1540.3,1078.2,983.3,866.3,3.0,3.0,20.0,2260.0,64.0,13092.0,-9588.0,21.0,-10.0,12.0,3.0,-4.0,8.0,6570.0,-13878.0,4995.0,-2777.0,13.0,-13.0,4.0,1.0
2022-05-06 12:42:15.956487-07:00,1160.3,732.3,1078.2,1005.6,855.3,758.7,1717.7,1221.3,3464.9,3472.2,1074.7,869.6,1461.7,3475.9,1310.6,1286.4,3472.2,3469.8,298.2,589.1,915.2,1189.4,565.0,1789.7,3471.0,3472.2,673.3,745.5,1533.8,1076.4,983.3,866.3,3.0,9.0,12.0,2261.0,65.0,13081.0,-9603.0,12.0,-5.0,-9.0,-2.0,1.0,3.0,6582.0,-13872.0,4993.0,-2781.0,28.0,0.0,0.0,1.0
2022-05-06 12:42:16.017493-07:00,1164.7,733.2,1078.2,1005.6,858.7,757.9,1717.7,1221.3,3473.4,3475.9,1074.7,869.6,1463.5,3473.4,1310.6,1286.4,3472.2,3469.8,297.4,582.6,915.2,1189.4,559.4,1784.9,3471.0,3472.2,666.0,736.5,1533.8,1076.4,978.2,862.1,8.0,3.0,15.0,2261.0,64.0,13080.0,-9603.0,-10.0,5.0,-3.0,5.0,-6.0,8.0,6581.0,-13873.0,4993.0,-2781.0,-17.0,0.0,5.0,1.0
2022-05-06 12:42:16.106649-07:00,1164.7,733.2,1072.9,1006.5,858.7,757.9,1729.1,1217.7,3473.4,3475.9,1077.3,875.5,1463.5,3473.4,1311.5,1297.2,3473.4,3484.4,297.4,582.6,913.5,1189.4,559.4,1784.9,3462.5,3472.2,666.0,736.5,1543.1,1078.2,978.2,862.1,2.0,6.0,15.0,2258.0,64.0,13076.0,-9609.0,12.0,29.0,-8.0,-2.0,3.0,3.0,6584.0,-13871.0,4994.0,-2781.0,20.0,6.0,2.0,1.0
2022-05-06 12:42:16.108170-07:00,1156.8,727.4,1072.9,1006.5,848.6,762.0,1729.1,1217.7,3468.6,3472.2,1077.3,875.5,1465.4,3478.3,1311.5,1297.2,3473.4,3484.4,299.0,578.6,913.5,1189.4,561.0,1786.8,3462.5,3472.2,665.2,738.1,1543.1,1078.2,978.2,862.9,2.0,-3.0,10.0,2249.0,63.0,13079.0,-9609.0,1.0,-6.0,-18.0,2.0,-4.0,7.0,6579.0,-13873.0,4995.0,-2780.0,-17.0,3.0,0.0,1.0
2022-05-06 12:42:16.226601-07:00,1156.8,727.4,1071.2,1005.6,848.6,762.0,1733.0,1224.8,3468.6,3472.2,1081.6,868.8,1465.4,3474.6,1313.3,1286.4,3478.3,3473.4,302.8,578.6,911.0,1188.5,561.0,1786.8,3475.9,3473.4,666.0,738.1,1536.6,1080.8,978.2,862.9,4.0,-2.0,13.0,2250.0,57.0,13080.0,-9606.0,-25.0,-14.0,-3.0,3.0,-6.0,3.0,6578.0,-13874.0,4995.0,-2779.0,-18.0,-5.0,-1.0,1.0
2022-05-06 12:42:16.228196-07:00,1160.3,725.8,1066.9,1005.6,848.6,762.0,1733.0,1224.8,3475.9,3462.5,1073.8,868.8,1470.9,3474.6,1313.3,1286.4,3478.3,3473.4,302.8,582.6,911.0,1181.5,562.6,1796.5,3475.9,3473.4,666.0,739.7,1536.6,1086.8,987.6,861.2,2.0,7.0,17.0,2251.0,53.0,13077.0,-9610.0,33.0,-6.0,-13.0,1.0,-1.0,9.0,6583.0,-13872.0,4994.0,-2781.0,32.0,2.0,1.0,1.0
2022-05-06 12:42:16.256650-07:00,1160.3,725.8,1066.9,1004.8,848.6,756.3,1741.6,1231.9,3475.9,3462.5,1073.8,867.9,1470.9,3473.4,1310.6,1286.4,3474.6,3477.1,299.0,582.6,917.7,1181.5,562.6,1796.5,3479.5,3469.8,670.1,739.7,1539.4,1086.8,987.6,861.2,2.0,1.0,9.0,2250.0,49.0,13073.0,-9616.0,-41.0,-1.0,-5.0,5.0,-8.0,8.0,6584.0,-13871.0,4994.0,-2781.0,-27.0,-2.0,-7.0,1.0
2022-05-06 12:42:16.316478-07:00,1159.4,732.3,1070.3,1004.8,854.5,756.3,1741.6,1231.9,3467.4,3474.6,1077.3,867.9,1465.4,3473.4,1310.6,1286.4,3474.6,3477.1,299.0,583.5,917.7,1185.9,558.6,1794.5,3479.5,3469.8,670.1,734.8,1539.4,1075.6,982.5,864.6,3.0,0.0,20.0,2250.0,46.0,13078.0,-9609.0,24.0,2.0,-6.0,2.0,-4.0,5.0,6582.0,-13872.0,4994.0,-2780.0,24.0,3.0,2.0,1.0
2022-05-06 12:42:16.346380-07:00,1159.4,732.3,1070.3,1013.3,854.5,753.8,1726.3,1222.2,3467.4,3474.6,1077.3,875.5,1465.4,3464.9,1307.9,1282.8,3478.3,3478.3,299.7,583.5,916.9,1185.9,558.6,1794.5,3480.7,3474.6,665.2,734.8,1543.1,1075.6,982.5,864.6,2.0,6.0,5.0,2249.0,46.0,13070.0,-9620.0,-9.0,5.0,-11.0,2.0,-1.0,4.0,6588.0,-13869.0,4993.0,-2783.0,-9.0,3.0,-1.0,1.0
2022-05-06 12:42:16.406600-07:00,1170.0,734.8,1070.3,1006.5,853.7,753.8,1726.3,1222.2,3474.6,3471.0,1077.3,872.1,1470.9,3464.9,1307.9,1282.8,3478.3,3478.3,299.7,589.1,912.7,1198.2,563.4,1794.5,3480.7,3474.6,665.2,739.7,1532.9,1071.2,976.5,849.5,3.0,-1.0,13.0,2250.0,43.0,13072.0,-9617.0,-6.0,-23.0,0.0,1.0,1.0,2.0,6585.0,-13871.0,4994.0,-2782.0,0.0,3.0,3.0,1.0
2022-05-06 12:42:16.466712-07:00,1170.0,734.8,1070.3,1006.5,852.0,751.3,1729.1,1231.9,3474.6,3471.0,1077.3,872.1,1462.6,3467.4,1310.6,1287.3,3478.3,3474.6,312.0,582.6,912.7,1198.2,563.4,1794.5,3483.2,3469.8,675.0,734.8,1532.9,1071.2,976.5,849.5,2.0,2.0,12.0,2254.0,41.0,13067.0,-9623.0,25.0,0.0,-8.0,6.0,-6.0,5.0,6592.0,-13867.0,4992.0,-2784.0,25.0,-8.0,2.0,1.0
2022-05-06 12:42:16.526623-07:00,1158.6,726.6,1068.6,1015.1,852.0,751.3,1729.1,1231.9,3479.5,3462.5,1072.1,866.3,1462.6,3467.4,1310.6,1287.3,3478.3,3474.6,312.0,582.6,905.0,1184.1,561.0,1786.8,3483.2,3469.8,675.0,734.8,1536.6,1084.2,973.9,860.4,1.0,0.0,10.0,2257.0,39.0,13056.0,-9638.0,40.0,-23.0,11.0,0.0,2.0,2.0,6607.0,-13860.0,4989.0,-2790.0,46.0,-4.0,1.0,1.0
2022-05-06 12:42:16.557311-07:00,1158.6,726.6,1068.6,1015.1,853.7,765.3,1736.8,1232.8,3479.5,3462.5,1072.1,866.3,1462.6,3464.9,1311.5,1287.3,3469.8,3478.3,299.7,580.2,905.0,1184.1,561.0,1786.8,3467.4,3472.2,665.2,745.5,1536.6,1084.2,973.9,860.4,4.0,2.0,27.0,2262.0,42.0,13049.0,-9645.0,9.0,24.0,-7.0,0.0,-6.0,8.0,6612.0,-13858.0,4988.0,-2791.0,6.0,-8.0,3.0,1.0
2022-05-06 12:42:16.616590-07:00,1156.8,736.5,1069.5,1010.8,853.7,765.3,1736.8,1232.8,3471.0,3469.8,1072.9,872.1,1462.6,3464.9,1311.5,1287.3,3469.8,3478.3,299.7,580.2,905.0,1177.9,559.4,1795.5,3467.4,3472.2,665.2,745.5,1537.6,1076.4,973.1,868.8,0.0,4.0,5.0,2252.0,50.0,13043.0,-9657.0,-7.0,16.0,9.0,0.0,1.0,7.0,6616.0,-13856.0,4987.0,-2793.0,-6.0,11.0,4.0,1.0
2022-05-06 12:42:16.647201-07:00,1156.8,736.5,1069.5,1010.8,852.8,755.4,1717.7,1220.4,3471.0,3469.8,1072.9,872.1,1464.4,3467.4,1325.9,1287.3,3483.2,3473.4,296.7,586.7,905.0,1177.9,559.4,1795.5,3474.6,3471.0,666.8,738.9,1537.6,1076.4,973.1,868.8,5.0,0.0,14.0,2252.0,51.0,13051.0,-9646.0,-11.0,7.0,-5.0,0.0,-6.0,3.0,6604.0,-13861.0,4991.0,-2790.0,-19.0,-2.0,3.0,1.0
2022-05-06 12:42:16.827117-07:00,1163.8,731.5,1070.3,1010.8,852.8,755.4,1717.7,1229.3,3467.4,3472.2,1077.3,868.8,1464.4,3467.4,1325.9,1291.8,3475.9,3473.4,296.7,586.7,919.4,1185.0,561.0,1785.8,3478.3,3471.0,666.8,738.9,1541.3,1063.4,973.9,863.7,4.0,12.0,8.0,2252.0,50.0,13045.0,-9654.0,-2.0,-14.0,-1.0,-1.0,1.0,3.0,6613.0,-13857.0,4989.0,-2793.0,12.0,-5.0,-4.0,1.0
2022-05-06 12:42:16.827821-07:00,1152.4,731.5,1070.3,1010.8,851.1,759.6,1725.3,1229.3,3474.6,3472.2,1077.3,868.8,1458.9,3467.4,1309.7,1291.8,3475.9,3478.3,297.4,581.0,919.4,1185.0,561.0,1783.9,3478.3,3484.4,666.8,734.0,1541.3,1063.4,973.9,860.4,6.0,-11.0,15.0,2258.0,40.0,13049.0,-9646.0,-9.0,-30.0,-12.0,2.0,-7.0,5.0,6606.0,-13860.0,4990.0,-2791.0,-3.0,-2.0,1.0,1.0
2022-05-06 12:42:16.829255-07:00,1152.4,731.5,1078.2,1007.3,851.1,759.6,1725.3,1226.6,3474.6,3471.0,1072.9,866.3,1458.9,3467.4,1309.7,1281.0,3467.4,3478.3,297.4,581.0,906.7,1189.4,563.4,1783.9,3481.9,3484.4,666.8,734.0,1534.8,1072.1,980.7,860.4,2.0,6.0,20.0,2260.0,37.0,13042.0,-9656.0,23.0,19.0,-10.0,1.0,-1.0,8.0,6615.0,-13856.0,4988.0,-2793.0,20.0,-1.0,-1.0,1.0
2022-05-06 12:42:16.857030-07:00,1159.4,731.5,1078.2,1007.3,851.1,757.9,1717.7,1226.6,3467.4,3471.0,1072.9,866.3,1457.1,3467.4,1313.3,1281.0,3467.4,3488.0,299.7,579.4,906.7,1189.4,563.4,1781.0,3481.9,3481.9,666.8,733.2,1534.8,1072.1,980.7,865.4,6.0,-4.0,9.0,2255.0,34.0,13042.0,-9657.0,-40.0,-9.0,4.0,0.0,0.0,0.0,6610.0,-13859.0,4989.0,-2792.0,-33.0,2.0,6.0,1.0
2022-05-06 12:42:16.916604-07:00,1159.4,737.3,1070.3,1008.2,851.1,757.9,1717.7,1239.1,3467.4,3472.2,1072.9,867.9,1457.1,3467.4,1313.3,1288.2,3471.0,3488.0,299.7,579.4,907.6,1192.9,560.2,1781.0,3464.9,3481.9,666.8,733.2,1536.6,1069.5,978.2,865.4,2.0,8.0,14.0,2257.0,36.0,13044.0,-9653.0,40.0,-11.0,-6.0,-3.0,-2.0,6.0,6611.0,-13858.0,4989.0,-2792.0,38.0,-1.0,5.0,1.0
2022-05-06 12:42:16.946701-07:00,1161.2,731.5,1070.3,1008.2,852.8,757.9,1722.4,1239.1,3466.1,3464.9,1072.9,867.9,1458.9,3474.6,1311.5,1288.2,3471.0,3479.5,295.1,579.4,907.6,1192.9,561.0,1777.2,3464.9,3478.3,666.8,738.1,1536.6,1069.5,980.7,860.4,1.0,-7.0,15.0,2258.0,27.0,13041.0,-9658.0,-23.0,-18.0,-12.0,2.0,-1.0,6.0,6611.0,-13858.0,4989.0,-2792.0,-18.0,4.0,-8.0,1.0
