Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:44:35.571676-07:00,1148.9,697.0,998.7,956.8,825.2,754.6,1581.4,1472.7,3467.4,3473.4,1062.5,836.1,1448.8,3479.5,1264.9,1229.3,3463.7,3481.9,292.1,581.0,906.7,1182.3,585.9,1678.6,3468.6,3467.4,620.5,740.6,1552.5,1014.2,927.1,831.9,5.0,3.0,3.0,180.0,1478.0,12826.0,-10085.0,-25.0,-9.0,4.0,0.0,0.0,5.0,6645.0,-13739.0,4984.0,-3269.0,-12.0,3.0,3.0,1.0
2022-05-06 12:44:35.661652-07:00,1149.8,685.6,1001.3,956.8,822.7,754.6,1581.4,1472.7,3475.9,3461.3,1065.1,836.1,1440.5,3479.5,1264.9,1229.3,3463.7,3481.9,292.1,571.4,906.7,1181.5,575.4,1679.5,3468.6,3467.4,620.5,738.1,1552.5,1017.6,921.1,831.1,11.0,4.0,14.0,178.0,1476.0,12822.0,-10090.0,43.0,4.0,-16.0,2.0,4.0,6.0,6648.0,-13737.0,4983.0,-3270.0,31.0,1.0,5.0,1.0
2022-05-06 12:44:35.664338-07:00,1149.8,685.6,1001.3,961.1,822.7,748.8,1583.3,1470.0,3475.9,3461.3,1065.1,833.6,1440.5,3478.3,1257.8,1230.2,3478.3,3472.2,289.8,571.4,909.3,1181.5,575.4,1679.5,3480.7,3474.6,620.5,738.1,1552.5,1017.6,921.1,831.1,5.0,-6.0,11.0,173.0,1471.0,12815.0,-10100.0,36.0,1.0,-15.0,2.0,-3.0,7.0,6650.0,-13736.0,4983.0,-3271.0,10.0,-3.0,9.0,1.0
2022-05-06 12:44:35.751667-07:00,1152.4,692.1,997.0,958.5,814.4,748.8,1583.3,1470.0,3464.9,3472.2,1062.5,829.4,1443.3,3478.3,1257.8,1230.2,3478.3,3472.2,289.8,580.2,913.5,1177.9,576.2,1680.5,3480.7,3474.6,620.5,734.8,1558.1,1021.9,930.5,826.0,4.0,-10.0,16.0,163.0,1466.0,12806.0,-10113.0,62.0,6.0,-37.0,2.0,-10.0,10.0,6657.0,-13733.0,4982.0,-3273.0,30.0,-2.0,13.0,1.0
2022-05-06 12:44:35.752689-07:00,1152.4,692.1,997.0,958.5,821.9,753.8,1570.2,1473.6,3464.9,3472.2,1062.5,829.4,1446.0,3477.1,1264.0,1233.7,3475.9,3477.1,297.4,579.4,913.5,1177.9,576.2,1680.5,3472.2,3477.1,627.8,743.9,1558.1,1021.9,930.5,826.0,0.0,18.0,0.0,139.0,1449.0,12786.0,-10140.0,15.0,-5.0,-68.0,-1.0,3.0,7.0,6676.0,-13723.0,4979.0,-3279.0,20.0,0.0,-7.0,1.0
2022-05-06 12:44:35.811541-07:00,1145.4,692.9,1000.5,954.3,821.9,753.8,1570.2,1473.6,3471.0,3464.9,1066.9,832.7,1446.0,3477.1,1264.0,1233.7,3475.9,3477.1,297.4,579.4,912.7,1192.9,576.2,1678.6,3472.2,3477.1,627.8,743.9,1550.6,1028.8,931.3,828.5,6.0,-14.0,20.0,134.0,1440.0,12794.0,-10132.0,-25.0,3.0,-1.0,3.0,-4.0,5.0,6675.0,-13724.0,4979.0,-3278.0,10.0,-2.0,4.0,1.0
2022-05-06 12:44:35.841310-07:00,1145.4,692.9,1000.5,954.3,811.0,758.7,1581.4,1470.9,3471.0,3464.9,1066.9,832.7,1448.8,3472.2,1259.6,1231.9,3483.2,3479.5,295.1,573.0,912.7,1192.9,576.2,1678.6,3477.1,3480.7,628.6,747.2,1550.6,1028.8,931.3,828.5,5.0,3.0,16.0,125.0,1441.0,12790.0,-10137.0,13.0,25.0,-16.0,2.0,-4.0,12.0,6677.0,-13723.0,4979.0,-3278.0,4.0,8.0,4.0,1.0
2022-05-06 12:44:35.871643-07:00,1146.3,692.1,1001.3,960.2,811.0,758.7,1581.4,1470.9,3474.6,3466.1,1065.1,836.9,1448.8,3472.2,1259.6,1231.9,3483.2,3479.5,295.1,573.0,912.7,1179.7,572.2,1688.1,3477.1,3480.7,628.6,747.2,1555.3,1021.9,933.9,835.2,1.0,-2.0,8.0,116.0,1443.0,12787.0,-10141.0,1.0,11.0,3.0,1.0,-3.0,5.0,6675.0,-13723.0,4980.0,-3280.0,-10.0,0.0,3.0,1.0
2022-05-06 12:44:35.932354-07:00,1148.0,692.1,1001.3,960.2,821.0,752.9,1580.5,1467.2,3477.1,3466.1,1065.1,836.9,1445.1,3472.2,1267.6,1239.1,3467.4,3472.2,291.3,579.4,912.7,1179.7,572.2,1671.9,3483.2,3481.9,619.7,741.4,1555.3,1021.9,933.9,828.5,4.0,1.0,11.0,110.0,1446.0,12784.0,-10144.0,7.0,17.0,-6.0,-1.0,0.0,5.0,6676.0,-13723.0,4980.0,-3280.0,0.0,0.0,7.0,1.0
2022-05-06 12:44:36.022018-07:00,1148.0,694.6,998.7,954.3,821.0,752.9,1580.5,1461.7,3477.1,3473.4,1063.4,831.1,1445.1,3472.2,1267.6,1229.3,3478.3,3472.2,291.3,579.4,912.7,1178.8,575.4,1671.9,3478.3,3481.9,619.7,741.4,1552.5,1015.1,930.5,828.5,8.0,0.0,16.0,107.0,1444.0,12782.0,-10147.0,12.0,-5.0,-8.0,1.0,-5.0,9.0,6677.0,-13722.0,4979.0,-3280.0,13.0,0.0,0.0,1.0
