Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:46:06.737052-07:00,1877.2,642.4,1219.5,1521.8,965.4,1201.8,1617.1,1874.2,3437.0,3438.2,1485.6,1392.1,1465.4,3444.3,974.8,1443.3,3438.2,3432.2,691.3,1328.7,947.5,559.4,1409.4,1733.9,3444.3,3447.9,692.9,1047.8,1274.7,1519.0,1209.7,954.3,0.0,10.0,15.0,7696.0,12329.0,-6227.0,-4292.0,-34.0,-1.0,18.0,-3.0,10.0,16.0,9157.0,11646.0,4940.0,4955.0,-27.0,-4.0,7.0,1.0
2022-05-06 12:46:06.764580-07:00,1885.0,640.8,1224.8,1521.8,968.8,1201.8,1617.1,1874.2,3449.1,3438.2,1485.6,1392.1,1461.7,3444.3,974.8,1443.3,3438.2,3432.2,691.3,1329.6,947.5,567.4,1407.6,1723.4,3444.3,3447.9,692.9,1040.1,1274.7,1518.0,1211.5,949.2,7.0,5.0,13.0,7702.0,12317.0,-6237.0,-4301.0,0.0,-30.0,17.0,-1.0,14.0,7.0,9165.0,11641.0,4936.0,4957.0,-7.0,-7.0,6.0,1.0
2022-05-06 12:46:06.824746-07:00,1885.0,640.8,1224.8,1515.3,968.8,1214.2,1605.8,1865.4,3449.1,3438.2,1485.6,1397.6,1461.7,3444.3,977.3,1438.7,3439.5,3438.2,694.6,1329.6,948.3,567.4,1407.6,1723.4,3439.5,3445.5,694.6,1040.1,1285.5,1518.0,1211.5,949.2,6.0,0.0,20.0,7708.0,12310.0,-6239.0,-4307.0,-7.0,7.0,2.0,-4.0,9.0,16.0,9166.0,11639.0,4936.0,4958.0,-15.0,-2.0,2.0,1.0
2022-05-06 12:46:06.884532-07:00,1886.9,640.8,1214.2,1515.3,965.4,1214.2,1605.8,1865.4,3443.1,3441.9,1490.3,1397.6,1460.8,3444.3,977.3,1438.7,3439.5,3438.2,694.6,1325.9,948.3,565.0,1409.4,1720.5,3439.5,3445.5,694.6,1047.8,1285.5,1527.3,1210.6,956.8,5.0,5.0,15.0,7714.0,12307.0,-6238.0,-4308.0,-23.0,9.0,6.0,0.0,6.0,8.0,9168.0,11638.0,4935.0,4959.0,-11.0,-1.0,2.0,1.0
2022-05-06 12:46:06.916527-07:00,1886.9,640.8,1214.2,1511.5,965.4,1208.0,1617.1,1856.7,3443.1,3441.9,1490.3,1393.0,1460.8,3451.6,966.2,1440.5,3443.1,3435.8,690.5,1325.9,946.6,565.0,1409.4,1720.5,3440.7,3441.9,692.9,1047.8,1279.2,1527.3,1210.6,956.8,6.0,1.0,16.0,7723.0,12305.0,-6234.0,-4304.0,8.0,24.0,9.0,0.0,5.0,13.0,9173.0,11634.0,4933.0,4961.0,-4.0,3.0,8.0,1.0
2022-05-06 12:46:06.974904-07:00,1886.9,650.5,1216.8,1516.2,961.1,1208.0,1617.1,1856.7,3446.7,3434.6,1484.7,1391.2,1454.3,3451.6,966.2,1440.5,3443.1,3435.8,690.5,1323.2,947.5,565.8,1409.4,1720.5,3440.7,3441.9,692.9,1041.8,1279.2,1522.7,1210.6,949.2,1.0,8.0,11.0,7725.0,12309.0,-6229.0,-4294.0,0.0,23.0,9.0,3.0,5.0,15.0,9171.0,11636.0,4933.0,4961.0,-2.0,2.0,2.0,1.0
2022-05-06 12:46:07.034552-07:00,1886.9,650.5,1216.8,1516.2,973.9,1204.4,1604.0,1855.7,3446.7,3434.6,1484.7,1391.2,1458.0,3445.5,977.3,1442.4,3439.5,3440.7,689.7,1329.6,947.5,565.8,1409.4,1720.5,3443.1,3447.9,692.1,1048.7,1279.2,1522.7,1210.6,949.2,3.0,14.0,3.0,7726.0,12314.0,-6226.0,-4285.0,11.0,22.0,-5.0,3.0,11.0,12.0,9170.0,11636.0,4932.0,4961.0,7.0,9.0,4.0,1.0
2022-05-06 12:46:07.064588-07:00,1879.1,638.4,1219.5,1510.6,973.9,1204.4,1604.0,1855.7,3444.3,3440.7,1490.3,1389.4,1458.0,3445.5,977.3,1442.4,3439.5,3440.7,689.7,1329.6,943.2,565.8,1403.0,1727.2,3443.1,3447.9,692.1,1048.7,1276.5,1527.3,1210.6,951.7,3.0,0.0,12.0,7724.0,12318.0,-6225.0,-4277.0,28.0,10.0,7.0,0.0,9.0,14.0,9168.0,11638.0,4933.0,4960.0,24.0,0.0,2.0,1.0
2022-05-06 12:46:07.125663-07:00,1879.1,638.4,1219.5,1510.6,962.0,1199.1,1604.0,1852.8,3444.3,3440.7,1490.3,1389.4,1458.9,3438.2,966.2,1448.8,3434.6,3439.5,694.6,1324.1,943.2,565.8,1403.0,1727.2,3434.6,3441.9,695.4,1047.0,1276.5,1527.3,1210.6,951.7,-1.0,9.0,11.0,7728.0,12316.0,-6224.0,-4277.0,-28.0,-2.0,-9.0,-3.0,4.0,15.0,9168.0,11638.0,4933.0,4960.0,-30.0,3.0,0.0,1.0
2022-05-06 12:46:07.184526-07:00,1876.2,644.0,1223.0,1517.1,962.0,1199.1,1604.0,1852.8,3438.2,3444.3,1489.3,1395.7,1458.9,3438.2,966.2,1448.8,3434.6,3439.5,694.6,1324.1,948.3,564.2,1407.6,1725.3,3434.6,3441.9,695.4,1047.0,1280.1,1525.5,1207.1,954.3,3.0,6.0,15.0,7728.0,12313.0,-6227.0,-4281.0,8.0,-5.0,8.0,-1.0,13.0,7.0,9171.0,11636.0,4932.0,4961.0,-4.0,-5.0,5.0,1.0
2022-05-06 12:46:07.244518-07:00,1876.2,644.0,1223.0,1517.1,967.1,1201.8,1601.1,1833.3,3438.2,3444.3,1489.3,1395.7,1458.9,3431.0,965.4,1433.2,3435.8,3435.8,689.7,1324.1,948.3,564.2,1407.6,1725.3,3437.0,3444.3,690.5,1044.4,1280.1,1525.5,1207.1,954.3,1.0,2.0,15.0,7723.0,12316.0,-6229.0,-4280.0,41.0,-12.0,4.0,-1.0,6.0,12.0,9170.0,11637.0,4933.0,4961.0,17.0,2.0,2.0,1.0
2022-05-06 12:46:07.274680-07:00,1886.0,640.8,1227.5,1519.0,967.1,1201.8,1601.1,1825.5,3439.5,3443.1,1485.6,1396.7,1458.9,3431.0,965.4,1443.3,3438.2,3435.8,689.7,1324.1,946.6,562.6,1406.7,1725.3,3446.7,3444.3,690.5,1044.4,1283.7,1522.7,1211.5,950.9,7.0,5.0,12.0,7706.0,12321.0,-6238.0,-4280.0,28.0,-29.0,2.0,3.0,1.0,8.0,9162.0,11643.0,4936.0,4957.0,15.0,4.0,-2.0,1.0
2022-05-06 12:46:07.365165-07:00,1874.2,640.8,1227.5,1519.0,959.4,1207.1,1606.8,1825.5,3439.5,3443.1,1485.6,1396.7,1460.8,3438.2,971.3,1443.3,3438.2,3428.6,688.9,1324.1,946.6,562.6,1406.7,1728.2,3446.7,3438.2,694.6,1041.8,1283.7,1522.7,1211.5,956.8,-7.0,12.0,-3.0,7645.0,12340.0,-6266.0,-4296.0,188.0,-179.0,-40.0,-5.0,10.0,14.0,9142.0,11657.0,4948.0,4948.0,118.0,9.0,-22.0,1.0
2022-05-06 12:46:07.366448-07:00,1874.2,648.1,1218.6,1512.5,959.4,1207.1,1606.8,1853.7,3439.5,3449.1,1488.4,1393.0,1460.8,3438.2,971.3,1439.6,3439.5,3428.6,688.9,1324.1,942.4,565.0,1401.2,1728.2,3449.1,3438.2,694.6,1041.8,1276.5,1525.5,1210.6,956.8,19.0,13.0,22.0,7587.0,12340.0,-6306.0,-4340.0,-12.0,-108.0,-8.0,-3.0,20.0,-2.0,9119.0,11674.0,4965.0,4933.0,18.0,-11.0,-13.0,1.0
2022-05-06 12:46:07.424745-07:00,1888.9,648.1,1218.6,1512.5,968.8,1208.0,1599.3,1853.7,3446.7,3449.1,1488.4,1393.0,1463.5,3441.9,969.6,1439.6,3439.5,3433.4,690.5,1325.0,942.4,565.0,1401.2,1732.0,3449.1,3449.1,697.0,1040.1,1276.5,1525.5,1210.6,955.1,3.0,3.0,25.0,7608.0,12323.0,-6304.0,-4354.0,-9.0,5.0,12.0,-3.0,0.0,19.0,9138.0,11664.0,4955.0,4934.0,-31.0,-10.0,0.0,1.0
2022-05-06 12:46:07.575364-07:00,1888.9,636.7,1221.3,1517.1,968.8,1208.0,1599.3,1836.2,3446.7,3438.2,1489.3,1392.1,1463.5,3441.9,969.6,1445.1,3433.4,3433.4,690.5,1325.0,945.8,562.6,1400.3,1732.0,3443.1,3449.1,697.0,1040.1,1279.2,1522.7,1214.2,955.1,10.0,9.0,27.0,7615.0,12320.0,-6302.0,-4351.0,-11.0,46.0,-4.0,2.0,9.0,13.0,9134.0,11666.0,4956.0,4933.0,9.0,5.0,-6.0,1.0
2022-05-06 12:46:07.576272-07:00,1880.1,640.8,1221.3,1517.1,965.4,1195.6,1607.7,1836.2,3438.2,3432.2,1489.3,1392.1,1463.5,3445.5,971.3,1445.1,3433.4,3434.6,690.5,1323.2,945.8,562.6,1404.0,1724.4,3443.1,3439.5,698.7,1044.4,1279.2,1522.7,1208.9,943.2,-2.0,2.0,8.0,7631.0,12324.0,-6289.0,-4333.0,18.0,51.0,12.0,-1.0,9.0,12.0,9131.0,11667.0,4960.0,4935.0,18.0,16.0,2.0,1.0
2022-05-06 12:46:07.605013-07:00,1880.1,640.8,1216.0,1515.3,965.4,1195.6,1610.5,1843.0,3438.2,3432.2,1489.3,1387.5,1463.5,3445.5,973.9,1441.5,3434.6,3428.6,690.5,1323.2,944.1,566.6,1404.0,1724.4,3440.7,3438.2,698.7,1044.4,1282.8,1530.1,1208.9,943.2,0.0,6.0,2.0,7632.0,12329.0,-6286.0,-4321.0,-10.0,-2.0,-4.0,-1.0,7.0,13.0,9129.0,11667.0,4961.0,4935.0,-12.0,-2.0,-4.0,1.0
2022-05-06 12:46:07.634547-07:00,1878.1,642.4,1216.0,1515.3,958.5,1203.5,1610.5,1843.0,3441.9,3443.1,1489.3,1387.5,1453.4,3439.5,973.9,1441.5,3434.6,3428.6,688.9,1325.0,944.1,566.6,1396.7,1727.2,3440.7,3438.2,691.3,1041.8,1282.8,1530.1,1211.5,940.7,2.0,13.0,8.0,7640.0,12321.0,-6288.0,-4329.0,-62.0,-4.0,1.0,-6.0,11.0,15.0,9139.0,11662.0,4955.0,4935.0,-49.0,-14.0,-10.0,1.0
2022-05-06 12:46:07.664850-07:00,1878.1,642.4,1215.1,1519.0,958.5,1203.5,1603.0,1849.8,3441.9,3443.1,1480.1,1399.4,1453.4,3439.5,977.3,1442.4,3432.2,3439.5,688.9,1325.0,943.2,564.2,1396.7,1727.2,3438.2,3444.3,691.3,1041.8,1281.9,1526.4,1211.5,940.7,1.0,3.0,21.0,7651.0,12313.0,-6284.0,-4334.0,21.0,12.0,-4.0,-1.0,5.0,19.0,9145.0,11659.0,4952.0,4935.0,11.0,-1.0,1.0,1.0
2022-05-06 12:46:07.755079-07:00,1872.3,635.9,1215.1,1519.0,957.7,1206.2,1603.0,1849.8,3438.2,3444.3,1480.1,1399.4,1458.0,3438.2,977.3,1442.4,3432.2,3439.5,691.3,1324.1,943.2,564.2,1395.7,1727.2,3438.2,3444.3,692.1,1041.8,1281.9,1526.4,1207.1,955.1,2.0,7.0,5.0,7653.0,12316.0,-6281.0,-4327.0,28.0,20.0,7.0,1.0,8.0,13.0,9138.0,11664.0,4955.0,4933.0,34.0,6.0,-5.0,1.0
2022-05-06 12:46:07.784682-07:00,1872.3,635.9,1221.3,1508.8,957.7,1206.2,1596.4,1839.1,3438.2,3444.3,1484.7,1395.7,1458.0,3438.2,968.8,1441.5,3438.2,3437.0,691.3,1324.1,946.6,568.2,1395.7,1727.2,3441.9,3434.6,692.1,1041.8,1283.7,1524.5,1207.1,955.1,0.0,4.0,4.0,7659.0,12317.0,-6276.0,-4321.0,-33.0,9.0,-14.0,-1.0,3.0,16.0,9140.0,11662.0,4954.0,4933.0,-33.0,-1.0,-5.0,1.0
2022-05-06 12:46:07.814620-07:00,1875.2,637.6,1214.2,1508.8,957.7,1200.0,1596.4,1839.1,3443.1,3440.7,1500.4,1395.7,1462.6,3435.8,968.8,1441.5,3438.2,3437.0,686.4,1325.0,946.6,565.8,1395.7,1727.2,3441.9,3434.6,684.8,1046.1,1283.7,1525.5,1206.2,948.3,3.0,10.0,8.0,7659.0,12317.0,-6275.0,-4323.0,5.0,-12.0,5.0,-3.0,13.0,8.0,9140.0,11662.0,4954.0,4933.0,5.0,-3.0,3.0,1.0
2022-05-06 12:46:07.874454-07:00,1875.2,637.6,1214.2,1516.2,957.7,1200.0,1605.8,1828.4,3443.1,3440.7,1500.4,1393.9,1462.6,3444.3,972.2,1440.5,3437.0,3429.8,692.9,1325.0,942.4,565.8,1395.7,1727.2,3441.9,3438.2,693.8,1046.1,1281.9,1525.5,1206.2,948.3,0.0,5.0,15.0,7669.0,12311.0,-6272.0,-4328.0,-49.0,-4.0,-1.0,-2.0,7.0,27.0,9148.0,11656.0,4951.0,4937.0,-40.0,-6.0,-4.0,1.0
2022-05-06 12:46:07.994508-07:00,1885.0,647.3,1217.7,1516.2,958.5,1200.0,1605.8,1828.4,3433.4,3437.0,1485.6,1393.9,1459.8,3444.3,972.2,1440.5,3437.0,3429.8,692.9,1323.2,942.4,565.0,1395.7,1728.2,3441.9,3438.2,693.8,1040.1,1281.9,1525.5,1204.4,949.2,2.0,8.0,7.0,7676.0,12303.0,-6273.0,-4336.0,11.0,-18.0,5.0,-4.0,11.0,11.0,9151.0,11654.0,4949.0,4938.0,14.0,-8.0,-1.0,1.0
2022-05-06 12:46:07.996118-07:00,1885.0,647.3,1217.7,1513.4,958.5,1202.7,1597.4,1843.0,3433.4,3437.0,1485.6,1395.7,1459.8,3454.0,966.2,1441.5,3433.4,3440.7,688.0,1323.2,947.5,565.0,1395.7,1728.2,3438.2,3431.0,692.9,1040.1,1276.5,1525.5,1204.4,949.2,2.0,-3.0,15.0,7685.0,12297.0,-6271.0,-4341.0,-36.0,12.0,3.0,0.0,2.0,18.0,9158.0,11649.0,4947.0,4941.0,-26.0,-3.0,0.0,1.0
2022-05-06 12:46:08.024610-07:00,1877.2,641.6,1211.5,1513.4,956.0,1202.7,1597.4,1843.0,3439.5,3440.7,1481.9,1395.7,1461.7,3454.0,966.2,1441.5,3433.4,3440.7,688.0,1325.0,947.5,562.6,1393.9,1728.2,3438.2,3431.0,692.9,1039.2,1276.5,1530.1,1213.3,951.7,6.0,0.0,13.0,7691.0,12295.0,-6267.0,-4340.0,21.0,4.0,-4.0,0.0,4.0,15.0,9158.0,11648.0,4946.0,4941.0,17.0,4.0,-2.0,1.0
2022-05-06 12:46:08.114372-07:00,1877.2,641.6,1211.5,1506.9,957.7,1203.5,1597.4,1832.3,3439.5,3440.7,1481.9,1403.0,1458.9,3435.8,966.2,1436.9,3435.8,3435.8,692.9,1316.9,939.8,562.6,1393.9,1728.2,3444.3,3441.9,692.1,1035.7,1282.8,1530.1,1213.3,951.7,4.0,9.0,10.0,7689.0,12296.0,-6269.0,-4339.0,-24.0,1.0,7.0,-3.0,13.0,7.0,9157.0,11649.0,4947.0,4941.0,-14.0,-1.0,0.0,1.0
2022-05-06 12:46:08.115340-07:00,1869.3,633.5,1226.6,1514.3,957.7,1203.5,1597.4,1832.3,3439.5,3445.5,1477.3,1390.3,1458.9,3435.8,966.2,1436.9,3435.8,3435.8,692.9,1316.9,939.8,563.4,1396.7,1731.1,3444.3,3441.9,692.1,1035.7,1282.8,1522.7,1203.5,945.8,4.0,-6.0,14.0,7701.0,12289.0,-6265.0,-4343.0,-4.0,-6.0,-1.0,-4.0,3.0,14.0,9162.0,11645.0,4945.0,4943.0,-3.0,-5.0,-3.0,1.0
2022-05-06 12:46:08.174702-07:00,1869.3,633.5,1226.6,1514.3,969.6,1217.7,1596.4,1835.2,3439.5,3445.5,1477.3,1390.3,1458.9,3440.7,971.3,1435.0,3440.7,3440.7,686.4,1315.1,939.8,563.4,1396.7,1731.1,3445.5,3443.1,693.8,1034.9,1282.8,1522.7,1203.5,945.8,2.0,16.0,13.0,7698.0,12290.0,-6267.0,-4341.0,-22.0,1.0,5.0,-5.0,13.0,18.0,9160.0,11647.0,4945.0,4942.0,-17.0,1.0,0.0,1.0
2022-05-06 12:46:08.235251-07:00,1867.4,628.6,1220.4,1515.3,969.6,1217.7,1596.4,1835.2,3449.1,3437.0,1484.7,1389.4,1458.9,3440.7,971.3,1435.0,3440.7,3440.7,686.4,1315.1,940.7,561.8,1392.1,1722.4,3445.5,3443.1,693.8,1034.9,1274.7,1522.7,1202.7,949.2,1.0,3.0,8.0,7712.0,12282.0,-6262.0,-4347.0,-16.0,6.0,-1.0,-3.0,10.0,11.0,9171.0,11638.0,4941.0,4947.0,-30.0,-2.0,3.0,1.0
2022-05-06 12:46:08.264374-07:00,1867.4,628.6,1220.4,1515.3,966.2,1195.6,1592.7,1829.4,3449.1,3437.0,1484.7,1389.4,1458.0,3439.5,968.8,1445.1,3434.6,3435.8,692.9,1319.6,940.7,561.8,1392.1,1722.4,3449.1,3438.2,690.5,1040.9,1274.7,1522.7,1202.7,949.2,4.0,-4.0,5.0,7725.0,12274.0,-6254.0,-4358.0,-72.0,-14.0,-18.0,-3.0,10.0,9.0,9195.0,11621.0,4932.0,4953.0,-71.0,-14.0,-13.0,1.0
2022-05-06 12:46:08.385143-07:00,1873.2,635.1,1205.3,1515.3,966.2,1195.6,1592.7,1830.4,3437.0,3441.9,1481.0,1388.5,1458.0,3439.5,968.8,1437.8,3429.8,3435.8,692.9,1319.6,940.7,569.8,1393.0,1721.5,3428.6,3438.2,690.5,1040.9,1278.3,1525.5,1216.0,951.7,3.0,8.0,21.0,7725.0,12270.0,-6257.0,-4366.0,14.0,-13.0,-3.0,-1.0,6.0,10.0,9198.0,11621.0,4928.0,4950.0,-4.0,-6.0,0.0,1.0
2022-05-06 12:46:08.385895-07:00,1869.3,635.1,1205.3,1515.3,959.4,1188.5,1588.9,1830.4,3435.8,3441.9,1481.0,1388.5,1464.4,3433.4,957.7,1437.8,3429.8,3434.6,692.9,1321.4,940.7,569.8,1393.0,1722.4,3428.6,3444.3,692.9,1036.6,1278.3,1525.5,1216.0,948.3,0.0,4.0,11.0,7732.0,12268.0,-6253.0,-4365.0,7.0,13.0,5.0,-4.0,8.0,18.0,9198.0,11621.0,4928.0,4950.0,12.0,8.0,5.0,1.0
2022-05-06 12:46:08.414647-07:00,1869.3,633.5,1215.1,1512.5,959.4,1188.5,1588.9,1839.1,3435.8,3440.7,1481.9,1385.7,1464.4,3433.4,957.7,1436.9,3440.7,3434.6,692.9,1321.4,945.8,558.6,1391.2,1722.4,3438.2,3444.3,692.9,1036.6,1276.5,1516.2,1210.6,948.3,2.0,0.0,10.0,7727.0,12274.0,-6253.0,-4356.0,18.0,12.0,-2.0,-4.0,15.0,18.0,9188.0,11629.0,4932.0,4947.0,33.0,1.0,1.0,1.0
2022-05-06 12:46:08.475077-07:00,1868.4,633.5,1215.1,1512.5,965.4,1197.4,1593.6,1839.1,3441.9,3440.7,1481.9,1385.7,1463.5,3444.3,967.9,1436.9,3440.7,3433.4,686.4,1321.4,945.8,558.6,1391.2,1726.3,3438.2,3443.1,688.0,1014.2,1276.5,1516.2,1210.6,945.8,3.0,16.0,19.0,7718.0,12284.0,-6254.0,-4343.0,59.0,39.0,0.0,-5.0,10.0,21.0,9172.0,11640.0,4940.0,4942.0,43.0,13.0,7.0,1.0
2022-05-06 12:46:08.594496-07:00,1868.4,635.9,1211.5,1516.2,965.4,1197.4,1593.6,1825.5,3441.9,3447.9,1486.6,1383.9,1463.5,3444.3,967.9,1436.9,3439.5,3433.4,686.4,1321.4,942.4,561.0,1396.7,1726.3,3440.7,3443.1,688.0,1014.2,1281.9,1520.8,1207.1,945.8,0.0,-5.0,-2.0,7728.0,12290.0,-6240.0,-4328.0,2.0,53.0,-8.0,0.0,0.0,15.0,9168.0,11640.0,4944.0,4945.0,32.0,8.0,6.0,1.0
2022-05-06 12:46:08.654873-07:00,1864.5,635.9,1211.5,1516.2,971.3,1199.1,1596.4,1825.5,3437.0,3447.9,1486.6,1383.9,1457.1,3439.5,959.4,1436.9,3439.5,3428.6,688.9,1320.5,942.4,561.0,1396.7,1724.4,3440.7,3441.9,689.7,1037.5,1281.9,1520.8,1207.1,950.9,2.0,11.0,6.0,7721.0,12298.0,-6240.0,-4318.0,-9.0,6.0,-3.0,-1.0,10.0,8.0,9158.0,11647.0,4949.0,4942.0,-2.0,3.0,0.0,1.0
2022-05-06 12:46:08.656615-07:00,1864.5,642.4,1212.4,1506.9,971.3,1199.1,1588.9,1825.5,3437.0,3434.6,1485.6,1392.1,1457.1,3439.5,969.6,1439.6,3444.3,3433.4,688.9,1320.5,939.0,561.8,1392.1,1724.4,3441.9,3438.2,689.7,1037.5,1279.2,1521.8,1205.3,950.9,-2.0,7.0,12.0,7726.0,12295.0,-6238.0,-4321.0,3.0,1.0,-5.0,-5.0,11.0,20.0,9162.0,11644.0,4947.0,4944.0,-1.0,-9.0,-2.0,1.0
2022-05-06 12:46:08.657518-07:00,1872.3,628.6,1212.4,1506.9,960.2,1201.8,1588.9,1825.5,3434.6,3444.3,1485.6,1392.1,1461.7,3439.5,969.6,1439.6,3444.3,3433.4,689.7,1324.1,939.0,561.8,1393.0,1723.4,3441.9,3438.2,693.8,1039.2,1279.2,1521.8,1208.9,953.4,4.0,15.0,13.0,7725.0,12294.0,-6239.0,-4322.0,-2.0,-5.0,9.0,-2.0,7.0,15.0,9162.0,11644.0,4947.0,4944.0,-1.0,5.0,5.0,1.0
2022-05-06 12:46:08.714621-07:00,1872.3,628.6,1209.7,1502.3,960.2,1201.8,1597.4,1825.5,3434.6,3444.3,1480.1,1392.1,1461.7,3439.5,961.1,1439.6,3439.5,3428.6,689.7,1324.1,939.0,558.6,1393.0,1723.4,3444.3,3443.1,693.8,1039.2,1273.0,1521.8,1208.9,953.4,2.0,8.0,13.0,7722.0,12297.0,-6237.0,-4322.0,22.0,1.0,-10.0,-4.0,7.0,22.0,9161.0,11645.0,4948.0,4943.0,14.0,-4.0,-1.0,1.0
