Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:46:06.749245-07:00,1130.5,674.2,970.5,933.0,809.4,737.3,1647.3,1464.4,3473.4,3466.1,1014.2,815.2,1404.9,3474.6,1253.3,1221.3,3467.4,3477.1,314.4,578.6,916.9,1174.4,548.2,1583.3,3472.2,3474.6,614.9,711.0,1517.1,1020.2,934.7,818.5,3.0,-2.0,10.0,-808.0,2979.0,12654.0,-9939.0,34.0,-33.0,-27.0,8.0,-2.0,2.0,6736.0,-13705.0,5029.0,-3152.0,31.0,-3.0,-6.0,1.0
2022-05-06 12:46:06.809617-07:00,1131.4,669.3,976.5,933.0,796.0,737.3,1647.3,1464.4,3466.1,3467.4,1016.8,815.2,1400.3,3474.6,1253.3,1221.3,3467.4,3477.1,314.4,575.4,916.9,1176.2,542.6,1579.6,3472.2,3474.6,614.9,712.6,1517.1,1021.1,930.5,796.0,-3.0,-2.0,18.0,-806.0,2970.0,12649.0,-9948.0,-6.0,-4.0,6.0,1.0,-2.0,4.0,6742.0,-13703.0,5027.0,-3153.0,10.0,-5.0,-3.0,1.0
2022-05-06 12:46:06.840012-07:00,1131.4,669.3,976.5,928.8,796.0,728.2,1628.4,1459.8,3466.1,3467.4,1016.8,811.9,1400.3,3473.4,1252.4,1215.1,3471.0,3475.9,312.8,575.4,922.8,1176.2,542.6,1579.6,3478.3,3462.5,626.2,712.6,1519.0,1021.1,930.5,796.0,4.0,2.0,10.0,-808.0,2967.0,12648.0,-9950.0,-4.0,2.0,-27.0,2.0,-1.0,8.0,6742.0,-13703.0,5027.0,-3153.0,-1.0,3.0,-8.0,1.0
2022-05-06 12:46:06.900155-07:00,1124.4,673.3,980.7,928.8,801.0,728.2,1628.4,1459.8,3471.0,3466.1,1021.9,811.9,1401.2,3473.4,1252.4,1215.1,3471.0,3475.9,312.8,580.2,922.8,1176.2,539.4,1582.4,3478.3,3462.5,626.2,708.5,1519.0,1022.8,935.6,796.0,-2.0,1.0,10.0,-815.0,2957.0,12644.0,-9957.0,30.0,-10.0,-13.0,1.0,4.0,4.0,6747.0,-13701.0,5026.0,-3154.0,28.0,-6.0,-6.0,1.0
2022-05-06 12:46:06.959624-07:00,1124.4,673.3,980.7,918.6,801.0,724.9,1628.4,1457.1,3471.0,3466.1,1021.9,816.9,1401.2,3472.2,1254.2,1222.2,3480.7,3467.4,305.1,580.2,915.2,1176.2,539.4,1582.4,3466.1,3464.9,613.3,708.5,1511.5,1022.8,935.6,796.0,0.0,-3.0,23.0,-815.0,2955.0,12641.0,-9962.0,-9.0,-9.0,-4.0,7.0,-9.0,12.0,6748.0,-13700.0,5024.0,-3156.0,-8.0,1.0,-7.0,1.0
2022-05-06 12:46:07.019556-07:00,1129.6,675.8,973.9,932.2,802.7,724.9,1628.4,1457.1,3467.4,3468.6,1015.9,811.0,1400.3,3472.2,1254.2,1222.2,3480.7,3467.4,305.1,582.6,916.9,1177.0,542.6,1582.4,3466.1,3464.9,613.3,707.7,1519.0,1027.1,928.8,792.7,0.0,-3.0,16.0,-816.0,2954.0,12639.0,-9965.0,-5.0,15.0,1.0,0.0,-2.0,8.0,6749.0,-13700.0,5024.0,-3156.0,-4.0,-3.0,-5.0,1.0
2022-05-06 12:46:07.049436-07:00,1129.6,675.8,973.9,932.2,801.9,724.9,1630.3,1465.4,3467.4,3468.6,1015.9,811.0,1406.7,3467.4,1256.9,1212.4,3471.0,3480.7,309.0,580.2,916.9,1177.0,542.6,1582.4,3480.7,3478.3,610.0,705.2,1519.0,1027.1,928.8,792.7,-1.0,3.0,11.0,-823.0,2958.0,12634.0,-9969.0,-10.0,21.0,-10.0,6.0,-3.0,6.0,6751.0,-13698.0,5024.0,-3159.0,-10.0,11.0,-8.0,1.0
2022-05-06 12:46:07.139150-07:00,1128.7,666.0,975.6,933.0,801.9,724.9,1630.3,1465.4,3472.2,3478.3,1021.9,812.7,1406.7,3467.4,1256.9,1212.4,3471.0,3480.7,309.0,580.2,925.4,1174.4,541.8,1583.3,3480.7,3478.3,610.0,705.2,1526.4,1021.9,933.0,798.5,0.0,-8.0,11.0,-829.0,2955.0,12638.0,-9965.0,13.0,0.0,-17.0,2.0,-5.0,1.0,6746.0,-13700.0,5026.0,-3158.0,11.0,2.0,-3.0,1.0
2022-05-06 12:46:07.140673-07:00,1128.7,666.0,975.6,933.0,801.9,724.1,1629.4,1455.2,3472.2,3478.3,1021.9,812.7,1402.1,3464.9,1264.0,1213.3,3468.6,3474.6,315.1,580.2,925.4,1174.4,541.8,1583.3,3467.4,3480.7,615.7,707.7,1526.4,1021.9,933.0,798.5,7.0,3.0,12.0,-835.0,2948.0,12631.0,-9975.0,20.0,-12.0,-26.0,10.0,-2.0,7.0,6754.0,-13696.0,5024.0,-3161.0,11.0,-2.0,-1.0,1.0
2022-05-06 12:46:07.199569-07:00,1125.2,679.1,979.0,933.9,801.9,724.1,1629.4,1455.2,3474.6,3469.8,1015.9,811.0,1402.1,3464.9,1264.0,1213.3,3468.6,3474.6,315.1,580.2,920.3,1174.4,545.0,1574.9,3467.4,3480.7,615.7,707.7,1519.0,1025.4,930.5,797.7,-1.0,-10.0,17.0,-846.0,2932.0,12628.0,-9983.0,18.0,-5.0,-49.0,1.0,-5.0,6.0,6755.0,-13695.0,5023.0,-3165.0,10.0,12.0,-11.0,1.0
2022-05-06 12:46:07.229579-07:00,1123.5,679.1,979.0,933.9,805.2,724.9,1626.5,1451.6,3468.6,3469.8,1015.9,811.0,1406.7,3467.4,1254.2,1216.0,3477.1,3474.6,311.3,581.0,920.3,1174.4,545.0,1572.1,3478.3,3472.2,610.0,708.5,1519.0,1025.4,930.5,795.2,2.0,-7.0,17.0,-859.0,2919.0,12618.0,-9998.0,52.0,9.0,-17.0,4.0,-4.0,4.0,6768.0,-13689.0,5017.0,-3172.0,35.0,5.0,-6.0,1.0
2022-05-06 12:46:07.290436-07:00,1123.5,672.5,969.6,927.9,805.2,724.9,1626.5,1459.8,3468.6,3469.8,1016.8,811.9,1406.7,3467.4,1254.2,1222.2,3488.0,3474.6,311.3,581.0,916.0,1178.8,539.4,1572.1,3477.1,3472.2,610.0,708.5,1513.4,1021.1,934.7,795.2,3.0,-7.0,13.0,-864.0,2917.0,12606.0,-10014.0,4.0,2.0,7.0,6.0,-3.0,0.0,6775.0,-13684.0,5017.0,-3178.0,-6.0,6.0,1.0,1.0
2022-05-06 12:46:07.350146-07:00,1125.2,672.5,969.6,927.9,806.0,729.0,1628.4,1459.8,3464.9,3469.8,1016.8,811.9,1412.2,3471.0,1258.7,1222.2,3488.0,3467.4,312.0,578.6,916.0,1178.8,539.4,1573.9,3477.1,3474.6,614.9,708.5,1513.4,1021.1,934.7,791.0,2.0,4.0,10.0,-864.0,2924.0,12605.0,-10013.0,-18.0,6.0,13.0,5.0,0.0,3.0,6775.0,-13684.0,5017.0,-3178.0,-7.0,5.0,-2.0,1.0
2022-05-06 12:46:07.470265-07:00,1125.2,668.4,967.1,928.8,806.0,729.0,1628.4,1457.1,3464.9,3478.3,1017.6,808.5,1412.2,3471.0,1258.7,1216.8,3471.0,3467.4,312.0,578.6,922.0,1173.5,540.2,1573.9,3473.4,3474.6,614.9,708.5,1512.5,1016.8,934.7,791.0,0.0,2.0,8.0,-862.0,2925.0,12607.0,-10010.0,12.0,3.0,6.0,6.0,0.0,4.0,6774.0,-13685.0,5017.0,-3178.0,16.0,5.0,0.0,1.0
