Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:52:07.758205-07:00,1161.2,662.7,1032.3,980.7,946.6,757.9,1559.0,1381.2,3463.7,3469.8,1015.1,854.5,1458.9,3467.4,1259.6,1143.6,3473.4,3478.3,309.7,549.0,849.5,1129.6,448.2,1711.0,3475.9,3483.2,630.3,666.8,1556.2,997.9,916.0,831.1,5.0,-4.0,11.0,-3896.0,6218.0,11026.0,-9645.0,5.0,0.0,-3.0,5.0,-4.0,5.0,7177.0,-13534.0,4879.0,-3154.0,8.0,-4.0,5.0,1.0
2022-05-06 12:52:08.237845-07:00,1166.5,675.8,1028.0,971.3,946.6,757.9,1559.0,1371.2,3477.1,3474.6,1007.3,853.7,1458.9,3467.4,1259.6,1148.0,3479.5,3478.3,309.7,549.0,849.5,1115.6,452.2,1713.8,3478.3,3483.2,630.3,666.8,1547.8,987.6,911.0,831.9,5.0,-5.0,7.0,-3897.0,6217.0,11025.0,-9646.0,0.0,-1.0,2.0,2.0,-3.0,6.0,7177.0,-13534.0,4879.0,-3154.0,5.0,-1.0,3.0,1.0
2022-05-06 12:52:08.298071-07:00,1167.4,675.8,1028.0,971.3,950.9,762.9,1553.4,1371.2,3467.4,3474.6,1007.3,853.7,1454.3,3471.0,1254.2,1148.0,3479.5,3472.2,315.9,543.4,849.5,1115.6,452.2,1711.0,3478.3,3483.2,635.9,670.9,1547.8,987.6,911.0,833.6,7.0,-3.0,14.0,-3898.0,6216.0,11025.0,-9647.0,-4.0,2.0,7.0,4.0,-6.0,5.0,7177.0,-13534.0,4879.0,-3154.0,-4.0,9.0,7.0,1.0
2022-05-06 12:52:08.298908-07:00,1167.4,663.6,1038.3,987.6,950.9,762.9,1553.4,1362.1,3467.4,3483.2,1014.2,855.3,1454.3,3471.0,1254.2,1141.9,3477.1,3472.2,315.9,543.4,850.3,1119.1,450.6,1711.0,3466.1,3483.2,635.9,670.9,1557.1,1003.0,916.0,833.6,2.0,-6.0,5.0,-3901.0,6217.0,11023.0,-9646.0,9.0,7.0,-3.0,3.0,-8.0,7.0,7177.0,-13534.0,4879.0,-3154.0,6.0,9.0,6.0,1.0
2022-05-06 12:52:08.300384-07:00,1159.4,663.6,1038.3,987.6,958.5,764.5,1556.2,1362.1,3467.4,3483.2,1014.2,855.3,1447.9,3471.0,1264.0,1141.9,3477.1,3475.9,315.1,550.6,850.3,1119.1,450.6,1719.6,3466.1,3481.9,640.8,658.7,1557.1,1003.0,916.0,831.9,2.0,-6.0,8.0,-3906.0,6210.0,11021.0,-9652.0,16.0,-19.0,-16.0,5.0,-6.0,4.0,7178.0,-13534.0,4879.0,-3153.0,18.0,-9.0,-9.0,1.0
2022-05-06 12:52:08.301555-07:00,1159.4,662.7,1034.9,979.9,958.5,764.5,1556.2,1367.6,3467.4,3478.3,1015.1,847.0,1447.9,3471.0,1264.0,1145.4,3478.3,3475.9,315.1,550.6,847.0,1116.5,446.7,1719.6,3478.3,3481.9,640.8,658.7,1550.6,995.3,921.1,831.9,7.0,-5.0,14.0,-3905.0,6205.0,11021.0,-9655.0,-3.0,-9.0,1.0,6.0,-5.0,6.0,7184.0,-13533.0,4874.0,-3154.0,10.0,-8.0,4.0,1.0
2022-05-06 12:52:08.387848-07:00,1163.8,662.7,1034.9,979.9,952.6,755.4,1559.9,1367.6,3466.1,3478.3,1015.1,847.0,1447.9,3473.4,1267.6,1145.4,3478.3,3479.5,318.2,549.8,847.0,1116.5,446.7,1712.9,3478.3,3480.7,637.6,665.2,1550.6,995.3,921.1,832.7,8.0,-4.0,15.0,-3904.0,6206.0,11023.0,-9653.0,-8.0,2.0,7.0,4.0,-7.0,5.0,7184.0,-13532.0,4873.0,-3154.0,-11.0,2.0,6.0,1.0
2022-05-06 12:52:08.388803-07:00,1168.2,662.7,1033.2,976.5,947.5,759.6,1559.9,1373.9,3475.9,3473.4,1012.5,852.8,1458.0,3467.4,1256.0,1151.5,3481.9,3475.9,315.1,552.2,848.6,1119.1,445.1,1713.8,3486.8,3485.6,630.3,673.3,1553.4,991.9,912.7,833.6,0.0,-11.0,10.0,-3894.0,6218.0,11033.0,-9637.0,-7.0,1.0,-2.0,0.0,-2.0,2.0,7181.0,-13535.0,4874.0,-3149.0,-4.0,-4.0,-8.0,1.0
2022-05-06 12:52:08.389467-07:00,1168.2,662.7,1033.2,976.5,947.5,759.6,1559.9,1373.9,3475.9,3473.4,1012.5,852.8,1458.0,3467.4,1256.0,1151.5,3481.9,3475.9,315.1,552.2,848.6,1119.1,445.1,1713.8,3486.8,3485.6,630.3,673.3,1553.4,991.9,912.7,833.6,0.0,-11.0,10.0,-3894.0,6218.0,11033.0,-9637.0,-7.0,1.0,-2.0,0.0,-2.0,2.0,7181.0,-13535.0,4874.0,-3149.0,-4.0,-4.0,-8.0,1.0
2022-05-06 12:52:08.390575-07:00,1165.6,664.4,1032.3,985.9,950.0,761.2,1554.3,1372.1,3472.2,3475.9,1009.0,854.5,1447.9,3480.7,1260.4,1148.0,3479.5,3477.1,319.0,549.8,852.8,1115.6,451.4,1711.9,3475.9,3472.2,640.8,666.0,1565.5,990.2,918.6,838.6,4.0,-1.0,10.0,-3892.0,6222.0,11035.0,-9634.0,-3.0,6.0,6.0,5.0,-8.0,7.0,7181.0,-13535.0,4874.0,-3149.0,1.0,-8.0,3.0,1.0
2022-05-06 12:52:08.447893-07:00,1165.6,664.4,1032.3,980.7,948.3,758.7,1542.2,1368.5,3472.2,3475.9,1009.0,856.2,1457.1,3477.1,1257.8,1148.9,3481.9,3478.3,319.0,546.6,843.6,1115.6,451.4,1711.9,3480.7,3478.3,636.7,668.4,1551.5,990.2,918.6,838.6,3.0,-7.0,11.0,-3892.0,6222.0,11035.0,-9634.0,2.0,6.0,-2.0,4.0,-5.0,7.0,7181.0,-13535.0,4874.0,-3149.0,4.0,0.0,2.0,1.0
2022-05-06 12:52:08.477668-07:00,1168.2,665.2,1031.4,970.5,948.3,758.7,1542.2,1368.5,3467.4,3469.8,1010.8,851.1,1457.1,3477.1,1257.8,1148.9,3481.9,3478.3,319.0,546.6,844.4,1112.1,453.7,1718.6,3480.7,3478.3,636.7,668.4,1552.5,995.3,919.4,838.6,9.0,-5.0,13.0,-3890.0,6222.0,11036.0,-9632.0,-12.0,-1.0,-1.0,5.0,-6.0,2.0,7181.0,-13535.0,4874.0,-3149.0,-4.0,-1.0,4.0,1.0
2022-05-06 12:52:08.538697-07:00,1168.2,665.2,1031.4,970.5,947.5,759.6,1559.9,1368.5,3467.4,3469.8,1010.8,851.1,1454.3,3469.8,1264.0,1148.9,3480.7,3477.1,311.3,554.6,844.4,1112.1,453.7,1718.6,3474.6,3475.9,628.6,673.3,1552.5,995.3,919.4,838.6,2.0,-9.0,16.0,-3890.0,6223.0,11037.0,-9631.0,-10.0,3.0,2.0,4.0,-6.0,9.0,7180.0,-13536.0,4874.0,-3148.0,-10.0,-8.0,3.0,1.0
2022-05-06 12:52:08.598155-07:00,1170.0,667.6,1034.9,973.1,947.5,759.6,1559.9,1368.5,3464.9,3478.3,1015.9,857.9,1454.3,3469.8,1264.0,1148.9,3480.7,3477.1,311.3,554.6,853.7,1111.2,452.2,1717.7,3474.6,3475.9,628.6,673.3,1561.8,992.7,915.2,841.9,2.0,-2.0,8.0,-3891.0,6222.0,11036.0,-9633.0,8.0,4.0,-4.0,0.0,-3.0,6.0,7181.0,-13535.0,4874.0,-3148.0,10.0,0.0,-2.0,1.0
2022-05-06 12:52:08.628098-07:00,1170.0,667.6,1034.9,973.1,944.9,757.1,1551.5,1372.1,3464.9,3478.3,1015.9,857.9,1451.6,3463.7,1261.3,1145.4,3481.9,3478.3,312.8,557.8,853.7,1111.2,452.2,1717.7,3480.7,3478.3,627.0,668.4,1561.8,992.7,915.2,841.9,6.0,-5.0,13.0,-3889.0,6224.0,11038.0,-9630.0,-2.0,9.0,8.0,2.0,-6.0,8.0,7180.0,-13536.0,4872.0,-3149.0,0.0,6.0,0.0,1.0
2022-05-06 12:52:08.688201-07:00,1168.2,668.4,1044.4,986.7,944.9,757.1,1551.5,1372.1,3473.4,3479.5,1011.6,859.5,1451.6,3463.7,1261.3,1145.4,3481.9,3478.3,312.8,557.8,848.6,1113.0,449.0,1715.8,3480.7,3478.3,627.0,668.4,1552.5,991.0,912.7,831.1,10.0,0.0,12.0,-3891.0,6220.0,11035.0,-9634.0,15.0,-6.0,-7.0,3.0,-4.0,6.0,7181.0,-13535.0,4873.0,-3151.0,11.0,-2.0,5.0,1.0
