Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:53:55.076990-07:00,1782.0,611.7,1402.1,1570.2,1034.9,1200.0,1299.8,1524.5,3444.3,3449.1,1623.7,1506.0,1436.9,3446.7,1016.8,1366.6,3433.4,3431.0,644.0,1309.7,900.0,553.0,1264.9,1669.1,3451.6,3439.5,690.5,991.0,1248.8,1489.3,1258.7,1021.9,0.0,1.0,11.0,9688.0,12890.0,-2032.0,-2069.0,-3.0,-7.0,10.0,-3.0,0.0,11.0,8516.0,8660.0,7270.0,8250.0,-8.0,0.0,2.0,1.0
2022-05-06 12:53:55.137418-07:00,1780.1,600.4,1415.8,1573.9,1041.8,1200.0,1299.8,1524.5,3439.5,3443.1,1624.7,1509.7,1442.4,3446.7,1016.8,1366.6,3433.4,3431.0,644.0,1316.9,898.3,549.0,1263.1,1672.9,3451.6,3439.5,690.5,990.2,1247.1,1487.5,1251.5,1025.4,0.0,0.0,16.0,9691.0,12888.0,-2033.0,-2069.0,21.0,13.0,11.0,-5.0,0.0,13.0,8515.0,8660.0,7269.0,8251.0,17.0,3.0,11.0,1.0
2022-05-06 12:53:55.197919-07:00,1780.1,600.4,1415.8,1573.9,1039.2,1207.1,1292.7,1532.0,3439.5,3443.1,1624.7,1509.7,1435.0,3439.5,1014.2,1365.7,3441.9,3441.9,648.9,1311.5,898.3,549.0,1263.1,1672.9,3439.5,3434.6,687.2,991.0,1247.1,1487.5,1251.5,1025.4,4.0,0.0,8.0,9691.0,12890.0,-2031.0,-2063.0,8.0,8.0,4.0,0.0,-3.0,11.0,8513.0,8663.0,7269.0,8251.0,10.0,2.0,4.0,1.0
2022-05-06 12:53:55.228737-07:00,1788.7,595.5,1414.9,1579.6,1039.2,1207.1,1292.7,1532.0,3443.1,3440.7,1623.7,1497.7,1435.0,3439.5,1014.2,1365.7,3441.9,3441.9,648.9,1311.5,891.5,550.6,1263.1,1663.4,3439.5,3434.6,687.2,991.0,1250.6,1483.8,1253.3,1022.8,3.0,0.0,12.0,9688.0,12892.0,-2031.0,-2063.0,2.0,4.0,1.0,-3.0,-3.0,12.0,8510.0,8665.0,7272.0,8249.0,1.0,2.0,8.0,1.0
2022-05-06 12:53:55.287122-07:00,1788.7,595.5,1414.9,1579.6,1046.1,1193.8,1291.8,1521.8,3443.1,3440.7,1623.7,1497.7,1428.6,3439.5,1018.5,1372.1,3437.0,3438.2,653.8,1304.3,891.5,550.6,1263.1,1663.4,3438.2,3441.9,681.5,994.5,1250.6,1483.8,1253.3,1022.8,3.0,4.0,13.0,9689.0,12891.0,-2033.0,-2061.0,22.0,9.0,5.0,-1.0,0.0,10.0,8509.0,8666.0,7273.0,8248.0,20.0,5.0,2.0,1.0
2022-05-06 12:53:55.347565-07:00,1781.0,595.5,1404.9,1586.1,1046.1,1193.8,1291.8,1521.8,3449.1,3444.3,1629.4,1501.4,1428.6,3439.5,1018.5,1372.1,3437.0,3438.2,653.8,1304.3,894.9,550.6,1263.1,1671.0,3438.2,3441.9,681.5,994.5,1245.3,1484.7,1261.3,1017.6,2.0,-4.0,16.0,9685.0,12895.0,-2030.0,-2060.0,2.0,14.0,-18.0,-6.0,-3.0,15.0,8505.0,8669.0,7277.0,8246.0,2.0,4.0,-2.0,1.0
2022-05-06 12:53:55.377414-07:00,1777.2,595.5,1404.9,1586.1,1039.2,1210.6,1291.8,1524.5,3438.2,3444.3,1629.4,1501.4,1436.0,3439.5,1017.6,1367.6,3441.9,3433.4,643.2,1305.2,894.9,550.6,1263.1,1671.0,3444.3,3446.7,689.7,987.6,1245.3,1484.7,1261.3,1024.5,0.0,2.0,10.0,9686.0,12895.0,-2024.0,-2057.0,5.0,14.0,2.0,-5.0,-1.0,12.0,8505.0,8670.0,7277.0,8245.0,7.0,10.0,9.0,1.0
2022-05-06 12:53:55.437407-07:00,1777.2,605.2,1413.1,1577.7,1039.2,1210.6,1291.8,1521.8,3438.2,3438.2,1631.3,1506.0,1436.0,3439.5,1017.6,1368.5,3439.5,3433.4,643.2,1305.2,899.1,550.6,1266.7,1671.0,3432.2,3446.7,689.7,987.6,1241.7,1486.6,1259.6,1024.5,3.0,3.0,13.0,9685.0,12897.0,-2021.0,-2054.0,19.0,8.0,-16.0,-2.0,0.0,8.0,8501.0,8671.0,7281.0,8244.0,21.0,7.0,-3.0,1.0
2022-05-06 12:53:55.587709-07:00,1791.6,605.2,1413.1,1577.7,1036.6,1200.9,1293.6,1521.8,3446.7,3438.2,1631.3,1506.0,1435.0,3440.7,1018.5,1368.5,3439.5,3439.5,646.5,1305.2,899.1,550.6,1266.7,1669.1,3432.2,3449.1,686.4,983.3,1241.7,1486.6,1259.6,1018.5,1.0,-4.0,11.0,9683.0,12900.0,-2013.0,-2054.0,23.0,9.0,-4.0,-4.0,-3.0,15.0,8500.0,8672.0,7282.0,8243.0,10.0,9.0,-1.0,1.0
2022-05-06 12:53:55.588502-07:00,1791.6,601.2,1405.8,1577.7,1036.6,1200.9,1293.6,1527.3,3446.7,3435.8,1636.9,1500.4,1435.0,3440.7,1018.5,1365.7,3428.6,3439.5,646.5,1305.2,894.9,549.8,1265.8,1669.1,3433.4,3449.1,686.4,983.3,1250.6,1494.9,1260.4,1018.5,0.0,5.0,7.0,9680.0,12903.0,-2013.0,-2051.0,4.0,12.0,-2.0,-4.0,0.0,15.0,8497.0,8675.0,7285.0,8241.0,6.0,5.0,3.0,1.0
2022-05-06 12:53:55.589658-07:00,1780.1,601.2,1405.8,1577.7,1037.5,1203.5,1294.5,1527.3,3443.1,3435.8,1636.9,1500.4,1430.5,3446.7,1013.3,1365.7,3428.6,3439.5,646.5,1304.3,894.9,549.8,1265.8,1669.1,3433.4,3449.1,684.0,991.0,1250.6,1494.9,1260.4,1022.8,3.0,-4.0,14.0,9676.0,12906.0,-2012.0,-2049.0,29.0,6.0,-1.0,-6.0,0.0,9.0,8493.0,8678.0,7289.0,8239.0,27.0,9.0,2.0,1.0
2022-05-06 12:53:55.706779-07:00,1780.1,602.0,1410.3,1573.0,1037.5,1203.5,1297.2,1499.5,3443.1,3443.1,1625.6,1493.0,1430.5,3446.7,1025.4,1373.9,3433.4,3439.5,646.5,1304.3,893.2,547.4,1268.5,1669.1,3441.9,3438.2,684.0,991.0,1249.7,1483.8,1259.6,1022.8,3.0,1.0,7.0,9671.0,12911.0,-2009.0,-2043.0,14.0,15.0,-3.0,-4.0,-1.0,8.0,8488.0,8681.0,7294.0,8236.0,10.0,5.0,-1.0,1.0
