Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:53:55.069837-07:00,1117.4,648.1,1047.8,1002.2,922.8,775.3,1587.1,1329.6,3471.0,3464.9,986.7,838.6,1404.0,3474.6,1212.4,1104.3,3472.2,3469.8,320.5,561.8,865.4,1132.2,459.3,1615.2,3469.8,3472.2,614.9,692.9,1472.7,993.6,916.9,791.9,3.0,-4.0,15.0,-5092.0,6787.0,10203.0,-9609.0,-7.0,-4.0,-3.0,4.0,-4.0,13.0,7534.0,-13301.0,4593.0,-3699.0,-5.0,1.0,-6.0,1.0
2022-05-06 12:53:55.071117-07:00,1112.1,646.5,1044.4,1002.2,923.7,775.3,1587.1,1329.6,3472.2,3468.6,984.2,838.6,1406.7,3474.6,1212.4,1104.3,3472.2,3469.8,320.5,557.8,865.4,1135.7,454.5,1611.5,3469.8,3472.2,614.9,690.5,1472.7,988.5,911.8,788.6,5.0,-5.0,12.0,-5094.0,6786.0,10202.0,-9610.0,1.0,9.0,-5.0,10.0,-7.0,8.0,7534.0,-13301.0,4593.0,-3699.0,7.0,5.0,-5.0,1.0
2022-05-06 12:53:55.099546-07:00,1112.1,646.5,1044.4,1004.8,923.7,772.0,1569.3,1335.9,3472.2,3468.6,984.2,829.4,1406.7,3471.0,1217.7,1106.9,3467.4,3464.9,317.4,557.8,853.7,1135.7,454.5,1611.5,3473.4,3468.6,610.8,690.5,1478.3,988.5,911.8,788.6,4.0,-4.0,7.0,-5093.0,6786.0,10203.0,-9609.0,-16.0,-9.0,-4.0,4.0,-7.0,9.0,7534.0,-13301.0,4593.0,-3699.0,-6.0,-5.0,-4.0,1.0
2022-05-06 12:53:55.159944-07:00,1111.2,648.1,1059.9,996.2,923.7,772.0,1569.3,1335.9,3483.2,3469.8,986.7,832.7,1406.7,3471.0,1217.7,1106.9,3467.4,3464.9,317.4,553.0,862.1,1135.7,457.7,1628.4,3473.4,3468.6,610.8,688.0,1469.0,980.7,921.1,791.0,4.0,3.0,14.0,-5094.0,6785.0,10203.0,-9610.0,-12.0,-8.0,2.0,3.0,-3.0,13.0,7535.0,-13300.0,4593.0,-3699.0,-13.0,-6.0,-2.0,1.0
2022-05-06 12:53:55.249939-07:00,1111.2,648.1,1059.9,996.2,927.1,766.2,1572.1,1330.5,3483.2,3469.8,986.7,832.7,1410.3,3464.9,1216.0,1111.2,3473.4,3475.9,312.8,559.4,862.1,1135.7,457.7,1628.4,3480.7,3474.6,606.0,688.9,1469.0,980.7,921.1,791.0,9.0,2.0,9.0,-5094.0,6785.0,10206.0,-9607.0,3.0,3.0,-16.0,8.0,-3.0,13.0,7532.0,-13301.0,4593.0,-3698.0,5.0,4.0,-13.0,1.0
2022-05-06 12:53:55.251539-07:00,1104.3,651.4,1046.1,1008.2,927.1,766.2,1572.1,1330.5,3478.3,3464.9,985.0,836.1,1410.3,3464.9,1216.0,1111.2,3473.4,3475.9,312.8,559.4,867.9,1132.2,454.5,1615.2,3480.7,3474.6,606.0,688.9,1474.6,992.7,916.9,789.4,2.0,-7.0,9.0,-5098.0,6780.0,10208.0,-9606.0,3.0,-2.0,-4.0,7.0,-8.0,9.0,7533.0,-13301.0,4590.0,-3701.0,9.0,-3.0,-6.0,1.0
2022-05-06 12:53:55.339615-07:00,1104.3,651.4,1046.1,1008.2,918.6,773.6,1569.3,1326.8,3478.3,3464.9,985.0,836.1,1410.3,3464.9,1216.0,1109.5,3477.1,3475.9,314.4,564.2,867.9,1132.2,454.5,1615.2,3475.9,3478.3,610.8,688.9,1474.6,992.7,916.9,789.4,8.0,-4.0,14.0,-5098.0,6780.0,10208.0,-9606.0,-11.0,-3.0,0.0,7.0,-3.0,12.0,7533.0,-13301.0,4590.0,-3701.0,-1.0,-3.0,-1.0,1.0
2022-05-06 12:53:55.341101-07:00,1111.2,649.7,1048.7,1003.0,918.6,773.6,1569.3,1326.8,3468.6,3475.9,984.2,831.1,1410.3,3464.9,1216.0,1109.5,3477.1,3475.9,314.4,564.2,860.4,1134.0,460.0,1612.4,3475.9,3478.3,610.8,688.9,1471.8,988.5,915.2,786.9,5.0,0.0,12.0,-5099.0,6779.0,10209.0,-9605.0,-9.0,2.0,-4.0,6.0,-8.0,12.0,7533.0,-13301.0,4590.0,-3701.0,-3.0,1.0,0.0,1.0
2022-05-06 12:53:55.430406-07:00,1112.1,649.7,1048.7,1003.0,920.3,760.4,1576.8,1331.4,3472.2,3475.9,984.2,831.1,1411.3,3468.6,1217.7,1106.9,3477.1,3474.6,319.0,554.6,860.4,1134.0,460.0,1624.7,3480.7,3483.2,624.6,690.5,1471.8,988.5,915.2,787.7,4.0,-4.0,10.0,-5100.0,6778.0,10211.0,-9603.0,-11.0,7.0,-10.0,4.0,-7.0,10.0,7533.0,-13301.0,4590.0,-3701.0,-7.0,5.0,-6.0,1.0
2022-05-06 12:53:55.609694-07:00,1112.1,650.5,1041.8,1000.5,920.3,760.4,1576.8,1329.6,3472.2,3460.1,985.0,829.4,1411.3,3468.6,1217.7,1111.2,3472.2,3474.6,319.0,554.6,849.5,1131.4,454.5,1624.7,3477.1,3483.2,624.6,690.5,1467.2,988.5,918.6,787.7,5.0,-5.0,13.0,-5103.0,6775.0,10214.0,-9601.0,-9.0,-6.0,-10.0,8.0,-10.0,8.0,7533.0,-13301.0,4590.0,-3701.0,-6.0,0.0,-5.0,1.0
