Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:55:48.330255-07:00,1713.8,583.5,1320.5,1491.2,944.9,1147.1,1472.7,1740.6,3451.6,3438.2,1499.5,1440.5,1404.9,3438.2,959.4,1328.7,3429.8,3432.2,644.9,1281.0,882.3,535.4,1285.5,1619.0,3433.4,3447.9,681.5,984.2,1234.6,1429.5,1189.4,976.5,4.0,6.0,14.0,10035.0,12846.0,-1306.0,-1008.0,-31.0,19.0,4.0,-1.0,3.0,9.0,8024.0,7914.0,8017.0,8783.0,-19.0,-2.0,2.0,1.0
2022-05-06 12:55:48.331583-07:00,1713.8,583.5,1320.5,1491.2,946.6,1155.9,1468.1,1743.5,3451.6,3438.2,1499.5,1440.5,1408.5,3433.4,959.4,1324.1,3433.4,3439.5,648.9,1274.7,882.3,535.4,1285.5,1619.0,3449.1,3440.7,686.4,976.5,1234.6,1429.5,1189.4,976.5,0.0,7.0,13.0,10045.0,12840.0,-1298.0,-998.0,-12.0,30.0,6.0,1.0,-2.0,9.0,8024.0,7914.0,8017.0,8783.0,11.0,3.0,-8.0,1.0
2022-05-06 12:55:48.359840-07:00,1713.8,578.6,1321.4,1496.7,946.6,1155.9,1468.1,1742.6,3444.3,3449.1,1482.9,1444.2,1408.5,3433.4,959.4,1326.8,3429.8,3439.5,648.9,1274.7,883.1,537.8,1279.2,1619.9,3449.1,3440.7,686.4,976.5,1242.6,1424.1,1186.7,975.6,-1.0,-2.0,11.0,10054.0,12833.0,-1292.0,-991.0,-17.0,17.0,12.0,-2.0,-4.0,11.0,8025.0,7913.0,8016.0,8784.0,0.0,5.0,1.0,1.0
2022-05-06 12:55:48.389755-07:00,1714.8,578.6,1321.4,1496.7,940.7,1148.9,1467.2,1742.6,3435.8,3449.1,1482.9,1444.2,1400.3,3445.5,962.8,1326.8,3429.8,3440.7,646.5,1273.0,883.1,537.8,1279.2,1619.9,3449.1,3445.5,677.4,979.9,1242.6,1424.1,1186.7,970.5,1.0,10.0,10.0,10057.0,12832.0,-1293.0,-986.0,-9.0,21.0,-9.0,-4.0,1.0,6.0,8024.0,7914.0,8017.0,8783.0,1.0,7.0,-2.0,1.0
2022-05-06 12:55:48.450131-07:00,1714.8,577.0,1319.6,1489.3,940.7,1148.9,1467.2,1756.0,3435.8,3449.1,1483.8,1436.9,1400.3,3445.5,962.8,1325.9,3441.9,3440.7,646.5,1273.0,883.1,537.0,1284.6,1619.9,3447.9,3445.5,677.4,979.9,1238.2,1435.0,1185.0,970.5,3.0,0.0,7.0,10058.0,12831.0,-1286.0,-986.0,11.0,-19.0,-4.0,-1.0,0.0,10.0,8026.0,7912.0,8019.0,8782.0,12.0,3.0,-8.0,1.0
2022-05-06 12:55:48.539881-07:00,1711.0,577.0,1319.6,1489.3,935.6,1141.0,1464.4,1756.0,3443.1,3449.1,1483.8,1436.9,1404.0,3439.5,959.4,1325.9,3441.9,3437.0,644.0,1273.9,883.1,537.0,1284.6,1617.1,3447.9,3440.7,673.3,973.1,1238.2,1435.0,1185.0,974.8,6.0,9.0,9.0,10054.0,12834.0,-1293.0,-990.0,6.0,-8.0,5.0,0.0,3.0,7.0,8025.0,7913.0,8021.0,8780.0,6.0,1.0,-6.0,1.0
2022-05-06 12:55:48.600440-07:00,1711.0,582.6,1309.7,1498.6,935.6,1141.0,1464.4,1741.6,3443.1,3449.1,1480.1,1442.4,1404.0,3439.5,959.4,1330.5,3438.2,3437.0,644.0,1273.9,882.3,538.6,1280.1,1617.1,3438.2,3440.7,673.3,973.1,1222.2,1424.1,1183.2,974.8,0.0,-1.0,21.0,10057.0,12832.0,-1292.0,-991.0,20.0,4.0,-11.0,-1.0,-6.0,15.0,8025.0,7912.0,8022.0,8780.0,18.0,4.0,-9.0,1.0
2022-05-06 12:55:48.601306-07:00,1710.0,582.6,1309.7,1498.6,936.4,1154.2,1463.5,1741.6,3443.1,3449.1,1480.1,1442.4,1403.0,3440.7,963.7,1330.5,3438.2,3439.5,646.5,1276.5,882.3,538.6,1280.1,1619.0,3438.2,3449.1,685.6,980.7,1222.2,1424.1,1183.2,973.1,0.0,7.0,10.0,10051.0,12836.0,-1294.0,-993.0,15.0,4.0,-7.0,-5.0,0.0,4.0,8021.0,7914.0,8027.0,8777.0,10.0,10.0,-5.0,1.0
2022-05-06 12:55:48.659947-07:00,1710.0,581.8,1317.8,1488.4,936.4,1154.2,1466.3,1738.7,3443.1,3432.2,1482.9,1443.3,1403.0,3440.7,967.1,1325.9,3443.1,3441.9,646.5,1276.5,880.6,538.6,1281.0,1619.0,3437.0,3445.5,685.6,980.7,1240.8,1427.7,1184.1,973.1,-1.0,-3.0,10.0,10051.0,12836.0,-1290.0,-993.0,3.0,10.0,1.0,-4.0,-4.0,10.0,8021.0,7913.0,8027.0,8778.0,6.0,7.0,-5.0,1.0
2022-05-06 12:55:48.689856-07:00,1705.3,580.2,1317.8,1488.4,936.4,1147.1,1466.3,1738.7,3440.7,3440.7,1482.9,1443.3,1404.0,3439.5,967.1,1325.9,3443.1,3441.9,644.9,1273.9,880.6,538.6,1284.6,1613.4,3437.0,3445.5,675.8,979.9,1240.8,1427.7,1185.9,974.8,2.0,2.0,7.0,10052.0,12835.0,-1289.0,-992.0,5.0,-2.0,0.0,-1.0,-1.0,7.0,8021.0,7913.0,8028.0,8777.0,4.0,7.0,-1.0,1.0
