Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:55:48.352367-07:00,1074.7,645.7,999.6,936.4,889.8,754.6,1596.4,1319.6,3473.4,3467.4,984.2,831.1,1396.7,3471.0,1189.4,1099.9,3481.9,3478.3,326.7,570.6,873.8,1139.2,470.3,1693.8,3485.6,3472.2,614.1,686.4,1454.3,988.5,896.6,772.0,3.0,-3.0,3.0,-5937.0,8243.0,9859.0,-8249.0,-2.0,23.0,0.0,1.0,2.0,-2.0,6584.0,-13601.0,5382.0,-3339.0,4.0,0.0,-9.0,1.0
2022-05-06 12:55:48.562498-07:00,1079.9,645.7,999.6,936.4,897.4,748.8,1607.7,1319.6,3457.6,3467.4,984.2,831.1,1395.7,3472.2,1186.7,1099.9,3481.9,3472.2,320.5,574.6,873.8,1139.2,470.3,1688.1,3485.6,3477.1,614.9,708.5,1454.3,988.5,896.6,761.2,3.0,-1.0,14.0,-5947.0,8249.0,9853.0,-8243.0,-1.0,37.0,-2.0,2.0,-6.0,9.0,6584.0,-13601.0,5381.0,-3339.0,-1.0,4.0,-4.0,1.0
2022-05-06 12:55:48.832175-07:00,1079.9,645.7,1000.5,939.8,897.4,748.8,1607.7,1314.2,3457.6,3478.3,984.2,828.5,1395.7,3472.2,1186.7,1105.1,3473.4,3472.2,320.5,574.6,876.4,1150.6,472.7,1688.1,3473.4,3477.1,614.9,708.5,1460.8,988.5,894.9,761.2,2.0,-11.0,3.0,-5952.0,8256.0,9851.0,-8234.0,-16.0,22.0,2.0,3.0,-4.0,2.0,6579.0,-13603.0,5382.0,-3337.0,-15.0,1.0,0.0,1.0
2022-05-06 12:55:48.833029-07:00,1081.6,644.0,1000.5,939.8,898.3,760.4,1600.2,1314.2,3472.2,3473.4,984.2,828.5,1393.9,3472.2,1190.3,1105.1,3473.4,3469.8,329.8,568.2,876.4,1150.6,471.9,1691.0,3473.4,3472.2,610.0,683.1,1460.8,988.5,897.4,757.1,5.0,-6.0,7.0,-5949.0,8260.0,9856.0,-8227.0,-29.0,2.0,-10.0,2.0,0.0,0.0,6572.0,-13607.0,5384.0,-3334.0,-11.0,3.0,2.0,1.0
2022-05-06 12:55:48.834323-07:00,1081.6,644.0,999.6,940.7,898.3,760.4,1607.7,1325.9,3472.2,3473.4,987.6,836.1,1393.9,3472.2,1176.2,1100.8,3462.5,3469.8,329.8,568.2,869.6,1150.6,471.9,1691.0,3472.2,3477.1,610.0,683.1,1462.6,984.2,897.4,757.1,2.0,-1.0,4.0,-5949.0,8259.0,9856.0,-8228.0,5.0,-6.0,1.0,0.0,1.0,-2.0,6574.0,-13606.0,5383.0,-3335.0,-10.0,-9.0,4.0,1.0
2022-05-06 12:55:48.862163-07:00,1081.6,642.4,999.6,940.7,894.9,751.3,1607.7,1325.9,3469.8,3468.6,987.6,836.1,1396.7,3468.6,1176.2,1100.8,3462.5,3469.8,326.7,567.4,869.6,1150.6,474.3,1687.2,3472.2,3477.1,614.1,681.5,1462.6,984.2,901.7,757.1,5.0,-3.0,7.0,-5945.0,8258.0,9859.0,-8228.0,-9.0,-22.0,2.0,5.0,1.0,-1.0,6572.0,-13607.0,5384.0,-3334.0,-2.0,-4.0,5.0,1.0
2022-05-06 12:55:48.862705-07:00,1081.6,642.4,999.6,940.7,894.9,751.3,1607.7,1325.9,3469.8,3468.6,987.6,836.1,1396.7,3468.6,1176.2,1100.8,3462.5,3469.8,326.7,567.4,869.6,1150.6,474.3,1687.2,3472.2,3477.1,614.1,681.5,1462.6,984.2,901.7,757.1,5.0,-3.0,7.0,-5945.0,8258.0,9859.0,-8228.0,-9.0,-22.0,2.0,5.0,1.0,-1.0,6572.0,-13607.0,5384.0,-3334.0,-2.0,-4.0,5.0,1.0
2022-05-06 12:55:48.922687-07:00,1090.3,650.5,993.6,933.0,899.1,743.0,1608.7,1327.8,3466.1,3472.2,980.7,836.9,1397.6,3469.8,1189.4,1105.1,3473.4,3477.1,325.1,573.0,873.8,1150.6,469.5,1690.0,3472.2,3472.2,607.6,683.1,1458.0,982.5,899.1,759.6,0.0,3.0,7.0,-5946.0,8253.0,9867.0,-8222.0,-32.0,6.0,3.0,0.0,-1.0,2.0,6568.0,-13608.0,5385.0,-3332.0,-39.0,4.0,9.0,1.0
2022-05-06 12:55:49.012815-07:00,1074.7,650.5,997.9,935.6,891.5,751.3,1604.9,1320.5,3473.4,3468.6,984.2,835.2,1404.9,3478.3,1191.2,1102.5,3488.0,3477.1,327.5,572.2,873.0,1149.8,472.7,1687.2,3479.5,3471.0,610.0,683.1,1465.4,982.5,899.1,751.3,5.0,-4.0,11.0,-5940.0,8241.0,9888.0,-8214.0,-8.0,6.0,2.0,1.0,-10.0,5.0,6554.0,-13615.0,5390.0,-3326.0,-14.0,3.0,8.0,1.0
2022-05-06 12:55:49.072124-07:00,1077.3,646.5,992.7,941.5,891.5,751.3,1604.9,1320.5,3467.4,3475.9,986.7,837.7,1404.9,3478.3,1191.2,1102.5,3488.0,3477.1,327.5,572.2,877.2,1144.5,472.7,1687.2,3479.5,3471.0,610.0,683.1,1481.9,975.6,898.3,757.9,0.0,-3.0,2.0,-5943.0,8237.0,9887.0,-8217.0,-5.0,-9.0,-5.0,0.0,-1.0,0.0,6557.0,-13613.0,5389.0,-3327.0,0.0,0.0,-1.0,1.0
