Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:58:09.928697-07:00,1065.1,661.1,944.1,905.0,817.7,775.3,1481.9,1223.9,3473.4,3466.1,942.4,816.0,1373.0,3475.9,1252.4,1123.5,3472.2,3474.6,319.0,562.6,885.6,1146.3,465.6,1585.2,3479.5,3477.1,644.9,686.4,1858.6,1069.5,989.3,755.4,5.0,-3.0,15.0,-7281.0,8614.0,8428.0,-8378.0,4.0,11.0,4.0,1.0,-5.0,13.0,7709.0,-13290.0,5079.0,-2567.0,4.0,6.0,2.0,1.0
2022-05-06 12:58:09.929912-07:00,1065.1,661.1,937.3,905.9,822.7,761.2,1475.5,1230.2,3462.5,3473.4,939.0,816.0,1367.6,3475.9,1264.9,1126.1,3468.6,3471.0,316.7,561.0,896.6,1150.6,467.1,1580.5,3478.3,3472.2,642.4,686.4,1861.5,1074.7,989.3,753.8,1.0,-12.0,18.0,-7281.0,8616.0,8429.0,-8375.0,-17.0,5.0,2.0,-4.0,-14.0,12.0,7704.0,-13292.0,5080.0,-2565.0,-5.0,-3.0,7.0,1.0
2022-05-06 12:58:09.931137-07:00,1054.8,662.7,944.1,902.5,822.7,761.2,1475.5,1230.2,3469.8,3478.3,947.5,822.7,1367.6,3475.9,1264.9,1126.1,3468.6,3471.0,316.7,561.0,883.9,1146.3,466.4,1581.4,3478.3,3472.2,642.4,686.4,1863.5,1089.5,991.0,748.0,8.0,-2.0,13.0,-7283.0,8614.0,8429.0,-8376.0,-16.0,3.0,8.0,1.0,-3.0,9.0,7706.0,-13292.0,5080.0,-2566.0,-13.0,-2.0,2.0,1.0
2022-05-06 12:58:09.988778-07:00,1054.8,662.7,944.1,902.5,822.7,763.7,1473.6,1223.9,3469.8,3478.3,947.5,822.7,1373.9,3466.1,1259.6,1117.4,3479.5,3474.6,315.9,563.4,883.9,1146.3,466.4,1581.4,3474.6,3483.2,640.8,685.6,1863.5,1089.5,991.0,748.0,0.0,-3.0,14.0,-7283.0,8613.0,8429.0,-8376.0,-3.0,6.0,-4.0,-2.0,-8.0,10.0,7706.0,-13292.0,5080.0,-2566.0,-2.0,-3.0,-5.0,1.0
2022-05-06 12:58:10.018846-07:00,1061.7,654.6,942.4,901.7,822.7,763.7,1473.6,1228.4,3472.2,3471.0,944.9,817.7,1373.9,3466.1,1259.6,1120.9,3468.6,3474.6,315.9,563.4,881.4,1153.3,465.6,1581.4,3481.9,3483.2,640.8,685.6,1859.6,1075.6,986.7,758.7,10.0,-10.0,19.0,-7287.0,8610.0,8428.0,-8377.0,6.0,2.0,2.0,0.0,-10.0,10.0,7706.0,-13291.0,5080.0,-2566.0,11.0,-3.0,4.0,1.0
2022-05-06 12:58:10.108698-07:00,1059.9,654.6,942.4,901.7,825.2,764.5,1473.6,1228.4,3471.0,3471.0,944.9,817.7,1375.7,3467.4,1252.4,1120.9,3468.6,3473.4,313.6,561.8,881.4,1153.3,465.6,1583.3,3481.9,3475.9,640.0,680.7,1859.6,1075.6,986.7,751.3,8.0,-2.0,14.0,-7286.0,8610.0,8427.0,-8378.0,-38.0,-1.0,14.0,-3.0,-6.0,8.0,7701.0,-13294.0,5082.0,-2563.0,-37.0,4.0,8.0,1.0
2022-05-06 12:58:10.110234-07:00,1059.9,670.1,946.6,896.6,825.2,764.5,1473.6,1222.2,3471.0,3471.0,946.6,817.7,1375.7,3467.4,1252.4,1124.4,3477.1,3473.4,313.6,561.8,888.2,1149.8,467.1,1583.3,3478.3,3475.9,640.0,680.7,1881.1,1072.1,992.7,751.3,3.0,0.0,8.0,-7286.0,8613.0,8427.0,-8375.0,18.0,10.0,-7.0,-4.0,-3.0,7.0,7702.0,-13293.0,5081.0,-2564.0,22.0,2.0,-4.0,1.0
2022-05-06 12:58:10.169025-07:00,1065.1,670.1,946.6,896.6,830.2,772.0,1478.3,1222.2,3480.7,3471.0,946.6,817.7,1358.5,3473.4,1258.7,1124.4,3477.1,3472.2,316.7,561.8,888.2,1149.8,467.1,1579.6,3478.3,3472.2,642.4,684.8,1881.1,1072.1,992.7,759.6,4.0,-9.0,13.0,-7288.0,8611.0,8425.0,-8378.0,-6.0,-13.0,3.0,-1.0,-2.0,11.0,7703.0,-13293.0,5081.0,-2564.0,-4.0,-2.0,0.0,1.0
2022-05-06 12:58:10.228279-07:00,1065.1,663.6,940.7,901.7,830.2,772.0,1478.3,1218.6,3480.7,3472.2,944.1,818.5,1358.5,3473.4,1258.7,1116.5,3479.5,3472.2,316.7,561.8,885.6,1154.2,471.1,1579.6,3478.3,3472.2,642.4,684.8,1861.5,1069.5,986.7,759.6,7.0,0.0,19.0,-7288.0,8608.0,8426.0,-8380.0,-1.0,5.0,-1.0,0.0,-6.0,13.0,7703.0,-13293.0,5081.0,-2564.0,9.0,-1.0,-3.0,1.0
2022-05-06 12:58:10.288730-07:00,1059.1,665.2,940.7,901.7,813.5,767.0,1480.1,1218.6,3473.4,3474.6,944.1,818.5,1372.1,3471.0,1262.2,1116.5,3479.5,3467.4,319.7,557.8,885.6,1154.2,466.4,1580.5,3478.3,3479.5,641.6,685.6,1861.5,1069.5,990.2,758.7,6.0,-10.0,14.0,-7290.0,8606.0,8425.0,-8381.0,-1.0,5.0,-2.0,-2.0,-4.0,8.0,7705.0,-13292.0,5081.0,-2565.0,-3.0,0.0,3.0,1.0
2022-05-06 12:58:10.318848-07:00,1059.1,665.2,942.4,901.7,813.5,767.0,1473.6,1223.0,3473.4,3474.6,945.8,821.9,1372.1,3471.0,1260.4,1122.6,3479.5,3477.1,319.7,557.8,880.6,1150.6,466.4,1580.5,3472.2,3480.7,641.6,685.6,1850.8,1067.7,990.2,758.7,4.0,-3.0,11.0,-7291.0,8605.0,8426.0,-8381.0,-3.0,-6.0,4.0,-1.0,-6.0,12.0,7704.0,-13293.0,5081.0,-2564.0,5.0,-1.0,6.0,1.0
2022-05-06 12:58:10.379146-07:00,1058.2,662.7,942.4,901.7,820.2,768.7,1473.6,1223.0,3471.0,3474.6,945.8,821.9,1373.9,3477.1,1260.4,1122.6,3479.5,3477.1,313.6,561.8,880.6,1150.6,466.4,1578.6,3472.2,3480.7,640.8,681.5,1850.8,1067.7,986.7,752.9,4.0,-4.0,14.0,-7291.0,8602.0,8426.0,-8383.0,-7.0,-9.0,-5.0,-1.0,-7.0,10.0,7704.0,-13293.0,5081.0,-2564.0,-8.0,-1.0,-7.0,1.0
2022-05-06 12:58:10.408558-07:00,1058.2,662.7,947.5,902.5,820.2,768.7,1475.5,1200.9,3471.0,3474.6,945.8,820.2,1373.9,3477.1,1260.4,1120.0,3472.2,3467.4,313.6,561.8,883.1,1148.0,466.4,1578.6,3468.6,3477.1,640.8,681.5,1860.6,1076.4,986.7,752.9,3.0,-6.0,13.0,-7294.0,8599.0,8425.0,-8385.0,10.0,-5.0,1.0,-2.0,-8.0,12.0,7706.0,-13291.0,5081.0,-2565.0,19.0,2.0,3.0,1.0
