Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 13:59:07.390760-07:00,1009.9,1027.1,1743.5,1222.2,586.7,627.8,1367.6,1269.4,3481.9,3483.2,847.8,1148.9,467.1,3496.6,913.5,1013.3,3477.1,3484.4,434.9,749.6,537.0,648.9,290.5,290.5,3477.1,3474.6,749.6,531.4,990.2,1316.0,1506.0,466.4,1.0,3.0,-9.0,16315.0,420.0,635.0,1298.0,0.0,0.0,-1.0,1.0,0.0,16.0,16138.0,-243.0,-2820.0,-21.0,1.0,-2.0,1.0,1.0
2022-05-08 13:59:07.450626-07:00,1007.3,1025.4,1744.5,1222.2,589.1,627.8,1367.6,1269.4,3479.5,3472.2,854.5,1148.9,467.1,3496.6,913.5,1013.3,3477.1,3484.4,434.9,746.3,537.0,653.8,287.5,286.7,3477.1,3474.6,749.6,529.8,990.2,1316.0,1504.1,467.9,0.0,1.0,-8.0,16315.0,420.0,635.0,1298.0,-1.0,2.0,0.0,4.0,0.0,14.0,16138.0,-243.0,-2820.0,-21.0,-4.0,-2.0,0.0,1.0
2022-05-08 13:59:07.481194-07:00,1007.3,1025.4,1744.5,1227.5,589.1,627.8,1364.8,1266.7,3479.5,3472.2,854.5,1153.3,467.1,3496.6,916.0,1011.6,3488.0,3480.7,434.1,746.3,537.8,653.8,287.5,286.7,3485.6,3474.6,752.9,529.8,992.7,1316.0,1504.1,467.9,-1.0,3.0,-9.0,16315.0,420.0,635.0,1298.0,2.0,1.0,-1.0,3.0,-2.0,14.0,16138.0,-243.0,-2820.0,-21.0,-1.0,2.0,-1.0,1.0
2022-05-08 13:59:07.540450-07:00,1009.0,1026.3,1744.5,1227.5,590.7,627.8,1364.8,1266.7,3480.7,3474.6,849.5,1153.3,460.8,3496.6,916.0,1011.6,3488.0,3480.7,434.1,748.0,537.8,653.8,287.5,290.5,3485.6,3474.6,752.9,534.6,992.7,1318.7,1507.8,466.4,0.0,1.0,-8.0,16315.0,420.0,635.0,1298.0,-3.0,-1.0,1.0,3.0,1.0,17.0,16138.0,-243.0,-2820.0,-21.0,-2.0,-5.0,-1.0,1.0
2022-05-08 13:59:07.570451-07:00,1009.0,1026.3,1744.5,1230.2,590.7,624.6,1362.1,1270.3,3480.7,3474.6,849.5,1149.8,460.8,3497.8,916.0,1010.8,3477.1,3474.6,434.1,748.0,541.0,653.8,287.5,290.5,3478.3,3485.6,754.6,534.6,989.3,1318.7,1507.8,466.4,0.0,0.0,-6.0,16315.0,420.0,635.0,1298.0,-2.0,1.0,0.0,2.0,-1.0,15.0,16138.0,-243.0,-2820.0,-21.0,0.0,-1.0,0.0,1.0
2022-05-08 13:59:07.630660-07:00,1005.6,1029.7,1745.4,1230.2,590.7,624.6,1362.1,1270.3,3479.5,3485.6,853.7,1149.8,469.5,3497.8,916.0,1010.8,3477.1,3474.6,434.1,748.8,541.0,655.4,286.7,287.5,3478.3,3485.6,754.6,529.8,989.3,1316.0,1499.5,464.0,0.0,0.0,-9.0,16315.0,420.0,635.0,1298.0,-1.0,4.0,1.0,0.0,-1.0,13.0,16138.0,-243.0,-2820.0,-21.0,0.0,2.0,-1.0,1.0
2022-05-08 13:59:07.690733-07:00,1005.6,1029.7,1745.4,1228.4,585.1,619.7,1367.6,1268.5,3479.5,3485.6,853.7,1150.6,464.8,3507.5,916.0,1015.1,3481.9,3480.7,434.1,749.6,540.2,655.4,286.7,287.5,3479.5,3485.6,752.1,527.4,994.5,1316.0,1499.5,464.0,0.0,0.0,-7.0,16315.0,420.0,635.0,1298.0,1.0,-1.0,-1.0,5.0,-3.0,16.0,16138.0,-243.0,-2820.0,-21.0,-2.0,5.0,0.0,1.0
2022-05-08 13:59:07.750935-07:00,1006.5,1022.8,1746.4,1225.7,585.1,619.7,1367.6,1268.5,3478.3,3477.1,848.6,1145.4,464.8,3507.5,916.0,1015.1,3481.9,3480.7,434.1,749.6,537.0,652.2,290.5,286.7,3479.5,3485.6,752.1,527.4,991.0,1311.5,1505.1,467.9,-1.0,3.0,-8.0,16315.0,420.0,635.0,1298.0,2.0,-5.0,-1.0,5.0,0.0,14.0,16138.0,-243.0,-2820.0,-21.0,-3.0,1.0,3.0,1.0
2022-05-08 13:59:07.780652-07:00,1006.5,1022.8,1746.4,1225.7,589.1,617.3,1371.2,1269.4,3478.3,3477.1,848.6,1145.4,464.8,3500.2,917.7,1010.8,3478.3,3483.2,434.9,748.0,537.0,652.2,290.5,286.7,3473.4,3480.7,744.7,529.0,991.0,1311.5,1505.1,467.9,-1.0,0.0,-7.0,16315.0,420.0,635.0,1298.0,-1.0,1.0,0.0,5.0,-2.0,18.0,16138.0,-243.0,-2820.0,-21.0,-3.0,1.0,-1.0,1.0
2022-05-08 13:59:07.840739-07:00,1007.3,1021.1,1745.4,1231.0,589.1,617.3,1371.2,1269.4,3484.4,3474.6,848.6,1152.4,464.8,3500.2,917.7,1010.8,3478.3,3483.2,434.9,748.0,539.4,648.1,285.2,287.5,3473.4,3480.7,744.7,529.0,991.9,1309.7,1503.2,466.4,-1.0,0.0,-9.0,16315.0,420.0,635.0,1298.0,-2.0,0.0,-2.0,5.0,-1.0,15.0,16138.0,-243.0,-2820.0,-21.0,-1.0,3.0,1.0,1.0
