Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 13:59:07.466346-07:00,787.7,875.5,814.4,1248.0,459.3,368.5,1099.9,960.2,3467.4,3469.8,1327.8,1079.9,770.3,3464.9,1369.4,1147.1,3449.1,3454.0,429.4,379.4,407.5,371.6,286.7,295.9,3463.7,3457.6,586.7,481.4,694.6,1021.1,764.5,468.7,2.0,-4.0,4.0,16158.0,-2638.0,588.0,181.0,1.0,-2.0,0.0,-15.0,4.0,-7.0,15589.0,-189.0,-4843.0,1393.0,-3.0,-2.0,1.0,1.0
2022-05-08 13:59:07.467207-07:00,787.7,875.5,813.5,1245.3,459.3,368.5,1100.8,956.8,3467.4,3469.8,1340.4,1079.9,770.3,3464.9,1372.1,1147.1,3445.5,3449.1,429.4,379.4,408.2,372.4,286.7,295.9,3460.1,3463.7,586.7,481.4,695.4,1032.3,764.5,468.7,1.0,-3.0,6.0,16158.0,-2638.0,588.0,181.0,-2.0,-3.0,0.0,-17.0,3.0,-7.0,15589.0,-189.0,-4843.0,1393.0,-3.0,2.0,0.0,1.0
2022-05-08 13:59:07.495563-07:00,791.9,873.8,813.5,1245.3,454.5,363.8,1100.8,956.8,3471.0,3455.2,1340.4,1079.9,769.5,3468.6,1372.1,1147.1,3445.5,3449.1,430.2,386.4,408.2,372.4,291.3,298.2,3460.1,3463.7,590.7,482.2,695.4,1032.3,767.0,465.6,3.0,-4.0,5.0,16158.0,-2638.0,588.0,181.0,0.0,-1.0,1.0,-14.0,4.0,-7.0,15589.0,-189.0,-4843.0,1393.0,2.0,2.0,-1.0,1.0
2022-05-08 13:59:07.496500-07:00,791.9,873.8,811.9,1248.0,454.5,363.8,1099.9,961.1,3471.0,3455.2,1335.0,1079.9,769.5,3468.6,1372.1,1150.6,3444.3,3445.5,430.2,386.4,403.5,370.0,291.3,298.2,3460.1,3462.5,590.7,482.2,692.1,1033.2,767.0,465.6,2.0,-3.0,6.0,16158.0,-2638.0,588.0,181.0,0.0,-2.0,1.0,-15.0,5.0,-7.0,15589.0,-189.0,-4843.0,1393.0,7.0,1.0,-1.0,1.0
2022-05-08 13:59:07.556143-07:00,786.1,864.6,811.9,1248.0,456.1,367.7,1099.9,961.1,3464.9,3473.4,1335.0,1079.9,772.0,3488.0,1372.1,1150.6,3444.3,3445.5,430.2,386.4,403.5,370.0,292.1,298.2,3460.1,3462.5,585.9,479.0,692.1,1033.2,766.2,464.8,3.0,-5.0,4.0,16158.0,-2638.0,588.0,181.0,-1.0,2.0,2.0,-16.0,3.0,-10.0,15589.0,-189.0,-4843.0,1393.0,3.0,3.0,0.0,1.0
2022-05-08 13:59:07.557002-07:00,791.0,871.3,814.4,1253.3,449.8,365.4,1097.3,960.2,3467.4,3473.4,1335.0,1081.6,771.1,3469.8,1363.9,1152.4,3444.3,3449.1,429.4,384.8,404.3,369.3,290.5,293.6,3463.7,3456.4,585.1,480.6,697.0,1024.5,767.8,467.9,2.0,-6.0,4.0,16158.0,-2638.0,588.0,181.0,1.0,-1.0,1.0,-13.0,1.0,-9.0,15589.0,-189.0,-4843.0,1393.0,0.0,4.0,3.0,1.0
2022-05-08 13:59:07.558449-07:00,791.0,871.3,814.4,1244.4,449.8,366.9,1101.7,954.3,3467.4,3473.4,1335.0,1083.4,771.1,3478.3,1367.6,1148.9,3450.4,3446.7,428.6,384.8,404.3,369.3,290.5,293.6,3468.6,3468.6,589.1,480.6,691.3,1024.5,767.8,467.9,0.0,-6.0,5.0,16158.0,-2638.0,588.0,181.0,1.0,-1.0,0.0,-15.0,2.0,-9.0,15589.0,-189.0,-4843.0,1393.0,-2.0,-4.0,1.0,1.0
2022-05-08 13:59:07.646144-07:00,793.5,874.7,815.2,1244.4,458.5,366.9,1101.7,954.3,3467.4,3469.8,1334.1,1083.4,775.3,3478.3,1367.6,1148.9,3450.4,3446.7,428.6,381.7,404.3,370.8,293.6,301.3,3468.6,3468.6,589.1,475.0,691.3,1032.3,770.3,464.8,1.0,-6.0,5.0,16158.0,-2638.0,588.0,181.0,1.0,2.0,2.0,-14.0,2.0,-9.0,15589.0,-189.0,-4843.0,1393.0,1.0,-1.0,0.0,1.0
2022-05-08 13:59:07.735577-07:00,793.5,874.7,815.2,1249.7,458.5,363.8,1105.1,954.3,3467.4,3469.8,1334.1,1084.2,775.3,3466.1,1363.0,1145.4,3447.9,3439.5,430.2,381.7,405.1,370.8,293.6,301.3,3468.6,3460.1,590.7,475.0,696.2,1032.3,770.3,464.8,3.0,-5.0,6.0,16158.0,-2638.0,588.0,181.0,-2.0,0.0,-1.0,-15.0,0.0,-9.0,15589.0,-189.0,-4843.0,1393.0,-4.0,-2.0,2.0,1.0
2022-05-08 13:59:07.736629-07:00,793.5,876.4,814.4,1249.7,456.1,363.8,1105.1,954.3,3464.9,3466.1,1335.0,1084.2,767.8,3466.1,1363.0,1145.4,3447.9,3439.5,430.2,384.0,405.1,371.6,288.2,299.7,3468.6,3460.1,590.7,478.2,696.2,1025.4,765.3,468.7,1.0,-5.0,5.0,16158.0,-2638.0,588.0,181.0,0.0,-3.0,0.0,-17.0,0.0,-12.0,15589.0,-189.0,-4843.0,1393.0,-4.0,3.0,3.0,1.0
