Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:09:00.273308-07:00,782.7,865.4,899.1,1180.6,435.7,362.3,973.1,841.9,3468.6,3473.4,1514.3,988.5,725.8,3466.1,1470.0,1052.2,3441.9,3443.1,433.3,373.9,378.6,378.6,304.3,281.3,3462.5,3458.9,599.6,501.2,574.6,1090.3,867.9,522.6,-12.0,-53.0,8.0,12365.0,-10614.0,1678.0,292.0,7.0,-29.0,4.0,0.0,15.0,-4.0,10953.0,-11874.0,2737.0,74.0,9.0,-19.0,-3.0,1.0
2022-05-08 14:09:00.393702-07:00,779.4,862.1,899.1,1180.6,433.3,363.1,973.1,841.9,3466.1,3463.7,1514.3,988.5,727.4,3471.0,1470.0,1052.2,3441.9,3443.1,431.7,373.2,378.6,378.6,309.0,278.3,3462.5,3458.9,599.6,502.8,574.6,1090.3,889.0,514.7,-15.0,-24.0,11.0,12367.0,-10610.0,1681.0,300.0,0.0,0.0,14.0,3.0,26.0,5.0,10956.0,-11872.0,2732.0,79.0,1.0,-11.0,6.0,1.0
2022-05-08 14:09:00.394767-07:00,779.4,862.1,886.5,1175.3,433.3,363.1,976.5,843.6,3466.1,3463.7,1507.8,985.9,727.4,3471.0,1443.3,1054.8,3447.9,3444.3,431.7,373.2,380.9,382.5,309.0,278.3,3464.9,3461.3,599.6,502.8,571.4,1082.5,889.0,514.7,-7.0,-37.0,5.0,12367.0,-10610.0,1681.0,299.0,-10.0,1.0,-14.0,5.0,19.0,0.0,10955.0,-11873.0,2731.0,80.0,-13.0,-6.0,0.0,1.0
2022-05-08 14:09:00.395838-07:00,786.9,862.9,892.4,1175.3,432.5,360.7,976.5,843.6,3467.4,3466.1,1499.5,985.9,725.8,3471.0,1443.3,1054.8,3447.9,3444.3,430.2,370.0,380.9,380.9,305.1,281.3,3464.9,3461.3,602.0,502.8,571.4,1083.4,864.6,516.3,-11.0,-45.0,3.0,12363.0,-10615.0,1680.0,299.0,-14.0,5.0,5.0,3.0,15.0,-3.0,10952.0,-11876.0,2731.0,81.0,-9.0,-1.0,7.0,1.0
2022-05-08 14:09:00.513942-07:00,786.9,862.9,892.4,1178.8,432.5,362.3,979.0,843.6,3467.4,3466.1,1499.5,987.6,725.8,3462.5,1443.3,1053.0,3454.0,3438.2,431.7,370.0,373.2,380.9,305.1,281.3,3468.6,3466.1,598.7,502.8,569.8,1083.4,864.6,516.3,-13.0,-32.0,-8.0,12361.0,-10617.0,1684.0,297.0,-4.0,14.0,-4.0,1.0,25.0,-7.0,10951.0,-11876.0,2733.0,83.0,-2.0,4.0,3.0,1.0
2022-05-08 14:09:00.544292-07:00,790.2,858.7,893.2,1178.8,435.7,362.3,979.0,843.6,3468.6,3473.4,1504.1,987.6,729.0,3462.5,1443.3,1053.0,3454.0,3438.2,431.7,373.2,373.2,377.8,309.0,279.8,3468.6,3466.1,598.7,502.8,569.8,1086.0,866.3,519.5,-10.0,-38.0,-6.0,12359.0,-10619.0,1688.0,295.0,2.0,0.0,-1.0,-1.0,25.0,-9.0,10950.0,-11877.0,2733.0,83.0,2.0,2.0,-1.0,1.0
2022-05-08 14:09:00.545704-07:00,790.2,858.7,893.2,1182.3,435.7,366.2,977.3,836.1,3468.6,3473.4,1504.1,987.6,729.0,3467.4,1445.1,1053.9,3451.6,3444.3,430.2,373.2,377.8,377.8,309.0,279.8,3460.1,3467.4,605.2,502.8,582.6,1086.0,866.3,519.5,-2.0,-36.0,-4.0,12359.0,-10618.0,1688.0,295.0,10.0,5.0,-6.0,9.0,25.0,-9.0,10949.0,-11877.0,2734.0,83.0,7.0,1.0,-3.0,1.0
2022-05-08 14:09:00.663733-07:00,787.7,865.4,894.9,1182.3,435.7,366.2,977.3,836.1,3474.6,3474.6,1503.2,987.6,722.5,3467.4,1445.1,1053.9,3451.6,3444.3,430.2,377.8,377.8,377.8,303.6,276.7,3460.1,3467.4,605.2,505.9,582.6,1093.8,867.1,516.3,0.0,-41.0,3.0,12359.0,-10619.0,1688.0,294.0,6.0,-4.0,1.0,12.0,19.0,-4.0,10948.0,-11878.0,2734.0,83.0,11.0,-5.0,1.0,1.0
2022-05-08 14:09:00.665249-07:00,787.7,865.4,894.9,1170.0,435.7,366.9,1000.5,841.1,3474.6,3474.6,1503.2,982.5,722.5,3477.1,1447.0,1056.5,3429.8,3449.1,437.2,377.8,376.3,377.8,303.6,276.7,3447.9,3468.6,603.6,505.9,570.6,1093.8,867.1,516.3,-7.0,-40.0,-4.0,12359.0,-10619.0,1688.0,294.0,-11.0,-3.0,-6.0,7.0,20.0,-4.0,10948.0,-11878.0,2733.0,82.0,-8.0,1.0,-6.0,1.0
2022-05-08 14:09:00.693771-07:00,786.9,862.1,894.1,1170.0,436.4,366.9,1000.5,841.1,3466.1,3460.1,1498.6,982.5,729.0,3477.1,1447.0,1056.5,3429.8,3449.1,437.2,370.0,376.3,379.4,309.7,280.6,3447.9,3468.6,603.6,502.0,570.6,1086.0,869.6,515.5,-13.0,-42.0,1.0,12361.0,-10616.0,1687.0,294.0,20.0,-1.0,-7.0,1.0,15.0,0.0,10951.0,-11876.0,2734.0,81.0,18.0,-5.0,-9.0,1.0
