Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:15:51.114456-07:00,978.2,1063.4,1726.3,1243.5,696.2,551.4,1406.7,951.7,3477.1,3473.4,788.6,978.2,437.2,3491.7,973.9,900.0,3478.3,3481.9,430.2,680.7,498.0,568.2,269.1,267.6,3471.0,3480.7,657.0,558.6,762.9,1256.9,1602.1,499.6,-7.0,-10.0,6.0,9133.0,13016.0,3630.0,1564.0,-34.0,-8.0,7.0,2.0,-49.0,15.0,10575.0,12307.0,2127.0,786.0,-30.0,-18.0,10.0,1.0
2022-05-08 14:15:51.204468-07:00,978.2,1063.4,1726.3,1243.5,697.9,546.6,1422.2,950.9,3477.1,3473.4,788.6,978.2,434.1,3507.5,977.3,897.4,3484.4,3481.9,423.1,677.4,498.0,568.2,269.1,267.6,3486.8,3485.6,645.7,553.0,762.9,1256.9,1602.1,499.6,6.0,0.0,7.0,9140.0,13013.0,3622.0,1561.0,-24.0,-24.0,13.0,10.0,-41.0,13.0,10582.0,12303.0,2116.0,784.0,-22.0,-24.0,10.0,1.0
2022-05-08 14:15:51.205357-07:00,984.2,1055.6,1716.7,1245.3,697.9,546.6,1422.2,956.0,3479.5,3472.2,786.1,975.6,434.1,3507.5,977.3,908.4,3474.6,3481.9,423.1,677.4,490.9,569.0,270.6,265.3,3484.4,3485.6,645.7,553.0,760.4,1253.3,1604.9,499.6,1.0,8.0,6.0,9146.0,13012.0,3612.0,1559.0,17.0,-14.0,-6.0,6.0,-44.0,9.0,10585.0,12302.0,2109.0,777.0,12.0,-20.0,-12.0,1.0
2022-05-08 14:15:51.233880-07:00,994.5,1055.6,1716.7,1245.3,695.4,548.2,1405.8,956.0,3474.6,3472.2,786.1,975.6,436.4,3496.6,970.5,908.4,3474.6,3483.2,419.2,675.8,490.9,569.0,270.6,269.1,3484.4,3479.5,654.6,557.0,760.4,1253.3,1604.9,507.5,2.0,-9.0,4.0,9144.0,13014.0,3617.0,1548.0,29.0,1.0,-27.0,-1.0,-49.0,3.0,10583.0,12303.0,2116.0,765.0,22.0,-2.0,-33.0,1.0
2022-05-08 14:15:51.384262-07:00,994.5,1058.2,1722.4,1263.1,695.4,548.2,1405.8,950.9,3474.6,3467.4,786.9,975.6,436.4,3496.6,970.5,896.6,3479.5,3483.2,419.2,675.8,496.4,569.0,272.1,269.1,3479.5,3479.5,654.6,557.0,762.0,1249.7,1612.4,507.5,-1.0,-15.0,-2.0,9136.0,13017.0,3627.0,1539.0,32.0,-2.0,-22.0,1.0,-49.0,5.0,10577.0,12307.0,2128.0,755.0,21.0,3.0,-29.0,1.0
2022-05-08 14:15:51.444080-07:00,979.0,1058.2,1722.4,1263.1,697.9,547.4,1405.8,950.9,3474.6,3467.4,786.9,975.6,442.7,3495.3,968.8,896.6,3479.5,3488.0,423.9,671.7,496.4,569.0,272.1,269.1,3479.5,3488.0,648.9,558.6,762.0,1249.7,1612.4,497.2,1.0,-10.0,-3.0,9131.0,13019.0,3635.0,1532.0,-3.0,-10.0,-18.0,5.0,-44.0,3.0,10574.0,12309.0,2135.0,743.0,2.0,-14.0,-29.0,1.0
2022-05-08 14:15:51.445035-07:00,979.0,1060.8,1726.3,1246.2,697.9,547.4,1405.8,948.3,3474.6,3473.4,793.5,980.7,442.7,3495.3,968.8,896.6,3474.6,3488.0,423.9,671.7,494.8,565.8,269.9,269.1,3483.2,3488.0,648.9,558.6,765.3,1243.5,1605.8,497.2,4.0,-12.0,2.0,9132.0,13019.0,3637.0,1526.0,6.0,-10.0,-3.0,3.0,-47.0,6.0,10575.0,12308.0,2138.0,737.0,2.0,-7.0,-9.0,1.0
2022-05-08 14:15:51.445876-07:00,981.6,1060.8,1726.3,1246.2,696.2,541.8,1404.0,948.3,3478.3,3473.4,793.5,980.7,437.2,3499.0,971.3,896.6,3474.6,3477.1,426.2,677.4,494.8,565.8,269.9,269.1,3483.2,3478.3,649.7,557.0,765.3,1243.5,1605.8,499.6,-3.0,-9.0,14.0,9132.0,13019.0,3636.0,1526.0,3.0,14.0,2.0,0.0,-44.0,11.0,10575.0,12308.0,2138.0,737.0,1.0,5.0,0.0,1.0
2022-05-08 14:15:51.563776-07:00,981.6,1056.5,1723.4,1247.1,696.2,541.8,1404.9,948.3,3478.3,3475.9,786.1,975.6,437.2,3499.0,970.5,900.8,3473.4,3469.8,426.2,677.4,495.6,566.6,266.8,269.1,3478.3,3485.6,649.7,557.0,772.0,1248.0,1615.2,499.6,0.0,-2.0,0.0,9131.0,13018.0,3640.0,1531.0,10.0,13.0,-2.0,2.0,-48.0,3.0,10574.0,12308.0,2142.0,741.0,6.0,17.0,-1.0,1.0
2022-05-08 14:15:51.623752-07:00,985.9,1053.9,1723.4,1247.1,693.8,546.6,1404.9,948.3,3464.9,3468.6,786.1,975.6,436.4,3501.4,970.5,900.8,3473.4,3469.8,421.5,672.5,495.6,566.6,267.6,265.3,3478.3,3485.6,653.8,555.4,772.0,1248.0,1604.0,495.6,-6.0,-11.0,-5.0,9127.0,13018.0,3646.0,1538.0,-1.0,27.0,0.0,0.0,-52.0,1.0,10574.0,12308.0,2145.0,745.0,6.0,12.0,3.0,1.0
