Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:15:51.046448-07:00,753.8,862.1,850.3,1040.9,392.6,335.2,918.6,793.5,3464.9,3469.8,1335.9,911.8,658.7,3463.7,1408.5,952.6,3444.3,3438.2,413.7,361.5,374.7,366.9,303.6,255.3,3460.1,3460.1,536.2,489.3,489.3,972.2,773.6,460.8,5.0,-38.0,-10.0,10478.0,-10637.0,5543.0,-3845.0,-15.0,-5.0,9.0,13.0,11.0,13.0,9143.0,-13277.0,2909.0,347.0,-14.0,-12.0,13.0,1.0
2022-05-08 14:15:51.047657-07:00,753.8,862.1,850.3,1040.9,392.6,338.3,918.6,791.9,3464.9,3469.8,1335.9,911.8,656.2,3473.4,1411.3,953.4,3441.9,3449.1,416.1,360.0,374.7,366.9,303.6,255.3,3462.5,3463.7,534.6,490.9,489.3,972.2,773.6,460.8,-2.0,-38.0,-9.0,10471.0,-10641.0,5548.0,-3844.0,-29.0,18.0,5.0,10.0,24.0,18.0,9139.0,-13278.0,2912.0,355.0,-14.0,-7.0,30.0,1.0
2022-05-08 14:15:51.317157-07:00,757.9,861.2,865.4,1040.9,392.6,338.3,918.6,791.9,3468.6,3458.9,1339.5,908.4,656.2,3473.4,1411.3,953.4,3441.9,3449.1,416.1,360.0,368.5,368.5,307.4,258.4,3462.5,3463.7,534.6,490.9,490.1,974.8,778.6,464.0,-8.0,-39.0,-16.0,10460.0,-10651.0,5553.0,-3840.0,-31.0,-19.0,5.0,0.0,12.0,14.0,9129.0,-13283.0,2918.0,367.0,-55.0,-17.0,1.0,1.0
2022-05-08 14:15:51.318483-07:00,757.9,861.2,865.4,1040.9,391.1,332.9,921.1,791.0,3468.6,3458.9,1339.5,908.4,657.0,3464.9,1411.3,955.1,3444.3,3449.1,420.8,364.6,368.5,368.5,307.4,258.4,3458.9,3462.5,533.8,494.0,490.1,974.8,778.6,464.0,-18.0,-46.0,-7.0,10456.0,-10662.0,5548.0,-3828.0,-16.0,-25.0,11.0,-2.0,13.0,14.0,9119.0,-13291.0,2910.0,382.0,-3.0,-49.0,4.0,1.0
2022-05-08 14:15:51.320359-07:00,758.7,864.6,850.3,1043.5,391.8,332.9,922.8,798.5,3462.5,3479.5,1330.5,907.6,653.8,3469.8,1414.9,956.0,3449.1,3438.2,410.6,362.3,372.4,370.8,309.0,253.1,3460.1,3457.6,537.0,491.7,486.9,972.2,777.8,456.1,-3.0,-54.0,-9.0,10445.0,-10683.0,5536.0,-3818.0,2.0,10.0,-2.0,10.0,12.0,11.0,9108.0,-13302.0,2893.0,399.0,-24.0,22.0,8.0,1.0
2022-05-08 14:15:51.321532-07:00,751.3,864.6,855.3,1046.1,382.5,335.2,916.0,796.0,3472.2,3467.4,1335.9,911.8,663.6,3457.6,1417.6,957.7,3435.8,3450.4,415.3,364.6,368.5,369.3,305.1,259.9,3457.6,3464.9,530.6,485.3,490.9,971.3,767.8,457.7,-9.0,-43.0,-12.0,10442.0,-10682.0,5543.0,-3816.0,9.0,18.0,27.0,0.0,17.0,13.0,9100.0,-13306.0,2903.0,399.0,0.0,13.0,22.0,1.0
2022-05-08 14:15:51.466887-07:00,751.3,867.1,853.7,1040.1,382.5,335.2,916.0,791.9,3472.2,3475.9,1330.5,910.1,663.6,3457.6,1417.6,950.0,3433.4,3450.4,415.3,364.6,372.4,369.3,309.7,259.9,3458.9,3464.9,530.6,485.3,498.8,973.9,771.1,457.7,-1.0,-41.0,-7.0,10467.0,-10661.0,5528.0,-3829.0,9.0,2.0,-2.0,25.0,23.0,-1.0,9135.0,-13288.0,2873.0,395.0,-28.0,24.0,-10.0,1.0
2022-05-08 14:15:51.467849-07:00,756.3,864.6,852.0,1034.9,392.6,337.5,921.1,797.7,3469.8,3467.4,1333.2,908.4,653.0,3458.9,1421.3,956.8,3446.7,3441.9,414.5,357.6,370.8,370.8,310.5,256.9,3462.5,3458.9,533.8,488.5,497.2,976.5,776.1,457.7,0.0,-38.0,-8.0,10469.0,-10659.0,5528.0,-3831.0,12.0,-1.0,-9.0,10.0,18.0,14.0,9138.0,-13286.0,2872.0,393.0,8.0,2.0,-1.0,1.0
2022-05-08 14:15:51.469249-07:00,748.8,862.9,852.0,1034.9,393.4,339.0,921.1,797.7,3463.7,3463.7,1333.2,908.4,653.0,3462.5,1421.3,956.8,3446.7,3441.9,416.8,359.2,370.8,370.8,305.9,256.1,3462.5,3458.9,529.0,489.3,497.2,976.5,774.5,454.5,-5.0,-44.0,-6.0,10467.0,-10658.0,5530.0,-3835.0,-2.0,11.0,0.0,3.0,11.0,13.0,9139.0,-13286.0,2872.0,393.0,-2.0,5.0,8.0,1.0
2022-05-08 14:15:51.526736-07:00,748.8,862.9,853.7,1040.9,393.4,339.0,914.4,796.0,3463.7,3463.7,1335.0,904.2,653.0,3462.5,1407.6,945.8,3447.9,3438.2,416.8,359.2,366.9,370.8,305.9,256.1,3468.6,3452.8,529.0,489.3,488.5,973.9,774.5,454.5,-8.0,-41.0,-10.0,10469.0,-10656.0,5530.0,-3837.0,-5.0,8.0,-2.0,4.0,16.0,13.0,9139.0,-13286.0,2873.0,393.0,-4.0,3.0,4.0,1.0
