Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:18:13.714308-07:00,944.9,1016.8,1718.6,1202.7,687.2,531.4,1431.4,947.5,3474.6,3471.0,755.4,953.4,425.5,3502.7,902.5,871.3,3468.6,3475.9,420.8,669.3,493.2,557.0,262.2,263.0,3477.1,3481.9,659.5,536.2,732.3,1231.9,1541.3,482.2,-1.0,-3.0,-7.0,9126.0,13089.0,3306.0,1698.0,-1.0,29.0,-15.0,12.0,-47.0,-10.0,10553.0,12319.0,2232.0,576.0,0.0,8.0,-15.0,1.0
2022-05-08 14:18:13.774352-07:00,944.9,1044.4,1718.6,1197.4,687.2,531.4,1431.4,943.2,3474.6,3469.8,754.6,960.2,425.5,3502.7,897.4,869.6,3486.8,3478.3,420.8,669.3,490.1,553.8,269.1,263.0,3485.6,3477.1,659.5,536.2,741.4,1235.5,1545.9,482.2,-4.0,-14.0,0.0,9130.0,13082.0,3321.0,1705.0,-23.0,21.0,-22.0,11.0,-53.0,0.0,10554.0,12317.0,2238.0,571.0,-14.0,-2.0,-12.0,1.0
2022-05-08 14:18:13.833461-07:00,953.4,1034.0,1718.6,1197.4,687.2,525.8,1431.4,943.2,3469.8,3477.1,754.6,960.2,425.5,3489.2,897.4,869.6,3486.8,3478.3,416.1,666.0,490.1,553.8,263.7,262.2,3485.6,3477.1,656.2,539.4,741.4,1235.5,1542.2,484.5,-2.0,-2.0,2.0,9134.0,13076.0,3330.0,1713.0,-18.0,30.0,-12.0,11.0,-47.0,-1.0,10555.0,12317.0,2239.0,570.0,4.0,-4.0,-4.0,1.0
2022-05-08 14:18:13.893447-07:00,953.4,1034.0,1713.8,1203.5,687.2,525.8,1430.5,944.1,3469.8,3477.1,756.3,956.8,425.5,3489.2,897.4,873.0,3475.9,3480.7,416.1,666.0,490.1,556.2,263.7,262.2,3475.9,3474.6,656.2,539.4,739.7,1233.7,1542.2,484.5,-3.0,-13.0,0.0,9138.0,13070.0,3342.0,1714.0,-5.0,8.0,-17.0,12.0,-44.0,-6.0,10555.0,12316.0,2241.0,568.0,5.0,-3.0,-10.0,1.0
2022-05-08 14:18:13.924062-07:00,948.3,1025.4,1713.8,1203.5,688.9,531.4,1430.5,944.1,3477.1,3467.4,756.3,956.8,423.9,3500.2,897.4,873.0,3475.9,3480.7,423.1,668.4,490.1,556.2,259.9,262.2,3475.9,3474.6,656.2,536.2,739.7,1233.7,1543.1,495.6,-2.0,-12.0,-9.0,9138.0,13070.0,3341.0,1712.0,11.0,-16.0,13.0,14.0,-47.0,-7.0,10555.0,12316.0,2242.0,568.0,6.0,-2.0,2.0,1.0
2022-05-08 14:18:13.983199-07:00,948.3,1025.4,1715.8,1202.7,688.9,531.4,1430.5,944.1,3477.1,3467.4,753.8,952.6,423.9,3500.2,897.4,871.3,3480.7,3477.1,423.1,668.4,486.1,557.0,259.9,262.2,3478.3,3488.0,656.2,536.2,738.1,1234.6,1543.1,495.6,-8.0,-7.0,3.0,9143.0,13069.0,3335.0,1709.0,-31.0,-8.0,10.0,10.0,-48.0,0.0,10559.0,12314.0,2238.0,564.0,-6.0,-17.0,8.0,1.0
2022-05-08 14:18:14.043616-07:00,944.1,1021.1,1715.8,1202.7,686.4,525.8,1430.5,944.1,3469.8,3475.9,753.8,952.6,425.5,3501.4,897.4,871.3,3480.7,3477.1,420.8,670.9,486.1,557.0,271.4,261.4,3478.3,3488.0,655.4,533.0,738.1,1234.6,1538.5,485.3,-9.0,-1.0,10.0,9153.0,13061.0,3336.0,1710.0,-32.0,13.0,-28.0,11.0,-43.0,8.0,10561.0,12312.0,2234.0,560.0,-12.0,-1.0,-5.0,1.0
2022-05-08 14:18:14.073693-07:00,944.1,1021.1,1714.8,1200.0,686.4,525.8,1426.8,944.9,3469.8,3475.9,753.8,956.0,425.5,3499.0,899.1,867.9,3483.2,3481.9,416.1,670.9,488.5,556.2,271.4,261.4,3478.3,3469.8,657.0,533.0,737.3,1232.8,1538.5,485.3,-4.0,0.0,2.0,9157.0,13055.0,3352.0,1712.0,-12.0,47.0,-50.0,10.0,-45.0,0.0,10561.0,12312.0,2238.0,556.0,-9.0,-1.0,-19.0,1.0
2022-05-08 14:18:14.164115-07:00,948.3,1025.4,1711.0,1200.0,689.7,525.8,1426.8,944.9,3477.1,3474.6,755.4,956.0,425.5,3499.0,899.1,867.9,3483.2,3481.9,416.1,670.1,488.5,555.4,259.2,256.9,3478.3,3469.8,657.0,531.4,737.3,1234.6,1548.7,485.3,-8.0,-4.0,-12.0,9163.0,13042.0,3380.0,1717.0,-27.0,32.0,-53.0,5.0,-45.0,-3.0,10564.0,12308.0,2244.0,551.0,-10.0,-2.0,-21.0,1.0
2022-05-08 14:18:14.194031-07:00,948.3,1025.4,1711.0,1203.5,689.7,524.2,1427.7,949.2,3477.1,3474.6,755.4,952.6,425.5,3499.0,891.5,873.8,3478.3,3479.5,418.4,670.1,491.7,555.4,259.2,256.9,3480.7,3478.3,655.4,531.4,734.0,1234.6,1548.7,485.3,-9.0,-22.0,-8.0,9164.0,13038.0,3394.0,1714.0,32.0,-16.0,15.0,6.0,-50.0,-1.0,10565.0,12307.0,2246.0,550.0,11.0,-3.0,4.0,1.0
