Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:18:14.426896-07:00,707.7,805.2,852.0,1018.5,377.0,352.2,927.1,790.2,3469.8,3469.8,1404.9,875.5,644.0,3457.6,1361.2,945.8,3437.0,3438.2,409.0,362.3,363.8,366.2,292.1,255.3,3460.1,3462.5,546.6,469.5,484.5,983.3,753.8,433.3,3.0,-26.0,5.0,10144.0,-8601.0,7136.0,-6374.0,18.0,14.0,6.0,-2.0,4.0,3.0,10109.0,-12731.0,1639.0,1220.0,-6.0,2.0,-11.0,1.0
2022-05-08 14:18:14.546443-07:00,711.0,804.4,852.0,1018.5,371.6,356.8,927.1,790.2,3467.4,3472.2,1404.9,875.5,637.6,3474.6,1361.2,945.8,3437.0,3438.2,413.7,355.3,363.8,366.2,299.7,255.3,3460.1,3462.5,557.8,473.5,484.5,983.3,758.7,429.4,0.0,-27.0,3.0,10147.0,-8597.0,7135.0,-6377.0,4.0,13.0,-8.0,2.0,16.0,0.0,10107.0,-12732.0,1638.0,1219.0,-18.0,2.0,-2.0,1.0
2022-05-08 14:18:14.547405-07:00,711.0,804.4,862.1,1021.1,371.6,360.7,925.4,789.4,3467.4,3472.2,1407.6,870.5,637.6,3473.4,1345.8,945.8,3447.9,3449.1,412.1,355.3,363.8,366.2,299.7,255.3,3466.1,3456.4,556.2,473.5,482.2,979.0,758.7,429.4,-2.0,-28.0,-4.0,10148.0,-8591.0,7135.0,-6382.0,28.0,14.0,7.0,2.0,7.0,2.0,10104.0,-12735.0,1638.0,1218.0,8.0,-3.0,2.0,1.0
2022-05-08 14:18:15.627132-07:00,715.1,806.9,854.5,1020.2,373.2,360.0,925.4,792.7,3458.9,3461.3,1393.9,875.5,637.6,3461.3,1338.6,953.4,3449.1,3444.3,410.6,357.6,366.9,367.7,291.3,254.6,3466.1,3464.9,559.4,475.8,484.5,984.2,757.1,436.4,4.0,-27.0,4.0,10146.0,-8575.0,7147.0,-6394.0,15.0,46.0,18.0,8.0,12.0,0.0,10092.0,-12742.0,1657.0,1212.0,-25.0,27.0,16.0,1.0
2022-05-08 14:18:15.628972-07:00,715.1,806.9,854.5,1021.1,373.2,361.5,927.9,789.4,3458.9,3461.3,1393.9,885.6,637.6,3468.6,1339.5,946.6,3441.9,3435.8,412.1,357.6,372.4,367.7,291.3,254.6,3464.9,3452.8,557.0,475.8,479.8,984.2,757.1,436.4,-3.0,-28.0,-2.0,10146.0,-8525.0,7174.0,-6431.0,9.0,-11.0,-7.0,0.0,11.0,1.0,10092.0,-12736.0,1693.0,1235.0,12.0,-16.0,-8.0,1.0
2022-05-08 14:18:15.656676-07:00,710.1,808.5,850.3,1020.2,372.4,355.3,928.8,795.2,3462.5,3460.1,1372.1,880.6,645.7,3464.9,1330.5,949.2,3446.7,3438.2,412.9,359.2,370.8,367.7,296.7,259.9,3447.9,3455.2,557.0,471.9,486.9,984.2,758.7,432.5,-3.0,-24.0,2.0,10149.0,-8523.0,7171.0,-6432.0,16.0,10.0,-4.0,0.0,14.0,1.0,10096.0,-12732.0,1689.0,1240.0,16.0,-20.0,1.0,1.0
2022-05-08 14:18:15.776877-07:00,714.2,802.7,849.5,1019.4,377.0,352.2,933.0,787.7,3468.6,3466.1,1367.6,879.7,639.2,3472.2,1329.6,946.6,3440.7,3439.5,413.7,360.0,370.0,369.3,292.1,256.9,3463.7,3462.5,553.8,468.7,482.2,979.9,758.7,429.4,-1.0,-32.0,-6.0,10144.0,-8523.0,7168.0,-6442.0,8.0,-1.0,-4.0,1.0,14.0,1.0,10099.0,-12732.0,1679.0,1236.0,11.0,-14.0,-15.0,1.0
2022-05-08 14:18:15.779165-07:00,714.2,800.2,844.4,1023.7,370.8,351.4,924.5,783.6,3457.6,3462.5,1363.9,874.7,636.7,3464.9,1327.8,950.0,3450.4,3437.0,412.1,361.5,370.0,365.4,294.4,256.1,3457.6,3447.9,560.2,468.7,476.6,981.6,757.9,435.7,-2.0,-21.0,-7.0,10145.0,-8516.0,7167.0,-6452.0,8.0,23.0,4.0,-1.0,13.0,2.0,10096.0,-12738.0,1658.0,1226.0,-1.0,14.0,15.0,1.0
2022-05-08 14:18:15.781148-07:00,707.7,797.7,844.4,1023.7,373.9,352.2,921.1,783.6,3467.4,3466.1,1363.9,874.7,639.2,3467.4,1327.8,950.0,3450.4,3438.2,415.3,356.8,370.0,365.4,291.3,252.3,3457.6,3462.5,549.8,453.0,476.6,981.6,755.4,433.3,1.0,-26.0,-2.0,10143.0,-8513.0,7171.0,-6454.0,4.0,22.0,11.0,0.0,9.0,-2.0,10095.0,-12738.0,1663.0,1225.0,0.0,5.0,11.0,1.0
2022-05-08 14:18:17.696737-07:00,707.7,797.7,844.4,1019.4,373.9,352.2,927.1,783.6,3467.4,3466.1,1369.4,877.2,639.2,3467.4,1327.8,939.0,3433.4,3439.5,415.3,356.8,364.6,369.3,291.3,252.3,3445.5,3468.6,549.8,453.0,483.0,980.7,755.4,433.3,-1.0,-31.0,-9.0,10141.0,-8511.0,7175.0,-6456.0,-2.0,6.0,4.0,0.0,13.0,0.0,10095.0,-12738.0,1664.0,1226.0,2.0,0.0,8.0,1.0
2022-05-08 14:18:17.756309-07:00,707.7,797.7,844.4,1019.4,374.7,353.0,927.1,783.6,3468.6,3457.6,1369.4,877.2,636.7,3463.7,1327.8,939.0,3433.4,3439.5,417.6,364.6,364.6,369.3,290.5,253.1,3445.5,3468.6,557.8,469.5,483.0,980.7,755.4,438.0,-1.0,-30.0,-7.0,10141.0,-8511.0,7175.0,-6456.0,5.0,-2.0,5.0,1.0,15.0,-2.0,10095.0,-12738.0,1664.0,1226.0,8.0,-7.0,6.0,1.0
2022-05-08 14:18:17.757645-07:00,707.7,797.7,849.5,1019.4,374.7,353.0,926.2,790.2,3468.6,3457.6,1364.8,871.3,636.7,3463.7,1327.8,945.8,3441.9,3437.0,417.6,364.6,367.7,363.8,290.5,253.1,3458.9,3458.9,557.8,469.5,482.2,984.2,755.4,438.0,0.0,-26.0,-2.0,10142.0,-8510.0,7174.0,-6457.0,5.0,2.0,1.0,-1.0,12.0,0.0,10098.0,-12736.0,1664.0,1226.0,10.0,-9.0,6.0,1.0
2022-05-08 14:18:17.758386-07:00,711.0,806.0,849.5,1019.4,375.5,354.5,926.2,790.2,3461.3,3464.9,1364.8,871.3,634.3,3471.0,1327.8,945.8,3441.9,3437.0,420.8,359.2,367.7,363.8,295.1,257.6,3458.9,3458.9,557.0,466.4,482.2,984.2,757.9,438.8,-1.0,-26.0,0.0,10142.0,-8510.0,7174.0,-6457.0,6.0,8.0,2.0,2.0,11.0,2.0,10098.0,-12735.0,1664.0,1226.0,0.0,-3.0,5.0,1.0
2022-05-08 14:18:17.786219-07:00,711.0,806.0,847.8,1014.2,375.5,354.5,924.5,805.2,3461.3,3464.9,1353.1,878.0,634.3,3471.0,1325.0,953.4,3449.1,3449.1,420.8,359.2,366.9,364.6,295.1,257.6,3463.7,3462.5,557.0,466.4,479.8,979.0,757.9,438.8,0.0,-28.0,-5.0,10142.0,-8510.0,7174.0,-6457.0,-4.0,3.0,4.0,3.0,13.0,-2.0,10098.0,-12735.0,1664.0,1226.0,-8.0,4.0,1.0,1.0
2022-05-08 14:18:17.786983-07:00,711.0,806.0,847.8,1014.2,375.5,354.5,924.5,805.2,3461.3,3464.9,1353.1,878.0,634.3,3471.0,1325.0,953.4,3449.1,3449.1,420.8,359.2,366.9,364.6,295.1,257.6,3463.7,3462.5,557.0,466.4,479.8,979.0,757.9,438.8,0.0,-28.0,-5.0,10142.0,-8510.0,7174.0,-6457.0,-4.0,3.0,4.0,3.0,13.0,-2.0,10098.0,-12735.0,1664.0,1226.0,-8.0,4.0,1.0,1.0
2022-05-08 14:18:17.787940-07:00,708.5,803.5,862.9,1024.5,368.5,349.9,920.3,791.0,3463.7,3463.7,1351.2,875.5,639.2,3468.6,1322.3,944.9,3450.4,3450.4,409.8,360.0,363.8,364.6,289.0,252.3,3463.7,3464.9,553.8,460.0,483.7,993.6,787.7,433.3,-5.0,-24.0,-24.0,10128.0,-8524.0,7160.0,-6476.0,-19.0,6.0,4.0,-6.0,6.0,9.0,10134.0,-12714.0,1614.0,1224.0,28.0,-19.0,2.0,1.0
2022-05-08 14:18:17.846076-07:00,708.5,803.5,862.9,1024.5,371.6,355.3,941.5,791.0,3463.7,3463.7,1351.2,875.5,634.3,3473.4,1320.5,944.1,3433.4,3443.1,410.6,358.4,363.8,364.6,289.0,252.3,3460.1,3454.0,555.4,463.2,483.7,993.6,787.7,433.3,-9.0,-21.0,-16.0,10127.0,-8525.0,7157.0,-6479.0,23.0,-6.0,-9.0,5.0,10.0,11.0,10144.0,-12705.0,1616.0,1226.0,51.0,1.0,4.0,1.0
2022-05-08 14:18:17.876195-07:00,709.3,797.7,979.9,1032.3,371.6,355.3,941.5,791.0,3469.8,3461.3,1393.9,873.8,634.3,3473.4,1320.5,944.1,3433.4,3443.1,410.6,358.4,367.7,359.2,295.9,251.5,3460.1,3454.0,555.4,463.2,483.7,1012.5,944.9,435.7,1.0,-25.0,1.0,10130.0,-8515.0,7157.0,-6488.0,11.0,23.0,4.0,4.0,10.0,4.0,10161.0,-12691.0,1619.0,1228.0,42.0,-3.0,13.0,1.0
2022-05-08 14:18:18.356171-07:00,709.3,797.7,979.9,1032.3,372.4,356.8,923.7,784.4,3469.8,3461.3,1393.9,873.8,640.0,3466.1,1331.4,945.8,3443.1,3441.9,414.5,360.0,367.7,359.2,295.9,251.5,3461.3,3460.1,566.6,462.4,483.7,1012.5,944.9,435.7,0.0,-24.0,1.0,10132.0,-8503.0,7156.0,-6500.0,56.0,32.0,-11.0,-3.0,4.0,1.0,10171.0,-12682.0,1626.0,1231.0,29.0,1.0,20.0,1.0
