Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:22:44.834784-07:00,697.0,752.9,818.5,996.2,360.7,313.6,867.1,776.1,3467.4,3473.4,1362.1,865.4,640.0,3463.7,1342.2,910.1,3443.1,3449.1,411.4,354.5,366.9,359.2,285.2,250.8,3456.4,3461.3,520.3,429.4,460.8,941.5,743.9,445.1,-19.0,-22.0,-9.0,8166.0,-5840.0,9296.0,-9014.0,-6.0,10.0,-25.0,-23.0,16.0,-2.0,10293.0,-12581.0,736.0,1915.0,-5.0,18.0,-24.0,1.0
2022-05-08 14:22:44.835801-07:00,692.1,752.9,815.2,991.9,360.7,313.6,867.1,776.1,3462.5,3460.1,1365.7,865.4,640.0,3463.7,1342.2,910.1,3443.1,3449.1,411.4,354.5,360.7,364.6,283.6,250.0,3456.4,3461.3,520.3,429.4,460.0,944.1,752.1,441.9,-17.0,-23.0,-1.0,8162.0,-5844.0,9293.0,-9017.0,7.0,0.0,-8.0,-18.0,10.0,3.0,10294.0,-12581.0,738.0,1912.0,4.0,5.0,-7.0,1.0
2022-05-08 14:22:44.837417-07:00,692.1,752.9,815.2,991.9,355.3,318.2,868.8,772.8,3462.5,3460.1,1365.7,865.4,650.5,3464.9,1346.7,905.0,3449.1,3450.4,411.4,349.1,360.7,364.6,283.6,250.0,3464.9,3456.4,524.2,431.7,460.0,944.1,752.1,441.9,-12.0,-22.0,0.0,8162.0,-5843.0,9293.0,-9017.0,10.0,-4.0,9.0,-12.0,11.0,6.0,10294.0,-12580.0,740.0,1915.0,6.0,-7.0,5.0,1.0
2022-05-08 14:22:44.843170-07:00,692.1,754.6,814.4,993.6,355.3,318.2,868.8,772.8,3463.7,3472.2,1363.9,865.4,650.5,3464.9,1346.7,905.0,3449.1,3450.4,411.4,349.1,367.7,360.0,293.6,251.5,3464.9,3456.4,524.2,431.7,460.8,946.6,749.6,443.5,-6.0,-13.0,-7.0,8168.0,-5839.0,9293.0,-9015.0,4.0,-5.0,17.0,-8.0,17.0,3.0,10295.0,-12578.0,742.0,1922.0,1.0,-9.0,8.0,1.0
2022-05-08 14:22:44.955579-07:00,695.4,754.6,814.4,993.6,352.2,316.7,866.3,772.0,3466.1,3472.2,1363.9,865.4,642.4,3462.5,1340.4,908.4,3445.5,3446.7,409.0,349.1,367.7,360.0,293.6,254.6,3463.7,3457.6,516.3,433.3,460.8,946.6,749.6,448.2,-8.0,-25.0,-8.0,8175.0,-5839.0,9287.0,-9014.0,24.0,-28.0,10.0,-8.0,14.0,-2.0,10299.0,-12573.0,739.0,1931.0,27.0,-30.0,4.0,1.0
2022-05-08 14:22:44.956833-07:00,695.4,753.8,816.9,993.6,352.2,316.7,866.3,772.0,3466.1,3466.1,1372.1,861.2,642.4,3462.5,1340.4,901.7,3446.7,3446.7,409.0,349.1,368.5,359.2,285.9,254.6,3457.6,3457.6,516.3,433.3,461.6,944.9,748.0,448.2,0.0,-19.0,3.0,8191.0,-5838.0,9279.0,-9010.0,17.0,-25.0,27.0,-3.0,9.0,5.0,10305.0,-12566.0,735.0,1945.0,16.0,-31.0,20.0,1.0
2022-05-08 14:22:45.045349-07:00,699.5,753.8,816.9,993.6,353.0,314.4,865.4,772.0,3468.6,3466.1,1372.1,861.2,643.2,3468.6,1338.6,901.7,3446.7,3428.6,412.1,350.6,368.5,359.2,285.9,253.8,3457.6,3452.8,517.9,431.7,461.6,944.9,748.0,444.3,-2.0,-10.0,2.0,8202.0,-5834.0,9278.0,-9003.0,2.0,-14.0,24.0,-2.0,15.0,4.0,10307.0,-12563.0,735.0,1959.0,3.0,-20.0,18.0,1.0
2022-05-08 14:22:45.046660-07:00,699.5,749.6,812.7,992.7,353.0,314.4,865.4,772.8,3468.6,3468.6,1368.5,865.4,643.2,3468.6,1338.6,912.7,3437.0,3428.6,412.1,350.6,360.7,360.0,286.7,253.8,3468.6,3452.8,517.9,431.7,454.5,943.2,745.5,444.3,0.0,-10.0,2.0,8207.0,-5833.0,9278.0,-8998.0,4.0,-13.0,8.0,-4.0,17.0,6.0,10308.0,-12561.0,735.0,1967.0,9.0,-14.0,7.0,1.0
2022-05-08 14:22:45.434637-07:00,702.8,749.6,812.7,992.7,358.4,313.6,867.1,772.8,3474.6,3468.6,1368.5,865.4,640.8,3473.4,1344.0,912.7,3437.0,3434.6,410.6,352.2,360.7,360.0,286.7,252.3,3468.6,3458.9,524.2,429.4,454.5,943.2,745.5,441.2,-1.0,-16.0,4.0,8207.0,-5833.0,9278.0,-8998.0,-2.0,4.0,-3.0,-3.0,14.0,7.0,10308.0,-12561.0,736.0,1968.0,-2.0,4.0,-4.0,1.0
2022-05-08 14:22:45.435419-07:00,702.8,759.6,819.4,991.9,358.4,313.6,867.1,771.1,3474.6,3472.2,1367.6,862.1,640.8,3473.4,1344.0,909.3,3458.9,3434.6,410.6,352.2,363.8,361.5,292.8,252.3,3468.6,3458.9,524.2,429.4,463.2,948.3,748.8,441.2,-1.0,-18.0,0.0,8203.0,-5831.0,9283.0,-8998.0,-14.0,20.0,-1.0,-4.0,10.0,6.0,10305.0,-12563.0,739.0,1964.0,-15.0,22.0,-3.0,1.0
2022-05-08 14:22:45.555135-07:00,694.6,749.6,819.4,991.9,361.5,319.0,870.5,771.1,3477.1,3467.4,1367.6,862.1,638.4,3469.8,1347.6,909.3,3458.9,3446.7,409.0,350.6,363.8,361.5,285.9,253.8,3468.6,3462.5,522.6,428.6,463.2,948.3,748.8,445.1,-6.0,-13.0,-4.0,8198.0,-5832.0,9286.0,-8999.0,-13.0,13.0,-13.0,-5.0,18.0,2.0,10303.0,-12566.0,743.0,1959.0,-13.0,18.0,-11.0,1.0
2022-05-08 14:22:45.555927-07:00,694.6,749.6,816.0,1001.3,361.5,319.0,869.6,765.3,3477.1,3467.4,1362.1,862.1,638.4,3469.8,1345.8,912.7,3446.7,3444.3,409.0,350.6,366.2,361.5,285.9,253.8,3463.7,3468.6,522.6,428.6,463.2,944.9,748.8,445.1,-9.0,-18.0,0.0,8193.0,-5833.0,9286.0,-9003.0,-7.0,10.0,-14.0,-13.0,15.0,7.0,10302.0,-12567.0,744.0,1951.0,-3.0,12.0,-14.0,1.0
2022-05-08 14:22:45.557478-07:00,699.5,751.3,816.0,1001.3,357.6,318.2,869.6,765.3,3473.4,3478.3,1362.1,862.1,643.2,3478.3,1345.8,912.7,3446.7,3444.3,412.9,350.6,366.2,361.5,288.2,256.1,3463.7,3468.6,521.0,430.9,463.2,944.9,743.0,443.5,-12.0,-21.0,-3.0,8188.0,-5834.0,9286.0,-9007.0,-7.0,7.0,-8.0,-9.0,13.0,7.0,10302.0,-12569.0,746.0,1944.0,-6.0,16.0,-10.0,1.0
2022-05-08 14:22:45.558773-07:00,699.5,751.3,818.5,996.2,357.6,318.2,868.8,770.3,3473.4,3478.3,1369.4,859.5,643.2,3478.3,1335.0,905.9,3441.9,3441.9,412.9,350.6,360.0,357.6,288.2,256.1,3456.4,3452.8,521.0,430.9,464.8,948.3,743.0,443.5,-8.0,-16.0,-7.0,8185.0,-5832.0,9288.0,-9009.0,-3.0,12.0,-10.0,-8.0,14.0,5.0,10301.0,-12569.0,751.0,1941.0,-4.0,15.0,-6.0,1.0
2022-05-08 14:22:45.944815-07:00,694.6,759.6,815.2,997.9,357.6,318.2,864.6,774.5,3466.1,3467.4,1367.6,865.4,647.3,3468.6,1344.0,909.3,3446.7,3450.4,405.9,349.1,369.3,363.1,288.2,253.1,3463.7,3447.9,521.0,428.6,455.3,944.1,747.2,437.2,-10.0,-16.0,-4.0,8187.0,-5835.0,9284.0,-9009.0,8.0,-12.0,-5.0,-9.0,16.0,1.0,10302.0,-12568.0,755.0,1945.0,6.0,-7.0,-8.0,1.0
2022-05-08 14:22:45.947157-07:00,692.1,752.1,816.9,995.3,353.7,319.7,866.3,769.5,3464.9,3466.1,1357.6,857.9,643.2,3467.4,1343.1,905.9,3444.3,3437.0,412.1,351.4,368.5,359.2,293.6,250.0,3446.7,3461.3,517.1,431.7,461.6,939.0,749.6,445.1,1.0,-12.0,-3.0,8189.0,-5837.0,9282.0,-9008.0,-5.0,-9.0,-7.0,1.0,14.0,1.0,10304.0,-12566.0,756.0,1946.0,-5.0,3.0,-10.0,1.0
