Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:25:11.118517-07:00,902.5,1034.0,1623.7,1146.3,640.0,517.1,1354.0,894.9,3471.0,3481.9,745.5,920.3,411.4,3501.4,927.9,832.7,3481.9,3474.6,402.8,657.0,478.2,549.0,261.4,259.9,3471.0,3477.1,630.3,541.0,706.9,1170.0,1490.3,456.1,0.0,-8.0,0.0,9295.0,12540.0,4575.0,1962.0,0.0,-7.0,-10.0,2.0,-31.0,0.0,10741.0,11741.0,3477.0,1771.0,1.0,-3.0,-8.0,1.0
2022-05-08 14:25:11.148453-07:00,905.0,1030.6,1623.7,1146.3,639.2,511.5,1354.0,894.9,3474.6,3475.9,748.0,920.3,412.9,3502.7,927.9,832.7,3481.9,3474.6,403.5,653.8,478.2,543.4,260.7,256.9,3471.0,3477.1,627.0,549.0,706.9,1166.5,1495.8,458.5,-2.0,-6.0,4.0,9295.0,12540.0,4576.0,1961.0,-2.0,1.0,-8.0,1.0,-30.0,1.0,10741.0,11741.0,3478.0,1770.0,-2.0,-1.0,-12.0,1.0
2022-05-08 14:25:11.208497-07:00,905.0,1030.6,1623.7,1155.9,639.2,513.9,1354.0,900.0,3474.6,3475.9,748.0,918.6,412.9,3500.2,927.1,836.1,3479.5,3477.1,406.7,653.8,479.8,543.4,260.7,256.9,3483.2,3480.7,627.0,549.0,706.0,1166.5,1495.8,458.5,2.0,-7.0,0.0,9296.0,12538.0,4580.0,1957.0,9.0,5.0,-18.0,4.0,-32.0,1.0,10741.0,11739.0,3483.0,1766.0,7.0,4.0,-14.0,1.0
2022-05-08 14:25:11.328198-07:00,901.7,1028.8,1632.2,1155.9,641.6,513.9,1354.0,900.0,3478.3,3467.4,748.0,918.6,420.8,3500.2,927.1,836.1,3479.5,3477.1,406.7,657.0,479.8,547.4,257.6,256.9,3483.2,3480.7,627.0,547.4,706.0,1169.1,1494.9,457.7,3.0,-9.0,0.0,9297.0,12536.0,4586.0,1953.0,1.0,-2.0,-16.0,8.0,-30.0,0.0,10742.0,11738.0,3488.0,1761.0,-3.0,-1.0,-18.0,1.0
2022-05-08 14:25:11.329132-07:00,901.7,1028.8,1632.2,1146.3,641.6,511.5,1353.1,890.7,3478.3,3467.4,748.0,920.3,420.8,3507.5,929.6,833.6,3485.6,3468.6,408.2,657.0,476.6,547.4,257.6,256.9,3472.2,3472.2,627.8,547.4,706.9,1169.1,1494.9,457.7,-2.0,-10.0,2.0,9297.0,12535.0,4589.0,1951.0,5.0,-1.0,-11.0,2.0,-29.0,0.0,10743.0,11736.0,3492.0,1757.0,-2.0,-5.0,-11.0,1.0
2022-05-08 14:25:11.359087-07:00,898.3,1025.4,1619.0,1146.3,641.6,511.5,1353.1,890.7,3475.9,3467.4,749.6,920.3,416.1,3507.5,929.6,833.6,3485.6,3468.6,408.2,654.6,476.6,548.2,259.9,260.7,3472.2,3472.2,627.8,545.8,706.9,1166.5,1493.0,451.4,-3.0,-6.0,1.0,9296.0,12535.0,4593.0,1951.0,5.0,3.0,-10.0,2.0,-27.0,2.0,10743.0,11736.0,3495.0,1755.0,7.0,4.0,-12.0,1.0
2022-05-08 14:25:11.418542-07:00,898.3,1025.4,1619.0,1146.3,641.6,513.9,1354.0,895.7,3475.9,3467.4,749.6,922.0,416.1,3502.7,936.4,833.6,3478.3,3475.9,404.3,654.6,479.0,548.2,259.9,260.7,3483.2,3477.1,626.2,545.8,706.9,1166.5,1493.0,451.4,1.0,-8.0,-3.0,9297.0,12533.0,4596.0,1948.0,0.0,7.0,-11.0,5.0,-32.0,0.0,10744.0,11735.0,3498.0,1752.0,-3.0,0.0,-10.0,1.0
2022-05-08 14:25:11.448513-07:00,908.4,1026.3,1620.9,1142.7,641.6,513.9,1354.0,895.7,3473.4,3473.4,748.8,920.3,418.4,3502.7,936.4,833.6,3478.3,3475.9,404.3,653.8,479.0,543.4,257.6,256.9,3483.2,3477.1,626.2,541.8,708.5,1162.1,1489.3,461.6,0.0,-8.0,1.0,9297.0,12533.0,4596.0,1948.0,5.0,-7.0,-3.0,4.0,-31.0,4.0,10744.0,11735.0,3498.0,1752.0,1.0,-5.0,-3.0,1.0
2022-05-08 14:25:11.478947-07:00,908.4,1026.3,1620.9,1142.7,641.6,510.7,1353.1,912.7,3473.4,3473.4,748.8,920.3,415.3,3505.1,918.6,833.6,3480.7,3475.9,408.2,657.9,479.0,543.4,257.6,256.9,3483.2,3472.2,624.6,546.6,708.5,1162.1,1489.3,461.6,-1.0,-3.0,-1.0,9297.0,12533.0,4596.0,1948.0,5.0,-3.0,-5.0,0.0,-32.0,2.0,10744.0,11735.0,3498.0,1752.0,2.0,-9.0,-5.0,1.0
2022-05-08 14:25:11.538590-07:00,898.3,1028.0,1615.2,1147.1,641.6,510.7,1353.1,912.7,3475.9,3468.6,748.8,935.6,415.3,3505.1,918.6,833.6,3480.7,3475.9,408.2,657.9,478.2,545.0,258.4,257.6,3483.2,3472.2,624.6,546.6,711.0,1165.6,1487.5,457.7,1.0,-9.0,1.0,9297.0,12533.0,4596.0,1948.0,1.0,-3.0,-3.0,8.0,-33.0,1.0,10744.0,11735.0,3498.0,1751.0,2.0,-5.0,-3.0,1.0
2022-05-08 14:25:11.568357-07:00,898.3,1028.0,1615.2,1147.1,643.2,515.5,1350.3,894.9,3475.9,3468.6,748.8,935.6,409.8,3502.7,927.1,831.1,3478.3,3478.3,400.4,660.3,478.2,545.0,258.4,257.6,3481.9,3475.9,622.2,545.8,711.0,1165.6,1487.5,457.7,-1.0,-7.0,4.0,9297.0,12533.0,4596.0,1948.0,-1.0,1.0,3.0,0.0,-34.0,0.0,10744.0,11735.0,3498.0,1751.0,1.0,2.0,4.0,1.0
2022-05-08 14:25:11.628962-07:00,909.3,1023.7,1618.1,1150.6,643.2,515.5,1350.3,894.9,3480.7,3468.6,744.7,923.7,409.8,3502.7,927.1,831.1,3478.3,3478.3,400.4,660.3,480.6,545.8,258.4,252.3,3481.9,3475.9,622.2,545.8,711.0,1182.3,1493.0,453.7,-3.0,-3.0,0.0,9297.0,12533.0,4596.0,1948.0,-1.0,11.0,-2.0,2.0,-32.0,2.0,10744.0,11735.0,3498.0,1751.0,-2.0,2.0,0.0,1.0
2022-05-08 14:25:11.689155-07:00,909.3,1023.7,1618.1,1150.6,643.2,516.3,1354.0,891.5,3480.7,3468.6,744.7,923.7,416.1,3501.4,928.8,835.2,3479.5,3477.1,405.9,654.6,480.6,545.8,258.4,252.3,3475.9,3474.6,626.2,546.6,711.0,1182.3,1493.0,453.7,5.0,-5.0,-1.0,9297.0,12533.0,4596.0,1949.0,-3.0,0.0,-9.0,8.0,-31.0,-3.0,10744.0,11735.0,3498.0,1751.0,-8.0,-2.0,-5.0,1.0
2022-05-08 14:25:11.718677-07:00,903.4,1028.0,1622.8,1146.3,643.2,516.3,1354.0,899.1,3472.2,3469.8,747.2,916.0,416.1,3501.4,928.8,832.7,3474.6,3477.1,405.9,654.6,481.4,547.4,259.9,259.2,3480.7,3474.6,626.2,546.6,704.4,1164.7,1491.2,454.5,-1.0,-7.0,3.0,9297.0,12533.0,4596.0,1949.0,-4.0,5.0,1.0,0.0,-33.0,4.0,10744.0,11735.0,3498.0,1751.0,-3.0,2.0,4.0,1.0
2022-05-08 14:25:11.809120-07:00,906.7,1028.0,1622.8,1146.3,643.2,513.9,1349.4,899.1,3467.4,3469.8,747.2,916.0,415.3,3500.2,934.7,832.7,3474.6,3477.1,405.9,655.4,481.4,547.4,259.9,259.2,3480.7,3478.3,634.3,547.4,704.4,1164.7,1491.2,451.4,-1.0,-4.0,-3.0,9297.0,12533.0,4596.0,1949.0,8.0,8.0,-3.0,0.0,-32.0,0.0,10744.0,11735.0,3498.0,1751.0,3.0,3.0,3.0,1.0
2022-05-08 14:25:11.839465-07:00,906.7,1029.7,1623.7,1139.2,643.2,513.9,1349.4,911.0,3467.4,3474.6,748.8,922.8,415.3,3500.2,934.7,833.6,3474.6,3477.1,405.9,655.4,479.8,545.8,258.4,259.2,3488.0,3478.3,634.3,547.4,709.3,1162.1,1486.6,451.4,-1.0,-6.0,-1.0,9297.0,12533.0,4597.0,1948.0,3.0,-7.0,-13.0,3.0,-27.0,-2.0,10744.0,11735.0,3498.0,1751.0,-4.0,1.0,-3.0,1.0
2022-05-08 14:25:11.868372-07:00,904.2,1029.7,1623.7,1139.2,638.4,513.9,1355.8,911.0,3481.9,3474.6,748.8,922.8,411.4,3491.7,926.2,833.6,3474.6,3479.5,406.7,652.2,479.8,545.8,258.4,256.1,3488.0,3480.7,626.2,547.4,709.3,1162.1,1486.6,457.7,-5.0,-11.0,2.0,9297.0,12532.0,4599.0,1947.0,0.0,12.0,3.0,0.0,-33.0,5.0,10744.0,11735.0,3498.0,1751.0,-5.0,1.0,7.0,1.0
2022-05-08 14:25:11.928987-07:00,904.2,1028.8,1619.9,1150.6,638.4,513.9,1355.8,899.1,3481.9,3469.8,750.5,925.4,411.4,3491.7,926.2,834.4,3479.5,3479.5,406.7,652.2,484.5,545.8,259.9,256.1,3477.1,3480.7,626.2,547.4,713.4,1162.1,1482.9,457.7,2.0,-4.0,0.0,9296.0,12532.0,4600.0,1949.0,0.0,3.0,-4.0,4.0,-29.0,-2.0,10744.0,11735.0,3498.0,1751.0,-1.0,0.0,1.0,1.0
2022-05-08 14:25:11.988667-07:00,900.0,1028.8,1619.9,1150.6,642.4,514.7,1354.9,899.1,3478.3,3469.8,750.5,925.4,415.3,3505.1,929.6,834.4,3479.5,3474.6,401.2,652.2,484.5,545.8,259.9,259.2,3477.1,3474.6,631.1,543.4,713.4,1162.1,1482.9,454.5,-1.0,-5.0,-2.0,9296.0,12532.0,4601.0,1949.0,3.0,-2.0,-5.0,4.0,-32.0,0.0,10744.0,11735.0,3498.0,1751.0,2.0,4.0,1.0,1.0
2022-05-08 14:25:12.018193-07:00,900.0,1026.3,1625.6,1148.0,642.4,514.7,1357.6,891.5,3478.3,3463.7,747.2,917.7,415.3,3505.1,926.2,833.6,3469.8,3479.5,401.2,652.2,479.0,549.0,259.9,259.2,3480.7,3475.9,631.1,543.4,706.0,1167.4,1494.0,454.5,-1.0,-6.0,3.0,9296.0,12532.0,4601.0,1949.0,0.0,4.0,-4.0,3.0,-30.0,2.0,10744.0,11735.0,3498.0,1751.0,1.0,4.0,2.0,1.0
2022-05-08 14:25:12.108480-07:00,905.0,1028.0,1625.6,1148.0,641.6,509.9,1357.6,891.5,3471.0,3479.5,747.2,917.7,416.1,3507.5,926.2,833.6,3469.8,3479.5,407.5,657.0,479.0,549.0,257.6,261.4,3480.7,3475.9,623.0,541.8,706.0,1167.4,1490.3,456.1,-1.0,0.0,-1.0,9296.0,12532.0,4601.0,1949.0,3.0,5.0,-8.0,2.0,-27.0,-3.0,10744.0,11735.0,3498.0,1751.0,1.0,4.0,-3.0,1.0
2022-05-08 14:25:12.138720-07:00,905.0,1028.0,1623.7,1142.7,641.6,509.9,1353.1,892.4,3471.0,3479.5,747.2,920.3,416.1,3507.5,925.4,834.4,3475.9,3474.6,407.5,657.0,476.6,543.4,257.6,261.4,3485.6,3483.2,623.0,541.8,706.0,1165.6,1490.3,456.1,-3.0,-10.0,0.0,9296.0,12532.0,4602.0,1950.0,9.0,9.0,-2.0,1.0,-30.0,-1.0,10744.0,11735.0,3498.0,1752.0,8.0,6.0,0.0,1.0
2022-05-08 14:25:12.168495-07:00,906.7,1027.1,1623.7,1142.7,644.9,513.9,1353.1,892.4,3478.3,3484.4,747.2,920.3,417.6,3500.2,925.4,834.4,3475.9,3474.6,405.1,657.0,476.6,543.4,259.2,258.4,3485.6,3483.2,627.0,541.8,706.0,1165.6,1490.3,451.4,0.0,-10.0,-1.0,9295.0,12531.0,4604.0,1952.0,1.0,3.0,7.0,3.0,-33.0,-2.0,10744.0,11735.0,3497.0,1752.0,-1.0,4.0,14.0,1.0
2022-05-08 14:25:12.228859-07:00,906.7,1027.1,1621.8,1154.2,644.9,513.9,1352.1,894.9,3478.3,3484.4,747.2,922.0,417.6,3500.2,923.7,831.9,3488.0,3471.0,405.1,657.0,481.4,547.4,259.2,258.4,3485.6,3485.6,627.0,541.8,710.1,1162.1,1490.3,451.4,-1.0,-11.0,1.0,9295.0,12531.0,4604.0,1952.0,-3.0,4.0,10.0,2.0,-31.0,0.0,10743.0,11736.0,3494.0,1756.0,-7.0,-2.0,13.0,1.0
2022-05-08 14:25:12.289239-07:00,903.4,1028.0,1621.8,1154.2,642.4,513.9,1352.1,894.9,3467.4,3474.6,747.2,922.0,416.1,3501.4,923.7,831.9,3488.0,3471.0,405.9,657.0,481.4,547.4,263.0,258.4,3485.6,3485.6,629.5,543.4,710.1,1162.1,1486.6,453.0,0.0,0.0,0.0,9295.0,12532.0,4601.0,1953.0,5.0,5.0,-5.0,4.0,-29.0,-4.0,10743.0,11737.0,3491.0,1758.0,-2.0,-4.0,-1.0,1.0
2022-05-08 14:25:12.319294-07:00,903.4,1028.0,1625.6,1147.1,642.4,510.7,1353.1,891.5,3467.4,3474.6,743.9,924.5,416.1,3494.1,925.4,838.6,3483.2,3472.2,407.5,657.0,480.6,545.0,263.0,258.4,3480.7,3478.3,632.7,543.4,707.7,1166.5,1486.6,453.0,3.0,-9.0,-1.0,9295.0,12532.0,4601.0,1955.0,-6.0,4.0,10.0,5.0,-31.0,-3.0,10743.0,11737.0,3491.0,1758.0,-1.0,0.0,12.0,1.0
2022-05-08 14:25:12.378365-07:00,905.0,1031.4,1622.8,1147.1,640.0,510.7,1353.1,891.5,3474.6,3479.5,750.5,924.5,416.1,3494.1,925.4,838.6,3483.2,3472.2,407.5,653.8,480.6,550.6,259.2,258.4,3480.7,3478.3,632.7,550.6,707.7,1168.2,1487.5,451.4,-5.0,-3.0,-1.0,9296.0,12532.0,4597.0,1959.0,-2.0,4.0,15.0,-3.0,-28.0,0.0,10742.0,11738.0,3486.0,1763.0,1.0,2.0,18.0,1.0
2022-05-08 14:25:12.438686-07:00,905.0,1031.4,1622.8,1145.4,640.0,508.3,1347.6,897.4,3474.6,3479.5,750.5,922.8,416.1,3496.6,935.6,829.4,3478.3,3483.2,406.7,653.8,476.6,550.6,259.2,258.4,3485.6,3472.2,627.8,550.6,707.7,1168.2,1487.5,451.4,0.0,-5.0,0.0,9297.0,12532.0,4594.0,1964.0,-10.0,4.0,8.0,1.0,-30.0,-1.0,10742.0,11739.0,3482.0,1767.0,-3.0,6.0,10.0,1.0
