Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:30:45.725342-07:00,676.6,792.7,748.8,952.6,349.9,301.3,874.7,729.0,3467.4,3478.3,1025.4,823.5,573.8,3474.6,1099.0,871.3,3441.9,3435.8,402.8,346.8,363.1,354.5,269.9,250.0,3462.5,3457.6,484.5,408.2,435.7,932.2,694.6,404.3,-2.0,-8.0,0.0,10031.0,-2514.0,3760.0,-12139.0,4.0,-15.0,-34.0,-13.0,-9.0,7.0,14062.0,-6547.0,-1380.0,5092.0,-4.0,1.0,-27.0,1.0
2022-05-08 14:30:45.726583-07:00,676.6,792.7,748.8,952.6,353.7,302.0,887.3,729.9,3467.4,3478.3,1025.4,823.5,578.6,3475.9,1107.8,870.5,3452.8,3444.3,406.7,350.6,363.1,354.5,269.9,250.0,3457.6,3457.6,491.7,409.8,435.7,932.2,694.6,404.3,-2.0,-31.0,7.0,10024.0,-2522.0,3762.0,-12143.0,-9.0,6.0,-6.0,-11.0,-22.0,-7.0,14063.0,-6549.0,-1379.0,5086.0,-4.0,15.0,-6.0,1.0
2022-05-08 14:30:45.755543-07:00,678.2,786.1,747.2,953.4,353.7,302.0,887.3,729.9,3469.8,3462.5,1026.3,811.0,578.6,3475.9,1107.8,870.5,3452.8,3444.3,406.7,350.6,362.3,356.1,273.7,250.0,3457.6,3457.6,491.7,409.8,437.2,939.8,696.2,407.5,7.0,-14.0,-7.0,10024.0,-2515.0,3776.0,-12140.0,-12.0,41.0,13.0,-4.0,-7.0,-2.0,14062.0,-6553.0,-1369.0,5088.0,13.0,16.0,12.0,1.0
2022-05-08 14:30:45.785449-07:00,678.2,786.1,747.2,953.4,353.7,299.0,885.6,729.0,3469.8,3462.5,1026.3,811.0,573.8,3468.6,1104.3,873.0,3443.1,3451.6,411.4,350.6,362.3,356.1,273.7,250.0,3468.6,3469.8,493.2,405.1,437.2,939.8,696.2,407.5,8.0,5.0,-8.0,10026.0,-2507.0,3768.0,-12142.0,49.0,-30.0,3.0,8.0,7.0,4.0,14068.0,-6539.0,-1364.0,5091.0,53.0,-15.0,-4.0,1.0
2022-05-08 14:30:45.815999-07:00,679.9,783.6,753.8,952.6,353.7,299.0,885.6,729.0,3469.8,3467.4,1030.6,813.5,573.8,3468.6,1104.3,873.0,3443.1,3451.6,411.4,350.6,363.8,353.0,269.1,254.6,3468.6,3469.8,493.2,405.1,438.0,936.4,695.4,406.7,10.0,6.0,23.0,10031.0,-2512.0,3755.0,-12141.0,-5.0,-2.0,10.0,0.0,-5.0,17.0,14070.0,-6530.0,-1369.0,5093.0,-8.0,-13.0,1.0,1.0
2022-05-08 14:30:45.816536-07:00,679.9,783.6,753.8,952.6,353.7,299.0,885.6,729.0,3469.8,3467.4,1030.6,813.5,573.8,3468.6,1104.3,873.0,3443.1,3451.6,411.4,350.6,363.8,353.0,269.1,254.6,3468.6,3469.8,493.2,405.1,438.0,936.4,695.4,406.7,10.0,6.0,23.0,10031.0,-2512.0,3755.0,-12141.0,-5.0,-2.0,10.0,0.0,-5.0,17.0,14070.0,-6530.0,-1369.0,5093.0,-8.0,-13.0,1.0,1.0
2022-05-08 14:30:45.817287-07:00,675.0,788.6,748.8,945.8,355.3,295.9,886.5,724.9,3466.1,3475.9,1026.3,809.4,575.4,3469.8,1100.8,871.3,3444.3,3439.5,405.9,348.3,363.1,356.1,271.4,251.5,3457.6,3458.9,490.9,413.7,435.7,934.7,690.5,404.3,9.0,-7.0,-7.0,10016.0,-2515.0,3773.0,-12147.0,21.0,13.0,9.0,-5.0,-8.0,-5.0,14067.0,-6545.0,-1348.0,5090.0,29.0,6.0,10.0,1.0
2022-05-08 14:30:45.818892-07:00,669.3,785.2,748.0,956.8,342.1,302.0,888.2,730.7,3478.3,3466.1,1010.8,820.2,579.4,3466.1,1107.8,871.3,3446.7,3447.9,402.8,348.3,360.7,357.6,269.1,256.1,3455.2,3468.6,487.7,407.5,441.2,933.9,694.6,405.9,8.0,-5.0,-6.0,10019.0,-2505.0,3765.0,-12149.0,47.0,0.0,7.0,-2.0,1.0,-4.0,14072.0,-6532.0,-1346.0,5092.0,34.0,-20.0,-1.0,1.0
2022-05-08 14:30:45.875750-07:00,670.1,785.2,748.0,956.8,355.3,299.0,889.8,730.7,3478.3,3466.1,1010.8,820.2,573.0,3467.4,1106.0,871.3,3446.7,3443.1,405.9,349.1,360.7,357.6,269.1,256.1,3455.2,3468.6,489.3,403.5,441.2,933.9,694.6,409.0,2.0,1.0,2.0,10025.0,-2503.0,3745.0,-12151.0,33.0,-44.0,-6.0,-3.0,4.0,1.0,14077.0,-6516.0,-1351.0,5098.0,31.0,-29.0,-7.0,1.0
2022-05-08 14:30:45.906316-07:00,670.1,777.8,749.6,949.2,355.3,299.0,899.1,731.5,3478.3,3471.0,1028.8,815.2,573.0,3467.4,1107.8,872.1,3437.0,3446.7,405.9,349.1,362.3,354.5,266.8,256.1,3464.9,3458.9,489.3,403.5,444.3,934.7,693.8,409.0,6.0,-8.0,21.0,10027.0,-2501.0,3735.0,-12153.0,5.0,21.0,5.0,-6.0,-8.0,4.0,14079.0,-6510.0,-1353.0,5100.0,5.0,0.0,4.0,1.0
2022-05-08 14:30:45.966215-07:00,676.6,789.4,749.6,949.2,352.2,303.6,899.1,731.5,3477.1,3471.0,1028.8,815.2,575.4,3463.7,1107.8,872.1,3437.0,3446.7,404.3,347.6,362.3,354.5,272.1,256.1,3464.9,3458.9,486.1,409.8,444.3,934.7,692.9,409.0,0.0,4.0,-15.0,10024.0,-2483.0,3740.0,-12158.0,13.0,32.0,3.0,-6.0,4.0,-4.0,14082.0,-6504.0,-1347.0,5099.0,18.0,11.0,-3.0,1.0
2022-05-08 14:30:46.025537-07:00,676.6,789.4,753.8,945.8,352.2,303.6,905.0,739.7,3477.1,3471.0,1032.3,811.0,575.4,3463.7,1110.4,870.5,3454.0,3449.1,404.3,347.6,359.2,351.4,272.1,256.1,3468.6,3468.6,486.1,409.8,441.2,928.8,692.9,409.0,6.0,-8.0,-11.0,10026.0,-2486.0,3733.0,-12158.0,26.0,-37.0,-2.0,-1.0,-3.0,-8.0,14084.0,-6500.0,-1346.0,5100.0,18.0,-29.0,-13.0,1.0
2022-05-08 14:30:46.055674-07:00,666.0,781.1,753.8,945.8,352.2,302.8,905.0,739.7,3469.8,3474.6,1032.3,811.0,579.4,3466.1,1110.4,870.5,3454.0,3449.1,404.3,351.4,359.2,351.4,272.9,254.6,3468.6,3468.6,486.1,407.5,441.2,928.8,691.3,408.2,10.0,-11.0,10.0,10031.0,-2488.0,3721.0,-12156.0,22.0,-10.0,10.0,0.0,-13.0,-4.0,14087.0,-6490.0,-1356.0,5102.0,25.0,-27.0,-2.0,1.0
2022-05-08 14:30:46.115508-07:00,666.0,781.1,753.8,959.4,352.2,302.8,906.7,738.1,3469.8,3474.6,1030.6,816.0,579.4,3466.1,1100.8,875.5,3445.5,3445.5,404.3,351.4,361.5,358.4,272.9,254.6,3463.7,3457.6,486.1,407.5,438.0,933.0,691.3,408.2,9.0,-1.0,7.0,10038.0,-2474.0,3721.0,-12154.0,-1.0,39.0,34.0,0.0,-2.0,-3.0,14091.0,-6479.0,-1356.0,5106.0,4.0,6.0,16.0,1.0
2022-05-08 14:30:46.175383-07:00,673.3,777.8,753.8,959.4,351.4,299.0,906.7,738.1,3464.9,3473.4,1030.6,816.0,574.6,3478.3,1100.8,875.5,3445.5,3445.5,404.3,352.2,361.5,358.4,270.6,256.1,3463.7,3457.6,493.2,406.7,438.0,933.0,693.8,411.4,7.0,3.0,3.0,10043.0,-2466.0,3735.0,-12147.0,5.0,25.0,20.0,0.0,-4.0,5.0,14089.0,-6482.0,-1349.0,5110.0,11.0,9.0,9.0,1.0
2022-05-08 14:30:46.205543-07:00,673.3,777.8,743.0,949.2,351.4,302.8,902.5,739.7,3464.9,3473.4,1017.6,814.4,574.6,3467.4,1106.9,874.7,3449.1,3440.7,405.1,352.2,364.6,358.4,270.6,256.1,3469.8,3461.3,493.2,406.7,440.4,931.3,693.8,411.4,11.0,9.0,1.0,10042.0,-2455.0,3735.0,-12150.0,-6.0,27.0,-5.0,1.0,5.0,5.0,14092.0,-6476.0,-1348.0,5108.0,-10.0,7.0,-15.0,1.0
2022-05-08 14:30:46.265512-07:00,668.4,785.2,752.1,949.2,349.9,302.8,902.5,739.7,3469.8,3458.9,1021.9,814.4,576.2,3467.4,1106.9,874.7,3449.1,3440.7,405.1,346.8,364.6,349.9,272.1,256.9,3469.8,3461.3,493.2,405.9,440.4,938.1,695.4,411.4,0.0,1.0,-5.0,10039.0,-2445.0,3742.0,-12152.0,-3.0,23.0,-6.0,-10.0,-1.0,0.0,14094.0,-6476.0,-1351.0,5101.0,-9.0,7.0,-16.0,1.0
2022-05-08 14:30:46.325429-07:00,668.4,785.2,752.1,956.0,349.9,299.0,901.7,743.0,3469.8,3458.9,1021.9,820.2,576.2,3463.7,1109.5,871.3,3452.8,3446.7,403.5,346.8,357.6,349.9,272.1,256.9,3473.4,3455.2,492.5,405.9,435.7,938.1,695.4,411.4,-8.0,-13.0,-16.0,10034.0,-2447.0,3747.0,-12155.0,1.0,-27.0,-2.0,-17.0,-4.0,-5.0,14095.0,-6477.0,-1353.0,5097.0,-9.0,-12.0,-3.0,1.0
2022-05-08 14:30:46.385434-07:00,675.0,788.6,748.8,956.0,351.4,299.0,901.7,743.0,3467.4,3478.3,1025.4,820.2,574.6,3463.7,1109.5,871.3,3452.8,3446.7,403.5,348.3,357.6,356.8,271.4,256.1,3473.4,3455.2,492.5,404.3,435.7,935.6,696.2,404.3,1.0,-27.0,1.0,10036.0,-2462.0,3747.0,-12149.0,20.0,-33.0,35.0,-9.0,-14.0,-5.0,14091.0,-6481.0,-1359.0,5103.0,5.0,-30.0,14.0,1.0
2022-05-08 14:30:46.835403-07:00,675.0,788.6,748.8,956.8,351.4,300.5,910.1,739.7,3467.4,3478.3,1025.4,814.4,574.6,3466.1,1105.1,867.1,3443.1,3450.4,404.3,348.3,358.4,356.8,271.4,256.1,3462.5,3463.7,488.5,404.3,439.6,935.6,696.2,404.3,14.0,2.0,5.0,10052.0,-2465.0,3740.0,-12137.0,-13.0,-9.0,43.0,3.0,-1.0,2.0,14087.0,-6475.0,-1365.0,5119.0,1.0,-29.0,29.0,1.0
2022-05-08 14:30:46.836380-07:00,674.2,786.1,752.9,956.8,352.2,300.5,910.1,739.7,3473.4,3473.4,1031.4,814.4,575.4,3466.1,1105.1,867.1,3443.1,3450.4,404.3,352.2,358.4,354.5,266.8,257.6,3462.5,3463.7,488.5,409.8,439.6,933.0,688.9,405.1,5.0,11.0,4.0,10062.0,-2464.0,3742.0,-12129.0,1.0,-16.0,15.0,2.0,4.0,9.0,14085.0,-6471.0,-1369.0,5130.0,11.0,-22.0,11.0,1.0
