Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:34:31.044433-07:00,897.4,927.9,1347.6,1045.2,629.5,481.4,1347.6,872.1,3464.9,3474.6,675.0,883.9,403.5,3497.8,790.2,777.8,3477.1,3481.9,482.2,651.4,510.7,575.4,241.6,236.3,3478.3,3481.9,581.8,451.4,670.9,1102.5,1335.9,429.4,4.0,-1.0,17.0,8497.0,9719.0,8892.0,4765.0,-13.0,-23.0,-2.0,8.0,-17.0,6.0,10881.0,11485.0,3998.0,1471.0,-15.0,-7.0,3.0,1.0
2022-05-08 14:34:31.104928-07:00,897.4,927.9,1347.6,1040.1,629.5,481.4,1343.1,866.3,3464.9,3474.6,675.0,886.5,403.5,3497.8,786.9,777.8,3472.2,3480.7,482.2,651.4,508.3,579.4,241.6,236.3,3479.5,3477.1,581.8,451.4,670.1,1106.9,1335.9,429.4,5.0,5.0,18.0,8502.0,9716.0,8887.0,4772.0,-5.0,12.0,18.0,10.0,-17.0,14.0,10885.0,11482.0,3993.0,1478.0,-6.0,13.0,22.0,1.0
2022-05-08 14:34:31.134716-07:00,894.1,927.9,1347.6,1040.1,627.8,475.8,1343.1,866.3,3473.4,3474.6,675.0,886.5,402.0,3502.7,786.9,777.8,3472.2,3480.7,482.2,649.7,508.3,579.4,237.8,243.9,3479.5,3477.1,585.1,448.2,670.1,1106.9,1338.6,427.8,1.0,13.0,2.0,8493.0,9717.0,8888.0,4785.0,11.0,29.0,20.0,8.0,-8.0,8.0,10882.0,11483.0,3989.0,1492.0,10.0,19.0,23.0,1.0
2022-05-08 14:34:31.195217-07:00,894.1,927.9,1347.6,1040.1,627.8,475.8,1348.5,872.1,3473.4,3474.6,671.7,884.8,402.0,3502.7,788.6,774.5,3475.9,3483.2,482.2,649.7,508.3,575.4,237.8,243.9,3471.0,3488.0,585.1,448.2,673.3,1104.3,1338.6,427.8,-7.0,14.0,-10.0,8484.0,9716.0,8892.0,4793.0,12.0,24.0,8.0,1.0,-12.0,-1.0,10875.0,11488.0,3992.0,1502.0,15.0,19.0,9.0,1.0
2022-05-08 14:34:31.314843-07:00,895.7,927.1,1347.6,1040.1,632.7,480.6,1348.5,872.1,3478.3,3473.4,671.7,884.8,411.4,3490.5,788.6,774.5,3475.9,3483.2,478.2,648.9,508.3,575.4,241.6,236.3,3471.0,3488.0,585.9,448.2,673.3,1104.3,1338.6,427.8,-12.0,6.0,-6.0,8478.0,9716.0,8899.0,4792.0,12.0,11.0,-18.0,-2.0,-11.0,2.0,10870.0,11492.0,3994.0,1500.0,8.0,-6.0,-14.0,1.0
2022-05-08 14:34:31.374857-07:00,895.7,927.1,1346.7,1041.8,632.7,480.6,1355.8,867.9,3478.3,3473.4,673.3,878.9,411.4,3490.5,783.6,782.7,3480.7,3479.5,478.2,648.9,508.3,576.2,241.6,236.3,3484.4,3480.7,585.9,448.2,668.4,1106.9,1338.6,427.8,-1.0,2.0,3.0,8481.0,9715.0,8902.0,4783.0,6.0,-20.0,-15.0,3.0,-16.0,5.0,10870.0,11491.0,4000.0,1494.0,0.0,-9.0,-18.0,1.0
2022-05-08 14:34:31.375879-07:00,890.7,928.8,1347.6,1041.8,632.7,478.2,1355.8,867.9,3473.4,3468.6,667.6,878.9,402.0,3508.8,783.6,782.7,3480.7,3479.5,479.8,648.9,508.3,573.8,240.9,238.6,3484.4,3480.7,595.5,448.2,668.4,1103.4,1341.3,424.7,5.0,5.0,17.0,8487.0,9715.0,8899.0,4777.0,4.0,-10.0,-3.0,7.0,-17.0,6.0,10872.0,11491.0,3999.0,1488.0,6.0,-8.0,-7.0,1.0
2022-05-08 14:34:31.377069-07:00,890.7,928.8,1347.6,1042.6,632.7,475.8,1352.1,872.1,3473.4,3468.6,667.6,884.8,402.0,3500.2,789.4,794.4,3479.5,3478.3,478.2,648.9,503.6,573.8,240.9,238.6,3485.6,3481.9,584.3,448.2,667.6,1103.4,1341.3,424.7,3.0,6.0,7.0,8488.0,9714.0,8898.0,4779.0,7.0,7.0,-2.0,5.0,-11.0,5.0,10872.0,11491.0,3999.0,1488.0,6.0,8.0,-3.0,1.0
2022-05-08 14:34:31.465438-07:00,894.1,926.2,1350.3,1042.6,634.3,475.8,1352.1,872.1,3484.4,3474.6,671.7,884.8,402.8,3500.2,789.4,794.4,3479.5,3478.3,478.2,649.7,503.6,573.0,239.3,238.6,3485.6,3481.9,584.3,451.4,667.6,1101.7,1335.9,429.4,3.0,8.0,-1.0,8485.0,9713.0,8901.0,4783.0,1.0,13.0,-4.0,9.0,-15.0,0.0,10871.0,11492.0,3999.0,1488.0,10.0,6.0,-8.0,1.0
2022-05-08 14:34:31.555059-07:00,894.1,926.2,1350.3,1045.2,634.3,476.6,1342.2,871.3,3484.4,3474.6,671.7,884.8,402.8,3497.8,785.2,783.6,3479.5,3480.7,480.6,649.7,512.3,573.0,239.3,238.6,3488.0,3478.3,583.5,451.4,676.6,1101.7,1335.9,429.4,-4.0,4.0,1.0,8484.0,9712.0,8905.0,4780.0,5.0,10.0,-14.0,1.0,-16.0,-1.0,10869.0,11493.0,4002.0,1485.0,7.0,6.0,-14.0,1.0
