Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:39:54.766947-07:00,860.4,874.7,1296.3,1045.2,623.0,460.0,1385.7,856.2,3478.3,3472.2,684.8,872.1,398.1,3491.7,773.6,775.3,3480.7,3475.9,437.2,649.7,457.7,574.6,246.2,244.7,3472.2,3477.1,596.3,450.6,658.7,1093.8,1314.2,422.3,-6.0,8.0,-3.0,8645.0,9581.0,8554.0,5361.0,1.0,-3.0,18.0,0.0,-3.0,12.0,11223.0,11489.0,3120.0,861.0,4.0,-5.0,7.0,1.0
2022-05-08 14:39:54.767858-07:00,858.7,874.7,1296.3,1045.2,626.2,460.8,1388.5,856.2,3475.9,3472.2,684.8,872.1,403.5,3486.8,768.7,775.3,3480.7,3472.2,438.0,658.7,457.7,574.6,246.2,248.5,3472.2,3488.0,597.1,449.8,658.7,1093.8,1314.2,427.0,-2.0,1.0,-2.0,8648.0,9584.0,8549.0,5358.0,4.0,-2.0,8.0,0.0,-2.0,0.0,11223.0,11489.0,3120.0,861.0,9.0,-2.0,2.0,1.0
2022-05-08 14:39:54.827605-07:00,858.7,871.3,1294.5,1028.8,626.2,460.8,1388.5,854.5,3475.9,3478.3,684.8,878.9,403.5,3486.8,768.7,771.1,3472.2,3472.2,438.0,658.7,456.9,581.0,243.9,248.5,3475.9,3488.0,597.1,449.8,656.2,1091.2,1313.3,427.0,-14.0,10.0,-9.0,8645.0,9584.0,8551.0,5361.0,0.0,-3.0,3.0,-6.0,-1.0,9.0,11222.0,11490.0,3120.0,861.0,2.0,1.0,-2.0,1.0
2022-05-08 14:39:54.886808-07:00,860.4,871.3,1294.5,1028.8,623.8,467.9,1385.7,854.5,3475.9,3478.3,684.8,878.9,401.2,3497.8,772.8,771.1,3472.2,3480.7,430.2,644.9,456.9,581.0,243.9,244.7,3475.9,3481.9,597.9,452.2,656.2,1091.2,1313.3,428.6,-5.0,4.0,-5.0,8647.0,9584.0,8549.0,5360.0,-11.0,-4.0,15.0,-5.0,-8.0,0.0,11223.0,11489.0,3119.0,861.0,-8.0,-10.0,5.0,1.0
2022-05-08 14:39:54.917011-07:00,860.4,874.7,1297.2,1030.6,623.8,467.9,1385.7,855.3,3475.9,3477.1,683.1,877.2,401.2,3497.8,772.8,773.6,3477.1,3480.7,430.2,644.9,462.4,575.4,246.2,244.7,3479.5,3481.9,597.9,452.2,655.4,1092.1,1314.2,428.6,-8.0,8.0,2.0,8649.0,9585.0,8545.0,5360.0,11.0,-8.0,-6.0,-3.0,-1.0,5.0,11223.0,11489.0,3119.0,860.0,5.0,3.0,-4.0,1.0
2022-05-08 14:39:55.007415-07:00,862.1,874.7,1297.2,1030.6,623.8,461.6,1391.2,855.3,3477.1,3477.1,683.1,877.2,400.4,3495.3,771.1,773.6,3477.1,3477.1,433.3,649.7,462.4,575.4,246.2,240.9,3479.5,3475.9,602.0,451.4,655.4,1092.1,1314.2,434.1,-12.0,2.0,-1.0,8646.0,9586.0,8546.0,5362.0,-3.0,19.0,27.0,-3.0,-6.0,9.0,11223.0,11489.0,3118.0,861.0,7.0,6.0,10.0,1.0
2022-05-08 14:39:55.066807-07:00,862.1,880.6,1299.8,1030.6,623.8,461.6,1383.9,857.0,3477.1,3471.0,682.3,880.6,400.4,3495.3,773.6,776.1,3478.3,3478.3,433.3,649.7,458.5,575.4,247.0,240.9,3477.1,3488.0,602.0,451.4,661.9,1092.9,1314.2,434.1,0.0,10.0,-12.0,8644.0,9588.0,8543.0,5366.0,-1.0,-1.0,-6.0,0.0,-1.0,-3.0,11223.0,11490.0,3118.0,860.0,-2.0,4.0,-4.0,1.0
2022-05-08 14:39:55.097453-07:00,857.9,878.9,1299.8,1030.6,624.6,460.0,1383.9,857.0,3467.4,3477.1,682.3,880.6,402.8,3491.7,773.6,776.1,3478.3,3478.3,434.9,651.4,458.5,575.4,244.7,247.0,3477.1,3488.0,598.7,449.0,661.9,1092.9,1304.3,422.3,-8.0,0.0,-3.0,8644.0,9588.0,8543.0,5366.0,-6.0,-1.0,9.0,-6.0,-10.0,3.0,11223.0,11490.0,3118.0,860.0,-3.0,-9.0,4.0,1.0
2022-05-08 14:39:55.216717-07:00,857.9,878.9,1296.3,1022.8,624.6,460.0,1383.9,857.0,3467.4,3477.1,685.6,882.3,402.8,3491.7,776.1,771.1,3483.2,3479.5,434.9,651.4,457.7,577.0,244.7,247.0,3483.2,3477.1,598.7,449.0,653.0,1088.6,1304.3,422.3,-7.0,3.0,0.0,8644.0,9589.0,8542.0,5368.0,1.0,-10.0,6.0,-2.0,-3.0,2.0,11224.0,11489.0,3117.0,860.0,0.0,-2.0,1.0,1.0
2022-05-08 14:39:55.217638-07:00,861.2,876.4,1296.3,1022.8,619.7,464.0,1383.9,857.0,3474.6,3478.3,685.6,882.3,402.0,3507.5,776.1,771.1,3483.2,3479.5,434.9,650.5,457.7,577.0,249.2,242.4,3483.2,3477.1,600.4,448.2,653.0,1088.6,1315.1,426.2,-9.0,3.0,-7.0,8642.0,9588.0,8543.0,5369.0,6.0,0.0,2.0,-3.0,-6.0,6.0,11224.0,11489.0,3117.0,860.0,7.0,6.0,-2.0,1.0
