Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:43:15.415524-07:00,836.1,857.0,1332.3,1010.8,623.8,473.5,1288.2,817.7,3469.8,3480.7,676.6,873.0,405.1,3489.2,791.9,768.7,3477.1,3480.7,409.0,614.9,429.4,532.2,240.1,240.1,3475.9,3483.2,589.1,471.9,654.6,1074.7,1295.4,422.3,5.0,0.0,-4.0,8811.0,10158.0,8095.0,4702.0,-2.0,-3.0,0.0,3.0,-5.0,10.0,11206.0,11594.0,2875.0,402.0,-4.0,-5.0,0.0,1.0
2022-05-08 14:43:15.475572-07:00,836.1,857.0,1332.3,1010.8,625.4,477.4,1291.8,820.2,3469.8,3480.7,676.6,873.0,402.8,3496.6,791.9,778.6,3483.2,3478.3,416.1,607.6,429.4,532.2,240.1,240.1,3474.6,3474.6,581.8,471.9,654.6,1074.7,1295.4,422.3,6.0,0.0,0.0,8813.0,10156.0,8094.0,4704.0,-10.0,-8.0,0.0,2.0,-4.0,10.0,11206.0,11594.0,2875.0,402.0,-5.0,-5.0,2.0,1.0
2022-05-08 14:43:15.476728-07:00,837.7,852.0,1343.1,1022.8,625.4,477.4,1291.8,821.0,3475.9,3473.4,675.0,877.2,402.8,3496.6,791.9,771.1,3488.0,3478.3,416.1,607.6,431.7,536.2,242.4,237.8,3483.2,3474.6,581.8,471.9,654.6,1079.9,1299.8,423.9,3.0,0.0,3.0,8816.0,10153.0,8091.0,4706.0,-12.0,2.0,-7.0,3.0,-5.0,10.0,11208.0,11592.0,2875.0,403.0,-10.0,1.0,-3.0,1.0
2022-05-08 14:43:15.535402-07:00,833.6,852.0,1343.1,1022.8,629.5,477.4,1292.7,821.0,3477.1,3473.4,675.0,877.2,402.8,3500.2,786.1,771.1,3488.0,3474.6,408.2,610.0,431.7,536.2,242.4,239.3,3483.2,3479.5,586.7,470.3,654.6,1079.9,1299.8,423.1,2.0,0.0,0.0,8817.0,10152.0,8092.0,4706.0,0.0,5.0,-10.0,3.0,-4.0,8.0,11208.0,11592.0,2875.0,403.0,1.0,6.0,-2.0,1.0
2022-05-08 14:43:15.596065-07:00,833.6,858.7,1342.2,1021.1,629.5,477.4,1292.7,819.4,3477.1,3468.6,675.8,874.7,402.8,3500.2,786.1,772.8,3479.5,3474.6,408.2,610.0,430.9,532.2,237.8,239.3,3478.3,3479.5,586.7,470.3,653.8,1077.3,1298.1,423.1,2.0,-2.0,-3.0,8817.0,10152.0,8092.0,4706.0,-8.0,-5.0,3.0,1.0,-13.0,5.0,11208.0,11592.0,2875.0,403.0,-3.0,-2.0,2.0,1.0
2022-05-08 14:43:15.625730-07:00,831.9,858.7,1342.2,1021.1,627.8,478.2,1290.0,819.4,3473.4,3468.6,675.8,874.7,402.8,3499.0,784.4,772.8,3479.5,3478.3,410.6,606.8,430.9,532.2,237.8,237.8,3478.3,3474.6,593.1,478.2,653.8,1077.3,1298.1,420.8,2.0,0.0,5.0,8818.0,10152.0,8091.0,4707.0,-8.0,-8.0,4.0,3.0,-6.0,13.0,11208.0,11592.0,2875.0,403.0,-2.0,-3.0,1.0,1.0
2022-05-08 14:43:15.685320-07:00,831.9,854.5,1341.3,1026.3,627.8,478.2,1290.0,821.9,3473.4,3473.4,672.5,873.8,402.8,3499.0,784.4,772.0,3475.9,3478.3,410.6,606.8,430.9,530.6,241.6,237.8,3479.5,3474.6,593.1,478.2,651.4,1080.8,1293.6,420.8,5.0,-1.0,4.0,8818.0,10152.0,8090.0,4707.0,0.0,-2.0,0.0,5.0,-7.0,10.0,11208.0,11592.0,2875.0,403.0,7.0,7.0,-2.0,1.0
2022-05-08 14:43:15.775405-07:00,831.1,854.5,1341.3,1026.3,627.8,478.2,1290.9,821.9,3477.1,3473.4,672.5,873.8,405.9,3500.2,791.0,772.0,3475.9,3478.3,407.5,611.7,430.9,530.6,241.6,237.1,3479.5,3488.0,589.9,473.5,651.4,1080.8,1293.6,419.2,2.0,8.0,0.0,8815.0,10153.0,8092.0,4707.0,4.0,11.0,-7.0,1.0,-1.0,12.0,11204.0,11596.0,2877.0,404.0,9.0,10.0,-7.0,1.0
2022-05-08 14:43:15.776626-07:00,831.1,858.7,1348.5,1016.8,627.8,478.2,1294.5,821.0,3477.1,3475.9,672.5,878.9,405.9,3500.2,795.2,771.1,3485.6,3481.9,407.5,611.7,434.9,531.4,244.7,237.1,3479.5,3480.7,589.9,473.5,654.6,1077.3,1291.8,419.2,2.0,-3.0,-4.0,8815.0,10153.0,8093.0,4705.0,2.0,3.0,-1.0,1.0,-9.0,11.0,11203.0,11597.0,2879.0,405.0,2.0,3.0,-1.0,1.0
2022-05-08 14:43:15.836199-07:00,836.9,854.5,1348.5,1016.8,622.2,476.6,1294.5,821.0,3463.7,3472.2,672.5,878.9,402.0,3501.4,795.2,771.1,3485.6,3481.9,414.5,607.6,434.9,531.4,250.8,243.2,3479.5,3480.7,593.9,474.3,654.6,1077.3,1298.1,420.8,11.0,0.0,0.0,8815.0,10153.0,8093.0,4706.0,9.0,-4.0,-2.0,4.0,-6.0,6.0,11203.0,11597.0,2879.0,405.0,7.0,2.0,-4.0,1.0
