Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:43:15.377696-07:00,637.6,679.1,718.4,933.9,346.0,290.5,784.4,701.1,3473.4,3468.6,1192.0,805.2,563.4,3455.2,1154.2,859.5,3440.7,3435.8,366.2,329.8,345.2,341.4,261.4,244.7,3457.6,3454.0,505.9,394.2,427.8,891.5,651.4,396.5,-5.0,2.0,-2.0,11075.0,-8947.0,6122.0,-5317.0,12.0,-22.0,4.0,-5.0,7.0,0.0,6567.0,-9805.0,-8098.0,7974.0,10.0,-18.0,-2.0,1.0
2022-05-08 14:43:15.467973-07:00,631.9,684.0,715.9,928.8,346.0,290.5,784.4,701.1,3462.5,3473.4,1183.2,796.0,563.4,3455.2,1154.2,859.5,3440.7,3435.8,366.2,329.8,346.0,342.9,264.5,244.7,3457.6,3454.0,505.9,394.2,423.9,894.9,657.9,393.4,-8.0,-1.0,6.0,11078.0,-8947.0,6117.0,-5314.0,-1.0,-9.0,0.0,-8.0,1.0,4.0,6567.0,-9804.0,-8099.0,7975.0,1.0,-9.0,0.0,1.0
2022-05-08 14:43:15.468965-07:00,631.9,684.0,715.9,928.8,347.6,296.7,781.9,699.5,3462.5,3473.4,1183.2,796.0,561.8,3464.9,1159.4,858.7,3439.5,3446.7,368.5,335.9,346.0,342.9,264.5,244.7,3466.1,3458.9,507.5,395.0,423.9,894.9,657.9,393.4,-6.0,-2.0,0.0,11078.0,-8947.0,6117.0,-5314.0,-7.0,6.0,6.0,-10.0,6.0,1.0,6566.0,-9804.0,-8100.0,7976.0,-8.0,-2.0,8.0,1.0
2022-05-08 14:43:15.527909-07:00,633.5,681.5,724.1,933.9,347.6,296.7,781.9,699.5,3468.6,3469.8,1188.5,799.4,561.8,3464.9,1159.4,858.7,3439.5,3446.7,368.5,335.9,343.7,335.9,265.3,245.4,3466.1,3458.9,507.5,395.0,430.2,889.0,653.8,395.7,-8.0,1.0,-10.0,11078.0,-8947.0,6118.0,-5313.0,-3.0,-1.0,13.0,-10.0,9.0,-5.0,6564.0,-9806.0,-8098.0,7977.0,-1.0,-8.0,11.0,1.0
2022-05-08 14:43:15.557896-07:00,633.5,681.5,724.1,933.9,346.0,295.1,784.4,692.1,3468.6,3469.8,1188.5,799.4,558.6,3467.4,1153.3,858.7,3450.4,3441.9,370.8,335.9,343.7,335.9,265.3,245.4,3455.2,3456.4,507.5,391.8,430.2,889.0,653.8,395.7,-5.0,1.0,-6.0,11079.0,-8947.0,6120.0,-5310.0,6.0,-6.0,4.0,-5.0,1.0,1.0,6562.0,-9805.0,-8098.0,7978.0,7.0,-13.0,0.0,1.0
2022-05-08 14:43:15.619226-07:00,626.2,685.6,717.5,922.8,346.0,295.1,784.4,699.5,3467.4,3466.1,1186.7,797.7,558.6,3467.4,1153.3,858.7,3446.7,3441.9,370.8,335.9,347.6,344.5,262.2,240.9,3455.2,3456.4,507.5,391.8,428.6,892.4,653.0,395.0,-9.0,0.0,0.0,11080.0,-8948.0,6117.0,-5308.0,8.0,-15.0,-2.0,-8.0,1.0,2.0,6561.0,-9804.0,-8099.0,7979.0,3.0,-8.0,-2.0,1.0
2022-05-08 14:43:15.648046-07:00,637.6,685.6,717.5,922.8,349.1,286.7,780.3,699.5,3467.4,3466.1,1186.7,797.7,559.4,3480.7,1153.3,858.7,3446.7,3438.2,372.4,331.3,347.6,344.5,262.2,247.7,3455.2,3466.1,506.7,395.7,428.6,892.4,653.0,398.1,-7.0,-2.0,2.0,11081.0,-8949.0,6116.0,-5307.0,4.0,2.0,5.0,-7.0,2.0,2.0,6561.0,-9804.0,-8099.0,7979.0,5.0,1.0,3.0,1.0
2022-05-08 14:43:15.708230-07:00,637.6,686.4,712.6,926.2,349.1,286.7,780.3,694.6,3467.4,3468.6,1189.4,796.9,559.4,3480.7,1153.3,857.9,3449.1,3438.2,372.4,331.3,343.7,340.6,260.7,247.7,3460.1,3466.1,506.7,395.7,430.2,890.7,657.9,398.1,-3.0,3.0,0.0,11080.0,-8948.0,6118.0,-5308.0,-7.0,14.0,-5.0,-8.0,5.0,0.0,6562.0,-9805.0,-8099.0,7979.0,-8.0,14.0,-2.0,1.0
2022-05-08 14:43:15.768052-07:00,631.9,686.4,712.6,926.2,345.2,294.4,781.1,694.6,3468.6,3468.6,1189.4,796.9,562.6,3466.1,1153.3,857.9,3449.1,3443.1,366.9,337.5,343.7,340.6,260.7,243.9,3460.1,3467.4,504.4,395.7,430.2,890.7,657.9,394.2,-15.0,-3.0,-6.0,11077.0,-8948.0,6119.0,-5313.0,2.0,-2.0,-16.0,-17.0,0.0,-1.0,6563.0,-9804.0,-8099.0,7977.0,0.0,0.0,-10.0,1.0
2022-05-08 14:43:15.858229-07:00,631.9,686.4,714.2,934.7,345.2,294.4,781.1,699.5,3468.6,3472.2,1181.5,798.5,562.6,3466.1,1153.3,858.7,3444.3,3443.1,366.9,337.5,347.6,337.5,259.9,243.9,3458.9,3467.4,504.4,395.7,443.5,891.5,653.0,394.2,-7.0,-3.0,-3.0,11079.0,-8948.0,6114.0,-5315.0,8.0,-13.0,-7.0,-8.0,4.0,-3.0,6564.0,-9802.0,-8101.0,7978.0,5.0,-6.0,-6.0,1.0
2022-05-08 14:43:15.859657-07:00,634.3,686.4,714.2,934.7,341.4,295.1,785.2,699.5,3468.6,3472.2,1181.5,798.5,558.6,3462.5,1155.9,858.7,3444.3,3439.5,366.2,332.1,347.6,337.5,259.9,249.2,3458.9,3456.4,505.1,396.5,443.5,891.5,653.0,398.1,-5.0,2.0,-1.0,11080.0,-8949.0,6112.0,-5313.0,3.0,-10.0,-3.0,-2.0,2.0,3.0,6564.0,-9802.0,-8101.0,7978.0,1.0,-6.0,-7.0,1.0
2022-05-08 14:43:15.918064-07:00,634.3,687.2,708.5,928.8,341.4,295.1,787.7,695.4,3468.6,3468.6,1189.4,805.2,558.6,3462.5,1155.9,865.4,3450.4,3440.7,366.2,332.1,348.3,335.9,264.5,249.2,3461.3,3447.9,505.1,396.5,424.7,889.8,649.7,398.1,-10.0,-1.0,2.0,11081.0,-8950.0,6111.0,-5312.0,3.0,-3.0,-7.0,-12.0,1.0,4.0,6564.0,-9802.0,-8101.0,7978.0,4.0,-3.0,-5.0,1.0
2022-05-08 14:43:16.008151-07:00,631.1,687.2,708.5,928.8,342.1,291.3,787.7,695.4,3462.5,3468.6,1189.4,805.2,564.2,3475.9,1155.9,865.4,3450.4,3440.7,375.5,336.7,348.3,335.9,258.4,244.7,3461.3,3447.9,512.3,391.8,424.7,889.8,656.2,397.3,-7.0,-3.0,0.0,11081.0,-8950.0,6111.0,-5312.0,0.0,2.0,1.0,-8.0,2.0,0.0,6564.0,-9802.0,-8101.0,7978.0,4.0,0.0,2.0,1.0
2022-05-08 14:43:16.009543-07:00,631.1,687.2,725.8,927.1,342.1,291.3,781.1,697.9,3462.5,3468.6,1196.5,801.9,564.2,3475.9,1153.3,859.5,3438.2,3446.7,375.5,336.7,345.2,343.7,258.4,244.7,3450.4,3462.5,512.3,391.8,434.1,899.1,656.2,397.3,-7.0,1.0,-3.0,11081.0,-8950.0,6111.0,-5312.0,-6.0,4.0,-3.0,-9.0,7.0,-1.0,6563.0,-9802.0,-8101.0,7978.0,-7.0,2.0,-4.0,1.0
2022-05-08 14:43:16.067923-07:00,631.9,685.6,725.8,927.1,346.0,292.8,781.1,697.9,3466.1,3467.4,1196.5,801.9,559.4,3457.6,1153.3,859.5,3438.2,3446.7,370.8,331.3,345.2,343.7,262.2,245.4,3450.4,3462.5,509.1,398.9,434.1,899.1,654.6,390.3,-8.0,0.0,-2.0,11080.0,-8950.0,6110.0,-5313.0,-3.0,-5.0,-13.0,-11.0,1.0,-1.0,6564.0,-9802.0,-8102.0,7977.0,-6.0,3.0,-11.0,1.0
2022-05-08 14:43:16.097939-07:00,631.9,685.6,715.1,933.0,346.0,292.8,781.9,699.5,3466.1,3467.4,1181.5,797.7,559.4,3457.6,1155.9,857.9,3443.1,3438.2,370.8,331.3,347.6,339.0,262.2,245.4,3461.3,3447.9,509.1,398.9,426.2,890.7,654.6,390.3,-9.0,-2.0,-6.0,11079.0,-8952.0,6108.0,-5316.0,0.0,-3.0,-7.0,-11.0,5.0,2.0,6566.0,-9799.0,-8105.0,7976.0,-7.0,-2.0,-9.0,1.0
2022-05-08 14:43:16.158039-07:00,635.1,689.7,715.1,933.0,346.0,292.8,781.9,699.5,3466.1,3473.4,1181.5,797.7,558.6,3467.4,1155.9,857.9,3443.1,3438.2,370.8,336.7,347.6,339.0,261.4,244.7,3461.3,3447.9,506.7,395.7,426.2,890.7,657.0,402.8,-4.0,5.0,-3.0,11078.0,-8952.0,6107.0,-5317.0,4.0,-1.0,-10.0,-8.0,6.0,-1.0,6568.0,-9797.0,-8107.0,7974.0,-1.0,-3.0,-17.0,1.0
2022-05-08 14:43:16.218600-07:00,635.1,689.7,717.5,928.8,346.0,292.8,786.9,697.0,3466.1,3473.4,1185.0,800.2,558.6,3467.4,1152.4,856.2,3449.1,3438.2,370.8,336.7,345.2,336.7,261.4,244.7,3458.9,3457.6,506.7,395.7,428.6,896.6,657.0,402.8,-8.0,-3.0,-3.0,11077.0,-8956.0,6101.0,-5320.0,2.0,-9.0,-17.0,-11.0,4.0,0.0,6572.0,-9793.0,-8112.0,7971.0,-1.0,1.0,-20.0,1.0
2022-05-08 14:43:16.248265-07:00,631.9,688.0,714.2,928.8,341.4,293.6,786.9,697.0,3468.6,3467.4,1185.0,800.2,559.4,3474.6,1152.4,856.2,3449.1,3438.2,370.8,331.3,345.2,341.4,259.9,244.7,3458.9,3457.6,505.1,398.9,428.6,891.5,655.4,395.0,-8.0,-4.0,2.0,11076.0,-8959.0,6096.0,-5323.0,-6.0,-3.0,-9.0,-10.0,3.0,-1.0,6576.0,-9790.0,-8116.0,7968.0,-6.0,5.0,-12.0,1.0
2022-05-08 14:43:16.308109-07:00,631.9,688.0,714.2,927.9,341.4,294.4,785.2,698.7,3468.6,3467.4,1185.0,796.9,559.4,3472.2,1157.7,856.2,3443.1,3439.5,370.0,331.3,346.8,341.4,259.9,244.7,3461.3,3458.9,512.3,398.9,429.4,891.5,655.4,395.0,-4.0,0.0,0.0,11075.0,-8960.0,6095.0,-5325.0,-3.0,-1.0,-11.0,-7.0,4.0,-1.0,6578.0,-9787.0,-8119.0,7966.0,-6.0,5.0,-12.0,1.0
2022-05-08 14:43:16.368381-07:00,634.3,686.4,716.7,927.9,342.1,294.4,785.2,698.7,3467.4,3466.1,1181.5,796.9,560.2,3472.2,1157.7,856.2,3443.1,3439.5,370.0,333.6,346.8,344.5,256.1,244.7,3461.3,3458.9,512.3,397.3,429.4,894.9,649.7,395.7,-11.0,-6.0,0.0,11074.0,-8961.0,6094.0,-5326.0,4.0,-3.0,-7.0,-12.0,1.0,1.0,6580.0,-9785.0,-8122.0,7964.0,0.0,5.0,-9.0,1.0
2022-05-08 14:43:16.398002-07:00,634.3,686.4,716.7,931.3,342.1,290.5,777.8,701.1,3467.4,3466.1,1181.5,796.0,560.2,3471.0,1152.4,856.2,3445.5,3444.3,370.8,333.6,342.9,344.5,256.1,244.7,3457.6,3462.5,505.1,397.3,427.8,894.9,649.7,395.7,-3.0,1.0,-2.0,11074.0,-8961.0,6094.0,-5326.0,0.0,5.0,5.0,-4.0,4.0,0.0,6580.0,-9785.0,-8122.0,7964.0,2.0,-1.0,-1.0,1.0
