Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:48:37.830837-07:00,2.0,-6.0,-1.0,10736.0,-8189.0,7859.0,-4935.0,13.0,-32.0,-8.0,1.0,-2.0,7.0,5484.0,-9693.0,-8748.0,8239.0,11.0,-14.0,-14.0,1.0,1.0,-1.0,-2.0,10742.0,-8185.0,7850.0,-4941.0,10.0,24.0,-1.0,0.0,2.0,-5.0,5491.0,-9687.0,-8747.0,8242.0,-4.0,18.0,-1.0,1.0,4.0,7.0,-8.0,5492.0,-9691.0,-8747.0,8237.0,-10.0,14.0,-6.0,1.0
2022-05-08 14:48:38.100555-07:00,651.4,725.8,715.9,924.5,342.1,305.9,767.0,679.1,3462.5,3467.4,1110.4,781.9,555.4,3475.9,1208.0,845.3,3452.8,3454.0,363.8,323.6,337.5,330.5,267.6,237.8,3458.9,3468.6,484.5,404.3,423.1,889.8,664.4,388.7,5.0,-5.0,-12.0,10737.0,-8186.0,7855.0,-4943.0,7.0,17.0,-1.0,-2.0,2.0,-1.0,5493.0,-9687.0,-8749.0,8239.0,16.0,-18.0,-16.0,1.0
2022-05-08 14:48:38.191092-07:00,651.4,724.1,711.8,927.9,342.1,305.9,772.8,677.4,3462.5,3468.6,1111.2,784.4,555.4,3475.9,1205.3,851.1,3440.7,3438.2,363.8,323.6,336.7,330.5,262.2,237.8,3463.7,3460.1,484.5,404.3,426.2,895.7,657.9,388.7,2.0,-8.0,-9.0,10738.0,-8189.0,7851.0,-4944.0,21.0,-28.0,-12.0,-1.0,0.0,6.0,5494.0,-9681.0,-8751.0,8244.0,-10.0,-5.0,-8.0,1.0
2022-05-08 14:48:38.220326-07:00,647.3,723.3,711.8,927.9,342.9,299.0,772.8,677.4,3473.4,3472.2,1111.2,784.4,553.0,3471.0,1205.3,851.1,3440.7,3438.2,360.7,322.8,336.7,330.5,261.4,238.6,3463.7,3460.1,481.4,411.4,426.2,895.7,658.7,398.9,1.0,-3.0,1.0,10745.0,-8189.0,7842.0,-4941.0,-4.0,-16.0,0.0,-2.0,1.0,4.0,5495.0,-9680.0,-8750.0,8245.0,-7.0,5.0,2.0,1.0
2022-05-08 14:48:38.280928-07:00,647.3,723.3,712.6,925.4,342.9,299.0,773.6,678.2,3473.4,3472.2,1109.5,788.6,553.0,3471.0,1207.1,837.7,3445.5,3444.3,360.7,322.8,340.6,328.2,261.4,238.6,3452.8,3463.7,481.4,411.4,428.6,890.7,658.7,398.9,3.0,-3.0,8.0,10747.0,-8188.0,7840.0,-4942.0,-5.0,7.0,2.0,3.0,0.0,4.0,5489.0,-9691.0,-8744.0,8242.0,-4.0,2.0,9.0,1.0
2022-05-08 14:48:38.460700-07:00,640.0,711.8,709.3,929.6,349.1,303.6,776.1,680.7,3467.4,3468.6,1113.9,783.6,556.2,3468.6,1201.8,847.8,3441.9,3444.3,362.3,317.4,336.7,329.0,265.3,240.1,3462.5,3463.7,483.7,411.4,424.7,887.3,657.9,390.3,4.0,-2.0,-4.0,10739.0,-8177.0,7860.0,-4946.0,-12.0,6.0,9.0,3.0,0.0,4.0,5489.0,-9691.0,-8744.0,8242.0,-4.0,2.0,9.0,1.0
2022-05-08 14:48:38.461488-07:00,640.0,711.8,709.3,929.6,349.1,303.6,776.1,680.7,3467.4,3468.6,1113.9,783.6,556.2,3468.6,1201.8,847.8,3441.9,3444.3,362.3,317.4,336.7,329.0,265.3,240.1,3462.5,3463.7,483.7,411.4,424.7,887.3,657.9,390.3,4.0,-2.0,-4.0,10739.0,-8177.0,7860.0,-4946.0,-12.0,6.0,9.0,0.0,7.0,2.0,5487.0,-9695.0,-8743.0,8239.0,-2.0,3.0,3.0,1.0
2022-05-08 14:48:38.462338-07:00,648.9,721.6,708.5,929.6,346.8,302.0,773.6,677.4,3474.6,3464.9,1110.4,783.6,558.6,3463.7,1197.4,844.4,3440.7,3438.2,363.8,321.3,337.5,336.7,271.4,237.8,3452.8,3456.4,483.7,408.2,423.1,889.0,653.0,391.8,-1.0,-2.0,-8.0,10730.0,-8169.0,7876.0,-4955.0,3.0,0.0,-2.0,-2.0,3.0,-2.0,5487.0,-9695.0,-8743.0,8239.0,0.0,4.0,2.0,1.0
2022-05-08 14:48:38.462960-07:00,648.9,721.6,708.5,929.6,346.0,299.0,772.0,677.4,3474.6,3464.9,1110.4,783.6,557.8,3466.1,1202.7,846.1,3449.1,3454.0,361.5,324.4,337.5,336.7,271.4,237.8,3456.4,3460.1,481.4,407.5,423.1,889.0,653.0,391.8,0.0,-1.0,-4.0,10730.0,-8169.0,7876.0,-4955.0,2.0,0.0,3.0,-1.0,2.0,2.0,5487.0,-9695.0,-8743.0,8239.0,6.0,2.0,3.0,1.0
2022-05-08 14:48:38.464342-07:00,648.9,719.2,708.5,925.4,346.0,299.0,772.0,677.4,3467.4,3471.0,1111.2,788.6,557.8,3466.1,1202.7,846.1,3449.1,3454.0,361.5,324.4,341.4,329.0,269.9,238.6,3456.4,3460.1,481.4,407.5,430.9,891.5,661.9,391.1,0.0,-1.0,-5.0,10729.0,-8168.0,7877.0,-4956.0,9.0,4.0,1.0,0.0,2.0,0.0,5487.0,-9695.0,-8743.0,8239.0,1.0,0.0,5.0,1.0
