Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 14:54:08.439930-07:00,753.8,827.7,885.6,962.8,359.2,327.5,899.1,717.5,3467.4,3473.4,1395.7,1000.5,700.3,3475.9,1509.7,987.6,3444.3,3437.0,353.0,310.5,335.9,322.8,315.9,312.8,3464.9,3460.1,518.7,471.1,479.8,1085.1,821.9,409.0,5.0,5.0,-2.0,9807.0,-8148.0,8464.0,-5850.0,-4.0,20.0,9.0,0.0,4.0,5.0,6077.0,-10420.0,-8159.0,7507.0,-11.0,18.0,7.0,1.0
2022-05-08 14:54:08.441082-07:00,752.1,831.9,888.2,965.4,359.2,327.5,899.1,717.5,3464.9,3463.7,1398.5,997.9,700.3,3475.9,1509.7,987.6,3444.3,3437.0,353.0,310.5,329.8,320.5,318.2,314.4,3464.9,3460.1,518.7,471.1,474.3,1084.2,816.0,402.8,-2.0,8.0,-8.0,9798.0,-8151.0,8472.0,-5849.0,-27.0,11.0,-1.0,-5.0,4.0,9.0,6076.0,-10429.0,-8158.0,7496.0,-26.0,27.0,9.0,1.0
2022-05-08 14:54:08.469920-07:00,752.1,831.9,888.2,965.4,357.6,326.7,894.9,717.5,3464.9,3463.7,1398.5,997.9,702.8,3471.0,1512.5,987.6,3449.1,3444.3,356.1,308.2,329.8,320.5,318.2,314.4,3461.3,3462.5,513.9,474.3,474.3,1084.2,816.0,402.8,2.0,0.0,-10.0,9785.0,-8159.0,8480.0,-5848.0,-36.0,11.0,-17.0,-2.0,-5.0,3.0,6070.0,-10438.0,-8162.0,7484.0,-40.0,11.0,-3.0,1.0
2022-05-08 14:54:08.500017-07:00,755.4,826.9,883.1,969.6,357.6,326.7,894.9,717.5,3463.7,3462.5,1396.7,998.7,702.8,3471.0,1512.5,987.6,3449.1,3444.3,356.1,308.2,333.6,319.7,322.1,314.4,3461.3,3462.5,513.9,474.3,471.9,1091.2,820.2,405.9,1.0,-3.0,-13.0,9779.0,-8165.0,8484.0,-5845.0,-24.0,-6.0,11.0,0.0,3.0,2.0,6063.0,-10442.0,-8165.0,7482.0,-20.0,-10.0,15.0,1.0
2022-05-08 14:54:08.650061-07:00,755.4,826.9,883.1,969.6,357.6,326.7,900.0,721.6,3463.7,3462.5,1396.7,998.7,698.7,3464.9,1519.9,982.5,3444.3,3438.2,353.7,312.0,333.6,319.7,322.1,314.4,3451.6,3458.9,517.1,474.3,471.9,1091.2,820.2,405.9,3.0,4.0,-13.0,9776.0,-8167.0,8491.0,-5836.0,-15.0,-6.0,18.0,-2.0,7.0,-2.0,6054.0,-10445.0,-8165.0,7485.0,-11.0,-11.0,16.0,1.0
2022-05-08 14:54:08.651674-07:00,750.5,828.5,887.3,962.0,357.6,326.7,900.0,722.5,3460.1,3466.1,1392.1,986.7,698.7,3464.9,1519.9,985.0,3447.9,3438.2,353.7,312.0,336.7,319.0,319.0,311.3,3458.9,3458.9,517.1,474.3,477.4,1080.8,820.2,408.2,5.0,7.0,1.0,9776.0,-8172.0,8492.0,-5827.0,-8.0,-31.0,6.0,4.0,1.0,9.0,6047.0,-10446.0,-8167.0,7486.0,-4.0,-12.0,1.0,1.0
2022-05-08 14:54:08.652340-07:00,750.5,828.5,887.3,962.0,358.4,323.6,896.6,722.5,3469.8,3466.1,1392.1,986.7,695.4,3471.0,1511.5,985.0,3447.9,3435.8,360.0,312.0,336.7,319.0,319.0,316.7,3458.9,3468.6,519.5,472.7,477.4,1080.8,820.2,409.0,0.0,3.0,1.0,9779.0,-8174.0,8489.0,-5825.0,-3.0,-7.0,5.0,2.0,4.0,12.0,6048.0,-10446.0,-8167.0,7486.0,0.0,-5.0,4.0,1.0
2022-05-08 14:54:08.709827-07:00,750.5,825.2,879.7,964.5,358.4,323.6,896.6,721.6,3469.8,3466.1,1393.9,1009.9,695.4,3471.0,1511.5,987.6,3446.7,3435.8,360.0,312.0,332.9,325.9,316.7,316.7,3473.4,3468.6,519.5,472.7,472.7,1083.4,820.2,409.0,2.0,8.0,-1.0,9780.0,-8172.0,8489.0,-5827.0,8.0,1.0,-1.0,0.0,2.0,10.0,6051.0,-10446.0,-8165.0,7486.0,15.0,12.0,3.0,1.0
2022-05-08 14:54:08.800414-07:00,748.0,825.2,879.7,964.5,361.5,329.0,893.2,721.6,3457.6,3466.1,1393.9,1009.9,698.7,3473.4,1509.7,987.6,3446.7,3447.9,359.2,309.7,332.9,325.9,316.7,311.3,3473.4,3458.9,510.7,479.0,472.7,1083.4,820.2,406.7,0.0,1.0,-2.0,9779.0,-8169.0,8490.0,-5830.0,22.0,16.0,3.0,-4.0,4.0,5.0,6058.0,-10449.0,-8160.0,7481.0,31.0,27.0,5.0,1.0
2022-05-08 14:54:08.830739-07:00,748.0,828.5,884.8,964.5,361.5,329.0,893.2,719.2,3457.6,3467.4,1395.7,995.3,698.7,3473.4,1509.7,980.7,3439.5,3447.9,359.2,309.7,337.5,322.8,318.2,311.3,3457.6,3458.9,510.7,479.0,479.8,1086.0,819.4,406.7,0.0,10.0,-10.0,9778.0,-8165.0,8492.0,-5835.0,0.0,5.0,-7.0,-2.0,11.0,4.0,6064.0,-10453.0,-8155.0,7476.0,-1.0,24.0,-1.0,1.0
