Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 15:08:21.747887-07:00,907.6,992.7,1488.4,1079.0,671.7,507.5,1415.8,794.4,3475.9,3473.4,722.5,892.4,393.4,3499.0,832.7,751.3,3475.9,3480.7,386.4,563.4,412.1,497.2,261.4,261.4,3478.3,3477.1,579.4,529.8,734.0,1098.2,1388.5,462.4,0.0,-9.0,-6.0,5281.0,9550.0,-8484.0,-8796.0,-7.0,-44.0,5.0,2.0,-8.0,-3.0,10710.0,9577.0,6569.0,4342.0,-15.0,-51.0,-2.0,1.0
2022-05-08 15:08:21.749225-07:00,912.7,992.7,1488.4,1079.0,666.0,512.3,1415.8,794.4,3472.2,3471.0,722.5,892.4,400.4,3497.8,832.7,751.3,3475.9,3480.7,380.2,556.2,412.1,497.2,256.1,256.1,3478.3,3477.1,574.6,529.8,734.0,1098.2,1391.2,465.6,6.0,1.0,21.0,5273.0,9531.0,-8493.0,-8811.0,-23.0,-67.0,19.0,11.0,-4.0,10.0,10724.0,9578.0,6552.0,4333.0,-32.0,-42.0,6.0,1.0
2022-05-08 15:08:21.751080-07:00,912.7,992.7,1487.5,1078.2,666.0,512.3,1411.3,795.2,3472.2,3471.0,715.1,892.4,400.4,3497.8,832.7,759.6,3478.3,3490.5,380.2,556.2,416.1,499.6,256.1,256.1,3481.9,3477.1,574.6,529.8,735.6,1094.7,1391.2,465.6,1.0,7.0,29.0,5277.0,9515.0,-8493.0,-8827.0,-20.0,-12.0,5.0,10.0,-3.0,16.0,10736.0,9573.0,6539.0,4332.0,-20.0,-10.0,4.0,1.0
2022-05-08 15:08:21.751487-07:00,912.7,992.7,1487.5,1078.2,666.0,512.3,1411.3,795.2,3472.2,3471.0,715.1,892.4,400.4,3497.8,832.7,759.6,3478.3,3490.5,380.2,556.2,416.1,499.6,256.1,256.1,3481.9,3477.1,574.6,529.8,735.6,1094.7,1391.2,465.6,1.0,7.0,29.0,5277.0,9515.0,-8493.0,-8827.0,-20.0,-12.0,5.0,10.0,-3.0,16.0,10736.0,9573.0,6539.0,4332.0,-20.0,-10.0,4.0,1.0
2022-05-08 15:08:21.752056-07:00,907.6,991.0,1488.4,1084.2,666.0,515.5,1415.8,796.9,3471.0,3471.0,718.4,894.9,394.2,3495.3,829.4,758.7,3478.3,3474.6,384.0,558.6,409.0,495.6,258.4,256.9,3477.1,3475.9,577.0,530.6,734.8,1099.0,1391.2,460.0,-2.0,-3.0,-8.0,5295.0,9530.0,-8475.0,-8818.0,12.0,59.0,-10.0,1.0,-5.0,-4.0,10729.0,9564.0,6554.0,4349.0,15.0,44.0,-3.0,1.0
2022-05-08 15:08:21.808611-07:00,911.8,990.2,1488.4,1085.1,670.9,515.5,1415.8,800.2,3479.5,3473.4,717.5,893.2,394.2,3502.7,828.5,756.3,3478.3,3481.9,382.5,556.2,413.7,492.5,259.2,260.7,3478.3,3478.3,573.8,527.4,728.2,1094.7,1393.0,462.4,-19.0,-9.0,0.0,5300.0,9548.0,-8466.0,-8804.0,22.0,57.0,-19.0,-16.0,-7.0,0.0,10722.0,9560.0,6566.0,4355.0,34.0,41.0,-16.0,1.0
2022-05-08 15:08:21.958148-07:00,911.0,991.9,1487.5,1085.1,669.3,515.5,1415.8,800.2,3468.6,3467.4,727.4,893.2,395.0,3502.7,828.5,756.3,3478.3,3481.9,382.5,556.2,413.7,492.5,256.1,256.1,3478.3,3478.3,573.8,537.8,728.2,1102.5,1407.6,465.6,2.0,0.0,-30.0,5297.0,9564.0,-8467.0,-8788.0,34.0,8.0,-2.0,4.0,-3.0,-23.0,10710.0,9566.0,6580.0,4349.0,27.0,-2.0,-11.0,1.0
2022-05-08 15:08:21.959444-07:00,911.0,991.9,1487.5,1079.0,670.1,509.9,1409.4,795.2,3468.6,3467.4,727.4,891.5,394.2,3494.1,830.2,761.2,3484.4,3474.6,380.9,557.8,415.3,492.5,256.1,256.1,3483.2,3481.9,577.8,531.4,732.3,1102.5,1407.6,465.6,7.0,-3.0,-21.0,5287.0,9564.0,-8476.0,-8785.0,9.0,-37.0,-1.0,8.0,3.0,-15.0,10709.0,9576.0,6577.0,4337.0,-1.0,-47.0,-6.0,1.0
2022-05-08 15:08:21.960376-07:00,909.3,994.5,1484.7,1076.4,670.1,509.9,1409.4,795.2,3477.1,3483.2,715.1,887.3,394.2,3494.1,830.2,761.2,3484.4,3474.6,380.9,557.8,412.9,498.8,263.0,256.1,3483.2,3481.9,577.8,531.4,729.9,1097.3,1393.9,459.3,9.0,4.0,11.0,5277.0,9548.0,-8488.0,-8797.0,-8.0,-72.0,27.0,12.0,-3.0,2.0,10721.0,9580.0,6559.0,4327.0,-19.0,-56.0,10.0,1.0
2022-05-08 15:08:22.018223-07:00,909.3,994.5,1484.7,1076.4,671.7,515.5,1419.5,796.0,3477.1,3483.2,715.1,887.3,395.0,3496.6,833.6,758.7,3483.2,3484.4,384.8,560.2,412.9,498.8,263.0,256.1,3483.2,3483.2,577.0,529.8,729.9,1097.3,1393.9,459.3,4.0,12.0,33.0,5279.0,9521.0,-8496.0,-8817.0,-32.0,-41.0,20.0,14.0,2.0,17.0,10734.0,9577.0,6538.0,4329.0,-36.0,-21.0,14.0,1.0
