Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 15:46:59.457515-07:00,676.6,701.9,706.9,1060.8,416.1,302.0,805.2,738.9,3472.2,3468.6,1085.1,818.5,568.2,3464.9,1086.0,841.1,3441.9,3450.4,423.9,349.9,358.4,329.8,278.3,283.6,3468.6,3463.7,540.2,392.6,505.9,939.8,635.1,436.4,4.0,-10.0,-8.0,12078.0,-10916.0,1825.0,254.0,-8.0,17.0,-9.0,3.0,-3.0,-5.0,9900.0,-12856.0,1318.0,1844.0,-9.0,7.0,6.0,1.0
2022-05-08 15:46:59.606773-07:00,676.6,701.1,706.0,1057.3,416.1,302.0,805.2,741.4,3472.2,3472.2,1078.2,821.9,568.2,3464.9,1086.0,841.1,3443.1,3450.4,423.9,349.9,362.3,332.9,274.4,283.6,3460.1,3463.7,540.2,392.6,503.6,941.5,635.1,436.4,8.0,-4.0,-7.0,12073.0,-10921.0,1825.0,253.0,-12.0,1.0,7.0,5.0,-1.0,-9.0,9897.0,-12858.0,1319.0,1845.0,-7.0,-7.0,8.0,1.0
2022-05-08 15:46:59.848103-07:00,677.4,703.6,706.0,1057.3,414.5,307.4,802.7,741.4,3479.5,3475.9,1078.2,821.9,562.6,3468.6,1082.5,841.1,3443.1,3450.4,422.3,346.0,362.3,332.9,278.3,284.4,3460.1,3462.5,537.8,391.1,503.6,941.5,636.7,433.3,2.0,-4.0,-4.0,12073.0,-10922.0,1821.0,256.0,-6.0,-17.0,8.0,-2.0,-2.0,-7.0,9897.0,-12858.0,1315.0,1850.0,-2.0,-17.0,9.0,1.0
2022-05-08 15:46:59.848826-07:00,677.4,703.6,706.9,1057.3,414.5,307.4,805.2,736.5,3479.5,3475.9,1084.2,820.2,562.6,3468.6,1086.8,842.8,3440.7,3441.9,422.3,346.0,357.6,329.8,278.3,284.4,3466.1,3457.6,537.8,391.1,502.8,938.1,636.7,433.3,-3.0,-4.0,-4.0,12071.0,-10923.0,1827.0,262.0,-15.0,-3.0,29.0,-5.0,-5.0,-3.0,9894.0,-12859.0,1317.0,1859.0,-7.0,-17.0,22.0,1.0
2022-05-08 15:46:59.849927-07:00,680.7,700.3,706.9,1057.3,404.3,305.9,805.2,736.5,3468.6,3466.1,1084.2,820.2,572.2,3469.8,1086.8,842.8,3440.7,3441.9,421.5,349.1,357.6,329.8,273.7,285.2,3466.1,3457.6,538.6,394.2,502.8,938.1,639.2,431.7,3.0,7.0,-7.0,12070.0,-10924.0,1831.0,273.0,3.0,-13.0,17.0,2.0,3.0,-1.0,9894.0,-12857.0,1317.0,1870.0,9.0,-18.0,10.0,1.0
2022-05-08 15:46:59.851063-07:00,680.7,700.3,705.2,1059.1,404.3,305.9,806.0,739.7,3468.6,3466.1,1083.4,821.0,572.2,3469.8,1073.8,835.2,3444.3,3449.1,421.5,349.1,357.6,336.7,273.7,285.2,3462.5,3462.5,538.6,394.2,502.8,941.5,639.2,431.7,11.0,-1.0,1.0,12071.0,-10924.0,1823.0,280.0,7.0,-20.0,6.0,12.0,-3.0,-4.0,9895.0,-12856.0,1312.0,1876.0,7.0,-14.0,-4.0,1.0
2022-05-08 15:46:59.877465-07:00,674.2,701.1,705.2,1059.1,407.5,302.8,806.0,739.7,3467.4,3466.1,1083.4,821.0,569.0,3464.9,1073.8,835.2,3444.3,3449.1,419.2,350.6,357.6,336.7,276.0,286.7,3462.5,3462.5,541.0,391.8,502.8,941.5,634.3,431.7,9.0,0.0,5.0,12073.0,-10922.0,1820.0,281.0,10.0,-1.0,-1.0,9.0,-2.0,3.0,9897.0,-12855.0,1311.0,1875.0,6.0,1.0,-3.0,1.0
2022-05-08 15:46:59.937214-07:00,676.6,702.8,702.8,1062.5,409.8,303.6,803.5,749.6,3471.0,3468.6,1076.4,823.5,569.0,3462.5,1078.2,840.3,3446.7,3447.9,421.5,349.1,357.6,329.8,282.1,287.5,3468.6,3466.1,541.0,391.8,505.1,943.2,634.3,434.1,7.0,-7.0,0.0,12066.0,-10924.0,1849.0,279.0,8.0,-28.0,18.0,6.0,0.0,-5.0,9895.0,-12857.0,1314.0,1871.0,9.0,-17.0,-3.0,1.0
2022-05-08 15:46:59.997378-07:00,676.6,702.8,702.8,1059.1,409.8,303.6,797.7,739.7,3471.0,3468.6,1076.4,823.5,569.0,3467.4,1078.2,845.3,3437.0,3438.2,418.4,349.1,357.6,329.8,282.1,287.5,3455.2,3461.3,535.4,391.8,503.6,943.2,634.3,434.1,-8.0,1.0,6.0,12066.0,-10922.0,1859.0,292.0,4.0,24.0,48.0,-9.0,-2.0,6.0,9898.0,-12853.0,1316.0,1876.0,13.0,-4.0,18.0,1.0
2022-05-08 15:47:00.057353-07:00,674.2,698.7,707.7,1059.1,409.0,303.6,797.7,739.7,3462.5,3466.1,1079.9,823.5,574.6,3467.4,1078.2,845.3,3437.0,3438.2,418.4,345.2,357.6,332.9,279.8,280.6,3455.2,3461.3,535.4,395.7,503.6,937.3,633.5,427.8,-5.0,11.0,1.0,12065.0,-10922.0,1870.0,293.0,-3.0,5.0,1.0,-4.0,1.0,10.0,9898.0,-12853.0,1318.0,1878.0,3.0,-2.0,2.0,1.0
