Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 15:50:40.445899-07:00,676.6,704.4,692.1,1030.6,404.3,295.9,767.0,737.3,3466.1,3473.4,1100.8,810.2,558.6,3469.8,1087.7,831.1,3428.6,3438.2,411.4,329.0,351.4,329.0,269.1,271.4,3450.4,3460.1,497.2,394.2,498.8,927.1,627.8,416.8,19.0,-14.0,7.0,11627.0,-10555.0,4351.0,-1702.0,19.0,-37.0,9.0,12.0,-8.0,1.0,9013.0,-13365.0,-114.0,2929.0,21.0,-29.0,-8.0,1.0
2022-05-08 15:50:40.506083-07:00,673.3,701.9,696.2,1030.6,405.9,298.2,767.0,737.3,3460.1,3475.9,1101.7,810.2,559.4,3457.6,1087.7,831.1,3428.6,3438.2,408.2,325.1,351.4,329.0,267.6,275.2,3450.4,3460.1,498.0,389.5,498.8,929.6,620.5,421.5,7.0,-8.0,7.0,11631.0,-10553.0,4347.0,-1700.0,-9.0,4.0,16.0,1.0,-12.0,12.0,9015.0,-13363.0,-117.0,2929.0,-9.0,-5.0,9.0,1.0
2022-05-08 15:50:40.506801-07:00,673.3,701.9,696.2,1032.3,405.9,302.0,776.1,728.2,3460.1,3475.9,1101.7,810.2,559.4,3469.8,1088.6,831.1,3441.9,3438.2,411.4,325.1,350.6,329.0,267.6,275.2,3457.6,3462.5,505.9,389.5,499.6,929.6,620.5,421.5,-8.0,-1.0,8.0,11632.0,-10551.0,4351.0,-1696.0,-8.0,5.0,18.0,-8.0,-4.0,10.0,9015.0,-13363.0,-116.0,2931.0,-7.0,3.0,11.0,1.0
2022-05-08 15:50:40.508327-07:00,674.2,705.2,692.1,1032.3,409.0,302.0,776.1,728.2,3469.8,3468.6,1099.0,810.2,563.4,3469.8,1088.6,831.1,3441.9,3438.2,411.4,330.5,350.6,326.7,269.9,270.6,3457.6,3462.5,505.9,390.3,499.6,925.4,623.8,430.2,-10.0,3.0,4.0,11629.0,-10551.0,4359.0,-1697.0,-16.0,19.0,5.0,-11.0,4.0,3.0,9010.0,-13365.0,-111.0,2936.0,-20.0,9.0,12.0,1.0
2022-05-08 15:50:40.510228-07:00,674.2,705.2,692.1,1028.0,409.0,296.7,787.7,737.3,3469.8,3468.6,1099.0,810.2,563.4,3472.2,1086.8,836.1,3443.1,3447.9,411.4,330.5,350.6,326.7,269.9,270.6,3460.1,3460.1,502.0,390.3,497.2,925.4,623.8,430.2,0.0,-7.0,-1.0,11621.0,-10555.0,4368.0,-1701.0,-17.0,11.0,-9.0,-3.0,0.0,8.0,9004.0,-13370.0,-109.0,2934.0,-13.0,7.0,1.0,1.0
2022-05-08 15:50:40.625505-07:00,673.3,709.3,691.3,1028.0,400.4,296.7,787.7,737.3,3464.9,3469.8,1100.8,810.2,561.0,3472.2,1086.8,836.1,3443.1,3447.9,411.4,327.5,350.6,323.6,269.9,269.9,3460.1,3460.1,502.0,391.8,497.2,928.8,620.5,426.2,14.0,-11.0,3.0,11619.0,-10556.0,4371.0,-1705.0,-10.0,8.0,1.0,2.0,-4.0,5.0,9004.0,-13370.0,-109.0,2934.0,-9.0,4.0,2.0,1.0
2022-05-08 15:50:40.626491-07:00,673.3,709.3,691.3,1032.3,400.4,299.7,771.1,734.0,3464.9,3469.8,1100.8,810.2,561.0,3458.9,1089.5,838.6,3447.9,3435.8,405.1,327.5,355.3,323.6,269.9,269.9,3462.5,3457.6,498.0,391.8,501.2,928.8,620.5,426.2,8.0,-6.0,-2.0,11617.0,-10555.0,4374.0,-1710.0,-9.0,17.0,11.0,3.0,-9.0,3.0,9004.0,-13370.0,-109.0,2931.0,-13.0,1.0,9.0,1.0
2022-05-08 15:50:40.715969-07:00,674.2,709.3,694.6,1032.3,408.2,299.7,771.1,734.0,3474.6,3457.6,1099.0,810.2,566.6,3458.9,1089.5,838.6,3447.9,3435.8,405.1,326.7,355.3,329.0,272.1,272.9,3462.5,3457.6,498.0,387.9,501.2,925.4,631.1,433.3,-1.0,-1.0,-9.0,11617.0,-10556.0,4374.0,-1711.0,4.0,7.0,3.0,-2.0,1.0,2.0,9003.0,-13371.0,-109.0,2931.0,1.0,-3.0,-1.0,1.0
2022-05-08 15:50:40.717138-07:00,674.2,709.3,694.6,1029.7,407.5,295.9,771.1,730.7,3474.6,3457.6,1099.0,806.9,564.2,3466.1,1087.7,833.6,3443.1,3449.1,411.4,329.0,352.2,329.0,272.1,272.9,3473.4,3461.3,505.9,391.8,499.6,925.4,631.1,433.3,-5.0,-2.0,-1.0,11618.0,-10557.0,4370.0,-1707.0,6.0,-22.0,7.0,-11.0,3.0,4.0,9003.0,-13370.0,-110.0,2934.0,4.0,-11.0,-6.0,1.0
2022-05-08 15:50:40.775980-07:00,676.6,707.7,691.3,1028.0,407.5,295.9,771.1,730.7,3460.1,3468.6,1098.2,812.7,564.2,3466.1,1087.7,833.6,3443.1,3449.1,411.4,329.0,351.4,329.8,268.3,271.4,3473.4,3461.3,505.9,391.8,497.2,925.4,626.2,423.1,-1.0,2.0,12.0,11620.0,-10557.0,4366.0,-1703.0,8.0,-3.0,1.0,-6.0,0.0,11.0,9004.0,-13369.0,-110.0,2937.0,4.0,-4.0,-5.0,1.0
2022-05-08 15:50:40.895450-07:00,676.6,707.7,691.3,1028.0,408.2,300.5,774.5,729.9,3460.1,3468.6,1098.2,812.7,561.0,3457.6,1085.1,834.4,3449.1,3444.3,402.8,329.0,351.4,329.8,268.3,271.4,3466.1,3463.7,503.6,385.6,497.2,925.4,626.2,423.1,8.0,-6.0,8.0,11620.0,-10556.0,4366.0,-1705.0,-4.0,12.0,-7.0,7.0,-3.0,2.0,9006.0,-13368.0,-110.0,2938.0,-3.0,7.0,-3.0,1.0
2022-05-08 15:50:41.076122-07:00,672.5,706.0,702.8,1033.2,408.2,300.5,774.5,729.9,3457.6,3460.1,1096.4,810.2,561.0,3457.6,1085.1,834.4,3449.1,3444.3,402.8,329.0,354.5,329.8,272.9,274.4,3466.1,3463.7,503.6,385.6,497.2,925.4,623.0,428.6,7.0,-10.0,-4.0,11618.0,-10556.0,4370.0,-1712.0,0.0,6.0,-6.0,6.0,-4.0,2.0,9006.0,-13367.0,-110.0,2936.0,-5.0,0.0,1.0,1.0
2022-05-08 15:50:41.105375-07:00,672.5,706.0,702.8,1033.2,405.1,299.0,793.5,734.0,3457.6,3460.1,1096.4,810.2,560.2,3464.9,1096.4,830.2,3444.3,3450.4,405.9,320.5,354.5,329.8,272.9,274.4,3460.1,3456.4,502.8,387.2,497.2,925.4,623.0,428.6,3.0,-3.0,-5.0,11617.0,-10557.0,4370.0,-1714.0,0.0,1.0,4.0,1.0,-3.0,1.0,9006.0,-13367.0,-110.0,2936.0,-4.0,-4.0,0.0,1.0
2022-05-08 15:50:41.166394-07:00,677.4,709.3,685.6,1034.9,405.1,299.0,793.5,734.0,3462.5,3475.9,1094.7,811.0,560.2,3464.9,1096.4,830.2,3444.3,3450.4,405.9,320.5,350.6,329.0,275.2,274.4,3460.1,3456.4,502.8,387.2,499.6,933.0,626.2,430.2,-1.0,-7.0,1.0,11618.0,-10557.0,4369.0,-1712.0,9.0,-15.0,6.0,-1.0,-6.0,9.0,9007.0,-13367.0,-111.0,2937.0,2.0,-9.0,-1.0,1.0
