Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 15:52:20.312630-07:00,672.5,684.0,686.4,1019.4,401.2,297.4,841.1,748.8,3473.4,3468.6,1023.7,806.9,557.8,3468.6,1029.7,823.5,3441.9,3449.1,405.1,330.5,356.8,315.1,266.8,271.4,3461.3,3461.3,505.9,384.0,492.5,916.0,606.8,425.5,11.0,-14.0,1.0,9467.0,-10744.0,6639.0,-4394.0,-1.0,-5.0,6.0,5.0,0.0,-9.0,7684.0,-14260.0,816.0,2316.0,-1.0,-5.0,6.0,1.0
2022-05-08 15:52:20.428737-07:00,671.7,686.4,675.0,1019.4,402.0,297.4,841.1,748.8,3464.9,3468.6,1028.0,806.9,560.2,3468.6,1029.7,823.5,3441.9,3449.1,405.1,325.9,356.8,319.0,271.4,271.4,3461.3,3461.3,505.9,384.8,492.5,925.4,606.0,420.8,8.0,-3.0,-1.0,9468.0,-10743.0,6640.0,-4393.0,-6.0,-6.0,2.0,4.0,3.0,-7.0,7684.0,-14260.0,816.0,2316.0,-4.0,0.0,7.0,1.0
2022-05-08 15:52:20.429769-07:00,671.7,686.4,675.0,1021.9,402.0,302.8,848.6,744.7,3464.9,3468.6,1028.0,802.7,560.2,3469.8,1042.6,826.0,3443.1,3445.5,405.1,325.9,356.1,319.0,271.4,271.4,3473.4,3466.1,506.7,384.8,490.9,925.4,606.0,420.8,7.0,-8.0,-6.0,9468.0,-10742.0,6642.0,-4392.0,0.0,0.0,11.0,10.0,1.0,-9.0,7683.0,-14261.0,821.0,2318.0,6.0,3.0,15.0,1.0
2022-05-08 15:52:20.518517-07:00,670.1,691.3,676.6,1021.9,411.4,302.8,848.6,744.7,3471.0,3460.1,1027.1,802.7,563.4,3469.8,1042.6,826.0,3443.1,3445.5,405.1,325.9,356.1,318.2,270.6,270.6,3473.4,3466.1,506.7,382.5,490.9,926.2,606.8,431.7,7.0,-3.0,-5.0,9469.0,-10741.0,6643.0,-4391.0,-3.0,3.0,11.0,5.0,0.0,-7.0,7682.0,-14260.0,825.0,2321.0,-2.0,3.0,12.0,1.0
2022-05-08 15:52:20.520642-07:00,670.1,691.3,676.6,1017.6,411.4,298.2,844.4,749.6,3471.0,3460.1,1027.1,805.2,563.4,3473.4,1031.4,827.7,3443.1,3439.5,409.8,325.9,356.8,318.2,270.6,270.6,3464.9,3460.1,502.8,382.5,492.5,926.2,606.8,431.7,6.0,-6.0,-3.0,9469.0,-10740.0,6645.0,-4390.0,-3.0,4.0,10.0,5.0,1.0,-7.0,7681.0,-14260.0,829.0,2323.0,1.0,1.0,13.0,1.0
2022-05-08 15:52:20.669162-07:00,671.7,684.0,672.5,1020.2,401.2,298.2,844.4,749.6,3473.4,3467.4,1025.4,805.2,556.2,3473.4,1031.4,827.7,3443.1,3439.5,409.8,328.2,360.0,319.7,271.4,272.1,3464.9,3460.1,502.8,384.8,496.4,914.4,617.3,420.0,8.0,-4.0,-5.0,9469.0,-10740.0,6645.0,-4390.0,0.0,5.0,7.0,7.0,2.0,-9.0,7681.0,-14260.0,832.0,2325.0,-2.0,0.0,10.0,1.0
2022-05-08 15:52:20.670206-07:00,671.7,684.0,672.5,1020.2,408.2,295.9,841.9,753.8,3473.4,3467.4,1025.4,805.2,561.0,3467.4,1027.1,826.0,3451.6,3440.7,403.5,329.8,360.0,319.7,271.4,272.1,3462.5,3454.0,502.0,383.3,496.4,914.4,617.3,420.0,9.0,-7.0,-3.0,9469.0,-10740.0,6645.0,-4390.0,2.0,3.0,8.0,6.0,0.0,-5.0,7681.0,-14260.0,833.0,2325.0,4.0,3.0,9.0,1.0
2022-05-08 15:52:20.879410-07:00,674.2,682.3,685.6,1020.2,408.2,295.9,841.9,753.8,3478.3,3457.6,1025.4,802.7,561.0,3467.4,1027.1,826.0,3451.6,3440.7,403.5,329.8,358.4,321.3,272.1,271.4,3462.5,3454.0,502.0,383.3,498.8,920.3,606.0,427.8,7.0,-4.0,-4.0,9469.0,-10740.0,6645.0,-4390.0,-4.0,3.0,6.0,4.0,1.0,-11.0,7680.0,-14260.0,835.0,2326.0,-2.0,-2.0,8.0,1.0
2022-05-08 15:52:20.880156-07:00,674.2,682.3,685.6,1020.2,405.1,302.0,841.1,741.4,3478.3,3457.6,1025.4,802.7,555.4,3467.4,1032.3,826.9,3449.1,3445.5,405.1,332.1,358.4,321.3,272.1,271.4,3466.1,3463.7,488.5,384.0,498.8,920.3,606.0,427.8,7.0,-4.0,-6.0,9469.0,-10740.0,6645.0,-4390.0,-4.0,-9.0,7.0,7.0,0.0,-7.0,7680.0,-14260.0,835.0,2326.0,-1.0,0.0,7.0,1.0
2022-05-08 15:52:20.881042-07:00,666.8,688.0,673.3,1024.5,405.1,302.0,841.1,741.4,3466.1,3466.1,1028.8,801.9,555.4,3467.4,1032.3,826.9,3449.1,3445.5,405.1,332.1,356.8,318.2,272.1,273.7,3466.1,3463.7,488.5,384.0,496.4,906.7,604.4,430.2,8.0,-1.0,-4.0,9469.0,-10740.0,6645.0,-4390.0,1.0,1.0,5.0,7.0,2.0,-8.0,7680.0,-14260.0,836.0,2327.0,-3.0,2.0,2.0,1.0
