Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:07:54.468512-07:00,873.8,1020.2,1303.4,1035.7,661.1,507.5,1374.8,994.5,3469.8,3478.3,711.8,920.3,395.7,3496.6,911.8,806.9,3485.6,3474.6,391.8,589.1,425.5,505.9,274.4,276.7,3475.9,3477.1,618.9,479.0,648.9,1104.3,1246.2,464.0,-3.0,0.0,18.0,8846.0,9258.0,8769.0,5252.0,-14.0,-48.0,2.0,4.0,-10.0,21.0,10216.0,8973.0,7384.0,5389.0,-21.0,-27.0,-6.0,1.0
2022-05-08 16:07:54.529044-07:00,866.3,1021.1,1302.5,1032.3,661.1,507.5,1374.8,994.5,3466.1,3467.4,715.1,918.6,395.7,3496.6,911.8,806.9,3485.6,3474.6,391.8,589.1,421.5,508.3,276.0,274.4,3475.9,3477.1,618.9,479.0,648.9,1105.1,1246.2,471.1,1.0,-2.0,34.0,8867.0,9248.0,8755.0,5257.0,-57.0,-7.0,-11.0,4.0,-8.0,29.0,10229.0,8961.0,7374.0,5396.0,-42.0,22.0,1.0,1.0
2022-05-08 16:07:54.558379-07:00,866.3,1021.1,1302.5,1032.3,663.6,505.1,1377.5,992.7,3466.1,3467.4,715.1,918.6,398.9,3497.8,905.0,803.5,3474.6,3478.3,397.3,581.0,421.5,508.3,276.0,274.4,3473.4,3474.6,620.5,475.0,648.9,1105.1,1246.2,471.1,-2.0,-2.0,14.0,8864.0,9235.0,8766.0,5267.0,36.0,73.0,-22.0,0.0,-11.0,10.0,10225.0,8950.0,7384.0,5410.0,33.0,76.0,-14.0,1.0
2022-05-08 16:07:54.619156-07:00,867.9,1015.9,1307.0,1037.5,663.6,505.1,1377.5,992.7,3471.0,3472.2,711.8,920.3,398.9,3497.8,905.0,803.5,3474.6,3478.3,397.3,581.0,430.2,505.1,275.2,274.4,3473.4,3474.6,620.5,475.0,643.2,1093.8,1240.8,471.9,7.0,-7.0,-2.0,8845.0,9221.0,8793.0,5278.0,7.0,80.0,-21.0,6.0,-9.0,0.0,10207.0,8942.0,7411.0,5420.0,17.0,83.0,-10.0,1.0
2022-05-08 16:07:54.678350-07:00,867.9,1015.9,1307.0,1037.5,663.6,508.3,1379.4,990.2,3471.0,3472.2,711.8,920.3,393.4,3507.5,908.4,803.5,3472.2,3483.2,391.8,585.9,430.2,505.1,275.2,274.4,3474.6,3484.4,614.9,478.2,643.2,1093.8,1240.8,471.9,2.0,-6.0,-22.0,8817.0,9210.0,8825.0,5291.0,38.0,99.0,-27.0,0.0,-6.0,-9.0,10185.0,8937.0,7438.0,5432.0,37.0,72.0,-17.0,1.0
2022-05-08 16:07:54.708385-07:00,865.4,1023.7,1302.5,1032.3,663.6,508.3,1379.4,990.2,3488.0,3475.9,708.5,912.7,393.4,3507.5,908.4,803.5,3472.2,3483.2,391.8,585.9,421.5,507.5,277.5,276.7,3474.6,3484.4,614.9,478.2,643.2,1112.1,1242.6,464.0,-1.0,-14.0,-26.0,8794.0,9208.0,8852.0,5287.0,24.0,21.0,-17.0,0.0,-10.0,-7.0,10168.0,8934.0,7462.0,5435.0,14.0,33.0,-10.0,1.0
2022-05-08 16:07:54.768640-07:00,868.8,1023.7,1302.5,1032.3,664.4,507.5,1375.7,990.2,3474.6,3475.9,708.5,912.7,399.6,3496.6,905.0,801.9,3475.9,3474.6,393.4,583.5,421.5,507.5,277.5,279.0,3474.6,3478.3,637.6,478.2,643.2,1112.1,1242.6,467.9,0.0,-16.0,-13.0,8797.0,9206.0,8851.0,5287.0,-49.0,-12.0,3.0,-1.0,-12.0,0.0,10168.0,8929.0,7465.0,5439.0,-41.0,-8.0,10.0,1.0
2022-05-08 16:07:54.828403-07:00,868.8,1010.8,1309.7,1034.9,664.4,507.5,1375.7,991.0,3474.6,3473.4,717.5,918.6,399.6,3496.6,905.0,800.2,3477.1,3474.6,393.4,583.5,420.0,504.4,275.2,279.0,3480.7,3478.3,637.6,478.2,648.1,1109.5,1239.1,467.9,-3.0,-1.0,6.0,8812.0,9199.0,8840.0,5293.0,-39.0,-27.0,6.0,4.0,-12.0,16.0,10177.0,8920.0,7456.0,5451.0,-33.0,6.0,10.0,1.0
2022-05-08 16:07:54.858458-07:00,867.9,1010.8,1309.7,1034.9,659.5,507.5,1383.0,991.0,3481.9,3473.4,717.5,918.6,395.0,3496.6,909.3,800.2,3477.1,3477.1,391.8,588.3,420.0,504.4,275.2,279.0,3480.7,3481.9,620.5,474.3,648.1,1109.5,1239.1,468.7,0.0,-6.0,13.0,8815.0,9190.0,8840.0,5304.0,-4.0,35.0,-8.0,3.0,-12.0,19.0,10180.0,8911.0,7455.0,5460.0,5.0,36.0,-2.0,1.0
2022-05-08 16:07:54.918493-07:00,867.9,1015.1,1306.1,1035.7,659.5,507.5,1383.0,988.5,3481.9,3473.4,712.6,912.7,395.0,3496.6,909.3,803.5,3462.5,3477.1,391.8,588.3,423.1,505.1,276.7,279.0,3483.2,3481.9,620.5,474.3,643.2,1104.3,1246.2,468.7,4.0,-8.0,0.0,8806.0,9185.0,8849.0,5313.0,-3.0,43.0,-5.0,0.0,-11.0,4.0,10174.0,8906.0,7464.0,5469.0,6.0,30.0,-2.0,1.0
2022-05-08 16:07:54.978430-07:00,864.6,1015.1,1306.1,1035.7,665.2,502.0,1374.8,988.5,3479.5,3473.4,712.6,912.7,398.1,3490.5,907.6,803.5,3462.5,3483.2,394.2,586.7,423.1,505.1,276.7,276.7,3483.2,3480.7,613.3,471.1,643.2,1104.3,1246.2,471.1,-5.0,-14.0,-19.0,8793.0,9181.0,8861.0,5320.0,14.0,32.0,9.0,-5.0,-11.0,-1.0,10169.0,8906.0,7469.0,5470.0,4.0,0.0,0.0,1.0
2022-05-08 16:07:55.038516-07:00,864.6,1014.2,1304.3,1034.0,665.2,502.0,1374.8,990.2,3479.5,3473.4,716.7,922.0,398.1,3490.5,907.6,806.0,3483.2,3483.2,394.2,586.7,419.2,506.7,276.0,276.7,3481.9,3480.7,613.3,471.1,640.0,1106.9,1243.5,471.1,2.0,4.0,-6.0,8798.0,9180.0,8858.0,5320.0,-22.0,-30.0,-5.0,3.0,-6.0,-2.0,10171.0,8904.0,7468.0,5472.0,-12.0,-2.0,-5.0,1.0
2022-05-08 16:07:55.068571-07:00,866.3,1017.6,1304.3,1034.0,666.8,506.7,1378.5,990.2,3473.4,3479.5,716.7,922.0,395.7,3501.4,904.2,806.0,3483.2,3477.1,398.9,589.1,419.2,506.7,286.7,273.7,3481.9,3484.4,619.7,474.3,640.0,1106.9,1245.3,465.6,2.0,-7.0,9.0,8800.0,9180.0,8857.0,5317.0,7.0,8.0,-3.0,6.0,-7.0,13.0,10172.0,8903.0,7468.0,5472.0,6.0,-1.0,-9.0,1.0
2022-05-08 16:07:55.128345-07:00,866.3,1017.6,1304.3,1028.0,666.8,506.7,1387.5,994.5,3473.4,3479.5,715.9,922.0,395.7,3501.4,905.0,808.5,3477.1,3485.6,398.9,589.1,422.3,503.6,286.7,273.7,3488.0,3481.9,619.7,474.3,648.1,1107.8,1245.3,465.6,3.0,0.0,6.0,8794.0,9179.0,8863.0,5321.0,24.0,31.0,-2.0,1.0,-8.0,0.0,10170.0,8901.0,7472.0,5473.0,25.0,21.0,-12.0,1.0
2022-05-08 16:07:55.158462-07:00,863.7,1021.9,1304.3,1028.0,661.9,503.6,1387.5,994.5,3469.8,3471.0,715.9,922.0,397.3,3496.6,905.0,808.5,3477.1,3485.6,391.8,585.1,422.3,503.6,274.4,278.3,3488.0,3481.9,620.5,475.8,648.1,1107.8,1243.5,465.6,0.0,-9.0,-8.0,8775.0,9176.0,8882.0,5322.0,26.0,44.0,-16.0,1.0,-12.0,1.0,10159.0,8902.0,7489.0,5469.0,31.0,32.0,-18.0,1.0
2022-05-08 16:07:55.218430-07:00,863.7,1021.9,1303.4,1028.0,661.9,503.6,1380.3,988.5,3469.8,3471.0,714.2,924.5,397.3,3496.6,904.2,805.2,3479.5,3472.2,391.8,585.1,424.7,505.1,274.4,278.3,3485.6,3467.4,620.5,475.8,645.7,1108.6,1243.5,465.6,2.0,-14.0,-18.0,8764.0,9180.0,8892.0,5318.0,16.0,-5.0,0.0,1.0,-13.0,-1.0,10150.0,8903.0,7501.0,5468.0,17.0,19.0,-1.0,1.0
