Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:09:56.693904-07:00,649.7,736.5,652.2,939.8,346.8,312.0,821.9,746.3,3457.6,3471.0,1267.6,762.0,542.6,3457.6,1290.0,814.4,3452.8,3444.3,365.4,327.5,327.5,331.3,292.1,272.1,3447.9,3460.1,502.8,404.3,425.5,841.9,638.4,424.7,21.0,1.0,15.0,11253.0,-11138.0,-1578.0,3908.0,-36.0,3.0,43.0,30.0,-2.0,-10.0,8575.0,-13164.0,-1961.0,4216.0,-6.0,-8.0,22.0,1.0
2022-05-08 16:09:56.694768-07:00,649.7,736.5,652.2,939.8,346.8,312.0,821.9,746.3,3457.6,3471.0,1267.6,762.0,542.6,3457.6,1290.0,814.4,3452.8,3444.3,365.4,327.5,327.5,331.3,292.1,272.1,3447.9,3460.1,502.8,404.3,425.5,841.9,638.4,424.7,21.0,1.0,15.0,11253.0,-11138.0,-1578.0,3908.0,-36.0,3.0,43.0,30.0,-2.0,-10.0,8575.0,-13164.0,-1961.0,4216.0,-6.0,-8.0,22.0,1.0
2022-05-08 16:09:56.837308-07:00,655.4,734.0,656.2,934.7,342.9,308.2,817.7,742.2,3473.4,3463.7,1262.2,761.2,542.6,3469.8,1290.0,817.7,3434.6,3443.1,366.2,322.8,329.0,325.1,292.8,272.9,3460.1,3468.6,494.8,408.2,427.8,842.8,644.0,430.9,-3.0,-12.0,2.0,11266.0,-11119.0,-1551.0,3934.0,-17.0,-15.0,21.0,3.0,-2.0,-6.0,8585.0,-13154.0,-1957.0,4228.0,-3.0,-10.0,8.0,1.0
2022-05-08 16:09:56.838860-07:00,664.4,743.0,653.8,933.9,342.1,313.6,822.7,741.4,3457.6,3473.4,1256.0,762.9,544.2,3471.0,1284.6,821.9,3441.9,3447.9,363.8,323.6,329.8,325.1,287.5,275.2,3460.1,3461.3,505.9,412.9,423.1,836.1,639.2,423.1,8.0,-8.0,5.0,11364.0,-11000.0,-1489.0,4011.0,127.0,-35.0,39.0,7.0,-2.0,-21.0,8716.0,-13047.0,-1939.0,4301.0,107.0,-53.0,5.0,1.0
2022-05-08 16:09:56.840519-07:00,664.4,743.0,653.8,935.6,342.1,312.8,824.4,738.1,3457.6,3473.4,1256.0,763.7,544.2,3464.9,1289.1,815.2,3449.1,3439.5,361.5,323.6,332.1,325.1,287.5,275.2,3471.0,3445.5,502.8,412.9,423.9,836.1,639.2,423.1,-10.0,3.0,-10.0,11380.0,-10980.0,-1473.0,4026.0,32.0,12.0,30.0,-9.0,4.0,-13.0,8725.0,-13034.0,-1940.0,4319.0,11.0,-47.0,13.0,1.0
2022-05-08 16:09:56.866887-07:00,655.4,729.9,655.4,935.6,340.6,312.8,824.4,738.1,3468.6,3467.4,1271.2,763.7,541.8,3464.9,1289.1,815.2,3449.1,3439.5,361.5,325.1,332.1,325.9,289.0,273.7,3471.0,3445.5,502.8,410.6,423.9,836.9,642.4,427.0,-5.0,11.0,-1.0,11372.0,-10984.0,-1478.0,4034.0,-44.0,-46.0,-18.0,3.0,2.0,-9.0,8711.0,-13035.0,-1956.0,4336.0,-36.0,-60.0,-11.0,1.0
2022-05-08 16:09:56.987360-07:00,655.4,729.9,655.4,934.7,340.6,309.7,820.2,739.7,3468.6,3467.4,1271.2,762.0,541.8,3473.4,1283.7,814.4,3446.7,3441.9,364.6,325.1,325.9,325.9,289.0,273.7,3469.8,3469.8,501.2,410.6,423.9,836.9,642.4,427.0,7.0,11.0,10.0,11369.0,-10986.0,-1511.0,4028.0,-27.0,-32.0,-77.0,18.0,0.0,-2.0,8700.0,-13037.0,-1979.0,4343.0,-59.0,-23.0,-24.0,1.0
2022-05-08 16:09:56.988652-07:00,653.0,733.2,655.4,934.7,341.4,309.7,820.2,739.7,3467.4,3463.7,1259.6,762.0,543.4,3473.4,1283.7,814.4,3446.7,3441.9,364.6,323.6,325.9,327.5,293.6,277.5,3469.8,3469.8,501.2,404.3,423.9,836.1,645.7,427.0,-5.0,-30.0,20.0,11354.0,-11003.0,-1549.0,4007.0,-84.0,-9.0,-48.0,2.0,-18.0,5.0,8675.0,-13053.0,-1994.0,4337.0,-52.0,-5.0,10.0,1.0
2022-05-08 16:09:57.017081-07:00,653.0,733.2,655.4,938.1,342.1,308.2,825.2,742.2,3467.4,3463.7,1259.6,762.9,547.4,3469.8,1284.6,816.9,3461.3,3449.1,369.3,322.1,327.5,327.5,293.6,277.5,3462.5,3461.3,499.6,408.2,416.8,836.1,645.7,427.0,-1.0,7.0,13.0,11342.0,-11017.0,-1553.0,4003.0,-35.0,15.0,9.0,2.0,3.0,-5.0,8668.0,-13058.0,-1990.0,4340.0,-18.0,7.0,20.0,1.0
2022-05-08 16:09:57.136831-07:00,657.0,735.6,651.4,930.5,342.1,308.2,825.2,742.2,3463.7,3468.6,1258.7,763.7,547.4,3469.8,1284.6,816.9,3461.3,3449.1,369.3,322.1,329.8,330.5,292.1,272.9,3462.5,3461.3,499.6,408.2,426.2,841.9,640.8,425.5,-11.0,0.0,1.0,11338.0,-11023.0,-1553.0,3993.0,-2.0,9.0,-31.0,-7.0,3.0,-7.0,8664.0,-13061.0,-1984.0,4342.0,18.0,5.0,6.0,1.0
2022-05-08 16:09:57.196725-07:00,657.0,735.6,651.4,930.5,345.2,310.5,819.4,743.9,3463.7,3468.6,1258.7,763.7,540.2,3464.9,1286.4,811.9,3449.1,3446.7,360.7,326.7,329.8,330.5,292.1,272.9,3468.6,3468.6,499.6,408.2,426.2,841.9,640.8,425.5,1.0,-6.0,8.0,11351.0,-11016.0,-1546.0,3980.0,60.0,42.0,-9.0,8.0,-6.0,-9.0,8675.0,-13055.0,-1976.0,4342.0,55.0,11.0,16.0,1.0
2022-05-08 16:09:57.197837-07:00,653.0,731.5,649.7,934.7,345.2,310.5,819.4,743.9,3466.1,3478.3,1261.3,765.3,540.2,3464.9,1286.4,811.9,3449.1,3446.7,360.7,326.7,327.5,325.9,293.6,273.7,3468.6,3468.6,499.6,408.2,421.5,838.6,642.4,423.9,5.0,-24.0,-1.0,11366.0,-11009.0,-1528.0,3964.0,47.0,63.0,-3.0,5.0,4.0,-13.0,8683.0,-13051.0,-1965.0,4340.0,80.0,2.0,18.0,1.0
2022-05-08 16:09:57.256824-07:00,653.0,731.5,649.7,934.7,339.8,310.5,817.7,742.2,3466.1,3478.3,1261.3,765.3,536.2,3468.6,1295.4,815.2,3433.4,3444.3,364.6,323.6,327.5,325.9,293.6,273.7,3460.1,3458.9,475.8,406.7,421.5,838.6,642.4,423.9,-6.0,-1.0,-9.0,11396.0,-10981.0,-1500.0,3968.0,124.0,8.0,33.0,-2.0,3.0,-16.0,8717.0,-13027.0,-1952.0,4352.0,131.0,-38.0,6.0,1.0
2022-05-08 16:09:57.257817-07:00,653.0,729.0,647.3,929.6,339.8,310.5,817.7,742.2,3457.6,3457.6,1255.1,762.9,536.2,3468.6,1295.4,815.2,3433.4,3444.3,364.6,323.6,332.1,323.6,292.1,272.9,3460.1,3458.9,475.8,406.7,424.7,846.1,648.9,427.0,-4.0,7.0,-14.0,11431.0,-10942.0,-1481.0,3982.0,120.0,-23.0,13.0,0.0,6.0,-15.0,8756.0,-12995.0,-1947.0,4372.0,100.0,-39.0,-11.0,1.0
2022-05-08 16:09:57.376757-07:00,656.2,729.0,647.3,929.6,345.2,308.2,812.7,738.1,3467.4,3457.6,1255.1,762.9,543.4,3460.1,1289.1,813.5,3447.9,3441.9,359.2,325.9,332.1,323.6,292.1,273.7,3463.7,3461.3,492.5,408.2,424.7,846.1,648.9,428.6,0.0,-5.0,-1.0,11453.0,-10915.0,-1482.0,3992.0,56.0,-22.0,-14.0,6.0,-1.0,-8.0,8775.0,-12976.0,-1953.0,4385.0,41.0,-35.0,-14.0,1.0
2022-05-08 16:09:57.407350-07:00,656.2,729.9,651.4,937.3,345.2,308.2,812.7,752.1,3467.4,3474.6,1258.7,768.7,543.4,3460.1,1289.1,817.7,3440.7,3441.9,359.2,325.9,323.6,328.2,292.8,273.7,3458.9,3461.3,492.5,408.2,436.4,840.3,640.0,428.6,3.0,-13.0,8.0,11463.0,-10901.0,-1488.0,3999.0,32.0,-29.0,-1.0,10.0,-12.0,1.0,8785.0,-12966.0,-1960.0,4394.0,38.0,-30.0,-1.0,1.0
2022-05-08 16:09:57.436719-07:00,657.0,729.9,651.4,937.3,355.3,312.8,820.2,752.1,3461.3,3474.6,1258.7,768.7,544.2,3464.9,1284.6,817.7,3440.7,3443.1,359.2,322.1,323.6,328.2,292.8,272.9,3458.9,3461.3,498.8,403.5,436.4,840.3,640.0,426.2,6.0,7.0,14.0,11469.0,-10891.0,-1491.0,4007.0,5.0,7.0,4.0,10.0,6.0,-3.0,8793.0,-12958.0,-1961.0,4400.0,8.0,0.0,8.0,1.0
