Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:14:57.100991-07:00,821.0,929.6,1280.1,1020.2,716.7,456.1,1414.0,916.0,3477.1,3488.0,668.4,884.8,387.2,3495.3,776.1,728.2,3488.0,3483.2,384.8,580.2,418.4,505.1,244.7,246.2,3484.4,3477.1,573.8,446.7,625.4,1079.0,1167.4,480.6,6.0,1.0,5.0,8666.0,10040.0,8456.0,4585.0,-2.0,7.0,2.0,4.0,-5.0,11.0,5858.0,3811.0,11101.0,9817.0,0.0,3.0,0.0,1.0
2022-05-08 16:14:57.132725-07:00,825.2,933.0,1280.1,1020.2,714.2,456.9,1415.8,916.0,3473.4,3474.6,668.4,884.8,390.3,3499.0,781.9,728.2,3488.0,3483.2,384.0,578.6,418.4,505.1,247.7,248.5,3484.4,3480.7,573.8,445.1,625.4,1079.0,1174.4,478.2,0.0,1.0,-2.0,8666.0,10040.0,8456.0,4585.0,1.0,3.0,-6.0,4.0,-5.0,7.0,5858.0,3811.0,11101.0,9817.0,1.0,8.0,-5.0,1.0
2022-05-08 16:14:57.133702-07:00,825.2,933.0,1286.4,1025.4,714.2,456.9,1409.4,926.2,3473.4,3474.6,671.7,877.2,390.3,3499.0,780.3,722.5,3467.4,3489.2,384.0,578.6,416.8,507.5,247.7,248.5,3469.8,3472.2,573.8,445.1,620.5,1080.8,1174.4,478.2,-5.0,-1.0,0.0,8666.0,10040.0,8456.0,4585.0,-8.0,5.0,5.0,0.0,0.0,2.0,5858.0,3811.0,11101.0,9817.0,-7.0,-3.0,-1.0,1.0
2022-05-08 16:14:57.192358-07:00,828.5,935.6,1286.4,1025.4,711.0,456.1,1409.4,926.2,3471.0,3474.6,671.7,877.2,392.6,3490.5,780.3,722.5,3467.4,3489.2,389.5,581.8,416.8,507.5,250.8,244.7,3469.8,3472.2,573.0,447.4,620.5,1080.8,1179.7,485.3,0.0,5.0,1.0,8667.0,10040.0,8454.0,4588.0,5.0,-3.0,7.0,2.0,-1.0,7.0,5858.0,3810.0,11100.0,9818.0,1.0,0.0,2.0,1.0
2022-05-08 16:14:57.193478-07:00,828.5,935.6,1286.4,1023.7,711.0,456.1,1415.8,920.3,3471.0,3474.6,669.3,887.3,392.6,3490.5,776.1,725.8,3477.1,3481.9,389.5,581.8,414.5,505.9,250.8,244.7,3474.6,3477.1,573.0,447.4,625.4,1079.9,1179.7,485.3,3.0,-3.0,3.0,8667.0,10039.0,8455.0,4587.0,2.0,0.0,-11.0,3.0,-3.0,5.0,5858.0,3810.0,11100.0,9818.0,2.0,6.0,-5.0,1.0
2022-05-08 16:14:57.311043-07:00,825.2,942.4,1286.4,1023.7,716.7,456.1,1415.8,920.3,3471.0,3467.4,669.3,887.3,392.6,3500.2,776.1,725.8,3477.1,3481.9,381.7,579.4,414.5,505.9,248.5,247.0,3474.6,3477.1,576.2,449.0,625.4,1079.9,1170.9,483.0,2.0,0.0,3.0,8667.0,10039.0,8456.0,4587.0,-7.0,6.0,2.0,4.0,-1.0,7.0,5858.0,3810.0,11100.0,9818.0,-2.0,7.0,0.0,1.0
2022-05-08 16:14:57.312525-07:00,825.2,942.4,1282.8,1021.9,716.7,456.1,1399.4,920.3,3471.0,3467.4,662.7,889.8,392.6,3500.2,775.3,722.5,3480.7,3474.6,381.7,579.4,421.5,501.2,248.5,247.0,3483.2,3478.3,576.2,449.0,627.8,1079.9,1170.9,483.0,4.0,0.0,-2.0,8667.0,10039.0,8456.0,4587.0,-5.0,-3.0,-3.0,5.0,0.0,6.0,5858.0,3810.0,11100.0,9818.0,-4.0,-1.0,-1.0,1.0
2022-05-08 16:14:57.341301-07:00,821.9,933.9,1282.8,1021.9,714.2,458.5,1399.4,920.3,3471.0,3474.6,672.5,889.8,391.1,3500.2,775.3,722.5,3480.7,3474.6,386.4,581.8,421.5,501.2,244.7,247.7,3483.2,3478.3,577.8,449.8,627.8,1078.2,1167.4,480.6,-1.0,3.0,0.0,8669.0,10037.0,8455.0,4589.0,-10.0,2.0,-5.0,3.0,4.0,10.0,5859.0,3809.0,11097.0,9821.0,-16.0,-6.0,-3.0,1.0
2022-05-08 16:14:57.401489-07:00,821.9,933.9,1282.8,1025.4,714.2,460.0,1407.6,916.9,3471.0,3474.6,672.5,889.0,391.1,3500.2,774.5,724.1,3478.3,3469.8,387.2,581.8,416.8,501.2,244.7,247.7,3479.5,3467.4,577.8,449.8,624.6,1078.2,1167.4,480.6,-7.0,-5.0,6.0,8672.0,10033.0,8456.0,4590.0,-2.0,2.0,-11.0,0.0,-5.0,12.0,5860.0,3807.0,11094.0,9824.0,-2.0,5.0,-4.0,1.0
2022-05-08 16:14:57.460956-07:00,817.7,933.9,1287.3,1025.4,717.5,460.0,1407.6,916.9,3469.8,3483.2,671.7,889.0,388.7,3500.2,774.5,724.1,3478.3,3469.8,387.2,585.1,416.8,505.9,247.7,249.2,3479.5,3467.4,577.8,449.0,624.6,1081.6,1177.9,476.6,0.0,0.0,2.0,8672.0,10032.0,8457.0,4590.0,0.0,14.0,-1.0,2.0,-3.0,12.0,5860.0,3807.0,11094.0,9824.0,4.0,1.0,0.0,1.0
2022-05-08 16:14:57.490978-07:00,817.7,933.9,1287.3,1021.1,717.5,454.5,1415.8,926.2,3469.8,3483.2,671.7,884.8,388.7,3495.3,776.1,721.6,3477.1,3473.4,389.5,585.1,416.8,505.9,247.7,249.2,3484.4,3477.1,575.4,449.0,627.8,1081.6,1177.9,476.6,0.0,-1.0,0.0,8670.0,10033.0,8458.0,4590.0,-11.0,2.0,-2.0,3.0,-8.0,9.0,5860.0,3808.0,11096.0,9822.0,-2.0,3.0,0.0,1.0
