Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:14:57.025791-07:00,631.1,710.1,725.8,915.2,377.8,296.7,786.1,720.0,3464.9,3478.3,1195.6,717.5,537.0,3467.4,1200.9,790.2,3444.3,3445.5,356.1,313.6,325.9,324.4,279.0,257.6,3456.4,3458.9,502.8,387.2,418.4,819.4,607.6,416.8,-2.0,-5.0,1.0,9884.0,-10154.0,-3839.0,7274.0,3.0,0.0,-1.0,3.0,-3.0,0.0,8617.0,-12513.0,-2812.0,5451.0,3.0,0.0,0.0,1.0
2022-05-08 16:14:57.056490-07:00,637.6,712.6,725.8,915.2,379.4,296.7,786.1,720.0,3468.6,3463.7,1197.4,717.5,532.2,3467.4,1200.9,790.2,3444.3,3445.5,356.1,318.2,325.9,324.4,277.5,258.4,3456.4,3458.9,502.8,385.6,418.4,819.4,606.0,404.3,-4.0,-3.0,0.0,9884.0,-10154.0,-3839.0,7274.0,-3.0,3.0,1.0,-1.0,-4.0,-1.0,8617.0,-12513.0,-2812.0,5451.0,-1.0,-1.0,1.0,1.0
2022-05-08 16:14:57.176668-07:00,637.6,712.6,725.8,920.3,379.4,293.6,782.7,712.6,3468.6,3463.7,1197.4,728.2,532.2,3460.1,1189.4,797.7,3447.9,3449.1,362.3,318.2,326.7,324.4,277.5,258.4,3468.6,3458.9,498.8,385.6,416.1,819.4,606.0,404.3,-4.0,-5.0,-3.0,9884.0,-10154.0,-3839.0,7274.0,2.0,-6.0,-2.0,0.0,-2.0,0.0,8617.0,-12513.0,-2812.0,5451.0,-1.0,-6.0,-1.0,1.0
2022-05-08 16:14:57.206599-07:00,627.0,708.5,724.1,920.3,382.5,293.6,782.7,712.6,3471.0,3461.3,1198.2,728.2,537.0,3460.1,1189.4,797.7,3447.9,3449.1,362.3,319.7,326.7,324.4,276.7,263.0,3468.6,3458.9,498.8,385.6,416.1,820.2,625.4,411.4,-8.0,-3.0,-1.0,9884.0,-10154.0,-3839.0,7274.0,5.0,-4.0,-1.0,-1.0,-3.0,1.0,8617.0,-12512.0,-2811.0,5451.0,7.0,-3.0,-1.0,1.0
2022-05-08 16:14:57.207689-07:00,627.0,708.5,724.1,921.1,382.5,291.3,780.3,710.1,3471.0,3461.3,1198.2,720.0,537.0,3467.4,1189.4,791.0,3447.9,3449.1,361.5,319.7,325.9,324.4,276.7,263.0,3462.5,3461.3,502.8,385.6,417.6,820.2,625.4,411.4,-4.0,-1.0,0.0,9883.0,-10153.0,-3840.0,7275.0,5.0,-5.0,2.0,0.0,-6.0,1.0,8617.0,-12512.0,-2811.0,5451.0,6.0,0.0,0.0,1.0
2022-05-08 16:14:57.268720-07:00,627.0,712.6,724.1,921.1,387.2,291.3,780.3,710.1,3469.8,3466.1,1193.8,720.0,544.2,3467.4,1189.4,791.0,3447.9,3449.1,361.5,314.4,325.9,321.3,284.4,263.0,3462.5,3461.3,502.8,384.8,417.6,817.7,611.7,417.6,-3.0,-6.0,2.0,9883.0,-10153.0,-3840.0,7275.0,5.0,0.0,-2.0,3.0,-6.0,3.0,8617.0,-12512.0,-2811.0,5451.0,7.0,1.0,2.0,1.0
2022-05-08 16:14:57.296023-07:00,627.0,712.6,724.1,922.8,387.2,294.4,792.7,708.5,3469.8,3466.1,1193.8,718.4,544.2,3468.6,1186.7,795.2,3451.6,3439.5,362.3,314.4,322.1,321.3,284.4,263.0,3468.6,3463.7,495.6,384.8,417.6,817.7,611.7,417.6,-1.0,-4.0,-2.0,9884.0,-10152.0,-3839.0,7275.0,-6.0,1.0,-3.0,1.0,-2.0,0.0,8619.0,-12511.0,-2811.0,5452.0,-7.0,4.0,2.0,1.0
2022-05-08 16:14:57.355988-07:00,633.5,721.6,720.8,921.1,392.6,294.4,792.7,708.5,3469.8,3462.5,1196.5,722.5,541.8,3468.6,1186.7,795.2,3451.6,3439.5,362.3,312.8,332.1,324.4,279.8,256.1,3468.6,3463.7,495.6,389.5,418.4,823.5,611.7,416.1,-6.0,0.0,-2.0,9884.0,-10152.0,-3839.0,7275.0,3.0,3.0,0.0,0.0,-1.0,0.0,8619.0,-12511.0,-2811.0,5452.0,2.0,-2.0,2.0,1.0
2022-05-08 16:14:57.415886-07:00,633.5,721.6,720.8,921.1,383.3,292.1,786.1,715.9,3469.8,3462.5,1196.5,722.5,537.0,3467.4,1197.4,797.7,3451.6,3450.4,361.5,318.2,332.1,324.4,279.8,256.1,3471.0,3467.4,497.2,383.3,418.4,823.5,611.7,416.1,-4.0,-4.0,0.0,9884.0,-10152.0,-3839.0,7275.0,7.0,3.0,-4.0,-1.0,-4.0,1.0,8619.0,-12511.0,-2811.0,5452.0,3.0,0.0,0.0,1.0
2022-05-08 16:14:57.446141-07:00,634.3,712.6,724.9,920.3,383.3,292.1,786.1,715.9,3467.4,3478.3,1192.0,727.4,537.0,3467.4,1197.4,797.7,3451.6,3450.4,361.5,318.2,325.9,324.4,281.3,262.2,3471.0,3467.4,497.2,383.3,413.7,818.5,612.5,408.2,-6.0,-8.0,0.0,9884.0,-10152.0,-3839.0,7275.0,-3.0,-3.0,-3.0,0.0,-4.0,0.0,8619.0,-12511.0,-2811.0,5452.0,-3.0,-2.0,0.0,1.0
