Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:16:34.715816-07:00,818.5,933.9,1418.6,1095.6,720.8,449.0,1424.1,883.1,3468.6,3478.3,667.6,889.0,388.7,3501.4,785.2,720.0,3483.2,3483.2,384.8,587.5,405.1,514.7,240.9,237.8,3477.1,3480.7,580.2,431.7,619.7,1087.7,1241.7,460.8,1.0,0.0,-1.0,8794.0,10888.0,7430.0,4167.0,-10.0,0.0,-4.0,1.0,-1.0,1.0,5408.0,3464.0,11353.0,9914.0,-7.0,4.0,-1.0,1.0
2022-05-08 16:16:34.717363-07:00,818.5,930.5,1402.1,1092.9,720.8,449.0,1417.6,886.5,3468.6,3480.7,667.6,884.8,388.7,3501.4,780.3,723.3,3480.7,3481.9,384.8,587.5,404.3,515.5,238.6,237.8,3479.5,3483.2,580.2,431.7,639.2,1090.3,1247.1,460.8,-2.0,1.0,0.0,8794.0,10888.0,7430.0,4167.0,4.0,-6.0,0.0,0.0,-5.0,0.0,5408.0,3464.0,11353.0,9914.0,2.0,2.0,-1.0,1.0
2022-05-08 16:16:35.015644-07:00,812.7,928.8,1402.1,1092.9,718.4,453.7,1417.6,886.5,3478.3,3475.9,667.6,884.8,392.6,3502.7,780.3,723.3,3480.7,3481.9,385.6,581.8,404.3,515.5,241.6,238.6,3479.5,3483.2,585.1,427.8,639.2,1090.3,1241.7,462.4,4.0,1.0,1.0,8794.0,10888.0,7430.0,4167.0,4.0,-3.0,1.0,2.0,-3.0,2.0,5408.0,3464.0,11353.0,9914.0,2.0,2.0,1.0,1.0
2022-05-08 16:16:35.075778-07:00,812.7,928.8,1395.7,1091.2,718.4,453.7,1405.8,877.2,3478.3,3475.9,665.2,884.8,392.6,3502.7,783.6,719.2,3474.6,3483.2,385.6,581.8,411.4,515.5,241.6,238.6,3475.9,3483.2,585.1,427.8,617.3,1086.0,1241.7,462.4,0.0,1.0,-2.0,8794.0,10888.0,7430.0,4167.0,2.0,-7.0,-1.0,1.0,-6.0,0.0,5408.0,3464.0,11353.0,9914.0,0.0,-3.0,1.0,1.0
2022-05-08 16:16:35.077201-07:00,813.5,933.9,1395.7,1091.2,729.0,448.2,1405.8,877.2,3478.3,3483.2,665.2,884.8,387.9,3491.7,783.6,719.2,3474.6,3483.2,387.9,589.9,411.4,515.5,247.7,244.7,3475.9,3483.2,581.8,429.4,617.3,1086.0,1247.1,464.8,1.0,-1.0,0.0,8794.0,10888.0,7430.0,4167.0,9.0,-8.0,3.0,2.0,-2.0,2.0,5408.0,3464.0,11353.0,9914.0,5.0,3.0,0.0,1.0
2022-05-08 16:16:35.077783-07:00,813.5,933.9,1396.7,1095.6,729.0,448.2,1417.6,882.3,3478.3,3483.2,669.3,884.8,387.9,3491.7,782.7,718.4,3474.6,3478.3,387.9,589.9,403.5,510.7,247.7,244.7,3472.2,3472.2,581.8,429.4,618.1,1085.1,1247.1,464.8,1.0,2.0,0.0,8794.0,10888.0,7430.0,4167.0,7.0,-6.0,-2.0,1.0,-5.0,0.0,5408.0,3464.0,11353.0,9914.0,6.0,3.0,-4.0,1.0
2022-05-08 16:16:35.079388-07:00,811.9,932.2,1396.7,1095.6,716.7,450.6,1417.6,882.3,3480.7,3473.4,669.3,884.8,389.5,3492.9,782.7,718.4,3474.6,3478.3,386.4,581.8,403.5,510.7,240.9,238.6,3472.2,3472.2,583.5,429.4,618.1,1085.1,1243.5,464.0,-1.0,0.0,1.0,8794.0,10888.0,7430.0,4167.0,6.0,-4.0,1.0,1.0,-1.0,1.0,5408.0,3464.0,11353.0,9914.0,5.0,4.0,-1.0,1.0
2022-05-08 16:16:35.079987-07:00,811.9,932.2,1395.7,1094.7,716.7,449.0,1426.8,882.3,3480.7,3473.4,666.0,884.8,389.5,3503.9,781.1,720.8,3472.2,3478.3,386.4,581.8,407.5,510.7,240.9,238.6,3480.7,3477.1,581.8,429.4,619.7,1102.5,1243.5,464.0,-2.0,0.0,-4.0,8793.0,10888.0,7430.0,4166.0,-5.0,2.0,1.0,1.0,-5.0,0.0,5408.0,3464.0,11353.0,9914.0,-3.0,-1.0,0.0,1.0
2022-05-08 16:16:35.166542-07:00,816.9,933.9,1396.7,1090.3,722.5,446.7,1420.4,885.6,3472.2,3469.8,669.3,886.5,387.9,3494.1,781.1,718.4,3481.9,3481.9,386.4,585.1,403.5,509.9,241.6,242.4,3481.9,3481.9,584.3,427.8,622.2,1088.6,1245.3,466.4,0.0,0.0,1.0,8794.0,10889.0,7429.0,4165.0,-6.0,3.0,2.0,1.0,-3.0,3.0,5408.0,3464.0,11353.0,9914.0,-7.0,-5.0,1.0,1.0
2022-05-08 16:16:35.168393-07:00,811.0,936.4,1393.9,1090.3,720.8,446.7,1420.4,885.6,3469.8,3472.2,668.4,886.5,384.0,3494.1,781.1,718.4,3481.9,3481.9,386.4,585.1,403.5,513.1,239.3,242.4,3481.9,3481.9,584.3,430.9,622.2,1090.3,1239.9,468.7,1.0,1.0,-3.0,8794.0,10889.0,7429.0,4165.0,-2.0,-1.0,1.0,1.0,-3.0,-4.0,5408.0,3464.0,11353.0,9914.0,-1.0,-1.0,2.0,1.0
