Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:24:43.901623-07:00,797.7,868.8,1195.6,968.8,659.5,453.7,1260.4,805.2,3478.3,3473.4,637.6,1167.4,466.4,3496.6,908.4,916.9,3477.1,3478.3,376.3,569.8,397.3,490.1,262.2,263.7,3480.7,3477.1,578.6,454.5,663.6,1098.2,1323.2,464.0,1.0,-6.0,-1.0,10032.0,12516.0,3244.0,790.0,4.0,-2.0,-5.0,1.0,-9.0,-5.0,4945.0,2867.0,11326.0,10367.0,-1.0,-1.0,-7.0,1.0
2022-05-08 16:24:44.021440-07:00,797.7,868.8,1195.6,968.8,654.6,448.2,1276.5,807.7,3478.3,3473.4,637.6,1167.4,463.2,3497.8,914.4,919.4,3481.9,3488.0,372.4,569.0,397.3,490.1,262.2,263.7,3479.5,3480.7,574.6,446.7,663.6,1098.2,1323.2,464.0,2.0,-10.0,0.0,10032.0,12516.0,3244.0,790.0,4.0,-5.0,-4.0,1.0,-2.0,-3.0,4945.0,2867.0,11326.0,10367.0,-4.0,-3.0,-2.0,1.0
2022-05-08 16:24:44.292330-07:00,801.9,864.6,1194.7,973.1,654.6,448.2,1276.5,807.7,3475.9,3467.4,634.3,1173.5,463.2,3497.8,914.4,919.4,3481.9,3488.0,372.4,569.0,402.0,490.1,261.4,266.8,3479.5,3480.7,574.6,446.7,658.7,1094.7,1330.5,467.9,-1.0,-2.0,0.0,10032.0,12516.0,3243.0,791.0,-4.0,-1.0,11.0,0.0,-2.0,-3.0,4945.0,2867.0,11326.0,10367.0,-2.0,3.0,7.0,1.0
2022-05-08 16:24:44.293376-07:00,801.9,864.6,1194.7,973.1,658.7,447.4,1256.9,808.5,3475.9,3467.4,634.3,1173.5,467.9,3491.7,910.1,917.7,3478.3,3483.2,372.4,573.8,402.0,490.1,261.4,266.8,3475.9,3484.4,572.2,447.4,658.7,1094.7,1330.5,467.9,3.0,-3.0,0.0,10032.0,12516.0,3243.0,791.0,-7.0,3.0,-3.0,2.0,-1.0,-4.0,4945.0,2867.0,11326.0,10367.0,-7.0,-2.0,-1.0,1.0
2022-05-08 16:24:44.294301-07:00,800.2,867.9,1197.4,973.1,658.7,447.4,1256.9,808.5,3480.7,3478.3,632.7,1176.2,467.9,3491.7,910.1,917.7,3478.3,3483.2,372.4,573.8,398.9,486.1,263.0,264.5,3475.9,3484.4,572.2,447.4,661.1,1106.9,1315.1,465.6,3.0,-6.0,1.0,10032.0,12516.0,3242.0,790.0,6.0,-1.0,3.0,0.0,-4.0,-5.0,4945.0,2867.0,11326.0,10367.0,-4.0,-1.0,2.0,1.0
2022-05-08 16:24:44.295381-07:00,800.2,867.9,1197.4,973.1,661.9,453.7,1252.4,804.4,3480.7,3478.3,632.7,1176.2,465.6,3500.2,911.8,916.0,3485.6,3477.1,376.3,569.0,398.9,486.1,263.0,264.5,3478.3,3479.5,576.2,449.0,661.1,1106.9,1315.1,465.6,4.0,-3.0,2.0,10032.0,12516.0,3242.0,790.0,-3.0,-3.0,6.0,1.0,-4.0,-2.0,4946.0,2866.0,11325.0,10369.0,-5.0,-3.0,7.0,1.0
2022-05-08 16:24:44.351572-07:00,794.4,865.4,1200.0,973.9,661.9,453.7,1252.4,805.2,3477.1,3478.3,636.7,1170.0,465.6,3500.2,911.8,915.2,3477.1,3477.1,376.3,569.0,395.0,490.1,267.6,263.0,3478.3,3479.5,576.2,449.0,656.2,1098.2,1327.8,460.8,2.0,-4.0,5.0,10032.0,12516.0,3243.0,791.0,4.0,10.0,-5.0,0.0,-6.0,-1.0,4946.0,2866.0,11325.0,10369.0,3.0,8.0,-3.0,1.0
2022-05-08 16:24:44.352519-07:00,801.0,869.6,1199.1,966.2,657.9,450.6,1252.4,801.9,3472.2,3471.0,635.9,1163.8,465.6,3495.3,912.7,915.2,3474.6,3484.4,373.2,569.8,397.3,486.1,270.6,265.3,3479.5,3475.9,577.8,448.2,673.3,1098.2,1327.8,463.2,1.0,-7.0,4.0,10032.0,12516.0,3245.0,792.0,6.0,-5.0,0.0,0.0,-6.0,-2.0,4946.0,2866.0,11325.0,10369.0,0.0,-3.0,-3.0,1.0
2022-05-08 16:24:44.411486-07:00,801.0,867.1,1193.8,967.9,657.9,450.6,1252.4,801.0,3472.2,3467.4,638.4,1168.2,465.6,3495.3,912.7,916.0,3480.7,3484.4,373.2,569.8,398.9,487.7,265.3,265.3,3475.9,3475.9,577.8,448.2,659.5,1099.9,1324.1,463.2,0.0,-6.0,0.0,10030.0,12517.0,3245.0,792.0,6.0,1.0,-2.0,0.0,-5.0,-1.0,4946.0,2866.0,11325.0,10369.0,-1.0,-1.0,-2.0,1.0
2022-05-08 16:24:44.561251-07:00,796.9,867.1,1193.8,967.9,656.2,448.2,1257.8,801.0,3467.4,3467.4,638.4,1168.2,460.8,3502.7,911.8,916.0,3480.7,3483.2,377.8,569.0,398.9,487.7,265.3,266.0,3475.9,3477.1,575.4,449.8,659.5,1099.9,1324.1,459.3,1.0,-7.0,-1.0,10030.0,12517.0,3245.0,792.0,-6.0,2.0,2.0,2.0,-5.0,-5.0,4946.0,2867.0,11325.0,10369.0,-3.0,-5.0,0.0,1.0
