Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:24:43.946748-07:00,634.3,687.2,720.8,897.4,349.1,301.3,781.1,679.1,3464.9,3464.9,1057.3,705.2,525.0,3474.6,1140.1,776.1,3439.5,3449.1,358.4,311.3,317.4,311.3,276.7,251.5,3452.8,3464.9,481.4,391.8,435.7,840.3,653.0,430.9,0.0,4.0,-1.0,6049.0,-7256.0,-8995.0,9913.0,-1.0,14.0,-7.0,-1.0,2.0,1.0,6651.0,-12264.0,-5703.0,6424.0,2.0,4.0,1.0,1.0
2022-05-08 16:24:43.976519-07:00,634.3,687.2,720.8,897.4,351.4,307.4,781.1,679.9,3464.9,3464.9,1057.3,705.2,526.6,3469.8,1142.7,774.5,3446.7,3438.2,352.2,311.3,317.4,311.3,276.7,251.5,3460.1,3457.6,487.7,395.0,435.7,840.3,653.0,430.9,-1.0,-5.0,-1.0,6052.0,-7260.0,-8994.0,9910.0,-6.0,10.0,1.0,0.0,-2.0,1.0,6650.0,-12265.0,-5703.0,6422.0,-10.0,4.0,0.0,1.0
2022-05-08 16:24:44.006646-07:00,615.7,684.8,728.2,889.0,351.4,307.4,781.1,679.9,3468.6,3469.8,1050.4,701.1,526.6,3469.8,1142.7,774.5,3446.7,3438.2,352.2,311.3,321.3,305.1,282.1,250.0,3460.1,3457.6,487.7,395.0,436.4,845.3,653.0,439.6,1.0,5.0,2.0,6052.0,-7260.0,-8994.0,9910.0,1.0,4.0,-3.0,-1.0,0.0,0.0,6650.0,-12265.0,-5703.0,6422.0,8.0,-3.0,3.0,1.0
2022-05-08 16:24:44.067342-07:00,615.7,684.8,728.2,889.0,347.6,295.1,782.7,681.5,3468.6,3469.8,1050.4,701.1,521.0,3469.8,1138.4,775.3,3445.5,3447.9,345.2,306.7,321.3,305.1,282.1,250.0,3463.7,3463.7,483.7,391.1,436.4,845.3,653.0,439.6,-1.0,-6.0,0.0,6052.0,-7261.0,-8996.0,9908.0,-11.0,-2.0,-2.0,-1.0,-7.0,0.0,6648.0,-12267.0,-5705.0,6421.0,-11.0,0.0,0.0,1.0
2022-05-08 16:24:44.127217-07:00,614.1,684.8,726.6,887.3,347.6,295.1,782.7,677.4,3478.3,3468.6,1047.0,698.7,521.0,3469.8,1138.4,772.8,3445.5,3447.9,345.2,306.7,321.3,305.9,274.4,253.8,3447.9,3463.7,483.7,391.1,438.8,837.7,655.4,438.0,-1.0,2.0,3.0,6051.0,-7261.0,-8996.0,9908.0,-14.0,2.0,6.0,0.0,-1.0,2.0,6647.0,-12267.0,-5705.0,6421.0,-5.0,1.0,5.0,1.0
2022-05-08 16:24:44.216622-07:00,619.7,684.8,726.6,887.3,349.9,294.4,787.7,677.4,3473.4,3468.6,1047.0,698.7,526.6,3466.1,1143.6,772.8,3445.5,3449.1,353.7,312.0,321.3,305.9,274.4,250.8,3447.9,3457.6,482.2,394.2,438.8,837.7,655.4,438.0,-2.0,-1.0,3.0,6052.0,-7265.0,-8997.0,9904.0,-10.0,10.0,-3.0,-1.0,-2.0,3.0,6644.0,-12269.0,-5707.0,6419.0,-9.0,2.0,1.0,1.0
2022-05-08 16:24:44.217576-07:00,619.7,686.4,723.3,905.0,349.9,294.4,787.7,678.2,3473.4,3468.6,1056.5,699.5,526.6,3466.1,1143.6,778.6,3446.7,3449.1,353.7,312.0,311.3,305.1,276.0,250.8,3464.9,3457.6,482.2,394.2,445.9,837.7,646.5,438.0,0.0,0.0,0.0,6051.0,-7267.0,-8998.0,9901.0,-2.0,9.0,1.0,0.0,5.0,-2.0,6641.0,-12270.0,-5708.0,6418.0,-5.0,1.0,0.0,1.0
2022-05-08 16:24:44.276501-07:00,616.5,686.4,723.3,905.0,345.2,299.7,785.2,678.2,3469.8,3468.6,1056.5,699.5,527.4,3473.4,1139.2,778.6,3446.7,3450.4,353.0,309.0,311.3,305.1,276.0,249.2,3464.9,3468.6,478.2,395.7,445.9,837.7,646.5,434.1,-2.0,2.0,-1.0,6051.0,-7267.0,-8998.0,9901.0,-3.0,2.0,-1.0,-2.0,0.0,-2.0,6641.0,-12270.0,-5708.0,6418.0,-1.0,-1.0,-2.0,1.0
2022-05-08 16:24:44.336637-07:00,616.5,684.0,722.5,892.4,345.2,299.7,785.2,683.1,3469.8,3463.7,1052.2,700.3,527.4,3473.4,1139.2,773.6,3443.1,3450.4,353.0,309.0,319.7,307.4,281.3,249.2,3473.4,3468.6,478.2,395.7,438.0,838.6,655.4,434.1,0.0,1.0,2.0,6051.0,-7267.0,-8998.0,9901.0,1.0,9.0,2.0,-1.0,-1.0,2.0,6641.0,-12270.0,-5708.0,6418.0,3.0,1.0,2.0,1.0
2022-05-08 16:24:44.486315-07:00,616.5,684.0,722.5,892.4,349.1,299.7,782.7,683.1,3473.4,3463.7,1052.2,700.3,520.3,3478.3,1142.7,773.6,3443.1,3447.9,349.9,307.4,319.7,307.4,281.3,253.1,3473.4,3468.6,481.4,396.5,438.0,838.6,655.4,442.7,1.0,0.0,2.0,6051.0,-7267.0,-8998.0,9901.0,2.0,3.0,-1.0,0.0,-2.0,1.0,6641.0,-12270.0,-5708.0,6418.0,4.0,-1.0,0.0,1.0
2022-05-08 16:24:44.517054-07:00,616.5,692.9,720.0,889.0,349.1,299.7,776.1,679.9,3473.4,3472.2,1048.7,698.7,520.3,3478.3,1132.2,777.8,3449.1,3444.3,349.9,307.4,321.3,305.1,276.0,253.1,3461.3,3460.1,481.4,396.5,438.0,842.8,654.6,442.7,-3.0,0.0,-1.0,6051.0,-7267.0,-8998.0,9901.0,1.0,1.0,-1.0,0.0,3.0,0.0,6641.0,-12270.0,-5708.0,6418.0,3.0,0.0,-1.0,1.0
2022-05-08 16:24:44.637390-07:00,621.4,679.1,720.0,889.0,350.6,299.0,776.1,679.9,3474.6,3467.4,1048.7,698.7,527.4,3473.4,1132.2,777.8,3449.1,3444.3,356.1,307.4,321.3,305.1,279.8,248.5,3461.3,3460.1,480.6,392.6,438.0,842.8,656.2,435.7,-3.0,-1.0,2.0,6051.0,-7267.0,-8998.0,9901.0,-3.0,-5.0,4.0,0.0,-8.0,3.0,6641.0,-12270.0,-5708.0,6418.0,0.0,-3.0,-1.0,1.0
2022-05-08 16:24:44.638245-07:00,621.4,679.1,721.6,884.8,350.6,299.0,782.7,678.2,3474.6,3467.4,1051.3,701.9,527.4,3473.4,1138.4,772.8,3441.9,3451.6,356.1,307.4,316.7,303.6,279.8,248.5,3458.9,3463.7,480.6,392.6,438.0,838.6,656.2,435.7,1.0,-1.0,0.0,6051.0,-7267.0,-8998.0,9901.0,-2.0,6.0,0.0,1.0,0.0,1.0,6641.0,-12270.0,-5708.0,6418.0,-8.0,-1.0,0.0,1.0
2022-05-08 16:24:44.639430-07:00,619.7,686.4,721.6,884.8,353.7,299.7,782.7,678.2,3468.6,3473.4,1051.3,701.9,528.2,3473.4,1138.4,772.8,3441.9,3451.6,358.4,307.4,316.7,303.6,282.1,249.2,3458.9,3463.7,483.0,391.1,438.0,838.6,656.2,438.8,-2.0,-3.0,0.0,6051.0,-7267.0,-8998.0,9901.0,-5.0,10.0,1.0,0.0,-2.0,0.0,6641.0,-12270.0,-5708.0,6418.0,-5.0,1.0,2.0,1.0
2022-05-08 16:24:44.640705-07:00,619.7,686.4,715.1,888.2,353.7,299.7,785.2,677.4,3468.6,3473.4,1053.0,702.8,528.2,3473.4,1143.6,778.6,3440.7,3443.1,358.4,307.4,317.4,305.1,282.1,249.2,3457.6,3461.3,483.0,391.1,437.2,841.9,656.2,438.8,0.0,0.0,1.0,6052.0,-7268.0,-8998.0,9901.0,2.0,-2.0,4.0,0.0,-2.0,7.0,6641.0,-12270.0,-5708.0,6418.0,-1.0,-2.0,1.0,1.0
2022-05-08 16:24:44.697139-07:00,624.6,679.1,715.1,888.2,347.6,299.0,785.2,677.4,3472.2,3478.3,1053.0,702.8,521.8,3467.4,1143.6,778.6,3440.7,3443.1,354.5,309.7,317.4,305.1,276.7,244.7,3457.6,3461.3,478.2,394.2,437.2,841.9,650.5,434.1,-1.0,0.0,4.0,6052.0,-7267.0,-8998.0,9901.0,-7.0,7.0,-12.0,-3.0,-2.0,-1.0,6641.0,-12270.0,-5708.0,6418.0,-6.0,0.0,-4.0,1.0
2022-05-08 16:24:44.726963-07:00,624.6,679.1,721.6,889.0,347.6,299.0,781.1,688.0,3472.2,3478.3,1056.5,703.6,521.8,3467.4,1144.5,772.8,3431.0,3441.9,354.5,309.7,319.0,304.3,276.7,244.7,3458.9,3461.3,478.2,394.2,441.9,841.9,650.5,434.1,1.0,0.0,4.0,6054.0,-7267.0,-8998.0,9900.0,-8.0,16.0,5.0,1.0,0.0,0.0,6641.0,-12270.0,-5708.0,6418.0,-11.0,9.0,6.0,1.0
2022-05-08 16:24:44.756597-07:00,618.1,679.1,722.5,889.0,350.6,297.4,781.1,688.0,3462.5,3475.9,1059.9,703.6,521.0,3467.4,1144.5,772.8,3431.0,3441.9,348.3,312.0,319.0,309.7,272.1,252.3,3458.9,3461.3,475.0,395.7,441.9,837.7,651.4,438.0,0.0,1.0,-2.0,6057.0,-7271.0,-8996.0,9897.0,1.0,9.0,-6.0,-1.0,-2.0,-2.0,6640.0,-12271.0,-5709.0,6418.0,0.0,4.0,2.0,1.0
