Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:26:27.039917-07:00,796.9,852.0,1170.9,961.1,648.1,449.8,1256.9,816.9,3477.1,3473.4,655.4,1117.4,455.3,3499.0,922.8,829.4,3475.9,3477.1,375.5,569.0,395.0,486.1,250.8,244.7,3472.2,3483.2,578.6,444.3,653.8,1083.4,1290.9,480.6,-10.0,-22.0,1.0,9959.0,12669.0,2955.0,-42.0,66.0,-99.0,56.0,-4.0,-7.0,4.0,5426.0,3090.0,11149.0,10254.0,65.0,60.0,20.0,1.0
2022-05-08 16:26:27.042351-07:00,796.9,852.0,1170.9,962.0,648.1,447.4,1247.1,818.5,3477.1,3473.4,655.4,1113.9,455.3,3501.4,918.6,831.9,3478.3,3478.3,373.2,569.0,396.5,486.1,250.8,244.7,3481.9,3486.8,576.2,444.3,654.6,1083.4,1290.9,480.6,12.0,7.0,3.0,9950.0,12684.0,2923.0,-53.0,13.0,-44.0,27.0,6.0,-2.0,-1.0,5405.0,3091.0,11167.0,10245.0,30.0,35.0,14.0,1.0
2022-05-08 16:26:27.100253-07:00,796.9,850.3,1170.9,962.0,649.7,447.4,1247.1,818.5,3473.4,3477.1,654.6,1113.9,454.5,3501.4,918.6,831.9,3478.3,3478.3,373.2,569.8,396.5,486.1,245.4,245.4,3481.9,3486.8,576.2,447.4,654.6,1079.9,1294.5,459.3,15.0,3.0,-12.0,9937.0,12697.0,2913.0,-69.0,45.0,-34.0,-11.0,8.0,4.0,-14.0,5400.0,3091.0,11182.0,10231.0,44.0,1.0,-19.0,1.0
2022-05-08 16:26:27.129674-07:00,796.9,850.3,1170.9,960.2,649.7,450.6,1243.5,821.0,3473.4,3477.1,654.6,1118.2,454.5,3491.7,920.3,829.4,3472.2,3474.6,376.3,569.8,396.5,486.1,245.4,245.4,3472.2,3473.4,577.8,447.4,654.6,1079.9,1294.5,459.3,2.0,-20.0,-19.0,9945.0,12691.0,2908.0,-81.0,-39.0,-39.0,-5.0,-4.0,-11.0,-18.0,5418.0,3094.0,11175.0,10229.0,-31.0,-59.0,-14.0,1.0
2022-05-08 16:26:27.250355-07:00,796.9,842.8,1164.7,960.2,653.0,450.6,1243.5,821.0,3472.2,3478.3,657.0,1118.2,451.4,3491.7,920.3,829.4,3472.2,3474.6,376.3,567.4,396.5,488.5,248.5,247.0,3472.2,3473.4,577.8,443.5,654.6,1084.2,1296.3,459.3,-15.0,-9.0,-6.0,9960.0,12683.0,2896.0,-97.0,-66.0,-100.0,5.0,-15.0,-5.0,-2.0,5442.0,3107.0,11151.0,10239.0,-62.0,-74.0,11.0,1.0
2022-05-08 16:26:27.309664-07:00,796.9,842.8,1164.7,960.2,653.0,445.1,1248.0,817.7,3472.2,3478.3,657.0,1117.4,451.4,3500.2,914.4,835.2,3480.7,3473.4,377.0,567.4,398.1,488.5,248.5,247.0,3478.3,3472.2,569.0,443.5,653.8,1084.2,1296.3,459.3,-11.0,-3.0,21.0,9989.0,12666.0,2867.0,-125.0,-79.0,-58.0,13.0,-17.0,-4.0,6.0,5466.0,3123.0,11120.0,10255.0,-76.0,-75.0,18.0,1.0
2022-05-08 16:26:27.310597-07:00,793.5,849.5,1173.5,957.7,653.8,445.1,1248.0,817.7,3478.3,3467.4,653.0,1119.1,456.1,3500.2,914.4,835.2,3480.7,3473.4,377.0,569.8,401.2,486.1,243.9,247.7,3478.3,3472.2,569.0,445.1,653.0,1079.9,1292.7,460.8,9.0,2.0,40.0,10014.0,12648.0,2855.0,-126.0,-25.0,21.0,7.0,11.0,-14.0,13.0,5474.0,3132.0,11098.0,10270.0,-22.0,-4.0,25.0,1.0
2022-05-08 16:26:27.339766-07:00,793.5,849.5,1173.5,957.7,654.6,445.1,1238.2,814.4,3478.3,3467.4,653.0,1119.1,454.5,3494.1,918.6,832.7,3472.2,3474.6,372.4,575.4,401.2,486.1,243.9,247.7,3478.3,3471.0,574.6,449.0,653.0,1079.9,1292.7,460.8,24.0,7.0,16.0,10025.0,12639.0,2863.0,-109.0,-1.0,81.0,-21.0,14.0,3.0,-5.0,5462.0,3127.0,11102.0,10275.0,4.0,49.0,7.0,1.0
2022-05-08 16:26:27.430335-07:00,797.7,842.8,1168.2,962.0,654.6,445.1,1238.2,814.4,3472.2,3478.3,648.9,1123.5,454.5,3494.1,918.6,832.7,3472.2,3474.6,372.4,575.4,391.8,486.1,240.9,243.9,3478.3,3471.0,574.6,449.0,653.0,1079.9,1286.4,454.5,17.0,4.0,-11.0,10020.0,12636.0,2890.0,-82.0,-25.0,68.0,-25.0,14.0,3.0,-11.0,5452.0,3115.0,11104.0,10282.0,-25.0,28.0,-4.0,1.0
2022-05-08 16:26:27.431532-07:00,797.7,842.8,1168.2,962.0,652.2,451.4,1248.0,816.9,3472.2,3478.3,648.9,1123.5,454.5,3489.2,922.8,831.9,3472.2,3483.2,378.6,568.2,391.8,486.1,240.9,243.9,3469.8,3484.4,567.4,444.3,653.0,1079.9,1286.4,454.5,14.0,-8.0,-24.0,10019.0,12633.0,2908.0,-67.0,-17.0,-4.0,-16.0,7.0,-5.0,-14.0,5449.0,3112.0,11100.0,10288.0,-20.0,-7.0,3.0,1.0
2022-05-08 16:26:27.489809-07:00,790.2,845.3,1165.6,962.0,652.2,451.4,1248.0,816.9,3473.4,3477.1,657.0,1114.7,454.5,3489.2,922.8,831.9,3472.2,3483.2,378.6,568.2,394.2,485.3,249.2,243.9,3469.8,3484.4,567.4,444.3,651.4,1079.0,1296.3,460.8,-15.0,-13.0,-11.0,10024.0,12630.0,2907.0,-75.0,-47.0,-54.0,-3.0,-13.0,-6.0,-4.0,5462.0,3116.0,11087.0,10294.0,-48.0,-49.0,2.0,1.0
2022-05-08 16:26:27.549698-07:00,790.2,845.3,1165.6,962.0,654.6,452.2,1246.2,814.4,3473.4,3477.1,657.0,1114.7,456.9,3486.8,920.3,830.2,3473.4,3477.1,370.0,569.0,394.2,485.3,249.2,243.9,3481.9,3480.7,573.0,443.5,651.4,1079.0,1296.3,460.8,-12.0,-5.0,20.0,10042.0,12619.0,2888.0,-95.0,-31.0,-68.0,20.0,-9.0,-8.0,10.0,5477.0,3123.0,11069.0,10304.0,-34.0,-30.0,15.0,1.0
2022-05-08 16:26:27.639806-07:00,790.2,845.3,1169.1,963.7,654.6,452.2,1246.2,812.7,3475.9,3472.2,653.0,1120.0,456.9,3486.8,920.3,829.4,3467.4,3477.1,370.0,569.0,397.3,494.0,242.4,247.7,3480.7,3480.7,573.0,443.5,653.0,1079.0,1292.7,456.9,0.0,2.0,35.0,10051.0,12615.0,2876.0,-104.0,7.0,14.0,-8.0,4.0,-5.0,14.0,5479.0,3124.0,11063.0,10308.0,2.0,15.0,1.0,1.0
2022-05-08 16:26:27.641878-07:00,795.2,845.3,1169.1,963.7,654.6,442.7,1243.5,812.7,3472.2,3472.2,653.0,1120.0,456.1,3490.5,921.1,829.4,3467.4,3478.3,372.4,573.0,397.3,494.0,242.4,246.2,3480.7,3484.4,571.4,444.3,653.0,1079.0,1292.7,461.6,7.0,-5.0,11.0,10050.0,12613.0,2885.0,-90.0,28.0,68.0,-4.0,10.0,-4.0,2.0,5469.0,3118.0,11069.0,10309.0,18.0,40.0,-1.0,1.0
2022-05-08 16:26:27.729598-07:00,795.2,847.0,1170.0,967.9,654.6,442.7,1243.5,815.2,3472.2,3477.1,658.7,1118.2,456.1,3490.5,921.1,836.1,3472.2,3478.3,372.4,573.0,395.0,483.0,248.5,246.2,3485.6,3484.4,571.4,444.3,654.6,1084.2,1298.1,461.6,9.0,-12.0,-15.0,10040.0,12618.0,2901.0,-73.0,14.0,43.0,-20.0,4.0,-8.0,-20.0,5455.0,3109.0,11080.0,10308.0,9.0,36.0,-3.0,1.0
2022-05-08 16:26:27.789317-07:00,798.5,847.0,1170.0,967.9,655.4,445.9,1248.0,815.2,3485.6,3477.1,658.7,1118.2,453.0,3497.8,921.1,836.1,3472.2,3484.4,377.8,573.0,395.0,483.0,248.5,248.5,3485.6,3478.3,569.0,446.7,654.6,1084.2,1298.1,463.2,0.0,-10.0,-14.0,10035.0,12620.0,2910.0,-65.0,-40.0,-17.0,15.0,-3.0,-7.0,-13.0,5447.0,3105.0,11083.0,10311.0,-38.0,0.0,18.0,1.0
2022-05-08 16:26:27.790862-07:00,798.5,846.1,1172.6,956.0,655.4,445.9,1248.0,816.9,3485.6,3466.1,658.7,1120.9,453.0,3497.8,921.1,829.4,3478.3,3484.4,377.8,573.0,395.0,489.3,242.4,248.5,3481.9,3478.3,569.0,446.7,649.7,1076.4,1292.7,463.2,2.0,1.0,6.0,10050.0,12610.0,2900.0,-68.0,-38.0,-29.0,4.0,2.0,1.0,3.0,5447.0,3105.0,11069.0,10325.0,-43.0,-24.0,7.0,1.0
2022-05-08 16:26:27.879807-07:00,791.0,846.1,1172.6,956.0,647.3,449.0,1244.4,816.9,3474.6,3466.1,658.7,1120.9,452.2,3503.9,918.6,829.4,3478.3,3479.5,374.7,569.8,395.0,489.3,242.4,243.2,3481.9,3492.9,581.0,441.9,649.7,1076.4,1292.7,455.3,4.0,-2.0,17.0,10065.0,12600.0,2895.0,-72.0,-20.0,-15.0,2.0,7.0,-5.0,9.0,5455.0,3104.0,11056.0,10335.0,-23.0,-5.0,-6.0,1.0
