Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:28:00.783944-07:00,633.5,716.7,631.9,886.5,349.1,285.2,844.4,688.0,3467.4,3468.6,1385.7,720.8,597.1,3473.4,1093.8,770.3,3449.1,3440.7,355.3,307.4,321.3,306.7,305.9,238.6,3468.6,3468.6,488.5,409.0,439.6,813.5,606.0,458.5,-2.0,0.0,5.0,4767.0,-6933.0,-10328.0,9538.0,-5.0,10.0,0.0,-3.0,-2.0,7.0,5172.0,-12187.0,-7288.0,6329.0,-4.0,8.0,7.0,1.0
2022-05-08 16:28:00.813323-07:00,633.5,716.7,631.9,884.8,349.1,285.9,837.7,683.1,3467.4,3468.6,1385.7,720.8,597.1,3466.1,1096.4,779.4,3445.5,3450.4,350.6,307.4,320.5,306.7,305.9,238.6,3471.0,3464.9,487.7,409.0,438.0,813.5,606.0,458.5,4.0,2.0,-1.0,4769.0,-6933.0,-10330.0,9535.0,-13.0,18.0,-17.0,0.0,-2.0,0.0,5172.0,-12188.0,-7288.0,6326.0,-22.0,15.0,-6.0,1.0
2022-05-08 16:28:00.875145-07:00,633.5,708.5,634.3,884.8,346.8,285.9,837.7,683.1,3478.3,3464.9,1386.6,720.8,595.5,3466.1,1096.4,779.4,3445.5,3450.4,350.6,309.0,320.5,305.9,302.8,242.4,3471.0,3464.9,487.7,411.4,438.0,818.5,604.4,460.0,-3.0,0.0,-1.0,4771.0,-6933.0,-10332.0,9532.0,1.0,-8.0,4.0,-6.0,-6.0,-1.0,5170.0,-12191.0,-7288.0,6322.0,-2.0,-5.0,-1.0,1.0
2022-05-08 16:28:00.903738-07:00,632.7,712.6,633.5,897.4,346.8,287.5,841.9,682.3,3463.7,3475.9,1384.8,720.0,593.1,3468.6,1096.4,779.4,3443.1,3454.0,351.4,309.7,313.6,305.9,304.3,243.9,3468.6,3469.8,487.7,412.1,431.7,807.7,611.7,454.5,0.0,5.0,0.0,4771.0,-6924.0,-10335.0,9535.0,-5.0,-12.0,6.0,-4.0,2.0,2.0,5170.0,-12189.0,-7293.0,6321.0,-5.0,-8.0,4.0,1.0
2022-05-08 16:28:01.173429-07:00,634.3,712.6,633.5,897.4,349.9,293.6,839.4,682.3,3464.9,3475.9,1384.8,720.0,598.7,3463.7,1090.3,779.4,3443.1,3449.1,355.3,311.3,313.6,305.9,304.3,242.4,3468.6,3461.3,486.9,414.5,431.7,807.7,611.7,456.1,-17.0,0.0,4.0,4769.0,-6925.0,-10334.0,9536.0,-6.0,-4.0,17.0,-11.0,-2.0,14.0,5169.0,-12190.0,-7292.0,6321.0,0.0,0.0,10.0,1.0
2022-05-08 16:28:03.902955-07:00,633.5,710.1,634.3,896.6,348.3,288.2,842.8,685.6,3478.3,3463.7,1381.2,719.2,602.0,3464.9,1090.3,776.9,3451.6,3443.1,353.0,308.2,317.4,309.0,302.0,237.8,3466.1,3462.5,483.0,404.3,441.9,811.9,607.6,460.8,-3.0,-3.0,3.0,4756.0,-6919.0,-10338.0,9543.0,-8.0,10.0,2.0,-4.0,-4.0,5.0,5164.0,-12202.0,-7292.0,6302.0,-6.0,9.0,7.0,1.0
2022-05-08 16:28:03.904412-07:00,633.5,705.2,633.5,895.7,348.3,288.2,842.8,686.4,3478.3,3468.6,1373.0,718.4,602.0,3464.9,1090.3,771.1,3447.9,3443.1,353.0,308.2,311.3,305.9,299.0,237.8,3468.6,3462.5,483.0,404.3,434.1,812.7,609.2,460.8,1.0,1.0,-5.0,4757.0,-6919.0,-10338.0,9542.0,-8.0,2.0,-6.0,-2.0,-3.0,3.0,5164.0,-12202.0,-7292.0,6301.0,-8.0,5.0,-3.0,1.0
2022-05-08 16:28:03.933089-07:00,632.7,705.2,633.5,895.7,344.5,280.6,841.1,686.4,3467.4,3468.6,1373.0,718.4,592.3,3466.1,1096.4,771.1,3447.9,3449.1,346.8,307.4,311.3,305.9,299.0,241.6,3468.6,3468.6,488.5,410.6,434.1,812.7,609.2,461.6,0.0,-1.0,1.0,4756.0,-6918.0,-10339.0,9543.0,0.0,-13.0,3.0,-3.0,-3.0,6.0,5162.0,-12203.0,-7293.0,6300.0,-1.0,-3.0,-3.0,1.0
2022-05-08 16:28:03.934175-07:00,632.7,711.8,640.8,884.8,344.5,280.6,837.7,684.8,3467.4,3467.4,1382.1,722.5,592.3,3466.1,1089.5,778.6,3444.3,3450.4,346.8,307.4,315.9,303.6,305.9,241.6,3467.4,3460.1,488.5,410.6,431.7,814.4,600.4,461.6,-2.0,-1.0,7.0,4754.0,-6917.0,-10339.0,9544.0,4.0,1.0,-4.0,-4.0,-8.0,10.0,5162.0,-12203.0,-7293.0,6300.0,-2.0,-2.0,-4.0,1.0
2022-05-08 16:28:03.934607-07:00,632.7,711.8,640.8,884.8,344.5,280.6,837.7,684.8,3467.4,3467.4,1382.1,722.5,592.3,3466.1,1089.5,778.6,3444.3,3450.4,346.8,307.4,315.9,303.6,305.9,241.6,3467.4,3460.1,488.5,410.6,431.7,814.4,600.4,461.6,-2.0,-1.0,7.0,4754.0,-6917.0,-10339.0,9544.0,4.0,1.0,-4.0,-4.0,-8.0,10.0,5162.0,-12203.0,-7293.0,6300.0,-2.0,-2.0,-4.0,1.0
