Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 16:31:47.626693-07:00,673.3,736.5,651.4,894.1,340.6,309.0,774.5,670.1,3469.8,3457.6,1140.1,699.5,552.2,3480.7,1293.6,781.9,3446.7,3451.6,351.4,305.1,312.8,307.4,302.0,237.1,3468.6,3450.4,460.0,421.5,461.6,816.9,723.3,412.9,6.0,2.0,-5.0,5910.0,-7522.0,-9866.0,8921.0,-22.0,20.0,-30.0,2.0,1.0,-5.0,5525.0,-12773.0,-6370.0,5846.0,-31.0,29.0,-8.0,1.0
2022-05-08 16:31:47.627997-07:00,678.2,733.2,649.7,888.2,340.6,309.0,774.5,670.1,3468.6,3463.7,1131.4,695.4,552.2,3480.7,1293.6,781.9,3446.7,3451.6,351.4,305.1,320.5,305.1,302.8,234.8,3468.6,3450.4,460.0,421.5,456.1,816.0,720.8,419.2,8.0,-4.0,-6.0,5916.0,-7523.0,-9874.0,8907.0,-18.0,24.0,-20.0,3.0,0.0,-9.0,5520.0,-12782.0,-6370.0,5831.0,-20.0,28.0,-1.0,1.0
2022-05-08 16:31:47.717260-07:00,678.2,733.2,649.7,888.2,354.5,304.3,776.1,673.3,3468.6,3463.7,1131.4,695.4,553.8,3468.6,1298.1,782.7,3449.1,3435.8,356.8,312.0,320.5,305.1,302.8,234.8,3464.9,3462.5,461.6,430.2,456.1,816.0,720.8,419.2,18.0,0.0,-8.0,5923.0,-7526.0,-9880.0,8894.0,-27.0,20.0,-25.0,10.0,5.0,-18.0,5518.0,-12790.0,-6369.0,5818.0,-32.0,31.0,0.0,1.0
2022-05-08 16:31:47.836606-07:00,675.0,734.0,653.0,888.2,354.5,304.3,776.1,673.3,3472.2,3457.6,1130.5,698.7,553.8,3468.6,1298.1,782.7,3449.1,3435.8,356.8,312.0,318.2,305.1,302.8,240.1,3464.9,3462.5,461.6,430.2,454.5,817.7,720.8,414.5,22.0,2.0,-8.0,5933.0,-7526.0,-9889.0,8877.0,-27.0,27.0,-29.0,14.0,1.0,-17.0,5513.0,-12799.0,-6370.0,5801.0,-40.0,28.0,0.0,1.0
2022-05-08 16:31:47.837607-07:00,675.0,734.0,653.0,888.2,343.7,309.0,774.5,671.7,3472.2,3457.6,1130.5,698.7,550.6,3478.3,1305.2,785.2,3449.1,3447.9,358.4,312.0,318.2,305.1,302.8,240.1,3463.7,3462.5,475.8,423.9,454.5,817.7,720.8,414.5,9.0,-4.0,-10.0,5937.0,-7530.0,-9897.0,8862.0,-23.0,16.0,-8.0,-1.0,0.0,-13.0,5505.0,-12807.0,-6372.0,5788.0,-19.0,14.0,9.0,1.0
2022-05-08 16:31:47.839297-07:00,678.2,736.5,652.2,886.5,343.7,309.0,774.5,671.7,3474.6,3466.1,1130.5,694.6,550.6,3478.3,1305.2,785.2,3449.1,3447.9,358.4,312.0,313.6,308.2,302.0,238.6,3463.7,3462.5,475.8,423.9,458.5,816.9,719.2,416.1,10.0,15.0,-7.0,5941.0,-7535.0,-9898.0,8854.0,-10.0,19.0,-14.0,5.0,3.0,-10.0,5505.0,-12810.0,-6371.0,5782.0,-13.0,23.0,-7.0,1.0
2022-05-08 16:31:47.866708-07:00,681.5,736.5,652.2,886.5,342.1,312.0,775.3,667.6,3473.4,3466.1,1130.5,694.6,546.6,3457.6,1299.8,789.4,3451.6,3449.1,353.0,308.2,313.6,308.2,302.0,240.1,3469.8,3471.0,454.5,419.2,458.5,816.9,719.2,409.0,18.0,-3.0,-6.0,5951.0,-7533.0,-9907.0,8839.0,-13.0,21.0,-38.0,11.0,1.0,-13.0,5502.0,-12818.0,-6373.0,5766.0,-21.0,27.0,-12.0,1.0
2022-05-08 16:31:47.926744-07:00,681.5,735.6,648.1,883.1,342.1,312.0,775.3,679.9,3473.4,3468.6,1131.4,695.4,546.6,3457.6,1299.8,784.4,3438.2,3449.1,353.0,308.2,312.8,310.5,302.0,240.1,3464.9,3471.0,454.5,419.2,454.5,819.4,722.5,409.0,13.0,-12.0,6.0,5961.0,-7534.0,-9914.0,8824.0,-25.0,30.0,-16.0,4.0,-10.0,-18.0,5500.0,-12826.0,-6375.0,5749.0,-16.0,28.0,-1.0,1.0
2022-05-08 16:31:47.987238-07:00,671.7,735.6,648.1,883.1,340.6,303.6,776.9,679.9,3467.4,3468.6,1131.4,695.4,550.6,3467.4,1304.3,784.4,3438.2,3449.1,351.4,309.0,312.8,310.5,302.0,231.7,3464.9,3473.4,463.2,420.0,454.5,819.4,722.5,416.8,13.0,3.0,-11.0,5971.0,-7537.0,-9917.0,8811.0,-21.0,22.0,-19.0,5.0,5.0,-10.0,5498.0,-12833.0,-6374.0,5734.0,-20.0,32.0,-1.0,1.0
2022-05-08 16:31:48.016633-07:00,671.7,731.5,648.9,883.1,340.6,303.6,776.9,672.5,3467.4,3475.9,1133.1,697.9,550.6,3467.4,1304.3,785.2,3445.5,3449.1,351.4,309.0,316.7,310.5,305.1,231.7,3463.7,3473.4,463.2,420.0,453.0,816.9,725.8,416.8,11.0,8.0,-12.0,5984.0,-7538.0,-9922.0,8796.0,-6.0,29.0,-36.0,6.0,8.0,-9.0,5498.0,-12840.0,-6376.0,5716.0,-21.0,40.0,-22.0,1.0
2022-05-08 16:31:48.076851-07:00,678.2,731.5,648.9,883.1,352.2,299.0,772.0,672.5,3467.4,3475.9,1133.1,697.9,553.0,3474.6,1310.6,785.2,3445.5,3450.4,355.3,311.3,316.7,310.5,305.1,237.8,3463.7,3468.6,465.6,423.9,453.0,816.9,725.8,417.6,4.0,-18.0,-20.0,5996.0,-7535.0,-9931.0,8779.0,-6.0,19.0,-24.0,-3.0,0.0,-16.0,5495.0,-12847.0,-6384.0,5696.0,-5.0,15.0,-14.0,1.0
2022-05-08 16:31:48.137284-07:00,678.2,733.2,647.3,881.4,352.2,299.0,772.0,666.0,3467.4,3473.4,1134.9,694.6,553.0,3474.6,1310.6,784.4,3445.5,3450.4,355.3,311.3,318.2,305.1,302.8,237.8,3456.4,3468.6,465.6,423.9,455.3,819.4,721.6,417.6,17.0,5.0,-3.0,5999.0,-7536.0,-9933.0,8775.0,-12.0,11.0,-9.0,15.0,2.0,-12.0,5495.0,-12847.0,-6389.0,5690.0,-16.0,9.0,-10.0,1.0
2022-05-08 16:31:48.166658-07:00,672.5,731.5,647.3,881.4,360.7,303.6,771.1,666.0,3478.3,3475.9,1134.9,694.6,551.4,3464.9,1308.8,784.4,3445.5,3445.5,353.0,302.0,318.2,305.1,305.1,231.7,3456.4,3469.8,459.3,427.0,455.3,819.4,725.8,412.9,16.0,0.0,1.0,6001.0,-7532.0,-9939.0,8770.0,-12.0,5.0,-17.0,13.0,-1.0,-12.0,5492.0,-12848.0,-6396.0,5682.0,-13.0,20.0,-17.0,1.0
2022-05-08 16:31:48.227236-07:00,672.5,731.5,650.5,889.0,360.7,303.6,774.5,664.4,3478.3,3475.9,1128.7,697.9,551.4,3464.9,1305.2,786.1,3438.2,3451.6,353.0,302.0,322.8,308.2,305.1,231.7,3451.6,3463.7,459.3,427.0,456.9,816.0,725.8,412.9,9.0,0.0,-3.0,6011.0,-7529.0,-9943.0,8762.0,-16.0,16.0,-26.0,7.0,-6.0,-5.0,5494.0,-12852.0,-6401.0,5667.0,-24.0,30.0,-14.0,1.0
2022-05-08 16:31:48.287208-07:00,666.0,736.5,650.5,889.0,349.9,305.1,774.5,664.4,3464.9,3474.6,1128.7,697.9,551.4,3457.6,1305.2,786.1,3438.2,3451.6,351.4,303.6,322.8,308.2,302.0,237.1,3451.6,3463.7,461.6,416.8,456.9,816.0,724.1,407.5,5.0,0.0,-5.0,6018.0,-7528.0,-9948.0,8751.0,-9.0,28.0,-8.0,1.0,1.0,-7.0,5495.0,-12857.0,-6401.0,5654.0,-4.0,24.0,-4.0,1.0
2022-05-08 16:31:48.346507-07:00,666.0,736.5,646.5,885.6,349.9,305.1,772.8,671.7,3464.9,3474.6,1128.7,697.0,551.4,3457.6,1310.6,785.2,3447.9,3443.1,351.4,303.6,315.9,310.5,302.0,237.1,3462.5,3462.5,461.6,416.8,456.9,816.9,724.1,407.5,3.0,-8.0,-4.0,6024.0,-7534.0,-9945.0,8745.0,6.0,17.0,0.0,1.0,-2.0,-5.0,5499.0,-12860.0,-6397.0,5646.0,10.0,16.0,-5.0,1.0
2022-05-08 16:31:48.376690-07:00,675.0,731.5,646.5,885.6,344.5,302.8,772.8,671.7,3467.4,3468.6,1128.7,697.0,550.6,3478.3,1310.6,785.2,3447.9,3443.1,353.7,305.1,315.9,310.5,302.8,238.6,3462.5,3462.5,467.9,422.3,456.9,816.9,718.4,413.7,22.0,-5.0,-10.0,6033.0,-7532.0,-9943.0,8743.0,-20.0,12.0,-17.0,10.0,-4.0,-18.0,5505.0,-12862.0,-6395.0,5641.0,-22.0,17.0,-5.0,1.0
2022-05-08 16:31:48.437232-07:00,675.0,731.5,648.9,888.2,344.5,302.8,772.8,669.3,3467.4,3468.6,1131.4,697.0,550.6,3478.3,1308.8,783.6,3449.1,3445.5,353.7,305.1,316.7,311.3,302.8,238.6,3458.9,3468.6,467.9,422.3,453.0,818.5,718.4,413.7,22.0,-1.0,-10.0,6037.0,-7533.0,-9942.0,8741.0,16.0,6.0,32.0,9.0,2.0,-18.0,5510.0,-12862.0,-6390.0,5639.0,27.0,-6.0,19.0,1.0
2022-05-08 16:31:48.526569-07:00,676.6,731.5,648.9,888.2,342.9,302.8,772.8,669.3,3472.2,3471.0,1131.4,697.0,551.4,3478.3,1308.8,783.6,3449.1,3445.5,356.1,312.0,316.7,311.3,305.9,234.8,3458.9,3468.6,462.4,421.5,453.0,818.5,719.2,412.1,2.0,-17.0,-10.0,6034.0,-7537.0,-9940.0,8741.0,-1.0,-5.0,19.0,0.0,-5.0,-9.0,5506.0,-12865.0,-6386.0,5643.0,5.0,-20.0,20.0,1.0
2022-05-08 16:31:48.528148-07:00,676.6,731.5,656.2,885.6,342.9,302.8,776.9,667.6,3472.2,3471.0,1125.2,692.1,551.4,3467.4,1306.1,783.6,3451.6,3450.4,361.5,312.0,315.9,305.1,305.9,234.8,3471.0,3461.3,466.4,421.5,461.6,817.7,719.2,412.1,11.0,-10.0,-6.0,6021.0,-7543.0,-9936.0,8750.0,-2.0,-32.0,62.0,5.0,0.0,-12.0,5500.0,-12862.0,-6377.0,5665.0,21.0,-51.0,47.0,1.0
2022-05-08 16:31:48.587141-07:00,677.4,734.8,649.7,885.6,346.0,302.8,776.9,667.6,3463.7,3462.5,1125.2,692.1,553.8,3467.4,1306.1,783.6,3451.6,3450.4,361.5,309.7,315.9,312.0,304.3,238.6,3471.0,3461.3,466.4,420.8,461.6,816.0,716.7,412.1,18.0,9.0,-3.0,6000.0,-7554.0,-9926.0,8767.0,23.0,-23.0,78.0,18.0,11.0,-9.0,5496.0,-12857.0,-6363.0,5696.0,51.0,-58.0,51.0,1.0
2022-05-08 16:31:48.646695-07:00,677.4,734.8,649.7,886.5,346.0,299.0,772.0,669.3,3463.7,3462.5,1125.2,695.4,553.8,3469.8,1310.6,791.0,3451.6,3446.7,358.4,309.7,315.9,312.0,304.3,238.6,3462.5,3461.3,461.6,420.8,458.5,816.0,716.7,412.1,12.0,8.0,-13.0,5989.0,-7561.0,-9915.0,8781.0,18.0,-15.0,22.0,7.0,2.0,-13.0,5494.0,-12853.0,-6357.0,5714.0,18.0,-34.0,18.0,1.0
2022-05-08 16:31:48.736742-07:00,670.9,734.8,644.9,886.5,346.0,299.0,772.0,669.3,3478.3,3469.8,1128.7,695.4,550.6,3469.8,1310.6,791.0,3451.6,3446.7,358.4,309.0,315.9,309.7,304.3,238.6,3462.5,3461.3,461.6,422.3,458.5,816.9,716.7,408.2,7.0,-8.0,-11.0,5978.0,-7559.0,-9913.0,8791.0,24.0,-33.0,44.0,2.0,0.0,-15.0,5491.0,-12848.0,-6353.0,5733.0,36.0,-46.0,25.0,1.0
2022-05-08 16:31:48.738307-07:00,670.9,734.8,644.9,886.5,346.0,299.7,781.9,672.5,3478.3,3469.8,1128.7,694.6,550.6,3468.6,1301.6,787.7,3451.6,3449.1,349.1,309.0,316.7,309.7,304.3,238.6,3462.5,3457.6,464.0,422.3,453.0,816.9,716.7,408.2,10.0,6.0,-2.0,5963.0,-7563.0,-9903.0,8810.0,31.0,-18.0,60.0,5.0,2.0,-7.0,5492.0,-12839.0,-6345.0,5758.0,47.0,-47.0,23.0,1.0
2022-05-08 16:31:48.796571-07:00,674.2,730.7,644.9,886.5,349.1,299.7,781.9,672.5,3472.2,3473.4,1127.9,694.6,547.4,3468.6,1301.6,787.7,3451.6,3449.1,349.1,309.0,316.7,313.6,297.4,237.1,3462.5,3457.6,464.0,419.2,453.0,817.7,719.2,416.1,15.0,21.0,-9.0,5958.0,-7563.0,-9890.0,8827.0,36.0,-15.0,4.0,11.0,9.0,-7.0,5501.0,-12830.0,-6342.0,5774.0,30.0,-13.0,-9.0,1.0
