Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:08:55.704128-07:00,654.6,738.1,709.3,1029.7,393.4,321.3,889.0,741.4,3473.4,3463.7,1338.6,820.2,648.1,3464.9,1189.4,877.2,3449.1,3449.1,420.8,347.6,354.5,341.4,299.0,272.9,3462.5,3456.4,505.9,428.6,563.4,877.2,648.1,475.0,2.0,-10.0,-3.0,12315.0,-10593.0,1422.0,1593.0,14.0,-28.0,9.0,8.0,0.0,-2.0,10631.0,-11888.0,-1304.0,3520.0,11.0,-26.0,-8.0,1.0
2022-05-08 17:08:55.706323-07:00,654.6,738.9,708.5,1019.4,393.4,321.3,889.0,748.0,3473.4,3468.6,1342.2,820.2,648.1,3464.9,1189.4,875.5,3447.9,3449.1,420.8,347.6,349.1,341.4,305.9,272.9,3478.3,3456.4,505.9,428.6,565.8,880.6,655.4,475.0,1.0,-2.0,2.0,12322.0,-10585.0,1413.0,1604.0,13.0,-30.0,10.0,6.0,3.0,0.0,10636.0,-11880.0,-1312.0,3530.0,18.0,-32.0,-8.0,1.0
2022-05-08 17:08:55.706913-07:00,650.5,738.9,708.5,1019.4,406.7,315.1,894.1,748.0,3473.4,3468.6,1342.2,820.2,644.0,3457.6,1179.7,875.5,3447.9,3449.1,420.0,346.8,349.1,341.4,305.9,269.9,3478.3,3466.1,504.4,427.0,565.8,880.6,655.4,481.4,-8.0,-5.0,15.0,12323.0,-10582.0,1405.0,1616.0,14.0,-41.0,9.0,4.0,-2.0,13.0,10637.0,-11875.0,-1320.0,3540.0,16.0,-34.0,-6.0,1.0
2022-05-08 17:08:55.707508-07:00,650.5,731.5,703.6,1031.4,406.7,315.1,894.1,744.7,3473.4,3472.2,1335.0,821.9,644.0,3457.6,1179.7,873.0,3449.1,3449.1,420.0,346.8,349.1,343.7,303.6,269.9,3461.3,3466.1,504.4,427.0,561.8,867.9,654.6,481.4,1.0,-2.0,22.0,12328.0,-10576.0,1397.0,1627.0,-4.0,-11.0,7.0,13.0,-4.0,13.0,10641.0,-11868.0,-1326.0,3549.0,4.0,-16.0,3.0,1.0
2022-05-08 17:08:55.711591-07:00,657.0,731.5,703.6,1031.4,408.2,319.0,889.8,744.7,3471.0,3472.2,1335.0,821.9,650.5,3467.4,1181.5,873.0,3449.1,3447.9,421.5,341.4,349.1,343.7,303.6,267.6,3461.3,3475.9,501.2,430.2,561.8,867.9,654.6,473.5,0.0,-2.0,17.0,12325.0,-10579.0,1396.0,1627.0,-41.0,18.0,1.0,10.0,3.0,8.0,10633.0,-11875.0,-1326.0,3552.0,-36.0,1.0,19.0,1.0
2022-05-08 17:08:56.364173-07:00,657.0,733.2,705.2,1029.7,408.2,319.0,889.8,745.5,3471.0,3471.0,1340.4,822.7,650.5,3467.4,1181.5,869.6,3438.2,3447.9,421.5,341.4,354.5,343.7,297.4,267.6,3456.4,3475.9,501.2,430.2,573.8,877.2,649.7,473.5,0.0,-3.0,13.0,12311.0,-10596.0,1400.0,1623.0,-42.0,14.0,-5.0,9.0,-2.0,10.0,10615.0,-11891.0,-1321.0,3551.0,-43.0,15.0,20.0,1.0
2022-05-08 17:08:56.364586-07:00,657.0,733.2,705.2,1029.7,408.2,319.0,889.8,745.5,3471.0,3471.0,1340.4,822.7,650.5,3467.4,1181.5,869.6,3438.2,3447.9,421.5,341.4,354.5,343.7,297.4,267.6,3456.4,3475.9,501.2,430.2,573.8,877.2,649.7,473.5,0.0,-3.0,13.0,12311.0,-10596.0,1400.0,1623.0,-42.0,14.0,-5.0,9.0,-2.0,10.0,10615.0,-11891.0,-1321.0,3551.0,-43.0,15.0,20.0,1.0
2022-05-08 17:08:56.365727-07:00,659.5,738.9,714.2,1025.4,402.0,316.7,890.7,741.4,3468.6,3461.3,1346.7,821.0,646.5,3474.6,1187.6,871.3,3443.1,3449.1,425.5,350.6,354.5,343.7,302.8,268.3,3461.3,3468.6,508.3,427.8,561.0,877.2,648.1,464.8,4.0,-9.0,-10.0,12267.0,-10648.0,1429.0,1594.0,-20.0,17.0,0.0,10.0,5.0,-3.0,10569.0,-11938.0,-1297.0,3539.0,-17.0,4.0,12.0,1.0
2022-05-08 17:08:56.367033-07:00,659.5,738.9,705.2,1025.4,402.0,316.7,895.7,739.7,3468.6,3461.3,1342.2,816.9,646.5,3474.6,1192.9,871.3,3437.0,3440.7,425.5,350.6,353.7,342.9,302.8,268.3,3452.8,3468.6,508.3,427.8,562.6,874.7,648.1,464.8,4.0,-4.0,-2.0,12259.0,-10657.0,1430.0,1592.0,-22.0,-8.0,-1.0,9.0,0.0,-1.0,10562.0,-11945.0,-1297.0,3539.0,-20.0,-1.0,3.0,1.0
2022-05-08 17:08:56.663878-07:00,661.1,734.0,705.2,1025.4,399.6,317.4,895.7,739.7,3466.1,3479.5,1342.2,816.9,641.6,3468.6,1192.9,871.3,3437.0,3440.7,420.0,339.8,353.7,342.9,299.0,269.1,3452.8,3468.6,498.8,431.7,562.6,874.7,650.5,471.9,-4.0,-5.0,8.0,12258.0,-10659.0,1429.0,1592.0,-15.0,-8.0,7.0,6.0,0.0,8.0,10560.0,-11946.0,-1298.0,3539.0,-8.0,-8.0,6.0,1.0
